"STATE","state_fips","CONGRESSIONAL DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
OH,39,Congressional District 1,"=""3901 """,148,0,148,"360,797",44,"33,653",97,"119,376",0,0,0,142,"656,015",0,"4,994",131,0,73,81,65,0,77,62,0,22,0,27,24,0,0,0,0,0,0,0
OH,39,Congressional District 1,"=""3901 """,887,0,887,"2,118,388",242,"195,050",542,"693,304",37,38,48,862,"3,790,217",25,"26,504",764,0,384,507,374,0,461,363,0,152,79,161,182,102,96,86,87,53,37,0
OH,39,Congressional District 1,"=""3901 ""","2,390",22,"2,390","5,383,738",660,"517,828","1,342","1,643,135",75,107,144,"2,308","9,532,796",82,"74,228","2,088",0,979,"1,122","1,222",46,"1,334",882,0,439,249,388,487,290,237,222,213,159,139,0
OH,39,Congressional District 1,"=""3901 ""","1,209",0,"1,209","2,758,569",394,"315,531",716,"929,461",62,59,89,"1,174","5,199,921",35,"43,994","1,065",0,511,614,566,29,618,502,0,207,105,204,211,152,132,109,100,106,83,0
OH,39,Congressional District 1,"=""3901 """,38,0,38,"100,251",9,"11,590",28,"37,958",0,0,0,35,"174,866",0,"4,238",32,0,0,23,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
OH,39,Congressional District 1,"=""3901 """,50,0,50,"138,185",9,"8,503",32,"42,792",0,0,0,49,"224,931",0,924,43,0,24,31,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
OH,39,Congressional District 1,"=""3901 """,56,0,56,"101,930",9,"15,149",26,"29,763",0,0,0,56,"196,581",0,0,47,0,22,33,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
OH,39,Congressional District 1,"=""3901 ""","1,930",0,"1,930","4,348,682",543,"426,219","1,079","1,391,835",101,96,145,"1,861","7,589,747",69,"50,529","1,618",32,704,"1,122",765,43,"1,130",667,0,394,227,274,381,239,191,186,179,138,106,0
OH,39,Congressional District 1,"=""3901 """,832,0,832,"1,570,382",255,"225,174",415,"503,667",66,60,88,788,"2,959,285",44,"41,234",677,0,226,569,256,0,477,296,0,220,80,134,147,83,82,60,84,77,80,0
OH,39,Congressional District 1,"=""3901 ""","1,556",29,"1,556","3,164,785",421,"330,363",793,"1,007,125",103,124,143,"1,453","5,735,469",102,"121,539","1,265",0,453,910,616,30,926,504,0,396,153,239,306,161,152,165,161,113,97,0
OH,39,Congressional District 1,"=""3901 """,22,0,22,"49,550",9,"7,672",9,"18,992",0,0,0,22,"90,340",0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OH,39,Congressional District 1,"=""3901 """,41,1,41,"98,161",11,"8,575",24,"31,003",1,2,2,40,"171,004",1,824,35,0,18,21,19,1,24,14,0,8,4,8,8,5,4,3,3,2,2,0
OH,39,Congressional District 1,"=""3901 """,198,4,198,"518,639",45,"33,333",126,"158,414",6,7,8,195,"842,720",4,"4,003",174,1,90,110,82,7,113,72,0,40,20,38,47,28,19,16,12,10,8,0
