"STATE","state_fips","CONGRESSIONAL DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
OK,40,Congressional District 1,"=""4001 ""","1,417",0,"1,417","3,497,146",372,"279,719",861,"1,118,546",56,39,56,"1,386","5,844,840",31,"21,346","1,259",0,685,766,561,91,612,647,0,189,137,259,284,191,166,115,104,99,59,0
OK,40,Congressional District 1,"=""4001 """,52,0,52,"72,661",9,"10,089",9,"24,459",0,0,0,51,"129,352",0,255,31,0,0,21,26,0,21,25,0,0,0,0,0,0,0,0,0,0,0,0
OK,40,Congressional District 1,"=""4001 ""","1,489",0,"1,489","3,370,724",503,"393,725",870,"1,101,384",98,76,95,"1,448","6,010,366",41,"38,754","1,343",0,600,863,563,63,719,653,0,260,133,214,267,178,163,145,159,132,91,0
OK,40,Congressional District 1,"=""4001 ""","1,325",0,"1,325","3,035,884",423,"338,376",793,"1,036,063",110,67,98,"1,257","5,180,483",68,"64,707","1,178",0,506,712,578,35,717,519,0,345,95,173,238,169,145,134,152,100,113,0
OK,40,Congressional District 1,"=""4001 ""","1,434",0,"1,434","3,332,383",469,"388,839",867,"1,175,688",115,94,110,"1,379","5,779,279",55,"57,033","1,282",0,516,838,541,55,790,538,0,376,137,196,237,157,161,129,165,116,126,0
OK,40,Congressional District 1,"=""4001 ""","4,133",54,"4,133","9,358,778","1,398","1,138,416","2,448","3,254,113",345,285,342,"3,966","16,419,142",166,"196,023","3,626",0,"1,348","2,305","1,620",208,"2,306","1,566",0,"1,029",339,537,686,431,477,474,453,351,362,23
OK,40,Congressional District 1,"=""4001 """,76,0,76,"142,721",21,"15,067",39,"49,213",0,0,0,70,"255,061",0,"2,942",59,0,0,33,34,0,53,21,0,29,0,0,0,0,0,0,0,0,0,0
OK,40,Congressional District 1,"=""4001 ""","1,996",21,"1,996","4,443,054",733,"608,832","1,233","1,664,357",144,120,162,"1,907","8,153,222",88,"99,062","1,759",0,665,"1,157",802,37,"1,123",753,0,536,170,244,300,214,210,243,195,185,219,0
OK,40,Congressional District 1,"=""4001 """,517,0,517,"1,148,961",159,"127,266",301,"379,854",30,17,27,499,"2,039,386",18,"14,947",462,0,224,268,224,25,255,223,0,107,57,70,101,55,52,52,54,39,35,0
OK,40,Congressional District 1,"=""4001 ""","1,087",0,"1,087","2,608,811",392,"322,950",699,"940,138",67,59,88,"1,059","4,748,623",28,"21,629",994,0,442,566,482,39,602,428,0,267,71,141,166,115,136,131,117,111,93,0
OK,40,Congressional District 1,"=""4001 """,128,0,128,"315,144",27,"16,329",72,"99,842",0,0,0,128,"533,867",0,0,117,0,51,69,52,0,61,60,0,28,0,0,24,23,0,0,0,0,0,0
OK,40,Congressional District 1,"=""4001 """,513,0,513,"1,284,622",145,"105,918",325,"444,802",24,0,23,501,"2,262,851",0,"10,271",461,0,237,247,238,28,230,253,0,81,58,77,88,68,41,72,50,24,33,0
OK,40,Congressional District 1,"=""4001 """,999,0,999,"2,441,279",357,"315,624",640,"876,397",69,41,53,976,"4,388,341",23,"22,115",924,0,441,579,389,31,497,433,0,186,74,132,162,112,110,97,112,95,100,0
OK,40,Congressional District 1,"=""4001 """,824,0,824,"1,864,596",267,"219,731",483,"647,407",58,62,93,789,"3,285,691",35,"36,820",738,0,300,452,350,22,463,317,0,216,62,111,141,85,98,91,85,65,83,0
OK,40,Congressional District 1,"=""4001 """,185,0,185,"456,237",80,"59,234",123,"172,702",0,0,0,182,"858,733",0,"1,719",170,0,93,100,84,0,87,88,0,35,0,0,24,21,0,27,25,23,0,0
OK,40,Congressional District 1,"=""4001 """,309,0,309,"779,914",100,"80,927",200,"272,069",0,13,14,300,"1,363,256",0,"8,158",276,0,141,141,158,0,169,126,0,64,22,43,56,35,35,36,35,20,24,0
OK,40,Congressional District 1,"=""4001 """,114,0,114,"270,111",24,"22,329",69,"77,891",0,0,0,108,"432,235",0,"5,843",101,0,55,50,58,0,59,45,0,24,0,0,23,0,0,0,0,0,0,0
OK,40,Congressional District 1,"=""4001 """,160,0,160,"415,563",56,"39,841",104,"139,856",0,0,0,157,"743,149",0,"3,653",142,0,73,81,77,0,84,68,0,34,0,0,26,25,20,0,0,0,0,0
OK,40,Congressional District 1,"=""4001 ""","2,208",22,"2,208","5,135,802",834,"657,318","1,392","1,828,752",173,141,208,"2,131","9,314,377",77,"86,078","1,991",0,864,"1,282",867,58,"1,157",933,0,435,168,257,333,263,249,282,237,225,185,0
OK,40,Congressional District 1,"=""4001 """,136,0,136,"334,428",45,"33,650",84,"109,461",0,0,0,129,"566,094",0,"7,507",117,0,45,69,62,0,80,50,0,42,0,21,23,0,0,0,0,0,0,0
OK,40,Congressional District 1,"=""4001 ""","1,874",17,"1,874","4,402,336",631,"510,441","1,144","1,479,994",101,79,102,"1,826","7,737,870",48,"41,080","1,709",0,880,995,831,48,912,825,0,361,155,274,327,214,224,193,177,162,138,0
OK,40,Congressional District 1,"=""4001 """,237,3,237,"575,128",75,"58,086",146,"189,830",12,10,12,231,"1,001,810",6,"5,974",212,0,122,120,108,9,124,98,0,42,19,37,47,27,25,23,24,16,16,0
OK,40,Congressional District 1,"=""4001 """,342,0,342,"858,027",107,"85,046",223,"310,249",18,14,16,332,"1,494,979",10,"16,875",306,0,152,155,182,0,183,135,0,88,23,51,62,42,36,34,36,27,28,0
OK,40,Congressional District 1,"=""4001 """,281,0,281,"627,777",86,"64,773",155,"190,955",0,0,0,263,"1,034,087",18,"15,336",236,0,125,144,126,0,155,103,0,77,25,44,52,32,29,31,23,25,20,0
OK,40,Congressional District 1,"=""4001 """,19,0,19,"49,005",7,"4,800",12,"16,526",0,0,0,18,"90,032",0,340,17,0,7,8,11,0,11,7,0,5,0,3,0,0,3,0,0,0,0,0
OK,40,Congressional District 1,"=""4001 """,19,0,19,"44,927",6,"6,417",11,"15,113",0,0,0,18,"82,831",0,373,17,0,9,8,11,0,9,8,0,6,0,0,0,0,0,0,0,0,0,0
OK,40,Congressional District 1,"=""4001 """,58,0,58,"138,523",9,"8,499",37,"45,155",0,0,0,56,"220,039",0,"2,380",45,0,0,27,26,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
OK,40,Congressional District 1,"=""4001 """,71,0,71,"57,723",2,"1,000",8,"9,651",0,0,0,67,"105,207",0,"1,444",52,0,27,39,25,0,29,0,0,0,28,25,0,0,0,0,0,0,0,0
OK,40,Congressional District 1,"=""4001 """,837,0,837,"1,659,130",176,"135,919",413,"493,015",36,48,52,794,"2,668,659",43,"39,734",724,0,328,432,365,40,427,316,0,204,112,187,193,83,70,74,54,32,30,0
OK,40,Congressional District 1,"=""4001 ""","1,917",34,"1,917","4,257,557",431,"302,345","1,038","1,269,072",93,94,90,"1,847","6,878,703",70,"61,246","1,689",0,931,"1,068",775,74,951,787,0,410,236,363,472,234,178,152,136,89,52,0
OK,40,Congressional District 1,"=""4001 ""","2,857",90,"2,857","8,365,003",617,"425,097","1,976","2,556,004",102,100,89,"2,830","12,643,629",27,"11,842","2,654",0,"1,735","1,404","1,252",201,"1,431","1,263",0,544,252,533,696,469,305,273,168,99,64,0
OK,40,Congressional District 1,"=""4001 ""","2,143",39,"2,143","5,464,836",528,"404,833","1,353","1,728,877",84,84,89,"2,113","8,717,956",30,"16,130","1,961",0,"1,207","1,071",990,82,"1,048",915,0,416,248,411,429,254,223,194,152,123,105,0
OK,40,Congressional District 1,"=""4001 """,779,0,779,"2,040,005",244,"194,106",532,"730,159",31,27,33,762,"3,440,972",0,"12,719",729,0,363,408,326,45,381,352,0,141,67,120,141,106,77,83,71,55,52,0
OK,40,Congressional District 1,"=""4001 ""","2,042",67,"2,042","5,774,652",522,"393,045","1,415","1,866,096",49,46,55,"2,010","8,901,377",31,"23,360","1,846",0,"1,142",864,"1,077",101,995,908,0,402,177,333,471,291,239,206,145,101,74,0
OK,40,Congressional District 1,"=""4001 ""","2,086",34,"2,086","4,897,964",597,"456,660","1,225","1,589,276",107,83,100,"2,014","8,010,896",72,"54,913","1,849",0,972,"1,087",890,109,"1,078",838,0,433,208,351,414,260,223,212,172,132,105,0
OK,40,Congressional District 1,"=""4001 """,789,0,789,"1,564,633",221,"171,293",411,"508,244",59,48,67,748,"2,728,520",40,"31,914",692,0,312,473,272,44,424,297,0,195,76,143,164,72,88,75,65,58,47,0
OK,40,Congressional District 1,"=""4001 ""","3,073",64,"3,073","8,863,030",813,"578,200","2,117","2,961,286",108,74,87,"3,026","14,001,889",47,"40,510","2,809",0,"1,633","1,395","1,511",167,"1,507","1,376",0,569,238,490,683,436,393,301,251,161,118,0
OK,40,Congressional District 1,"=""4001 """,458,0,458,"1,306,460",119,"82,611",326,"423,354",0,0,0,452,"2,033,077",0,"3,264",418,0,253,195,236,27,238,198,0,88,35,87,97,78,47,42,32,23,0,0
OK,40,Congressional District 1,"=""4001 """,203,0,203,"209,323",33,"25,954",44,"44,749",0,0,0,192,"388,558",0,"8,493",161,0,80,122,65,0,90,78,0,38,54,56,39,0,0,0,0,0,0,0
OK,40,Congressional District 1,"=""4001 """,338,0,338,"643,761",61,"39,458",156,"180,643",0,0,0,323,"1,013,003",0,"17,512",293,0,165,165,162,0,172,126,0,73,45,70,91,36,34,29,0,0,0,0
OK,40,Congressional District 1,"=""4001 ""","1,691",39,"1,691","5,021,761",426,"288,133","1,177","1,533,288",50,50,36,"1,668","7,622,442",23,"17,282","1,554",0,"1,060",801,769,121,859,732,0,307,139,278,403,277,216,150,107,70,50,0
OK,40,Congressional District 1,"=""4001 ""","1,264",21,"1,264","3,314,118",329,"235,117",817,"1,050,528",47,52,48,"1,243","5,304,813",21,"12,829","1,159",0,724,651,561,52,612,567,0,234,124,224,254,175,151,115,101,71,48,0
OK,40,Congressional District 1,"=""4001 ""","1,373",49,"1,373","3,731,321",416,"305,897",926,"1,312,257",53,60,48,"1,346","6,130,204",27,"30,967","1,255",0,679,593,692,88,713,593,0,260,92,185,287,182,176,150,125,88,80,0
OK,40,Congressional District 1,"=""4001 ""","1,955",52,"1,955","5,213,692",608,"469,752","1,352","1,817,264",118,93,92,"1,908","8,634,249",47,"38,269","1,775",0,939,994,843,118,963,873,0,374,155,294,377,283,216,194,177,129,121,0
OK,40,Congressional District 1,"=""4001 """,259,0,259,"671,060",59,"38,091",153,"198,554",0,0,0,255,"1,071,849",0,"2,916",229,0,134,129,110,0,145,101,0,43,29,34,58,37,30,28,22,0,0,0
OK,40,Congressional District 1,"=""4001 """,332,0,332,"772,915",97,"81,892",198,"252,412",23,17,25,323,"1,312,109",0,"5,075",303,0,138,196,127,0,167,141,0,81,27,56,57,40,32,31,35,27,25,0
OK,40,Congressional District 1,"=""4001 ""","2,937",68,"2,937","6,460,745",903,"698,070","1,640","2,102,904",207,204,222,"2,817","11,129,219",119,"124,333","2,611",0,"1,173","1,672","1,142",123,"1,530","1,166",0,604,249,479,550,308,310,347,322,199,156,0
OK,40,Congressional District 1,"=""4001 ""","1,695",41,"1,695","4,406,440",549,"405,215","1,147","1,556,470",106,85,92,"1,634","7,327,258",61,"76,018","1,528",0,719,843,768,84,881,707,0,355,118,250,290,236,207,207,157,114,107,0
OK,40,Congressional District 1,"=""4001 ""","1,637",29,"1,637","3,624,791",410,"316,133",898,"1,089,857",77,81,104,"1,572","5,887,888",65,"51,917","1,438",0,742,881,670,86,870,612,0,369,167,308,359,182,156,166,127,95,73,0
