"STATE","state_fips","CONGRESSIONAL DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
PA,42,Congressional District 1,"=""4201 ""","5,468",163,"5,468","15,163,594","1,292","880,227","3,701","4,504,742",345,196,180,"5,425","24,756,775",42,"46,028","5,014",0,"2,887","2,865","2,365",238,"2,785","2,342",0,807,531,"1,001","1,274",824,643,495,362,228,107,0
PA,42,Congressional District 1,"=""4201 """,15,0,15,"28,188",4,"3,079",7,"8,975",1,1,2,14,"55,852",1,620,12,0,5,8,7,0,7,6,0,3,2,3,3,1,1,1,1,1,1,0
PA,42,Congressional District 1,"=""4201 """,423,0,423,"1,010,996",114,"86,231",257,"329,615",33,24,30,411,"1,827,726",12,"11,107",365,0,172,233,176,14,215,178,0,71,41,67,86,51,49,39,38,28,22,0
PA,42,Congressional District 1,"=""4201 """,114,3,114,"239,383",32,"22,839",63,"77,931",13,10,10,109,"461,867",5,"4,069",97,0,44,57,55,2,59,45,0,23,12,18,22,12,10,14,11,9,6,0
PA,42,Congressional District 1,"=""4201 """,313,0,313,"797,923",93,"68,912",200,"251,203",20,16,0,309,"1,429,290",0,"2,517",283,0,145,178,125,0,148,145,0,35,28,56,52,42,40,28,30,25,0,0
PA,42,Congressional District 1,"=""4201 ""","3,717",117,"3,717","10,111,568",999,"637,506","2,610","3,315,490",425,302,168,"3,663","18,139,487",54,"42,968","3,408",0,"1,999","1,782","1,815",119,"1,959","1,556",0,691,280,549,738,583,476,409,345,217,115,0
PA,42,Congressional District 1,"=""4201 """,219,0,219,"411,203",61,"56,264",105,"117,490",0,16,0,211,"794,901",0,"7,693",181,0,74,127,88,0,97,97,0,33,29,34,41,20,21,24,17,14,18,0
PA,42,Congressional District 1,"=""4201 """,741,0,741,"1,725,785",210,"151,180",465,"586,931",79,46,40,715,"3,239,598",26,"20,023",642,0,325,366,356,0,389,289,0,140,68,96,164,85,72,91,67,57,37,0
PA,42,Congressional District 1,"=""4201 """,466,0,466,"959,827",131,"102,844",254,"311,378",40,30,33,451,"1,850,780",15,"15,908",383,0,174,247,208,11,229,191,0,79,48,77,95,45,50,48,50,25,26,0
PA,42,Congressional District 1,"=""4201 ""","3,275",95,"3,275","7,753,683",804,"570,210","2,018","2,530,135",436,351,234,"3,165","14,463,733",110,"81,480","2,890",0,"1,478","1,660","1,543",71,"1,810","1,265",0,736,237,494,664,437,378,361,325,250,125,0
