"STATE","state_fips","CONGRESSIONAL DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
RI,44,Congressional District 1,"=""4401 """,53,0,53,"95,821",9,"15,080",9,"20,800",0,0,0,46,"177,487",0,"7,355",38,0,0,21,30,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,44,Congressional District 1,"=""4401 """,403,0,403,"655,730",90,"65,328",156,"196,862",30,27,37,377,"1,218,980",26,"23,367",281,0,77,188,193,21,244,109,0,118,60,77,75,40,29,36,38,27,21,0
RI,44,Congressional District 1,"=""4401 ""","1,052",0,"1,052","1,846,889",243,"174,365",463,"490,867",53,63,95,986,"3,348,449",66,"58,534",796,0,303,465,508,79,546,390,0,218,160,200,238,110,77,79,87,60,40,0
RI,44,Congressional District 1,"=""4401 """,0,0,0,"45,010",0,"4,001",0,"18,485",0,0,0,0,"88,575",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RI,44,Congressional District 1,"=""4401 """,246,0,246,"404,233",65,"47,369",94,"94,243",0,0,0,230,"786,049",0,"15,335",179,0,59,110,127,0,146,72,0,60,31,42,47,23,28,23,0,0,0,0
RI,44,Congressional District 1,"=""4401 """,5,0,5,"9,043",1,"1,073",2,"2,583",0,0,0,4,"16,399",0,140,4,0,1,2,2,0,2,2,0,1,1,1,1,0,1,0,0,0,0,0
RI,44,Congressional District 1,"=""4401 """,170,0,170,"265,395",25,"20,154",57,"66,109",0,0,0,139,"433,644",31,"25,314",115,0,39,80,76,0,113,37,0,61,32,43,37,0,0,0,0,0,0,0
RI,44,Congressional District 1,"=""4401 """,124,0,124,"187,809",9,"15,644",45,"58,468",0,0,0,105,"298,728",0,"21,585",78,0,27,57,61,0,70,37,0,42,0,34,32,0,0,0,0,0,0,0
RI,44,Congressional District 1,"=""4401 """,349,0,349,"759,345",92,"72,516",201,"238,207",32,0,0,345,"1,418,295",0,"1,310",300,0,127,161,168,0,147,173,0,47,38,67,69,33,37,37,25,23,0,0
RI,44,Congressional District 1,"=""4401 ""","1,674",28,"1,674","3,692,859",373,"266,704",892,"1,082,916",78,48,90,"1,595","6,217,035",79,"78,240","1,398",0,746,861,700,113,803,696,0,336,227,349,421,189,126,125,106,73,54,0
