"STATE","state_fips","CONGRESSIONAL DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
TN,47,Congressional District 1,"=""4701 ""","3,800",35,"3,800","8,613,645",748,"527,402","2,082","2,515,348",139,165,208,"3,699","14,268,668",100,"93,127","3,379",37,"1,488","2,182","1,525",93,"1,603","1,732",0,684,460,797,907,451,363,288,228,176,124,0
TN,47,Congressional District 1,"=""4701 """,52,0,52,"82,549",9,"6,029",21,"30,159",0,0,0,44,"133,844",0,"6,215",38,0,0,25,26,0,37,0,0,23,0,0,0,0,0,0,0,0,0,0
TN,47,Congressional District 1,"=""4701 ""","2,865",50,"2,865","5,634,606",562,"403,343","1,384","1,662,192",113,149,200,"2,762","9,791,596",103,"81,614","2,496",0,950,"1,708","1,085",72,"1,279","1,186",0,522,407,599,669,330,209,209,168,138,130,0
TN,47,Congressional District 1,"=""4701 """,40,0,40,"68,302",4,"2,542",9,"21,133",0,0,0,34,"122,078",0,"3,489",28,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TN,47,Congressional District 1,"=""4701 """,22,0,22,"17,354",1,360,4,"4,637",0,0,0,22,"35,735",0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TN,47,Congressional District 1,"=""4701 ""","1,509",0,"1,509","3,102,832",374,"277,604",784,"897,881",64,62,87,"1,444","5,521,809",65,"67,631","1,316",0,493,855,625,29,698,649,0,298,176,268,283,205,152,114,139,92,77,0
TN,47,Congressional District 1,"=""4701 """,478,0,478,"1,175,711",114,"97,223",286,"379,054",0,0,0,465,"2,074,785",0,"8,825",432,0,173,203,274,0,271,171,0,139,45,66,99,69,52,42,42,32,28,0
TN,47,Congressional District 1,"=""4701 ""","1,129",0,"1,129","2,568,728",250,"186,097",589,"740,045",37,33,67,"1,088","4,354,971",41,"40,287",992,0,403,606,509,0,576,427,0,286,121,185,263,134,111,117,82,67,44,0
TN,47,Congressional District 1,"=""4701 ""","1,223",0,"1,223","2,800,692",291,"235,709",688,"820,500",29,46,49,"1,168","4,790,376",54,"51,824","1,071",0,486,630,583,0,585,529,0,274,129,217,255,137,131,110,83,85,72,0
TN,47,Congressional District 1,"=""4701 ""","3,972",28,"3,972","8,980,406",911,"659,968","2,203","2,677,406",119,138,130,"3,842","15,218,130",130,"120,302","3,544",58,"1,638","2,084","1,818",70,"1,825","1,744",0,776,437,723,895,536,373,313,270,212,204,0
TN,47,Congressional District 1,"=""4701 """,0,0,0,"39,362",0,"2,560",0,"8,274",0,0,0,0,"55,098",0,"4,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TN,47,Congressional District 1,"=""4701 """,340,0,340,"812,302",63,"44,412",188,"254,885",0,0,0,324,"1,288,746",0,"7,473",277,0,167,113,225,0,166,141,0,105,43,59,77,44,36,24,0,23,0,0
TN,47,Congressional District 1,"=""4701 """,876,0,876,"2,069,094",218,"159,757",507,"614,354",0,24,25,848,"3,553,454",28,"24,818",774,0,321,379,490,0,481,304,0,245,101,140,182,124,87,76,68,47,50,0
TN,47,Congressional District 1,"=""4701 ""","1,411",0,"1,411","3,401,382",348,"266,670",831,"1,000,765",24,49,47,"1,362","5,797,560",48,"36,552","1,270",0,568,703,683,25,727,560,0,310,142,260,291,189,151,123,98,68,87,0
TN,47,Congressional District 1,"=""4701 ""","3,485",37,"3,485","8,160,068",882,"665,288","2,023","2,424,380",108,112,137,"3,399","14,043,529",85,"56,315","3,170",0,"1,598","1,814","1,617",54,"1,540","1,585",0,700,329,611,817,428,332,280,262,218,192,0
TN,47,Congressional District 1,"=""4701 """,52,0,52,"103,318",9,"6,690",24,"28,858",0,0,0,49,"173,831",0,"1,657",43,0,0,24,25,0,25,22,0,0,0,0,0,0,0,0,0,0,0,0
TN,47,Congressional District 1,"=""4701 """,376,0,376,"840,874",122,"99,144",206,"252,049",0,0,0,361,"1,528,820",0,"16,358",323,0,123,177,196,0,224,123,0,92,41,35,74,52,43,28,40,34,29,0
TN,47,Congressional District 1,"=""4701 ""","1,175",0,"1,175","2,639,254",272,"209,223",621,"776,677",21,23,30,"1,143","4,645,697",32,"27,144","1,039",0,510,585,582,0,448,591,0,216,129,181,272,148,120,108,101,58,54,0
TN,47,Congressional District 1,"=""4701 """,284,0,284,"637,355",61,"48,553",155,"180,756",0,0,0,267,"1,055,980",0,"14,430",240,0,99,131,146,0,151,105,0,83,30,64,64,30,24,0,0,0,0,0
TN,47,Congressional District 1,"=""4701 """,89,0,89,"174,039",9,"13,168",41,"51,753",0,0,0,83,"316,376",0,"2,847",78,0,36,37,51,0,39,41,0,23,0,22,0,0,0,0,0,0,0,0
TN,47,Congressional District 1,"=""4701 """,478,0,478,"1,125,526",116,"89,833",274,"322,995",0,0,0,461,"1,922,858",0,"13,282",411,0,214,205,261,0,240,184,0,131,47,91,107,61,48,34,33,25,30,0
