"STATE","state_fips","CONGRESSIONAL DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
TX,48,Congressional District 1,"=""4801 """,8,0,8,"19,566",2,"1,591",5,"6,347",0,0,0,8,"31,077",0,48,6,0,3,4,4,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0
TX,48,Congressional District 1,"=""4801 """,368,0,368,"911,585",98,"72,486",217,"287,859",9,12,10,351,"1,532,271",16,"15,012",310,0,150,148,217,0,192,146,0,119,38,48,77,55,34,41,29,15,28,0
TX,48,Congressional District 1,"=""4801 ""","1,443",0,"1,443","3,628,896",364,"278,614",878,"1,085,167",80,58,43,"1,420","6,197,281",22,"17,185","1,262",21,696,642,761,40,735,615,0,271,134,237,313,207,170,121,114,69,77,0
TX,48,Congressional District 1,"=""4801 ""","3,043",75,"3,043","8,501,461",646,"439,062","1,973","2,544,682",131,105,65,"3,019","13,978,891",24,"25,099","2,747",54,"1,690","1,164","1,791",88,"1,635","1,249",0,536,257,484,747,555,335,238,187,131,106,0
TX,48,Congressional District 1,"=""4801 """,534,0,534,"1,342,393",128,"94,641",306,"402,170",24,0,0,526,"2,390,044",0,"7,371",479,0,284,230,295,0,302,197,0,134,43,93,117,86,57,42,42,28,25,0
TX,48,Congressional District 1,"=""4801 ""","2,948",57,"2,948","7,783,344",789,"597,145","1,958","2,484,003",204,115,105,"2,891","13,420,940",57,"70,536","2,655",33,"1,451","1,433","1,466",49,"1,486","1,275",0,564,225,461,625,462,315,300,218,169,159,0
TX,48,Congressional District 1,"=""4801 ""","1,871",29,"1,871","4,295,547",528,"393,402","1,105","1,310,297",145,109,97,"1,792","7,617,998",78,"115,380","1,634",0,811,994,833,44,923,791,0,408,170,287,391,258,208,180,157,123,95,0
TX,48,Congressional District 1,"=""4801 """,72,0,72,"168,968",9,"12,833",41,"56,370",0,0,0,70,"321,612",0,"1,105",61,0,24,34,32,0,41,27,0,0,0,0,0,0,0,0,0,0,0,0
TX,48,Congressional District 1,"=""4801 """,167,0,167,"416,732",53,"37,321",101,"115,760",0,0,0,166,"735,755",0,"1,937",149,0,66,70,85,0,94,69,0,41,0,27,35,22,26,0,0,0,0,0
TX,48,Congressional District 1,"=""4801 """,73,0,73,"137,814",9,"11,901",33,"37,449",0,0,0,68,"235,011",0,"2,368",55,0,28,41,30,0,31,33,0,24,0,0,0,0,0,0,0,0,0,0
TX,48,Congressional District 1,"=""4801 """,220,0,220,"561,564",59,"48,416",145,"171,531",0,0,0,217,"972,569",0,"2,174",199,0,119,77,142,0,89,117,0,50,0,32,45,34,26,23,0,0,0,0
TX,48,Congressional District 1,"=""4801 ""","1,230",21,"1,230","3,240,843",317,"226,235",796,"962,767",54,33,22,"1,205","5,504,793",25,"15,593","1,087",0,675,375,851,0,508,635,0,283,103,226,248,170,154,125,86,69,48,0
TX,48,Congressional District 1,"=""4801 """,248,0,248,"614,432",76,"57,745",154,"184,679",0,0,0,242,"1,111,590",0,"4,537",228,0,144,93,154,0,99,129,0,50,21,32,53,31,37,24,0,0,0,0
TX,48,Congressional District 1,"=""4801 """,98,0,98,"232,232",27,"23,519",58,"76,986",0,0,0,93,"420,855",0,"4,270",85,0,38,54,43,0,51,41,0,27,10,17,21,11,9,7,6,8,9,0
TX,48,Congressional District 1,"=""4801 """,35,0,35,"89,012",8,"5,429",21,"31,115",0,0,0,33,"167,814",0,414,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TX,48,Congressional District 1,"=""4801 """,147,0,147,"372,082",48,"39,699",96,"136,020",0,0,0,141,"704,088",0,"2,240",122,0,69,53,94,0,65,75,0,35,0,24,27,0,0,0,0,0,0,0
