"STATE","state_fips","CONGRESSIONAL DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
UT,49,Congressional District 1,"=""4901 """,29,0,29,"59,948",9,"6,816",9,"21,905",0,0,0,29,"108,049",0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,49,Congressional District 1,"=""4901 """,21,0,21,"60,210",3,"2,142",9,"32,521",0,0,0,9,"113,126",0,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,49,Congressional District 1,"=""4901 ""","4,873",57,"4,873","11,821,851","1,792","1,436,389","3,303","4,995,706",268,349,372,"4,796","21,523,011",77,"70,466","4,435",0,"1,605","2,748","1,943",182,"2,579","1,998",0,786,331,618,721,535,525,555,497,436,584,71
UT,49,Congressional District 1,"=""4901 """,0,0,0,"26,579",0,"4,184",0,"9,214",0,0,0,0,"40,161",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,49,Congressional District 1,"=""4901 """,181,0,181,"349,914",70,"65,407",99,"149,711",0,0,0,175,"676,663",0,"8,791",143,0,42,77,102,0,120,49,0,66,0,22,28,0,0,0,0,0,27,0
UT,49,Congressional District 1,"=""4901 """,197,0,197,"428,584",71,"69,029",122,"189,049",0,0,0,188,"783,977",0,"17,348",161,0,54,85,106,0,109,72,0,49,0,24,34,0,24,0,0,0,33,0
UT,49,Congressional District 1,"=""4901 """,267,0,267,"673,811",93,"69,080",165,"257,185",0,0,0,263,"1,289,955",0,"2,004",212,0,96,0,251,0,55,192,0,0,30,42,31,26,40,34,27,22,0,0
UT,49,Congressional District 1,"=""4901 """,28,0,28,"72,141",9,"6,774",9,"22,074",0,0,0,28,"110,537",0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,49,Congressional District 1,"=""4901 """,50,0,50,"133,751",9,"11,302",33,"52,576",0,0,0,47,"201,763",0,"8,925",45,0,21,26,24,0,32,0,0,21,0,0,0,0,0,0,0,0,0,0
UT,49,Congressional District 1,"=""4901 """,37,0,37,"66,249",9,"14,011",26,"45,732",0,0,0,35,"171,413",0,"2,588",26,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,49,Congressional District 1,"=""4901 """,37,0,37,"87,797",9,"8,195",23,"43,055",0,0,0,36,"158,263",0,172,31,0,0,0,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,49,Congressional District 1,"=""4901 """,270,0,270,"584,921",92,"69,885",162,"251,220",0,0,18,250,"1,073,963",21,"25,511",212,0,62,121,145,0,169,85,0,94,24,38,51,26,23,28,32,21,25,0
UT,49,Congressional District 1,"=""4901 ""","1,258",0,"1,258","2,609,900",395,"309,829",747,"1,199,296",44,118,119,"1,213","4,788,104",45,"42,677","1,083",0,277,772,441,45,752,416,0,319,114,184,196,127,117,90,124,127,168,0
UT,49,Congressional District 1,"=""4901 """,56,0,56,"113,594",9,"15,276",30,"42,574",0,0,0,54,"210,893",0,"1,833",43,0,0,0,42,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,49,Congressional District 1,"=""4901 ""","1,032",0,"1,032","2,167,459",310,"271,560",603,"930,892",41,67,98,993,"3,866,527",39,"44,679",898,0,282,620,382,30,601,335,0,280,105,171,190,74,77,98,87,82,135,0
UT,49,Congressional District 1,"=""4901 ""","3,508",52,"3,508","8,242,757","1,249","977,215","2,306","3,367,857",165,258,275,"3,425","14,612,805",82,"87,056","3,142",0,"1,118","1,956","1,410",142,"1,855","1,434",0,614,273,486,532,390,365,362,339,303,416,42
UT,49,Congressional District 1,"=""4901 """,31,0,31,"82,029",9,"7,342",22,"41,461",0,0,0,30,"143,062",0,"1,228",23,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,49,Congressional District 1,"=""4901 """,349,0,349,"703,857",108,"92,435",220,"353,398",0,39,45,337,"1,398,729",0,"14,268",296,0,53,160,178,0,235,94,0,129,25,54,53,32,27,27,36,34,53,0
UT,49,Congressional District 1,"=""4901 """,109,0,109,"246,099",44,"40,924",71,"93,959",0,0,0,105,"471,559",0,"2,852",88,0,38,34,74,0,50,51,0,22,0,0,0,0,0,0,0,0,0,0
UT,49,Congressional District 1,"=""4901 """,40,0,40,"86,908",9,"11,693",26,"35,161",0,0,0,38,"177,171",0,190,34,0,0,0,26,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,49,Congressional District 1,"=""4901 """,61,0,61,"120,473",9,"12,431",38,"58,868",0,0,0,58,"226,033",0,"1,135",50,0,0,21,37,0,39,0,0,24,0,0,0,0,0,0,0,0,0,0
