"STATE","state_fips","CONGRESSIONAL DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
VA,51,Congressional District 1,"=""5101 ""","3,696",129,"3,696","9,235,578","1,207","926,371","2,403","3,232,378",264,218,146,"3,517","15,562,891",179,"183,546","3,135",0,"1,005","1,393","2,244",59,"2,052","1,402",0,"1,014",224,498,686,522,421,391,368,317,263,0
VA,51,Congressional District 1,"=""5101 """,322,10,322,"814,286",104,"77,360",205,"279,604",22,15,11,307,"1,356,895",15,"17,099",267,0,82,120,197,6,180,118,0,89,19,47,63,42,38,31,35,24,21,0
VA,51,Congressional District 1,"=""5101 """,105,4,105,"257,963",33,"24,929",66,"92,491",7,5,4,97,"422,757",8,"8,672",84,0,22,36,68,1,64,35,0,36,7,14,19,15,12,11,10,9,8,0
VA,51,Congressional District 1,"=""5101 """,740,19,740,"1,556,827",163,"123,627",400,"513,775",48,54,50,679,"2,627,920",61,"68,989",595,0,185,416,317,0,410,257,0,240,98,120,169,88,55,66,55,41,42,0
VA,51,Congressional District 1,"=""5101 """,130,0,130,"277,192",38,"32,658",71,"102,552",0,0,0,120,"512,398",0,"14,552",107,0,46,65,64,0,67,49,0,36,0,19,25,0,0,0,16,0,0,0
VA,51,Congressional District 1,"=""5101 """,753,23,753,"1,638,394",205,"151,485",419,"580,083",59,60,61,692,"2,866,301",61,"86,306",619,0,167,387,350,0,483,214,0,279,80,112,122,81,74,67,78,73,63,0
VA,51,Congressional District 1,"=""5101 """,353,8,353,"753,019",84,"67,272",189,"263,537",28,27,20,323,"1,231,426",30,"36,288",278,0,73,166,182,0,222,94,0,134,32,60,70,30,36,33,36,29,27,0
VA,51,Congressional District 1,"=""5101 """,256,0,256,"533,786",64,"51,237",133,"173,794",0,0,0,242,"909,876",0,"14,780",218,0,70,141,111,0,136,91,0,82,35,43,47,27,31,20,0,0,21,0
VA,51,Congressional District 1,"=""5101 """,0,0,0,"25,392",0,"2,626",0,"5,480",0,0,0,0,"33,858",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,51,Congressional District 1,"=""5101 """,693,0,693,"1,518,982",183,"144,521",421,"545,050",71,64,67,662,"2,783,371",31,"31,424",603,0,232,431,246,0,389,249,0,180,73,109,135,65,57,69,68,62,52,0
VA,51,Congressional District 1,"=""5101 """,434,0,434,"1,096,667",237,"167,566",365,"570,085",46,50,48,432,"2,628,330",0,"1,691",426,0,146,285,110,39,159,264,0,64,0,0,0,0,46,79,109,60,84,0
VA,51,Congressional District 1,"=""5101 """,132,4,132,"319,139",39,"28,331",84,"107,430",11,9,4,129,"554,825",3,"4,380",116,0,53,73,56,0,64,58,0,31,13,20,26,17,14,13,14,7,7,0
VA,51,Congressional District 1,"=""5101 ""","1,014",27,"1,014","2,294,380",285,"216,789",590,"809,917",97,83,58,948,"3,972,979",66,"73,013",842,0,289,514,489,11,591,348,0,323,79,156,190,113,106,111,99,77,79,0
VA,51,Congressional District 1,"=""5101 ""","1,188",30,"1,188","2,915,871",347,"258,517",745,"1,027,120",98,81,59,"1,120","4,940,212",68,"82,672",994,0,332,515,657,16,731,383,0,385,83,167,208,160,136,119,122,102,85,6
VA,51,Congressional District 1,"=""5101 ""","2,154",66,"2,154","5,125,806",538,"380,532","1,269","1,534,208",134,101,101,"2,095","8,568,720",59,"63,604","1,887",0,845,"1,316",701,137,"1,046",921,0,379,213,386,486,299,208,213,162,121,64,0
VA,51,Congressional District 1,"=""5101 """,44,0,44,"75,854",9,"11,364",9,"22,635",0,0,0,42,"138,355",0,"2,106",35,0,0,22,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,51,Congressional District 1,"=""5101 """,27,0,27,"60,152",9,"6,364",9,"15,369",0,0,0,22,"93,224",0,"5,624",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,51,Congressional District 1,"=""5101 """,55,0,55,"114,795",9,"8,663",27,"35,082",0,0,0,53,"192,918",0,933,47,0,0,33,0,0,28,22,0,0,0,0,0,0,0,0,0,0,0,0
VA,51,Congressional District 1,"=""5101 ""","1,698",30,"1,698","3,763,174",470,"360,636",964,"1,262,627",115,96,94,"1,626","6,708,844",72,"56,787","1,481",0,606,"1,085",562,51,819,708,0,359,156,286,312,223,173,168,160,121,93,0
VA,51,Congressional District 1,"=""5101 ""","1,296",0,"1,296","2,908,150",378,"294,322",783,"999,434",112,80,80,"1,257","5,322,891",39,"37,712","1,156",0,484,836,408,51,618,563,0,236,119,195,241,143,150,127,130,101,82,0
VA,51,Congressional District 1,"=""5101 ""","1,270",22,"1,270","2,960,663",364,"281,029",761,"1,001,869",92,71,70,"1,225","5,162,824",45,"51,208","1,117",0,433,794,429,47,667,492,0,283,117,185,254,159,130,124,121,94,82,0
VA,51,Congressional District 1,"=""5101 ""","1,205",19,"1,205","2,775,859",360,"287,351",727,"929,347",71,60,71,"1,161","4,855,076",45,"50,846","1,061",0,439,783,373,49,599,505,0,262,116,199,242,149,116,108,98,83,89,0
VA,51,Congressional District 1,"=""5101 """,344,0,344,"841,399",91,"61,643",217,"265,832",0,0,0,331,"1,426,335",0,"12,966",306,0,153,206,103,35,170,143,0,46,38,55,71,50,41,38,0,0,0,0
VA,51,Congressional District 1,"=""5101 """,91,0,91,"217,071",21,"13,815",57,"69,590",0,0,0,89,"324,877",0,708,81,0,35,41,46,0,51,33,0,0,0,22,0,0,0,0,0,0,0,0
VA,51,Congressional District 1,"=""5101 """,226,0,226,"552,590",55,"40,442",132,"164,055",0,0,0,216,"887,064",0,"7,238",189,0,94,96,128,0,123,86,0,68,0,37,54,30,21,21,21,0,0,0
VA,51,Congressional District 1,"=""5101 """,80,0,80,"206,673",24,"16,221",51,"62,323",0,0,0,80,"382,064",0,0,76,0,40,45,33,0,38,35,0,0,0,0,0,0,0,0,0,0,0,0
VA,51,Congressional District 1,"=""5101 """,53,0,53,"132,087",7,"4,975",32,"36,007",0,0,0,49,"205,655",0,"4,881",43,0,23,26,27,0,26,21,0,0,0,0,0,0,0,0,0,0,0,0
VA,51,Congressional District 1,"=""5101 """,59,0,59,"150,864",9,"15,819",33,"37,972",0,0,0,58,"243,748",0,274,53,0,30,35,23,0,24,29,0,0,0,0,0,0,0,0,0,0,0,0
VA,51,Congressional District 1,"=""5101 """,731,0,731,"1,753,190",165,"113,248",425,"554,959",34,0,23,704,"2,810,882",27,"33,524",640,0,300,428,290,0,317,324,0,168,73,158,159,95,60,67,59,32,27,0
VA,51,Congressional District 1,"=""5101 """,85,0,85,"188,253",35,"27,889",65,"102,943",0,0,0,84,"456,727",0,315,82,0,0,63,0,0,29,51,0,0,0,0,0,0,0,0,0,0,0,0
VA,51,Congressional District 1,"=""5101 """,183,0,183,"456,196",44,"31,779",110,"140,264",0,0,0,178,"738,935",0,"3,894",163,0,67,122,61,0,83,86,0,39,0,27,48,21,0,0,0,0,0,0
VA,51,Congressional District 1,"=""5101 """,178,0,178,"446,803",38,"27,231",103,"121,121",0,0,0,173,"712,212",0,"1,430",157,0,83,72,103,0,96,67,0,42,0,34,44,23,0,0,0,0,0,0
VA,51,Congressional District 1,"=""5101 """,254,0,254,"633,025",59,"37,105",150,"202,035",0,0,0,250,"1,037,138",0,"1,500",224,0,114,154,99,0,123,110,0,39,24,48,51,40,28,24,21,0,0,0
VA,51,Congressional District 1,"=""5101 """,40,0,40,"102,493",9,"10,794",21,"25,316",0,0,0,39,"155,141",0,"1,737",37,0,0,0,27,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,51,Congressional District 1,"=""5101 """,434,0,434,"1,049,115",108,"66,845",259,"312,612",0,0,0,411,"1,696,142",23,"19,628",355,0,181,211,218,0,237,165,0,104,40,80,91,72,40,41,35,0,0,0
VA,51,Congressional District 1,"=""5101 """,39,0,39,"99,963",6,"4,211",25,"29,698",0,0,0,38,"155,390",0,115,35,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,51,Congressional District 1,"=""5101 """,34,0,34,"72,388",6,"3,802",9,"18,220",0,0,0,32,"119,480",0,"1,070",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,51,Congressional District 1,"=""5101 """,316,0,316,"827,089",60,"38,145",193,"230,615",0,0,0,309,"1,332,080",0,"3,619",275,0,145,168,137,0,161,132,0,48,27,49,80,52,43,26,0,0,0,0
VA,51,Congressional District 1,"=""5101 ""","1,469",0,"1,469","3,383,315",407,"304,292",878,"1,141,766",102,60,68,"1,423","5,973,183",46,"29,915","1,305",0,589,977,446,46,621,691,0,248,126,243,317,186,160,149,112,88,82,0
VA,51,Congressional District 1,"=""5101 """,155,0,155,"361,735",29,"18,017",91,"117,090",0,0,0,150,"573,099",0,"7,279",117,0,58,89,66,0,73,66,0,32,0,27,42,0,0,0,0,0,0,0
VA,51,Congressional District 1,"=""5101 """,25,0,25,"58,711",9,"10,453",9,"16,043",0,0,0,23,"100,220",0,680,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,51,Congressional District 1,"=""5101 """,352,0,352,"928,345",77,"49,391",212,"254,694",0,0,0,337,"1,458,278",0,"8,954",315,0,184,186,159,0,175,148,0,76,26,58,83,64,44,36,23,0,0,0
VA,51,Congressional District 1,"=""5101 """,24,0,24,"75,613",3,"2,035",9,"25,454",0,0,0,23,"123,372",0,439,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,51,Congressional District 1,"=""5101 """,23,0,23,"60,504",7,"4,992",9,"13,908",0,0,0,23,"90,919",0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,51,Congressional District 1,"=""5101 """,89,0,89,"224,286",26,"16,106",63,"78,867",0,0,0,86,"381,984",0,831,77,0,41,40,49,0,49,37,0,0,0,0,0,0,0,0,0,0,0,0
VA,51,Congressional District 1,"=""5101 """,221,0,221,"506,774",55,"41,847",119,"160,426",0,0,0,211,"879,584",0,"8,947",196,0,87,132,65,24,103,98,0,38,0,41,44,32,0,21,26,0,0,0
VA,51,Congressional District 1,"=""5101 """,29,0,29,"69,405",5,"3,418",9,"21,195",0,0,0,28,"108,831",0,655,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,51,Congressional District 1,"=""5101 """,501,0,501,"1,175,085",115,"84,402",291,"360,660",0,0,0,490,"1,935,543",0,"11,112",432,0,204,256,241,0,244,198,0,97,49,74,133,72,57,36,30,29,21,0
VA,51,Congressional District 1,"=""5101 """,24,0,24,"41,737",9,"6,595",9,"11,361",0,0,0,22,"79,844",0,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,51,Congressional District 1,"=""5101 """,69,0,69,"169,977",9,"13,145",42,"49,216",0,0,0,67,"268,077",0,512,62,0,25,48,0,0,35,26,0,0,0,0,0,0,0,0,0,0,0,0
VA,51,Congressional District 1,"=""5101 """,31,0,31,"74,352",7,"4,714",9,"23,675",0,0,0,31,"136,775",0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,51,Congressional District 1,"=""5101 """,138,0,138,"310,299",22,"14,893",75,"96,263",0,0,0,128,"465,716",0,"5,447",109,0,50,61,72,0,79,51,0,34,0,26,26,24,0,0,0,0,0,0
VA,51,Congressional District 1,"=""5101 ""","1,386",0,"1,386","3,206,773",462,"371,396",841,"1,063,091",101,77,75,"1,363","5,909,001",22,"15,642","1,258",0,609,891,436,59,682,610,0,211,96,211,266,158,128,158,141,126,97,0
VA,51,Congressional District 1,"=""5101 ""","2,691",37,"2,691","6,364,159",823,"629,447","1,707","2,353,556",236,218,193,"2,601","11,642,836",89,"93,246","2,397",0,964,"1,658",941,92,"1,438","1,058",0,664,213,383,460,351,266,278,267,214,246,0
VA,51,Congressional District 1,"=""5101 """,45,0,45,"93,302",9,"6,218",21,"24,323",0,0,0,45,"154,354",0,0,40,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,51,Congressional District 1,"=""5101 ""","1,529",0,"1,529","3,615,049",484,"361,604",977,"1,288,372",118,93,99,"1,475","6,486,799",54,"52,372","1,334",0,509,927,560,42,781,626,0,366,130,237,280,173,165,154,138,119,121,0
VA,51,Congressional District 1,"=""5101 """,747,0,747,"1,916,325",192,"140,761",467,"568,758",44,35,24,733,"3,216,159",0,"16,719",678,0,326,473,270,0,360,332,0,116,61,106,174,119,79,82,63,41,22,0
VA,51,Congressional District 1,"=""5101 """,547,0,547,"1,375,773",165,"107,097",336,"442,165",39,27,0,527,"2,345,194",0,"8,838",473,0,235,304,240,0,255,249,0,113,40,80,101,82,62,63,54,37,28,0
VA,51,Congressional District 1,"=""5101 """,137,0,137,"349,316",37,"27,856",83,"96,130",0,0,0,129,"550,501",0,"4,449",117,0,60,80,53,0,63,67,0,26,0,0,38,22,0,0,0,0,0,0
VA,51,Congressional District 1,"=""5101 """,181,0,181,"409,868",47,"30,167",103,"121,899",0,0,0,169,"661,485",0,"11,612",138,0,67,107,66,0,105,61,0,49,0,32,30,33,0,0,0,0,0,0
VA,51,Congressional District 1,"=""5101 """,31,0,31,"67,505",4,"2,470",9,"17,871",0,0,0,30,"110,641",0,"1,984",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
