"STATE","state_fips","CONGRESSIONAL DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
WA,53,Congressional District 1,"=""5301 """,67,0,67,"98,376",12,"8,454",21,"24,916",0,3,7,59,"165,685",8,"5,297",48,0,10,42,22,3,36,21,0,22,13,16,17,5,4,3,5,3,0,0
WA,53,Congressional District 1,"=""5301 """,793,0,793,"1,317,645",194,"159,903",328,"372,481",51,50,74,737,"2,329,989",56,"51,361",630,0,156,513,243,37,374,312,0,196,127,152,158,66,66,54,67,50,52,0
WA,53,Congressional District 1,"=""5301 ""","1,493",35,"1,493","2,790,426",443,"368,890",738,"963,520",93,102,124,"1,401","5,152,919",91,"104,940","1,211",0,318,924,521,48,729,587,0,384,182,234,275,147,122,134,147,112,133,0
WA,53,Congressional District 1,"=""5301 """,236,0,236,"425,641",64,"48,955",111,"130,399",0,0,0,219,"761,948",0,"7,219",187,0,40,144,89,0,124,85,0,76,43,34,54,24,0,0,0,0,0,0
WA,53,Congressional District 1,"=""5301 """,330,0,330,"547,576",96,"71,337",140,"153,418",0,0,0,303,"1,007,671",27,"25,659",238,0,63,215,111,0,159,123,0,91,56,55,50,31,27,32,33,0,26,0
WA,53,Congressional District 1,"=""5301 """,649,0,649,"1,104,245",198,"164,054",282,"359,739",39,45,59,602,"1,998,594",47,"51,290",522,0,132,415,214,20,321,253,0,177,84,107,131,53,47,56,63,60,49,0
WA,53,Congressional District 1,"=""5301 """,32,0,32,"47,612",8,"5,734",11,"13,664",0,0,0,29,"83,486",0,"3,017",23,0,8,20,12,0,17,9,0,9,6,6,6,0,0,0,0,0,0,0
WA,53,Congressional District 1,"=""5301 """,723,0,723,"1,185,235",158,"125,853",269,"332,861",38,30,65,657,"2,022,952",66,"59,789",531,0,114,461,219,43,350,264,0,209,129,151,132,57,58,55,56,54,30,0
WA,53,Congressional District 1,"=""5301 """,770,21,770,"1,104,628",143,"116,506",258,"322,077",25,54,56,699,"1,936,211",70,"60,035",569,0,136,491,241,38,406,231,0,238,147,160,169,64,43,49,51,55,30,0
WA,53,Congressional District 1,"=""5301 ""","1,846",57,"1,846","3,145,556",451,"368,503",776,"949,283",101,97,168,"1,713","5,601,788",133,"157,510","1,417",0,358,"1,140",617,89,890,714,0,461,275,343,399,146,133,166,169,121,89,0
WA,53,Congressional District 1,"=""5301 """,0,0,0,"30,018",0,"2,323",0,"5,176",0,0,0,0,"48,716",0,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WA,53,Congressional District 1,"=""5301 """,34,0,34,"42,060",5,"3,212",7,"8,412",0,0,0,31,"69,619",0,"1,752",24,0,0,21,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
WA,53,Congressional District 1,"=""5301 """,64,0,64,"108,769",18,"15,290",26,"32,846",0,0,4,61,"208,974",0,"2,092",54,0,16,43,19,0,25,29,0,12,9,12,14,4,4,6,5,5,4,0
WA,53,Congressional District 1,"=""5301 ""","1,415",55,"1,415","2,347,010",267,"212,784",520,"643,288",49,79,89,"1,321","3,947,506",93,"104,259","1,078",0,234,832,489,94,673,533,0,333,247,308,307,112,94,100,102,101,42,0
WA,53,Congressional District 1,"=""5301 """,263,0,263,"334,414",44,"35,166",87,"96,024",0,0,21,237,"651,741",26,"26,463",198,0,37,185,72,0,136,79,0,70,45,60,55,0,0,0,0,0,0,0
WA,53,Congressional District 1,"=""5301 """,26,0,26,"46,366",9,"7,700",12,"14,091",0,0,2,25,"88,061",0,"1,177",20,0,7,15,10,0,14,10,0,6,3,5,4,2,2,3,3,2,2,0
WA,53,Congressional District 1,"=""5301 """,635,0,635,"985,483",147,"120,824",230,"289,129",31,37,65,577,"1,835,197",58,"62,924",484,0,123,426,185,24,299,250,0,177,112,112,118,60,51,41,56,46,37,0
WA,53,Congressional District 1,"=""5301 """,27,0,27,"27,438",9,"5,976",6,"7,289",0,0,0,23,"65,006",0,"1,351",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WA,53,Congressional District 1,"=""5301 """,6,0,6,"9,065",1,991,2,"2,193",0,0,0,5,"15,887",1,367,4,0,1,4,2,0,3,2,0,2,1,1,1,0,0,0,0,0,0,0
WA,53,Congressional District 1,"=""5301 """,213,0,213,"302,117",30,"27,345",69,"85,385",0,0,24,196,"535,526",0,"106,977",169,0,32,157,54,0,104,66,0,67,34,57,51,0,0,0,0,0,0,0
WA,53,Congressional District 1,"=""5301 """,61,0,61,"99,364",9,"10,515",23,"30,677",0,0,0,57,"168,471",0,759,44,0,0,38,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
WA,53,Congressional District 1,"=""5301 """,31,0,31,"51,088",3,"2,002",8,"9,591",0,0,0,27,"65,212",0,"1,881",0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WA,53,Congressional District 1,"=""5301 ""","1,003",28,"1,003","2,099,960",312,"251,197",560,"706,046",61,57,66,959,"3,767,003",45,"48,895",828,0,281,558,406,39,464,439,0,209,103,153,189,109,98,90,100,81,75,0
WA,53,Congressional District 1,"=""5301 """,48,0,48,"62,060",9,"10,298",9,"15,192",0,0,0,46,"113,307",0,"5,169",35,0,0,32,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
WA,53,Congressional District 1,"=""5301 """,865,14,865,"1,778,931",278,"237,316",459,"607,472",53,36,46,833,"3,364,381",31,"26,728",750,0,274,529,309,26,378,392,0,149,88,114,170,92,84,88,83,75,66,0
WA,53,Congressional District 1,"=""5301 """,197,3,197,"286,311",42,"31,968",70,"79,617",9,12,17,186,"511,486",11,"10,511",158,0,44,141,46,11,84,77,0,40,30,48,47,13,16,14,13,10,8,0
WA,53,Congressional District 1,"=""5301 ""","1,073",29,"1,073","2,095,894",316,"252,615",541,"668,124",57,51,65,"1,026","3,757,249",47,"53,572",873,0,281,684,336,53,482,468,0,212,131,183,191,113,96,100,98,82,78,0
WA,53,Congressional District 1,"=""5301 """,950,0,950,"2,081,448",292,"225,435",521,"699,210",43,41,47,909,"3,615,287",41,"36,956",786,0,254,662,267,21,402,446,0,189,102,142,172,111,109,84,95,80,49,0
WA,53,Congressional District 1,"=""5301 """,39,0,39,"72,159",8,"5,487",9,"22,436",0,0,0,37,"123,719",0,"3,664",32,0,0,28,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
WA,53,Congressional District 1,"=""5301 """,63,2,63,"145,207",21,"16,170",38,"47,699",3,2,2,62,"259,866",2,"1,666",53,0,19,36,26,1,29,29,0,10,6,10,12,7,7,6,6,5,4,0
WA,53,Congressional District 1,"=""5301 """,48,0,48,"113,378",9,"7,674",26,"33,582",0,0,0,44,"184,601",0,"1,326",36,0,0,32,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
WA,53,Congressional District 1,"=""5301 """,259,0,259,"571,681",74,"61,604",151,"185,852",0,0,0,249,"1,014,072",0,"9,911",228,0,100,159,94,0,98,135,0,33,34,45,36,44,24,0,27,0,0,0
WA,53,Congressional District 1,"=""5301 """,197,0,197,"394,928",66,"56,325",101,"129,503",0,0,0,187,"699,355",0,"8,626",163,0,48,129,62,0,94,82,0,48,27,31,28,23,22,0,0,23,0,0
