"STATE","state_fips","CONGRESSIONAL DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
WY,56,Congressional District (at Large),"=""5600 ""","2,918",0,"2,918","6,114,342","1,041","803,203","1,682","2,179,765",262,127,222,"2,846","12,274,376",72,"94,387","2,577",0,"1,033","1,892",891,135,"1,150","1,435",0,368,313,418,463,295,287,360,303,237,224,0
WY,56,Congressional District (at Large),"=""5600 """,173,0,173,"298,590",36,"27,779",69,"81,832",0,0,0,162,"509,666",0,"5,354",132,0,38,106,51,0,86,62,0,38,38,33,30,0,0,0,0,0,0,0
WY,56,Congressional District (at Large),"=""5600 """,0,0,0,"7,328",0,0,0,"2,000",0,0,0,0,"19,294",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,56,Congressional District (at Large),"=""5600 ""","2,065",29,"2,065","4,607,058",649,"502,028","1,211","1,541,488",125,74,115,"2,032","8,533,202",33,"32,630","1,783",0,820,"1,222",722,121,863,976,0,231,221,334,383,248,201,219,191,135,127,0
WY,56,Congressional District (at Large),"=""5600 ""","1,328",0,"1,328","2,625,420",393,"320,914",719,"902,630",111,69,112,"1,293","5,061,597",35,"31,115","1,176",0,459,854,430,44,587,583,0,224,154,228,240,141,112,113,135,104,90,0
WY,56,Congressional District (at Large),"=""5600 """,24,0,24,"61,199",9,"6,872",9,"28,769",0,0,0,22,"118,726",0,156,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,56,Congressional District (at Large),"=""5600 """,90,0,90,"180,363",29,"27,940",43,"67,713",0,0,0,85,"379,080",0,"5,877",74,0,28,57,32,0,42,45,0,0,0,0,0,0,0,0,0,0,0,0
WY,56,Congressional District (at Large),"=""5600 """,45,0,45,"95,721",9,"9,152",23,"33,952",0,0,0,41,"156,083",0,"5,202",36,0,0,29,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,56,Congressional District (at Large),"=""5600 """,28,0,28,"45,594",3,"2,034",9,"15,656",0,0,0,26,"65,613",0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,56,Congressional District (at Large),"=""5600 """,21,0,21,"34,336",6,"4,126",9,"13,298",0,0,0,21,"74,106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,56,Congressional District (at Large),"=""5600 """,986,0,986,"1,696,078",201,"163,976",437,"575,103",71,75,111,942,"3,150,296",44,"27,950",823,0,224,613,278,95,559,336,0,211,154,203,215,96,79,70,58,44,63,0
WY,56,Congressional District (at Large),"=""5600 """,916,0,916,"1,503,319",170,"135,310",378,"465,873",48,77,94,893,"2,820,073",23,"10,812",790,0,212,592,253,71,450,371,0,125,144,218,210,89,58,50,55,47,44,0
WY,56,Congressional District (at Large),"=""5600 """,87,0,87,"165,959",9,"12,243",37,"53,838",0,0,0,83,"294,442",0,"3,420",69,0,0,50,24,0,49,34,0,25,0,0,0,0,0,0,0,0,0,0
WY,56,Congressional District (at Large),"=""5600 """,99,0,99,"227,856",38,"28,217",60,"80,072",0,0,0,95,"428,704",0,"3,925",83,0,38,57,40,0,33,58,0,0,0,0,0,0,0,0,0,0,0,0
WY,56,Congressional District (at Large),"=""5600 """,21,0,21,"51,464",6,"4,128",9,"19,640",0,0,0,9,"80,421",0,"6,924",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,56,Congressional District (at Large),"=""5600 """,0,0,0,"8,981",0,"4,617",0,"4,383",0,0,0,0,"31,463",0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
