"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
AR,05,Arkansas,"=""001""","2,071",21,"2,071","5,216,687",624,"477,953","1,287","1,563,442",80,31,37,"2,012","8,752,570",23,"42,300","1,741",0,"1,083",902,"1,076",0,979,911,0,307,159,265,380,249,198,200,151,156,75,0
AR,05,Ashley,"=""003""","2,366",0,"2,366","6,561,924",539,"413,831","1,535","1,856,735",37,40,67,"2,328","10,106,040",23,"24,464","2,109",0,"1,496",658,"1,669",0,873,"1,316",0,410,158,400,436,336,209,144,122,110,97,0
AR,05,Baxter,"=""005""","3,468",25,"3,468","7,821,000",690,"525,214","1,891","2,444,997",104,105,125,"3,288","13,026,568",106,"115,781","2,900",0,"1,386","1,338","1,979",79,"1,825","1,253",0,799,329,594,661,396,253,210,181,175,137,0
AR,05,Benton,"=""007""","18,474",247,"18,474","47,281,501","5,965","4,574,315","12,137","16,642,873",908,685,701,"17,774","79,485,963",636,"688,788","15,797",0,"7,595","6,616","11,297",448,"10,808","6,588",0,"4,199","1,217","2,484","3,290","2,454","2,290","2,002","1,601","1,301","1,348",24
AR,05,Boone,"=""009""","3,575",0,"3,575","8,703,650",971,"728,077","2,155","2,870,738",129,64,107,"3,425","14,852,855",95,"121,933","3,042",0,"1,534","1,356","2,080",72,"2,169","1,150",0,910,281,533,666,476,317,330,212,179,208,0
AR,05,Bradley,"=""011""","1,351",0,"1,351","3,739,985",315,"213,841",880,"1,120,264",35,33,27,"1,329","5,906,774",0,"11,713","1,144",0,623,558,791,0,449,783,0,179,78,219,255,240,188,106,62,57,27,0
AR,05,Calhoun,"=""013""",388,0,388,"1,000,900",109,"91,113",235,"285,315",0,0,0,381,"1,717,180",0,"5,557",327,0,232,131,240,0,153,179,0,40,0,41,59,42,28,28,31,23,21,0
AR,05,Carroll,"=""015""","2,893",22,"2,893","7,204,575",774,"561,469","1,746","2,340,234",42,54,46,"2,734","11,861,788",155,"143,886","2,337",0,"1,277",849,"1,963",28,"1,779",894,0,803,270,447,584,345,337,320,193,108,112,0
AR,05,Chicot,"=""017""","1,595",0,"1,595","4,717,672",380,"250,270","1,061","1,302,383",0,34,0,"1,578","7,163,734",0,"14,625","1,417",0,821,929,654,0,626,880,0,270,109,264,368,300,196,139,94,61,25,0
AR,05,Clark,"=""019""","2,189",0,"2,189","5,649,977",524,"387,916","1,392","1,652,855",90,53,46,"2,122","8,974,469",35,"53,979","1,906",0,"1,163",778,"1,347",54,950,"1,077",0,408,187,356,447,354,249,192,127,100,77,0
