"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
AZ,04,Apache,"=""001""","9,503",115,"9,503","25,248,964","2,529","1,932,367","6,303","8,373,430",158,167,117,"9,415","42,282,773",1,"50,717","8,661",0,"3,338","2,895","6,152",248,"6,434","2,575",0,"1,687",733,"1,587","1,656","1,110",967,825,586,394,339,0
AZ,04,Cochise,"=""003""","12,464",203,"12,464","33,714,072","3,040","2,230,149","8,055","11,061,034",328,361,465,"12,090","53,110,488",280,"240,428","10,681",0,"4,281","7,074","4,199","1,070","6,291","5,264",0,"2,539",866,"1,919","2,786","1,772","1,234",980,848,630,572,0
AZ,04,Coconino,"=""005""","11,551",146,"11,551","26,172,324","3,133","2,389,825","6,611","8,565,995",398,395,603,"11,205","44,082,921",245,"236,273","10,032",0,"5,494","4,468","6,259",616,"5,794","4,565",0,"1,994","1,089","1,983","2,339","1,364","1,128","1,007",889,613,462,0
AZ,04,Gila,"=""007""","4,411",41,"4,411","11,377,494","1,048","751,714","2,763","3,782,633",63,64,80,"4,269","18,038,235",73,"93,013","3,721",0,"2,204","1,628","2,425",227,"2,805","1,287",0,921,392,720,869,558,411,312,238,176,132,0
AZ,04,Graham,"=""009""","3,342",46,"3,342","9,067,719",941,"707,266","2,281","3,157,316",48,75,61,"3,296","14,678,116",23,"32,372","2,882",0,"1,522","1,363","1,790",98,"1,719","1,384",0,540,310,525,568,426,346,280,268,191,203,0
AZ,04,Greenlee,"=""011""",495,0,495,"1,097,841",176,"150,004",285,"356,926",0,0,0,485,"1,968,857",0,"13,379",410,0,202,248,241,0,171,285,0,0,0,90,78,23,0,28,0,23,0,0
AZ,04,La Paz,"=""012""","1,766",21,"1,766","4,546,913",473,"353,301","1,109","1,508,329",54,44,29,"1,718","7,372,189",24,"27,323","1,518",0,507,887,702,131,916,671,0,229,101,234,309,242,174,134,105,80,59,0
AZ,04,Maricopa,"=""013""","321,488","10,060","321,488","826,680,922","95,813","71,663,735","205,415","281,480,097","18,393","16,350","16,474","309,373","1,321,041,979","11,637","11,381,570","273,950",655,"127,777","150,230","163,467","6,713","178,291","122,620",0,"73,984","23,495","45,935","63,042","43,950","36,941","34,319","29,840","21,948","17,265",393
AZ,04,Mohave,"=""015""","17,728",194,"17,728","42,925,441","4,091","2,906,418","10,247","13,780,060",746,389,585,"17,066","68,622,024",522,"553,603","15,087",0,"7,193","8,340","9,045",149,"8,918","6,983",0,"3,448","1,599","2,906","3,891","2,501","1,815","1,521","1,149",788,707,0
AZ,04,Navajo,"=""017""","12,274",159,"12,274","32,269,129","3,092","2,285,364","7,949","10,952,317",141,178,255,"12,043","52,669,658",119,"180,310","10,759",0,"6,697","4,437","7,296",331,"6,538","4,761",0,"2,231","1,251","2,120","2,253","1,506","1,338","1,071",816,585,502,0
AZ,04,Pima,"=""019""","89,220","2,163","89,220","229,322,361","23,357","16,854,286","55,369","74,217,824","4,682","3,764","4,450","86,259","360,783,171","2,766","2,360,206","77,892",51,"34,158","47,758","37,032","4,083","45,855","36,608",0,"18,423","6,989","13,697","18,613","12,826","10,359","8,842","7,238","5,087","3,999",23
AZ,04,Pinal,"=""021""","28,077",487,"28,077","72,168,720","9,071","7,147,354","18,691","26,710,267","1,290","1,176","1,418","27,280","119,895,744",708,"692,187","24,658",144,"11,578","15,089","12,318",481,"13,881","12,393",0,"5,445","1,943","3,705","5,032","3,566","3,114","2,935","2,590","2,179","2,024",108
AZ,04,Santa Cruz,"=""023""","7,635",244,"7,635","23,682,285","1,620","1,130,250","5,270","7,194,682",194,283,189,"7,342","33,472,134",237,"261,206","6,505",0,"1,959","3,504","3,700",389,"5,242","2,095",0,"2,191",352,"1,097","1,787","1,324",889,730,507,335,306,0
AZ,04,Yavapai,"=""025""","16,204",139,"16,204","35,514,595","4,115","3,055,797","8,552","11,591,276",521,388,592,"15,221","56,445,832",793,"755,682","12,923",0,"5,149","7,615","7,081","1,222","9,160","5,552",0,"4,174","1,646","2,682","3,277","1,943","1,518","1,412","1,169",735,693,0
AZ,04,Yuma,"=""027""","29,526",769,"29,526","83,657,082","7,654","5,165,104","20,790","26,812,124","1,015",952,541,"28,962","126,533,497",534,"463,758","22,748",0,"8,699","12,463","16,170",813,"16,816","11,350",0,"4,255","1,427","4,200","6,328","5,089","3,603","2,900","2,364","1,712","1,534",36
