"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
CA,06,Alameda,"=""001""","94,074","4,174","94,074","195,120,341","22,192","17,183,311","45,723","56,398,692","3,535","4,669","3,851","85,935","309,504,973","8,061","7,312,576","64,154",65,"22,637","35,986","52,305","5,448","53,729","31,580",0,"27,777","10,324","18,130","20,890","10,917","8,287","7,686","7,121","5,514","4,173",0
CA,06,Alpine,"=""003""",78,0,78,"150,974",10,"10,916",39,"41,461",0,0,0,74,"226,706",1,"1,762",64,0,38,39,38,0,31,33,0,2,1,1,2,1,0,0,0,0,0,0
CA,06,Amador,"=""005""","2,052",0,"2,052","4,202,413",554,"435,325","1,061","1,357,157",61,0,0,"1,908","6,962,938",77,"123,312","1,533",0,580,"1,054",867,34,984,792,0,491,219,346,341,226,123,139,157,65,89,0
CA,06,Butte,"=""007""","17,535",339,"17,535","38,612,863","4,400","3,344,802","9,435","11,864,210",566,459,790,"16,652","61,405,316",824,"794,888","13,783",0,"5,937","8,274","8,773",363,"7,756","7,637",0,"3,461","1,925","3,165","3,557","2,066","1,685","1,528","1,249",939,859,0
CA,06,Calaveras,"=""009""","2,639",0,"2,639","5,476,187",631,"506,604","1,306","1,727,303",26,29,61,"2,431","8,792,011",88,"175,362","1,967",0,766,"1,319","1,144",0,"1,286",945,0,670,222,405,454,197,137,89,114,86,59,0
CA,06,Colusa,"=""011""","1,922",0,"1,922","4,671,633",744,"602,028","1,255","1,672,831",33,0,46,"1,862","7,821,023",25,"76,334","1,308",0,369,527,"1,323",0,715,"1,053",0,254,66,215,283,241,190,211,194,121,188,0
CA,06,Contra Costa,"=""013""","57,269","1,983","57,269","124,032,413","15,001","11,525,294","30,298","37,896,759","2,628","2,808","2,195","53,208","199,930,988","3,997","3,995,235","41,715",0,"14,830","24,124","30,479","2,449","31,970","20,240",0,"15,887","5,886","10,011","11,944","6,676","5,234","5,046","4,629","3,839","2,952",32
CA,06,Del Norte,"=""015""","2,181",39,"2,181","5,148,701",570,"432,970","1,273","1,636,168",54,32,71,"2,090","8,347,419",78,"82,987","1,745",0,839,"1,199",901,30,915,"1,019",0,343,201,382,389,286,176,189,121,111,91,0
CA,06,El Dorado,"=""017""","9,245",46,"9,245","17,533,770","2,220","1,719,257","4,300","5,432,970",348,279,285,"8,490","28,510,074",634,"687,947","6,889",0,"2,451","4,469","4,326",201,"4,799","3,118",0,"2,645","1,127","1,683","1,954",908,656,664,521,455,432,0
CA,06,Fresno,"=""019""","107,788","3,697","107,788","297,429,658","30,406","21,581,331","72,330","94,568,393","3,710","4,126","3,192","104,585","451,753,375","2,992","3,387,338","83,483",22,"35,085","44,881","60,374","2,179","55,633","45,415",0,"20,546","6,746","16,279","23,011","16,549","12,251","10,530","8,976","6,321","5,247",111
CA,06,Glenn,"=""021""","2,644",56,"2,644","6,317,577",818,"608,671","1,574","2,144,887",63,38,39,"2,524","10,316,375",101,"130,688","1,880",0,746,837,"1,736",0,"1,274","1,078",0,454,211,353,453,341,283,254,258,183,173,0
CA,06,Humboldt,"=""023""","10,595",136,"10,595","20,867,144","2,537","1,925,828","5,216","6,461,822",381,277,484,"9,646","32,388,171",794,"929,142","7,731",0,"2,515","5,385","4,724",221,"5,014","3,997",0,"2,839","1,212","2,086","2,116",931,738,733,634,452,357,0
CA,06,Imperial,"=""025""","30,885","1,047","30,885","85,346,763","6,976","4,605,249","19,921","24,933,344",586,787,353,"30,036","121,454,366",785,"651,945","23,788",0,"9,737","9,093","21,275",425,"18,031","10,906",0,"5,970","1,870","5,298","7,457","5,072","3,530","2,637","2,012","1,373","1,279",27
CA,06,Inyo,"=""027""","1,199",0,"1,199","2,417,475",370,"297,216",603,"748,570",42,20,26,"1,139","4,102,648",41,"43,276",909,0,382,532,538,50,661,375,0,229,91,148,230,112,99,87,69,47,41,0
CA,06,Kern,"=""029""","86,622","3,067","86,622","241,052,102","25,072","17,795,459","59,345","77,808,250","3,432","3,262","2,123","83,686","361,189,306","2,747","3,087,283","68,855",0,"34,461","26,301","57,901","2,034","46,297","35,400",0,"18,624","4,892","12,678","18,882","13,356","9,559","8,011","7,100","5,360","4,708",104
