"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
CO,08,Adams,"=""001""","38,543","1,017","38,543","93,194,529","13,414","10,563,527","24,139","32,209,947","1,957","1,517","2,188","37,095","157,206,653","1,390","1,630,213","32,393",0,"14,143","17,231","19,662","1,456","20,183","15,589",0,"8,178","2,821","5,459","6,993","4,653","4,272","4,283","3,951","2,992","2,498",50
CO,08,Alamosa,"=""003""","1,666",23,"1,666","3,761,565",448,"361,429",933,"1,194,018",62,58,97,"1,604","6,327,434",57,"47,163","1,417",0,675,650,822,169,712,770,0,280,204,274,322,185,169,141,128,87,101,0
CO,08,Arapahoe,"=""005""","41,326","1,050","41,326","93,329,620","12,709","9,871,401","23,896","31,417,002","2,592","2,289","2,692","39,281","156,535,659","1,972","2,053,587","34,189",0,"14,343","20,102","19,955","1,086","21,969","15,878",0,"10,412","3,624","6,250","7,892","4,824","4,178","4,176","4,104","3,056","2,467",29
CO,08,Archuleta,"=""007""","1,021",0,"1,021","2,245,700",224,"156,638",530,"703,573",44,0,50,945,"3,368,405",71,"63,766",821,0,308,457,549,0,584,320,0,410,136,191,218,139,97,78,67,43,47,0
CO,08,Baca,"=""009""",267,0,267,"590,158",52,"44,992",137,"197,205",0,0,0,232,"923,223",0,"43,248",169,0,59,113,129,0,139,84,0,91,0,32,35,22,0,0,0,0,0,0
CO,08,Bent,"=""011""",392,0,392,"983,256",106,"86,645",226,"318,165",0,0,0,383,"1,619,471",0,"5,304",302,0,155,189,159,0,160,169,0,61,37,57,47,49,44,39,24,0,0,0
CO,08,Boulder,"=""013""","14,481",196,"14,481","25,444,763","3,387","2,599,973","6,234","7,918,930",643,644,"1,364","13,182","42,043,623","1,254","1,157,410","10,968",0,"3,707","8,009","5,859",562,"8,153","4,605",0,"4,402","2,131","2,889","3,070","1,296","1,121","1,078",981,727,632,0
CO,08,Broomfield,"=""014""","2,300",30,"2,300","4,170,573",664,"547,303","1,068","1,351,588",119,129,222,"2,144","7,500,165",155,"133,598","1,845",0,649,"1,358",866,73,"1,241",820,0,577,277,418,423,206,188,192,197,153,158,0
CO,08,Chaffee,"=""015""","1,148",0,"1,148","2,101,576",287,"230,133",515,"625,317",27,0,83,"1,042","3,406,756",91,"95,572",844,0,290,586,431,85,600,381,0,379,140,211,201,114,85,70,66,60,71,0
CO,08,Cheyenne,"=""017""",105,0,105,"212,120",43,"30,980",52,"88,597",0,0,0,93,"395,714",0,"20,200",56,0,0,24,51,0,80,0,0,39,0,0,0,0,0,0,0,0,0,0
CO,08,Clear Creek,"=""019""",481,0,481,"816,353",92,"72,249",198,"241,645",0,4,11,444,"1,402,973",11,"24,853",368,0,130,274,191,0,213,126,0,84,49,61,106,31,5,5,5,5,4,0
CO,08,Conejos,"=""021""",773,0,773,"1,925,860",208,"153,716",456,"659,165",0,0,0,735,"3,091,041",0,"32,818",596,0,243,285,400,0,341,333,0,215,56,87,114,59,52,46,21,0,0,0
CO,08,Costilla,"=""023""",376,0,376,"838,399",89,"71,794",200,"252,827",0,0,0,348,"1,346,833",0,"15,968",284,0,150,188,172,0,176,156,0,101,21,64,23,0,22,0,0,0,0,0
CO,08,Crowley,"=""025""",295,0,295,"711,040",71,"59,417",167,"243,694",0,0,0,268,"1,171,127",0,"11,775",224,0,81,112,119,0,117,108,0,68,25,27,0,22,24,0,0,0,0,0
CO,08,Custer,"=""027""",223,0,223,"520,013",31,"23,516",113,"163,987",0,0,0,192,"698,028",31,"22,680",150,0,67,97,120,0,157,52,0,109,33,39,51,36,22,0,0,0,0,0
CO,08,Delta,"=""029""","2,202",0,"2,202","5,004,061",507,"408,116","1,221","1,661,389",26,22,72,"2,061","8,059,873",99,"127,854","1,761",0,686,"1,036","1,108",50,"1,194",807,0,683,232,367,417,240,181,136,105,70,119,0
CO,08,Denver,"=""031""","52,170","1,541","52,170","116,751,147","13,681","10,258,542","28,955","38,242,881","2,099","2,231","3,041","49,373","188,517,349","2,753","2,419,058","42,169",0,"18,376","22,988","26,770","2,339","28,162","19,266",0,"12,986","5,732","9,553","11,395","6,212","4,901","4,615","4,126","2,894","2,176",25
CO,08,Dolores,"=""033""",116,0,116,"247,470",26,"22,384",62,"88,526",0,0,0,106,"453,376",0,"13,079",83,0,42,55,60,0,70,39,0,43,0,22,0,0,0,0,0,0,0,0
CO,08,Douglas,"=""035""","7,860",0,"7,860","14,820,593","2,298","1,886,566","3,852","4,938,179",520,511,787,"7,285","25,783,129",506,"628,140","6,267",0,"2,083","4,892","2,842",31,"4,820","2,385",0,"2,587",838,"1,217","1,499",695,645,634,723,689,582,0
CO,08,Eagle,"=""037""","2,482",38,"2,482","5,032,040",794,"644,929","1,315","1,764,899",40,0,39,"2,334","8,934,002",68,"168,571","1,937",0,563,"1,085","1,382",0,"1,321",896,0,698,208,361,523,230,227,224,191,176,143,0
