"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
FL,12,Alachua,"=""001""","21,542",203,"21,542","50,854,980","4,552","3,230,840","11,988","15,515,726","1,638","1,267","1,111","20,898","85,647,588",566,"513,759","19,162",51,"7,863","13,610","7,311",493,"9,848","9,505",0,"4,838","2,173","3,778","4,869","2,935","2,174","1,765","1,493","1,002",699,0
FL,12,Baker,"=""003""","2,617",0,"2,617","6,711,938",816,"635,814","1,684","2,238,244",156,68,38,"2,582","12,134,281",24,"25,278","2,340",0,979,"1,790",784,29,"1,046","1,316",0,475,259,362,456,368,289,271,267,178,136,0
FL,12,Bay,"=""005""","19,352",233,"19,352","46,530,406","4,967","3,571,220","11,391","14,325,591","1,240",539,536,"18,824","78,601,173",486,"403,482","17,215",52,"8,102","10,682","7,546",998,"9,628","7,899",0,"3,889","1,801","3,321","4,306","2,625","1,953","1,714","1,355","1,090",854,0
FL,12,Bradford,"=""007""","2,485",28,"2,485","6,504,368",720,"510,153","1,574","2,036,739",118,59,45,"2,456","11,415,390",0,"21,033","2,260",0,984,"1,511",925,0,924,"1,321",0,427,183,378,503,372,240,213,204,130,87,0
FL,12,Brevard,"=""009""","49,195",439,"49,195","115,317,821","10,636","7,728,642","26,972","34,364,816","2,926","2,413","2,417","47,302","193,201,069","1,826","1,532,863","42,487",115,"17,647","28,259","19,796",777,"24,790","19,287",0,"12,626","4,974","8,629","11,320","6,711","4,981","4,029","3,196","2,533","2,009",0
FL,12,Broward,"=""011""","212,989","4,418","212,989","538,348,747","39,369","25,799,505","121,158","154,967,182","16,690","19,203","7,988","199,051","891,476,709","13,686","11,994,964","180,561",115,"98,638","52,118","158,713","1,694","158,492","44,542",0,"89,473","15,958","36,703","50,767","36,598","21,769","18,369","15,178","9,929","6,102",0
FL,12,Calhoun,"=""013""","1,360",0,"1,360","3,608,994",380,"288,043",839,"1,047,296",57,0,0,"1,337","5,859,243",0,"17,298","1,252",0,791,572,768,0,593,651,0,363,87,208,303,176,114,116,79,76,63,0
FL,12,Charlotte,"=""015""","11,884",51,"11,884","25,991,274","2,668","1,912,675","6,119","7,744,370",751,432,457,"11,234","44,022,364",623,"528,863","9,886",0,"3,441","6,681","4,924",164,"6,034","4,490",0,"3,058","1,321","2,094","2,498","1,568","1,133","1,044",866,558,467,0
FL,12,Citrus,"=""017""","11,857",0,"11,857","27,561,407","2,258","1,585,432","6,360","8,077,155",514,292,353,"11,300","44,800,758",511,"405,489","9,976",0,"3,996","6,930","4,417",353,"5,877","4,702",0,"3,023","1,369","2,144","2,776","1,701","1,114",845,683,524,403,0
FL,12,Clay,"=""019""","16,787",152,"16,787","40,213,288","4,860","3,770,822","10,218","13,357,204","1,312",900,946,"16,337","72,015,086",443,"374,244","15,176",0,"6,293","9,881","6,584",261,"7,994","7,342",0,"3,689","1,407","2,446","3,136","2,127","1,783","1,694","1,528","1,245","1,197",31
