"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
GA,13,Appling,"=""001""","2,124",29,"2,124","6,010,385",521,"366,630","1,420","1,820,169",65,44,32,"2,080","9,273,300",36,"36,863","1,832",0,"1,151",543,"1,560",0,"1,104",900,0,543,131,351,503,268,180,180,122,77,90,0
GA,13,Atkinson,"=""003""","1,348",24,"1,348","3,887,628",361,"237,127",886,"1,153,895",54,0,0,"1,324","5,989,654",0,"22,652","1,113",0,731,361,984,0,742,516,0,361,80,177,292,221,171,138,81,59,25,0
GA,13,Bacon,"=""005""","1,223",24,"1,223","3,557,372",259,"184,766",825,"1,064,757",46,28,22,"1,198","5,522,852",25,"22,138","1,088",0,658,322,900,0,681,478,0,299,88,209,299,202,123,109,89,52,50,0
GA,13,Baker,"=""007""",315,0,315,"861,544",75,"50,484",191,"222,956",0,24,0,311,"1,362,492",0,"2,461",291,0,199,144,170,0,163,136,0,94,0,53,75,38,57,30,0,0,0,0
GA,13,Baldwin,"=""009""","5,075",97,"5,075","14,842,890",936,"596,269","3,270","4,142,680",314,324,124,"4,987","22,958,604",83,"85,071","4,528",0,"3,162","2,202","2,862",0,"3,331","1,504",0,"1,528",285,788,"1,354",856,578,478,303,176,124,0
GA,13,Banks,"=""011""","1,070",0,"1,070","2,753,934",283,"218,795",670,"902,491",18,0,1,"1,035","4,448,822",2,"31,058",954,0,439,405,658,0,546,446,0,293,69,182,228,133,112,101,103,41,76,0
GA,13,Barrow,"=""013""","7,964",57,"7,964","20,412,924","2,257","1,746,276","5,117","6,820,497",523,415,342,"7,707","33,374,662",258,"275,588","7,168",0,"3,668","4,126","3,745",56,"4,675","2,816",0,"2,303",591,"1,126","1,558","1,040",895,835,750,548,585,0
GA,13,Bartow,"=""015""","10,271",127,"10,271","26,969,869","2,713","2,037,869","6,532","8,673,491",567,409,287,"9,971","42,151,091",266,"259,045","9,216",0,"5,173","3,944","6,287",0,"6,479","3,150",0,"3,019",696,"1,670","2,257","1,349","1,057",968,849,646,580,0
GA,13,Ben Hill,"=""017""","2,638",28,"2,638","7,447,121",601,"413,963","1,748","2,196,066",92,87,50,"2,585","11,646,194",53,"41,204","2,396",0,"1,555","1,227","1,406",0,"1,245","1,215",0,616,163,497,664,391,306,241,179,110,82,0
GA,13,Berrien,"=""019""","2,361",0,"2,361","6,599,012",553,"392,235","1,565","2,043,094",66,75,50,"2,320","10,610,173",0,"35,726","2,120",0,"1,235","1,045","1,293",0,"1,090","1,131",0,552,144,396,492,357,283,221,160,115,100,0
GA,13,Bibb,"=""021""","23,835",360,"23,835","71,699,636","4,123","2,623,847","15,682","20,239,785","1,530","1,346",633,"23,465","105,632,502",334,"351,294","22,082",0,"15,009","10,565","12,907",254,"14,527","8,026",0,"7,390","1,453","4,283","6,836","3,718","2,591","1,992","1,369",786,509,0
GA,13,Bleckley,"=""023""","1,437",22,"1,437","4,127,946",298,"202,726",929,"1,181,480",82,66,40,"1,417","6,340,350",20,"16,224","1,325",0,888,483,951,0,817,537,0,466,86,256,384,196,173,132,89,53,63,0
GA,13,Brantley,"=""025""","1,808",0,"1,808","5,123,547",404,"303,172","1,214","1,594,651",0,0,0,"1,768","7,837,555",0,"45,008","1,647",0,928,804,991,0,916,767,0,515,155,318,413,269,198,150,96,58,81,0
GA,13,Brooks,"=""027""","1,737",0,"1,737","4,773,000",433,"288,312","1,109","1,368,792",26,44,26,"1,701","7,579,437",23,"27,770","1,526",22,910,735,984,0,870,762,0,267,104,254,391,271,170,137,85,57,33,0
GA,13,Bryan,"=""029""","3,354",0,"3,354","8,493,455","1,016","785,370","2,197","2,950,418",269,227,209,"3,263","14,967,995",74,"75,758","3,063",0,"1,524","1,825","1,433",68,"1,790","1,371",0,849,223,454,648,423,353,375,332,228,296,0
GA,13,Bulloch,"=""031""","6,504",78,"6,504","17,711,937","1,259","876,696","4,033","5,202,946",381,382,243,"6,327","27,470,360",152,"175,742","5,916",0,"3,574","2,542","3,917",23,"3,402","2,702",0,"1,548",478,"1,145","1,663","1,024",701,558,365,244,200,0
GA,13,Burke,"=""033""","3,151",29,"3,151","9,310,882",656,"425,515","2,095","2,731,358",220,109,51,"3,093","13,992,525",42,"49,942","2,854",0,"1,669","1,267","1,877",0,"1,546","1,444",0,765,133,476,734,606,357,215,244,135,62,0
GA,13,Butts,"=""035""","3,048",35,"3,048","8,530,802",756,"525,424","2,020","2,627,771",185,94,71,"2,976","13,432,674",64,"78,686","2,766",0,"1,745","1,499","1,537",0,"1,759","1,130",0,840,172,417,697,490,374,304,221,151,123,0
GA,13,Calhoun,"=""037""",823,0,823,"2,485,545",188,"115,592",546,"672,440",0,0,0,811,"3,792,223",0,"7,719",727,0,502,270,551,0,459,329,0,188,23,119,157,143,115,88,22,0,0,0
GA,13,Camden,"=""039""","5,028",52,"5,028","12,899,165","1,408","1,143,302","3,376","4,401,215",309,277,271,"4,959","23,365,689",34,"52,907","4,708",0,"2,386","3,248","1,680",83,"2,331","2,353",0,875,330,736,968,658,522,461,361,366,439,0
GA,13,Candler,"=""043""","1,269",22,"1,269","3,772,988",270,"171,256",842,"1,089,746",59,40,30,"1,240","5,609,284",29,"28,062","1,168",0,770,455,812,0,662,542,0,362,72,227,325,219,125,123,88,47,42,0
GA,13,Carroll,"=""045""","11,667",161,"11,667","31,459,297","2,731","2,038,443","7,500","10,007,436",614,563,318,"11,344","49,332,292",295,"310,655","10,552",0,"5,829","5,568","6,010",52,"6,656","4,315",0,"3,602",889,"1,862","2,708","1,733","1,148",948,919,639,627,0
GA,13,Catoosa,"=""047""","5,258",46,"5,258","12,813,215","1,478","1,111,338","3,231","4,116,765",315,180,199,"5,079","21,313,229",178,"173,816","4,717",0,"2,442","2,832","2,384",34,"2,734","2,112",0,"1,227",455,885,"1,048",670,519,509,457,347,347,0
GA,13,Charlton,"=""049""","1,192",0,"1,192","3,312,330",263,"190,682",761,"1,014,982",41,39,21,"1,167","5,522,176",22,"21,327","1,085",0,717,686,502,0,576,554,0,248,69,197,276,211,128,73,59,48,48,0
GA,13,Chatham,"=""051""","31,983",346,"31,983","83,875,791","6,957","4,686,067","20,161","25,647,669","2,450","1,945","1,410","31,180","136,315,724",767,"694,285","29,155",21,"15,259","17,837","12,011","2,020","16,123","13,487",0,"6,614","2,646","5,368","7,400","4,744","3,350","3,086","2,143","1,476","1,013",0
GA,13,Chattahoochee,"=""053""","1,184",0,"1,184","3,146,049",504,"434,622",909,"1,400,996",52,113,75,"1,173","6,919,940",0,"12,081","1,139",0,616,534,581,57,595,565,0,225,30,90,139,127,130,144,123,131,212,11
GA,13,Chattooga,"=""055""","3,140",35,"3,140","8,090,515",870,"609,278","1,971","2,548,172",105,107,30,"3,074","13,311,570",41,"56,430","2,859",0,"1,589","1,235","1,896",0,"1,747","1,238",0,713,226,513,552,394,384,406,274,163,114,0
GA,13,Cherokee,"=""057""","12,037",178,"12,037","28,063,513","3,182","2,456,061","6,998","9,138,221",852,647,632,"11,287","44,402,208",747,"834,822","10,162",0,"4,336","5,916","5,917",136,"7,520","3,605",0,"4,294","1,030","1,894","2,440","1,473","1,202","1,116","1,035",887,791,0
GA,13,Clarke,"=""059""","12,823",274,"12,823","32,867,527","2,460","1,612,489","7,474","9,512,204",749,731,585,"12,461","50,127,758",331,"260,086","11,551",0,"6,405","6,413","6,045",301,"6,848","4,841",0,"3,311","1,070","2,408","3,282","1,763","1,476",989,733,499,368,0
GA,13,Clay,"=""061""",450,0,450,"1,457,502",84,"58,187",313,"390,359",0,21,0,444,"2,243,124",0,"3,884",421,0,306,121,316,0,279,138,0,102,24,54,97,88,57,35,0,0,0,0
GA,13,Clayton,"=""063""","50,468",877,"50,468","150,813,855","9,213","5,826,574","33,943","45,040,289","3,805","3,961","1,925","49,120","227,904,483","1,329","1,309,046","46,429",79,"29,222","20,751","29,207",427,"33,788","14,761",0,"20,158","2,537","8,340","13,329","9,010","5,621","4,450","3,447","2,219","1,286",0
GA,13,Clinch,"=""065""","1,061",0,"1,061","3,173,754",205,"164,712",688,"904,148",36,33,0,"1,048","5,072,877",0,"11,678",974,0,667,380,644,0,717,282,0,367,60,140,241,156,97,71,63,46,28,0
GA,13,Cobb,"=""067""","62,703","1,248","62,703","162,056,863","13,056","9,030,961","37,901","50,081,701","4,745","4,674","3,416","59,767","249,967,500","2,889","2,620,550","55,126",52,"28,561","28,542","33,396",627,"40,450","18,383",0,"24,225","4,749","10,539","15,236","9,140","6,491","5,601","4,655","3,272","2,466",0
