"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
IA,19,Adair,"=""001""",431,0,431,"991,369",101,"98,477",236,"342,901",21,0,0,407,"1,917,303",0,"20,059",337,0,82,81,292,0,263,111,0,153,25,41,47,0,0,0,0,0,0,0
IA,19,Adams,"=""003""",261,0,261,"615,652",67,"51,189",148,"217,480",0,0,0,238,"1,090,464",21,"24,536",196,0,51,71,168,0,170,72,0,98,34,33,37,30,26,0,0,0,0,0
IA,19,Allamakee,"=""005""","1,003",0,"1,003","2,193,098",274,"204,292",529,"817,136",40,21,44,920,"3,889,983",34,"68,897",817,0,260,184,717,37,562,312,0,293,74,102,153,98,78,70,60,52,63,0
IA,19,Appanoose,"=""007""","1,103",0,"1,103","2,453,334",302,"249,883",603,"771,477",40,24,56,"1,016","4,465,027",36,"52,116",888,0,353,273,757,0,477,450,0,267,91,118,130,97,76,54,52,48,53,0
IA,19,Audubon,"=""009""",383,0,383,"821,669",91,"68,901",172,"258,425",0,0,23,355,"1,456,079",0,"24,143",317,0,82,118,219,0,209,128,0,98,21,33,40,0,21,0,0,0,0,0
IA,19,Benton,"=""011""","1,253",0,"1,253","2,752,264",378,"332,120",710,"910,705",25,0,32,"1,205","5,200,740",0,"42,457","1,041",0,250,452,617,78,699,420,0,169,52,102,109,44,78,35,42,35,34,0
IA,19,Black Hawk,"=""013""","9,757",207,"9,757","22,221,120","2,773","2,097,392","5,684","7,141,854",643,393,722,"9,486","39,436,681",244,"280,289","8,502",0,"3,928","4,316","4,769",613,"5,262","3,752",0,"1,406",968,"1,593","1,882","1,123",965,937,872,537,437,0
IA,19,Boone,"=""015""","1,418",0,"1,418","3,033,728",458,"374,481",810,"1,069,459",85,39,121,"1,371","5,842,044",35,"58,670","1,225",0,523,618,744,47,680,627,0,299,124,213,236,104,107,140,111,109,106,0
IA,19,Bremer,"=""017""","1,023",0,"1,023","2,148,912",271,"234,068",562,"745,355",48,24,79,974,"3,996,038",0,"45,288",856,0,212,409,558,0,595,306,0,234,56,90,127,84,50,73,49,41,27,0
IA,19,Buchanan,"=""019""","1,165",0,"1,165","2,527,412",345,"303,656",666,"874,193",76,23,65,"1,095","4,821,598",27,"55,758",982,0,181,280,782,0,596,446,0,261,54,124,138,60,77,43,46,42,39,0
IA,19,Buena Vista,"=""021""","1,890",47,"1,890","4,474,998",774,"591,413","1,190","1,693,427",67,45,51,"1,805","8,838,739",40,"65,059","1,603",0,500,718,"1,022",41,863,855,0,300,90,171,227,134,166,203,240,137,108,0
IA,19,Butler,"=""023""",840,0,840,"1,840,871",263,"197,613",463,"628,165",0,0,0,783,"3,386,273",0,"55,693",696,0,157,252,537,0,527,239,0,233,20,21,48,0,0,0,0,0,0,0
IA,19,Calhoun,"=""025""",601,0,601,"1,309,150",152,"120,658",333,"443,692",0,0,31,550,"2,416,639",0,"44,365",492,0,121,170,370,0,353,143,0,145,22,48,80,0,0,0,0,0,0,0
IA,19,Carroll,"=""027""","1,323",0,"1,323","2,778,877",359,"296,274",703,"973,359",103,35,73,"1,242","5,191,191",38,"97,053","1,098",0,325,321,929,0,762,407,0,394,96,144,136,86,84,80,93,53,52,0
IA,19,Cass,"=""029""","1,136",0,"1,136","2,417,690",290,"214,726",610,"880,169",36,30,50,"1,085","4,408,440",0,"69,902",926,0,330,356,728,0,612,369,0,237,114,163,145,64,70,78,57,48,45,0
IA,19,Cedar,"=""031""",896,0,896,"1,953,349",276,"211,329",502,"655,801",22,0,28,835,"3,682,888",0,"54,553",756,0,266,382,465,0,438,373,0,186,25,51,101,54,30,43,53,28,26,0
IA,19,Cerro Gordo,"=""033""","3,219",0,"3,219","6,686,366",838,"634,109","1,649","2,085,062",235,103,233,"3,088","12,052,497",94,"92,558","2,687",0,"1,124","1,161","1,763",196,"1,729","1,078",0,547,358,551,553,318,337,277,208,173,149,0
IA,19,Cherokee,"=""035""",781,0,781,"1,518,262",215,"178,570",367,"519,060",42,0,49,742,"2,893,955",0,"44,652",588,0,175,333,348,0,351,229,0,148,118,64,95,53,50,43,45,31,27,0
IA,19,Chickasaw,"=""037""",711,0,711,"1,493,949",210,"193,757",366,"503,625",30,0,23,664,"2,847,576",0,"38,092",589,0,187,199,472,0,419,214,0,218,47,48,67,39,32,26,28,26,30,0
IA,19,Clarke,"=""039""",742,0,742,"1,639,633",267,"236,571",451,"601,291",54,27,41,713,"3,302,021",0,"33,845",645,0,266,223,500,0,405,279,0,134,37,77,106,50,75,67,66,62,53,0
IA,19,Clay,"=""041""","1,135",0,"1,135","2,327,144",351,"287,543",588,"722,826",111,32,93,"1,069","4,432,898",31,"58,414",928,0,289,426,571,0,454,459,0,161,89,150,178,90,95,95,76,68,56,0
IA,19,Clayton,"=""043""","1,090",0,"1,090","2,274,702",292,"226,063",530,"737,634",0,0,0,"1,008","4,081,531",0,"85,794",802,0,206,223,739,0,598,277,0,337,55,73,124,32,29,6,24,3,4,0
IA,19,Clinton,"=""045""","3,882",35,"3,882","8,706,537",954,"755,690","2,086","2,613,315",172,69,231,"3,757","15,415,136",50,"122,260","3,382",0,"1,216","1,532","2,033",121,"1,675","1,672",0,536,409,598,739,421,339,284,254,145,156,0
IA,19,Crawford,"=""047""","1,290",29,"1,290","2,967,748",454,"396,182",790,"1,185,282",67,30,24,"1,251","6,040,958",0,"29,047","1,074",0,266,323,859,45,584,533,0,181,84,93,114,72,103,87,94,102,96,0
IA,19,Dallas,"=""049""","3,211",16,"3,211","7,053,710","1,100","869,717","1,833","2,523,964",258,132,251,"3,056","13,295,373",51,"159,178","2,696",0,971,"1,415","1,607",76,"1,799","1,135",0,662,237,322,422,283,258,282,308,210,198,0
IA,19,Davis,"=""051""",505,0,505,"1,104,950",137,"126,651",253,"381,937",31,0,32,474,"2,127,333",23,"26,731",418,0,95,113,358,0,308,117,0,169,45,56,65,52,36,34,32,35,45,0
IA,19,Decatur,"=""053""",678,0,678,"1,634,145",169,"132,388",384,"571,773",0,0,57,639,"2,859,382",0,"31,834",547,0,194,128,465,0,335,178,0,202,46,64,76,41,25,34,28,21,24,0
IA,19,Delaware,"=""055""","1,013",0,"1,013","2,161,322",266,"221,618",538,"756,342",49,24,60,941,"4,071,015",30,"59,260",839,0,122,171,723,0,715,157,0,298,71,89,99,50,41,43,47,30,35,0
IA,19,Des Moines,"=""057""","3,560",51,"3,560","8,536,282",947,"710,223","2,075","2,660,277",159,84,173,"3,468","15,092,080",57,"84,217","3,167",0,"1,481","1,270","2,204",59,"1,464","1,711",0,600,322,587,711,439,348,299,244,172,147,0
IA,19,Dickinson,"=""059""",972,0,972,"1,938,578",273,"219,755",466,"589,037",63,26,85,910,"3,596,890",27,"57,094",787,0,251,407,525,0,490,339,0,211,63,137,154,82,68,72,69,48,51,0
IA,19,Dubuque,"=""061""","6,465",74,"6,465","14,159,136","1,601","1,250,567","3,496","4,510,276",443,266,472,"6,210","25,637,028",157,"226,593","5,437",0,"1,824","2,301","3,474",566,"3,968","1,980",0,"1,354",670,973,"1,268",599,565,497,454,321,292,0
IA,19,Emmet,"=""063""",721,0,721,"1,594,897",229,"193,275",410,"566,148",55,22,48,681,"3,073,237",27,"43,557",596,0,244,246,428,0,356,273,0,156,55,80,103,59,61,65,51,41,52,0
IA,19,Fayette,"=""065""","1,333",0,"1,333","2,969,618",329,"283,921",720,"999,474",63,0,41,"1,258","5,332,876",0,"64,972","1,118",0,323,386,837,22,664,461,0,294,87,167,173,76,96,58,47,41,56,0
IA,19,Floyd,"=""067""","1,134",0,"1,134","2,511,039",310,"240,448",636,"855,902",49,23,60,"1,092","4,664,261",26,"35,538",974,0,397,336,723,25,553,427,0,222,92,146,149,88,78,71,81,48,45,0
IA,19,Franklin,"=""069""",635,0,635,"1,501,189",171,"152,655",369,"535,241",1,0,30,589,"2,659,216",0,"40,305",511,0,129,134,390,0,320,175,0,144,52,69,96,51,27,40,37,30,27,0
IA,19,Fremont,"=""071""",426,0,426,"994,718",120,"106,250",218,"359,652",0,0,0,408,"1,913,303",0,"22,654",378,0,134,107,210,0,134,144,0,26,0,21,0,0,0,0,0,0,0,0
IA,19,Greene,"=""073""",721,0,721,"1,593,990",217,"182,246",408,"577,462",23,0,36,684,"3,081,096",24,"34,373",617,0,229,210,443,0,341,243,0,166,58,74,90,40,40,44,41,31,22,0
IA,19,Grundy,"=""075""",498,0,498,"1,074,686",150,"140,632",263,"373,149",0,0,0,479,"2,115,425",0,"14,817",425,0,96,172,242,0,250,129,0,84,2,25,36,0,0,0,0,0,0,0
IA,19,Guthrie,"=""077""",713,0,713,"1,600,129",176,"160,953",397,"550,957",25,0,0,650,"2,854,687",0,"55,426",564,0,153,234,332,29,411,179,0,169,24,42,56,24,0,25,23,0,0,0
IA,19,Hamilton,"=""079""","1,039",0,"1,039","2,244,800",295,"250,307",579,"749,483",60,22,64,986,"4,220,228",26,"36,245",870,0,276,347,516,77,539,360,0,137,58,114,129,79,78,70,85,47,30,0
IA,19,Hancock,"=""081""",681,0,681,"1,505,704",220,"164,377",385,"550,478",27,2,35,627,"2,900,775",0,"39,006",550,0,152,159,419,0,373,181,0,169,24,64,74,53,3,28,30,48,23,0
IA,19,Hardin,"=""083""","1,175",0,"1,175","2,538,897",332,"274,384",659,"963,136",57,22,64,"1,105","4,738,095",0,"71,680",966,0,291,359,732,0,680,354,0,282,107,128,136,78,68,65,64,59,55,0
IA,19,Harrison,"=""085""",915,0,915,"1,962,175",269,"193,083",481,"642,777",0,0,34,848,"3,509,446",0,"64,861",760,0,276,249,558,0,482,283,0,203,67,79,109,43,35,38,27,21,27,0
IA,19,Henry,"=""087""","1,465",0,"1,465","3,404,183",451,"349,189",874,"1,179,914",60,39,66,"1,406","6,294,991",37,"45,486","1,264",0,562,416,925,49,699,601,0,325,78,171,201,128,121,108,77,67,53,0
IA,19,Howard,"=""089""",630,0,630,"1,342,094",176,"149,534",335,"474,371",53,0,39,565,"2,491,290",32,"60,124",491,0,122,103,452,26,378,170,0,214,46,65,68,38,48,36,56,31,28,0
IA,19,Humboldt,"=""091""",577,0,577,"1,263,502",156,"129,875",301,"419,299",0,0,37,534,"2,362,701",0,"31,083",442,0,128,127,354,0,303,143,0,144,43,52,67,48,30,26,24,22,27,0
IA,19,Ida,"=""093""",449,0,449,"992,901",131,"112,302",239,"332,102",0,0,0,424,"1,826,277",0,"22,128",386,0,119,95,287,0,245,138,0,117,22,32,29,0,0,0,23,0,0,0
IA,19,Iowa,"=""095""",793,0,793,"1,658,924",271,"233,453",425,"590,323",23,0,23,750,"3,252,631",0,"41,343",644,0,200,260,467,0,400,256,0,175,27,67,82,52,28,21,21,52,21,0
IA,19,Jackson,"=""097""","1,378",0,"1,378","2,963,089",348,"273,049",688,"917,368",49,28,74,"1,308","5,435,009",27,"69,108","1,153",0,300,305,922,40,732,410,0,334,129,180,201,118,86,71,60,44,34,0
IA,19,Jasper,"=""099""","2,322",0,"2,322","5,037,764",672,"550,183","1,284","1,741,031",84,59,110,"2,252","9,571,052",36,"66,726","1,988",0,933,897,"1,212",107,"1,060",971,0,384,247,309,317,199,167,149,144,110,105,0
IA,19,Jefferson,"=""101""","1,142",0,"1,142","2,201,925",243,"184,504",530,"690,834",46,30,98,"1,033","3,778,155",95,"74,521",883,0,315,454,580,76,687,327,0,348,172,188,204,93,74,60,65,56,41,0
IA,19,Johnson,"=""103""","7,304",209,"7,304","14,902,719","1,609","1,225,670","3,645","4,760,953",448,506,687,"7,044","26,520,651",215,"244,037","6,185",0,"2,402","3,978","2,896",388,"3,777","2,776",0,"1,457",827,"1,314","1,636",722,570,526,419,344,270,0
IA,19,Jones,"=""105""","1,166",0,"1,166","2,524,346",301,"247,476",632,"837,493",65,22,81,"1,102","4,589,613",51,"57,023",960,0,314,421,647,0,650,389,0,271,101,150,159,99,95,87,76,55,54,0
IA,19,Keokuk,"=""107""",756,0,756,"1,675,276",221,"189,082",403,"572,883",0,0,0,701,"3,145,023",0,"62,730",627,0,194,139,409,38,414,164,0,183,26,29,78,0,24,25,23,0,0,0
IA,19,Kossuth,"=""109""",809,0,809,"1,723,274",201,"205,917",427,"618,083",43,0,55,751,"3,272,385",0,"63,521",655,0,99,156,559,0,489,142,0,199,41,63,66,37,36,42,30,34,26,0
IA,19,Lee,"=""111""","2,935",0,"2,935","6,621,320",775,"606,768","1,636","2,072,107",95,54,115,"2,842","12,152,048",55,"66,263","2,557",0,"1,062",991,"1,857",27,"1,330","1,296",0,503,288,453,580,281,228,203,180,152,129,0
IA,19,Linn,"=""113""","14,088",194,"14,088","30,988,665","4,048","3,076,367","7,960","10,087,861","1,066",570,"1,101","13,658","55,991,831",334,"380,370","12,304",0,"5,399","7,040","5,774","1,103","7,167","5,685",0,"2,351","1,355","2,134","2,609","1,567","1,371","1,253","1,040",817,611,0
IA,19,Louisa,"=""115""",793,0,793,"1,864,161",258,"208,389",487,"645,634",22,0,0,768,"3,620,089",0,"23,160",666,0,205,194,560,0,359,316,0,124,29,67,91,62,52,57,75,28,21,0
IA,19,Lucas,"=""117""",629,0,629,"1,519,850",145,"117,539",367,"562,208",0,0,35,592,"2,671,214",26,"29,803",522,0,194,121,424,21,355,195,0,160,66,59,99,68,47,41,40,29,33,0
IA,19,Lyon,"=""119""",561,0,561,"1,302,732",160,"137,684",345,"553,413",0,0,23,511,"2,356,211",0,"60,345",412,0,98,121,386,0,346,131,0,199,28,23,30,22,21,0,0,0,0,0
IA,19,Madison,"=""121""",759,0,759,"1,734,815",225,"184,520",450,"650,042",33,0,42,705,"3,139,534",31,"61,824",642,0,223,301,388,0,437,242,0,214,47,61,75,51,44,44,40,34,38,0
IA,19,Mahaska,"=""123""","1,506",0,"1,506","3,337,880",402,"334,130",831,"1,108,368",57,52,95,"1,444","6,100,740",41,"58,641","1,263",0,524,443,928,55,750,515,0,304,126,209,214,126,95,85,93,73,83,0
IA,19,Marion,"=""125""","1,675",0,"1,675","3,695,321",491,"430,942",970,"1,306,789",105,55,124,"1,613","7,070,837",25,"56,211","1,410",0,565,520,"1,067",0,879,589,0,316,152,197,279,132,129,113,119,94,116,0
IA,19,Marshall,"=""127""","3,234",72,"3,234","7,467,475","1,138","921,586","1,965","2,728,036",138,74,113,"3,147","14,422,888",50,"79,146","2,687",0,"1,059","1,003","2,034",56,"1,672","1,209",0,394,251,409,412,290,324,278,311,273,209,0
IA,19,Mills,"=""129""",785,0,785,"1,852,347",218,"170,301",434,"628,249",38,0,47,766,"3,330,129",0,"18,928",687,0,302,292,399,0,346,307,0,110,44,64,128,61,43,56,34,34,40,0
IA,19,Mitchell,"=""131""",591,0,591,"1,233,626",187,"158,343",319,"445,427",37,0,41,550,"2,315,652",0,"44,126",459,0,140,135,400,0,365,158,0,208,40,50,47,29,38,36,37,23,25,0
IA,19,Monona,"=""133""",629,0,629,"1,406,254",162,"146,866",337,"464,822",0,0,25,595,"2,525,949",0,"38,700",502,0,169,157,384,0,293,182,0,118,0,47,80,36,29,32,21,0,26,0
IA,19,Monroe,"=""135""",516,0,516,"1,117,414",144,"125,667",281,"361,617",22,0,42,491,"2,073,674",0,"28,422",436,0,174,139,363,0,252,191,0,124,36,67,85,56,38,0,42,29,43,0
