"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
ID,16,Ada,"=""001""","28,797",327,"28,797","60,909,050","7,944","6,170,472","15,403","21,010,876","1,929","1,864","2,737","27,281","99,639,404","1,486","1,488,389","24,062",0,"8,974","17,154","10,885",634,"15,155","10,976",0,"7,105","2,824","4,554","5,577","3,088","2,752","2,842","2,553","2,037","2,131",88
ID,16,Adams,"=""003""",287,0,287,"642,887",65,"41,923",151,"213,143",0,0,0,247,"1,031,052",0,"24,260",205,0,78,126,138,0,165,90,0,99,0,26,55,21,0,0,0,0,0,0
ID,16,Bannock,"=""005""","7,093",51,"7,093","16,309,074","1,779","1,418,879","4,109","5,802,084",340,417,640,"6,887","27,145,301",173,"164,053","6,116",0,"2,363","3,755","2,959",283,"3,754","2,728",0,"1,339",681,"1,111","1,346",807,652,550,514,456,470,23
ID,16,Bear Lake,"=""007""",358,0,358,"831,111",73,"60,501",183,"295,542",0,0,0,338,"1,321,651",0,"15,286",259,0,61,131,191,0,232,85,0,92,33,42,76,37,0,22,28,0,22,0
ID,16,Benewah,"=""009""",792,0,792,"1,792,038",231,"195,218",448,"640,542",0,0,25,756,"3,121,816",0,"28,067",642,0,278,378,347,0,367,283,0,156,71,86,117,80,72,58,40,27,42,0
ID,16,Bingham,"=""011""","3,857",27,"3,857","9,515,448","1,319","1,033,450","2,477","3,843,004",133,138,226,"3,733","16,235,393",108,"97,866","3,309",0,"1,269","1,581","1,967",231,"2,135","1,472",0,761,258,494,548,418,355,350,367,294,366,21
ID,16,Blaine,"=""013""","1,275",0,"1,275","2,543,504",375,"306,874",639,"835,804",52,26,37,"1,147","4,165,767",96,"101,248",872,0,180,465,767,0,753,372,0,418,107,180,205,103,97,102,88,76,64,0
ID,16,Boise,"=""015""",438,0,438,"969,641",92,"72,740",224,"314,767",4,5,6,417,"1,513,878",5,"17,013",354,0,128,265,149,0,223,169,0,99,8,82,100,29,6,8,8,6,6,0
ID,16,Bonner,"=""017""","3,217",0,"3,217","6,980,328",773,"616,399","1,688","2,348,843",78,85,125,"2,965","10,959,951",190,"236,687","2,516",0,838,"1,809","1,202",59,"1,817","1,087",0,915,295,460,611,336,255,208,194,151,175,0
ID,16,Bonneville,"=""019""","9,488",84,"9,488","23,120,565","2,714","2,136,468","5,896","8,960,935",411,500,802,"9,186","38,337,497",272,"278,091","8,078",0,"2,804","4,424","4,204",778,"5,103","3,767",0,"2,037",791,"1,346","1,629","1,086",950,871,852,683,872,37
ID,16,Boundary,"=""021""",898,0,898,"2,145,492",239,"184,867",533,"810,102",0,23,30,843,"3,311,171",42,"41,679",714,0,303,415,465,0,565,276,0,297,65,116,180,105,55,45,55,49,55,0
ID,16,Butte,"=""023""",177,0,177,"378,645",34,"24,594",93,"131,051",0,0,0,168,"581,875",0,"5,251",141,0,41,54,98,0,90,54,0,52,0,29,24,0,0,0,0,0,0,0
ID,16,Camas,"=""025""",67,0,67,"142,264",21,"19,799",32,"48,298",0,0,0,65,"228,458",0,"2,006",56,0,24,42,25,0,40,0,0,28,0,0,0,0,0,0,0,0,0,0
ID,16,Canyon,"=""027""","20,058",287,"20,058","51,795,350","6,633","5,043,425","13,245","19,681,176","1,079",966,"1,434","19,425","84,633,099",576,"604,566","17,474",69,"7,447","10,360","9,399",270,"10,362","8,546",0,"4,072","1,381","2,429","3,214","2,547","2,355","2,251","1,949","1,588","1,829",60
ID,16,Caribou,"=""029""",381,0,381,"830,975",105,"87,087",219,"360,551",0,0,21,357,"1,408,035",0,"22,799",307,0,87,160,204,0,222,120,0,104,24,30,45,30,0,0,0,29,0,0
ID,16,Cassia,"=""031""","1,924",27,"1,924","4,767,928",645,"502,790","1,219","1,967,601",66,68,74,"1,857","7,957,220",45,"69,197","1,613",0,621,792,"1,055",0,882,855,0,430,136,211,266,177,175,164,150,131,150,0
ID,16,Clark,"=""033""",65,0,65,"153,057",30,"27,431",48,"63,114",0,0,0,64,"280,973",0,939,53,0,0,0,47,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,16,Clearwater,"=""035""",520,0,520,"1,086,492",108,"90,359",252,"341,314",0,0,21,501,"1,822,490",0,"17,587",435,0,196,176,310,0,219,215,0,90,50,72,72,60,45,28,33,28,0,0
ID,16,Custer,"=""037""",245,0,245,"468,802",39,"26,879",109,"140,581",0,0,0,227,"710,498",0,"24,354",171,0,26,93,125,0,138,41,0,79,22,33,30,25,0,0,0,0,0,0
ID,16,Elmore,"=""039""","2,415",25,"2,415","5,929,279",817,"628,435","1,562","2,302,417",133,113,163,"2,366","10,881,835",39,"28,577","2,146",0,842,"1,350",831,197,"1,155","1,116",0,391,142,230,357,273,229,261,267,200,224,0
ID,16,Franklin,"=""041""",942,0,942,"2,250,127",340,"285,223",603,"1,102,650",21,0,40,903,"3,969,790",32,"22,400",770,0,158,268,645,0,660,205,0,368,51,88,92,73,54,66,68,64,133,0
ID,16,Fremont,"=""043""","1,050",0,"1,050","2,675,231",288,"215,708",638,"1,074,976",29,0,57,"1,000","4,168,163",22,"37,400",876,0,164,365,604,0,599,353,0,360,81,111,161,108,51,55,75,51,67,0
ID,16,Gem,"=""045""","1,402",0,"1,402","3,409,431",383,"292,896",824,"1,203,149",66,61,97,"1,331","5,478,094",67,"58,337","1,193",0,482,688,673,0,678,580,0,383,134,209,242,171,149,151,109,88,113,0
