"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
IL,17,Adams,"=""001""","5,309",37,"5,309","11,965,659","1,427","1,090,978","3,068","3,836,697",283,154,294,"5,153","22,157,858",112,"128,746","4,593",0,"1,608","1,849","2,864",438,"2,925","1,954",0,859,446,809,"1,007",546,471,355,279,266,244,0
IL,17,Alexander,"=""003""",894,0,894,"2,570,836",194,"142,567",600,"734,275",0,0,0,880,"3,988,663",0,"4,927",804,0,511,429,450,0,455,380,0,208,51,110,201,103,80,22,23,0,0,0
IL,17,Bond,"=""005""","1,201",0,"1,201","2,810,881",279,"235,086",676,"858,900",28,0,33,"1,160","4,828,994",0,"24,705","1,034",0,472,348,775,36,691,382,0,294,116,133,207,163,87,33,40,36,36,0
IL,17,Boone,"=""007""","3,810",49,"3,810","9,148,743","1,135","858,345","2,387","3,182,786",260,200,156,"3,694","16,569,634",96,"116,038","3,348",0,"1,261","1,810","1,916",73,"2,117","1,431",0,830,329,496,705,435,420,353,304,268,264,0
IL,17,Brown,"=""009""",327,0,327,"710,986",97,"76,047",187,"227,441",0,0,21,306,"1,326,987",0,"14,104",263,0,98,108,215,0,166,138,0,67,31,41,49,24,0,26,0,24,0,0
IL,17,Bureau,"=""011""","2,573",0,"2,573","5,725,214",653,"543,815","1,364","1,751,118",27,22,70,"2,471","10,434,905",29,"82,577","2,180",0,773,"1,100","1,263",0,"1,070","1,074",0,331,175,280,337,176,145,132,84,76,67,0
IL,17,Calhoun,"=""013""",245,0,245,"532,317",51,"39,642",109,"165,902",0,0,0,227,"949,364",0,"10,244",199,0,0,56,118,0,86,40,0,27,0,0,0,0,0,0,0,0,0,0
IL,17,Carroll,"=""015""","1,217",0,"1,217","2,534,761",311,"252,084",607,"769,410",0,0,25,"1,165","4,659,322",0,"33,329","1,048",0,333,526,622,0,594,487,0,256,120,157,177,95,79,41,31,27,28,0
IL,17,Cass,"=""017""","1,385",69,"1,385","3,210,227",448,"349,143",862,"1,106,820",54,78,22,"1,354","6,511,567",0,"23,537","1,225",0,580,515,848,0,666,578,0,187,72,142,221,102,114,116,163,68,41,0
IL,17,Champaign,"=""019""","14,020",286,"14,020","33,614,553","3,195","2,356,164","8,041","10,365,158",777,593,726,"13,628","56,993,512",291,"333,301","12,577",0,"5,463","8,068","5,210",393,"7,138","5,347",0,"2,553","1,368","2,278","3,022","1,834","1,321","1,134",843,630,468,0
IL,17,Christian,"=""021""","2,729",0,"2,729","5,950,331",729,"583,216","1,463","1,769,184",78,69,72,"2,659","10,881,411",31,"66,793","2,325",0,"1,065",934,"1,545",87,"1,259","1,055",0,340,258,403,473,275,195,170,126,133,107,0
IL,17,Clark,"=""023""","1,262",0,"1,262","2,888,542",349,"298,049",729,"920,110",0,25,30,"1,219","5,332,585",0,"38,352","1,103",0,484,435,758,24,596,530,0,254,103,170,227,97,109,108,79,64,64,0
IL,17,Clay,"=""025""","1,166",0,"1,166","2,555,324",343,"267,237",628,"807,500",23,0,24,"1,127","4,796,161",0,"36,569","1,006",0,388,326,740,36,569,459,0,245,139,147,213,113,81,62,66,65,39,0
IL,17,Clinton,"=""027""","2,210",8,"2,210","4,873,153",564,"441,335","1,174","1,458,109",110,12,62,"2,141","8,813,908",31,"50,864","1,889",0,798,888,"1,242",21,982,994,0,366,227,308,364,230,181,137,143,54,46,0
IL,17,Coles,"=""029""","4,075",63,"4,075","8,676,983",971,"758,033","2,173","2,713,069",183,119,185,"3,970","15,993,053",87,"94,601","3,569",0,"1,648","2,116","1,795",154,"1,951","1,678",0,658,484,693,811,445,324,285,262,213,194,0
IL,17,Cook,"=""031""","480,015","13,376","480,015","1,254,499,314","97,378","67,907,848","283,740","367,841,808","31,464","30,115","21,224","453,861","1,972,175,419","25,856","22,189,227","406,871",0,"182,883","200,924","267,844","10,501","301,601","149,736",0,"166,167","38,223","86,192","118,568","67,889","48,131","41,301","35,442","25,318","16,569",131
IL,17,Crawford,"=""033""","1,415",0,"1,415","3,208,647",385,"303,636",774,"992,642",34,30,33,"1,375","5,860,741",0,"30,054","1,232",0,514,585,768,0,598,622,0,228,115,184,240,193,102,65,53,47,51,0
IL,17,Cumberland,"=""035""",741,0,741,"1,595,271",195,"178,886",397,"512,770",0,0,0,712,"3,114,878",0,"23,725",638,0,252,316,385,0,372,261,0,145,60,121,113,32,73,0,22,0,22,0
IL,17,DeKalb,"=""037""","6,782",83,"6,782","15,015,175","1,625","1,218,418","3,745","4,803,386",331,342,367,"6,544","26,512,926",176,"218,100","5,982",0,"2,444","3,701","2,832",183,"3,703","2,468",0,"1,467",669,"1,188","1,409",765,559,512,412,304,286,0
IL,17,De Witt,"=""039""","1,180",0,"1,180","2,668,323",307,"241,738",662,"843,185",30,0,38,"1,143","4,790,110",21,"36,139","1,046",0,449,583,538,0,441,549,0,161,110,163,195,121,84,71,68,57,46,0
IL,17,Douglas,"=""041""","1,432",0,"1,432","3,111,293",496,"413,513",820,"1,147,103",23,0,23,"1,377","6,104,974",0,"42,978","1,236",0,467,599,808,0,740,541,0,310,109,162,207,106,100,129,111,95,133,0
IL,17,DuPage,"=""043""","44,615",922,"44,615","96,991,552","10,774","7,942,887","23,301","30,614,065","2,851","3,127","2,974","41,479","164,472,171","3,115","2,917,775","35,571",0,"10,579","18,809","24,838",780,"28,024","13,241",0,"13,797","4,536","7,394","8,986","5,176","4,341","4,292","3,831","2,987","2,565",0
IL,17,Edgar,"=""045""","1,478",0,"1,478","3,225,188",381,"304,068",806,"1,005,868",62,32,59,"1,435","6,134,700",32,"40,946","1,304",0,685,484,903,0,684,552,0,236,130,223,229,157,112,97,87,69,73,0
IL,17,Edwards,"=""047""",491,0,491,"986,035",157,"139,127",241,"316,876",0,0,0,467,"1,924,393",0,"21,118",385,0,111,70,370,0,293,133,0,95,23,52,61,42,0,0,30,21,0,0
IL,17,Effingham,"=""049""","2,831",0,"2,831","5,920,635",754,"578,252","1,471","1,850,950",134,44,77,"2,717","11,159,162",56,"90,489","2,462",0,"1,095",976,"1,753",66,"1,441","1,076",0,516,233,492,532,222,195,158,138,124,116,0
IL,17,Fayette,"=""051""","1,730",0,"1,730","4,097,069",407,"329,067",999,"1,286,795",38,21,27,"1,678","7,284,301",23,"39,527","1,547",0,718,558,"1,120",0,880,658,0,374,140,270,334,189,96,88,71,34,53,0
IL,17,Ford,"=""053""","1,001",0,"1,001","2,281,257",278,"232,822",581,"749,897",26,0,53,958,"4,171,461",21,"34,169",870,0,350,350,502,0,414,371,0,181,83,118,129,100,73,73,60,27,61,0
IL,17,Franklin,"=""055""","3,888",22,"3,888","9,225,142",891,"692,652","2,186","2,652,129",33,63,71,"3,779","15,636,774",68,"87,469","3,397",0,"1,756","1,629","2,126",0,"1,835","1,547",0,750,354,652,771,510,296,193,149,135,113,0
IL,17,Fulton,"=""057""","2,811",0,"2,811","6,333,503",694,"565,742","1,546","1,919,566",52,50,58,"2,710","11,727,870",32,"79,818","2,448",0,"1,014","1,237","1,360",42,"1,252","1,136",0,394,246,375,428,268,240,138,104,78,114,0
IL,17,Gallatin,"=""059""",432,0,432,"1,084,467",78,"73,119",259,"350,461",0,0,0,415,"1,911,774",0,"12,806",360,0,168,121,245,0,205,153,0,32,0,26,36,25,0,0,0,0,0,0
IL,17,Greene,"=""061""","1,164",0,"1,164","2,770,314",302,"230,791",661,"805,140",0,0,0,"1,120","4,916,567",0,"42,874","1,000",0,487,369,771,0,591,460,0,288,83,142,220,108,109,72,50,0,25,0
IL,17,Grundy,"=""063""","2,979",0,"2,979","6,557,110",819,"662,955","1,640","2,044,200",119,103,156,"2,892","12,080,181",34,"82,796","2,657",0,"1,000","1,397","1,480",26,"1,462","1,164",0,526,265,502,628,339,233,209,203,172,177,0
IL,17,Hamilton,"=""065""",644,0,644,"1,424,259",169,"140,413",353,"445,200",0,0,0,620,"2,563,712",0,"23,349",549,0,256,123,498,0,321,257,0,130,59,68,102,63,45,34,37,30,29,0
IL,17,Hancock,"=""067""","1,274",0,"1,274","2,951,938",332,"274,359",710,"1,013,273",23,0,46,"1,209","5,481,062",0,"65,514","1,088",0,333,404,815,0,649,487,0,297,32,106,162,84,50,23,25,26,0,0
IL,17,Hardin,"=""069""",309,0,309,"821,857",37,"37,256",174,"221,089",0,0,0,302,"1,271,092",0,"3,441",267,0,145,141,166,0,172,112,0,75,0,54,56,32,0,0,0,0,0,0
IL,17,Henderson,"=""071""",484,0,484,"1,100,595",122,"104,751",275,"318,416",0,0,0,459,"2,022,985",0,"14,462",398,0,108,142,283,0,160,225,0,72,0,53,37,37,0,24,0,0,0,0
IL,17,Henry,"=""073""","3,405",0,"3,405","7,602,304",962,"751,193","1,890","2,357,560",113,88,123,"3,263","13,891,821",56,"107,474","2,999",0,"1,092","1,649","1,663",0,"1,432","1,582",0,497,324,465,563,382,239,234,248,159,141,0
IL,17,Iroquois,"=""075""","2,396",0,"2,396","5,676,681",628,"495,829","1,407","1,893,527",41,1,25,"2,313","10,387,675",0,"83,408","2,043",0,951,753,"1,470",37,"1,307",811,0,465,98,269,361,159,154,98,51,28,64,0
IL,17,Jackson,"=""077""","5,126",99,"5,126","11,622,854",846,"629,868","2,710","3,366,029",133,196,265,"4,972","19,185,435",105,"130,348","4,599",0,"2,273","2,881","2,134",31,"2,511","1,961",0,954,610,"1,047","1,226",596,343,244,167,122,101,0
IL,17,Jasper,"=""079""",716,0,716,"1,348,478",155,"142,112",331,"406,153",23,0,22,675,"2,574,992",23,"48,579",603,0,269,275,381,0,453,127,0,135,45,106,93,57,33,30,35,33,37,0
