"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
IN,18,Adams,"=""001""","2,108",0,"2,108","4,721,349",595,"490,308","1,180","1,656,167",86,47,111,"2,032","8,830,443",39,"88,131","1,727",0,652,856,"1,165",66,"1,058",871,0,498,249,292,365,225,181,184,158,138,141,0
IN,18,Allen,"=""003""","32,757",505,"32,757","82,146,938","8,438","6,385,602","20,034","26,788,787","1,607","1,482","2,167","31,919","139,789,039",748,"736,743","28,248",0,"11,896","18,672","12,866","1,151","16,238","13,917",0,"6,661","2,915","5,525","7,083","4,097","3,254","3,062","2,510","1,889","1,795",0
IN,18,Bartholomew,"=""005""","5,801",79,"5,801","12,386,664","1,631","1,307,415","3,159","3,850,330",233,188,277,"5,631","23,098,686",147,"137,438","5,140",0,"2,504","3,062","2,501",183,"3,074","2,203",0,818,678,983,"1,098",565,536,471,448,385,310,0
IN,18,Benton,"=""007""",801,0,801,"1,944,644",208,"163,280",480,"667,536",0,0,43,775,"3,471,653",0,"22,085",684,0,265,419,373,0,432,290,0,122,29,70,116,54,56,50,21,0,36,0
IN,18,Blackford,"=""009""","1,190",0,"1,190","2,730,888",326,"257,217",677,"857,630",24,24,60,"1,156","4,990,004",26,"25,568","1,043",0,413,593,582,0,489,585,0,191,133,208,211,151,135,105,100,52,76,0
IN,18,Boone,"=""011""","3,020",1,"3,020","6,649,264",892,"707,156","1,671","2,070,244",164,120,201,"2,911","12,010,055",86,"110,351","2,630",0,"1,139","1,834","1,156",1,"1,477","1,258",0,634,276,462,542,325,298,269,233,161,178,0
IN,18,Brown,"=""013""",763,0,763,"1,627,064",186,"149,898",400,"490,021",21,0,32,713,"2,684,469",44,"47,385",617,0,260,445,305,0,384,301,0,215,100,145,160,84,62,58,55,46,49,0
IN,18,Carroll,"=""015""","1,117",0,"1,117","2,391,242",354,"292,247",625,"857,181",35,25,43,"1,073","4,645,474",22,"36,206",939,0,372,475,575,0,602,398,0,189,81,120,144,98,81,69,103,48,79,0
IN,18,Cass,"=""017""","3,654",58,"3,654","8,590,714","1,160","873,157","2,191","2,936,832",123,87,115,"3,573","16,205,774",68,"73,421","3,217",0,"1,268","1,586","1,948",88,"1,763","1,615",0,546,347,514,588,386,345,361,353,228,193,0
IN,18,Clark,"=""019""","10,135",95,"10,135","22,886,632","3,051","2,362,457","5,806","7,147,321",479,380,470,"9,866","41,490,623",206,"258,967","8,990",0,"4,725","4,759","5,128",185,"5,134","4,048",0,"1,578",934,"1,606","1,872","1,165",988,978,847,713,528,0
