"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
KY,21,Adair,"=""001""","1,906",0,"1,906","4,900,956",369,"257,011","1,121","1,475,380",49,51,93,"1,822","7,832,261",74,"65,995","1,597",0,705,450,"1,378",0,"1,170",572,0,733,177,301,393,268,187,143,87,100,88,0
KY,21,Allen,"=""003""","1,928",0,"1,928","4,818,295",439,"344,238","1,169","1,513,067",46,60,89,"1,857","8,230,785",61,"62,080","1,702",0,871,465,"1,447",0,"1,025",744,0,583,183,328,427,257,179,156,169,123,83,0
KY,21,Anderson,"=""005""","1,954",21,"1,954","4,481,181",575,"421,129","1,137","1,436,184",97,82,121,"1,898","8,191,728",56,"39,939","1,693",0,866,620,"1,306",28,"1,158",658,0,423,187,292,375,265,191,191,179,142,121,0
KY,21,Ballard,"=""007""",900,0,900,"2,116,776",262,"184,775",517,"616,034",0,0,0,877,"3,787,715",0,"16,324",790,0,325,358,530,0,507,329,0,176,60,147,148,88,89,30,63,31,25,0
KY,21,Barren,"=""009""","4,290",40,"4,290","10,531,247","1,058","785,365","2,541","3,170,964",113,130,130,"4,129","17,630,373",135,"136,746","3,713",0,"1,904","1,037","3,076",107,"2,874","1,125",0,"1,238",404,715,921,527,388,338,308,233,203,0
KY,21,Bath,"=""011""","1,415",0,"1,415","3,576,412",316,"261,609",872,"1,087,917",0,25,24,"1,361","5,842,818",30,"40,795","1,183",0,615,409,"1,001",0,831,494,0,454,145,228,301,164,108,100,89,49,55,0
KY,21,Bell,"=""013""","3,265",23,"3,265","8,685,328",586,"450,162","2,034","2,402,064",0,38,86,"3,201","13,434,481",34,"40,686","2,870",0,"1,820",776,"2,343",26,"1,999",956,0,799,277,601,717,374,238,194,152,103,104,0
KY,21,Boone,"=""015""","8,011",54,"8,011","18,161,460","2,417","1,915,086","4,702","6,055,506",440,375,507,"7,764","33,381,474",210,"269,129","6,944",0,"3,109","4,356","3,466",137,"4,182","3,153",0,"1,463",763,"1,272","1,579",884,697,799,750,578,504,0
KY,21,Bourbon,"=""017""","1,844",0,"1,844","4,299,830",420,"322,352","1,061","1,300,051",66,52,80,"1,799","7,296,935",42,"55,145","1,569",0,853,601,"1,148",56,971,672,0,389,212,302,402,192,150,152,132,88,77,0
KY,21,Boyd,"=""019""","4,445",22,"4,445","10,148,379",898,"682,391","2,435","2,870,992",91,104,167,"4,342","16,874,396",71,"69,939","3,894",0,"2,097","2,019","2,208",204,"1,975","1,948",0,768,525,875,"1,046",549,394,296,274,210,188,0
