"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
LA,22,Acadia,"=""001""","6,865",107,"6,865","18,904,320","1,656","1,221,576","4,240","5,471,167",237,147,127,"6,669","29,985,643",154,"159,384","6,061",1,"3,670","2,856","3,884",93,"4,204","2,301",0,"1,569",490,"1,036","1,536","1,093",680,488,475,267,232,0
LA,22,Allen,"=""003""","2,257",0,"2,257","6,042,929",631,"481,192","1,444","1,810,755",43,42,18,"2,216","9,944,086",21,"31,193","2,037",0,"1,334",793,"1,389",0,"1,015","1,000",0,413,144,300,418,341,215,172,152,114,102,0
LA,22,Ascension,"=""005""","8,860",120,"8,860","24,001,418","2,236","1,649,520","5,588","6,967,872",661,445,407,"8,642","38,708,438",191,"198,465","7,998",0,"4,587","4,417","4,331",55,"5,490","2,915",0,"2,270",571,"1,321","1,960","1,393",982,820,762,486,332,0
LA,22,Assumption,"=""007""","2,469",27,"2,469","6,990,655",540,"371,566","1,490","1,802,996",104,84,28,"2,418","11,058,665",29,"42,264","2,230",0,"1,197","1,331","1,122",3,"1,351","1,011",0,610,126,362,585,459,283,177,154,94,9,0
LA,22,Avoyelles,"=""009""","5,178",51,"5,178","15,053,588","1,206","847,166","3,338","4,174,987",119,68,26,"5,045","23,612,856",38,"118,769","4,638",0,"3,398","1,502","3,595",34,"2,947","1,995",0,"1,085",249,715,"1,258",972,604,408,283,161,46,0
LA,22,Beauregard,"=""011""","2,920",23,"2,920","7,257,624",772,"619,186","1,782","2,309,361",90,79,78,"2,841","12,334,668",50,"73,688","2,608",0,"1,434","1,321","1,530",43,"1,542","1,126",0,589,217,466,553,368,250,191,206,147,153,0
LA,22,Bienville,"=""013""","1,808",0,"1,808","5,208,806",397,"275,972","1,169","1,399,762",43,88,0,"1,790","8,342,016",0,"24,124","1,648",26,"1,193",546,"1,253",0,847,843,0,417,75,259,388,323,206,86,57,25,0,0
LA,22,Bossier,"=""015""","11,468",122,"11,468","30,652,748","3,034","2,237,364","7,475","9,529,750",897,540,542,"11,243","51,986,270",203,"199,119","10,475",179,"5,635","5,841","5,279",263,"5,502","5,224",0,"2,541",778,"1,722","2,454","1,676","1,294","1,087",928,725,580,0
LA,22,Caddo,"=""017""","34,587",600,"34,587","99,999,758","6,998","4,662,802","22,541","27,866,025","2,264","1,709","1,019","34,148","156,804,957",360,"377,604","32,009",827,"19,794","16,069","17,476",767,"17,985","14,609",0,"7,976","2,087","5,691","8,850","5,946","3,991","2,900","2,131","1,332",744,0
LA,22,Calcasieu,"=""019""","20,878",276,"20,878","55,158,569","4,844","3,603,605","12,991","16,320,571","1,170",773,707,"20,420","89,491,633",361,"433,272","19,032",112,"12,510","8,337","11,917",500,"10,643","8,649",0,"4,333","1,593","3,449","4,931","3,237","2,170","1,665","1,423","1,116",790,0
LA,22,Caldwell,"=""021""","1,082",0,"1,082","2,876,089",226,"176,753",660,"796,522",0,0,0,"1,064","4,530,510",0,"11,650",963,0,703,320,728,0,532,458,0,261,90,183,249,153,82,46,39,29,32,0
LA,22,Cameron,"=""023""",198,0,198,"519,691",41,"35,880",120,"158,841",0,0,0,180,"778,012",0,"11,693",167,0,82,64,107,0,120,22,0,91,0,0,21,0,0,0,0,0,0,0
LA,22,Catahoula,"=""025""","1,197",0,"1,197","3,317,700",257,"181,248",723,"896,051",23,32,23,"1,163","5,185,006",21,"31,781","1,048",0,746,389,780,23,623,493,0,281,69,192,276,193,138,67,56,35,34,0
LA,22,Claiborne,"=""027""","1,547",30,"1,547","4,463,490",334,"216,832","1,005","1,176,258",34,48,35,"1,536","7,166,328",0,"8,556","1,415",57,951,556,960,0,641,800,0,285,93,242,364,291,161,124,79,35,23,0
LA,22,Concordia,"=""029""","2,646",33,"2,646","8,140,549",574,"376,556","1,756","2,235,459",72,112,54,"2,596","12,445,630",21,"37,796","2,410",0,"1,735","1,207","1,394",26,"1,238","1,266",0,490,117,376,673,505,317,215,142,92,68,0
LA,22,De Soto,"=""031""","3,333",23,"3,333","9,323,753",769,"507,701","2,117","2,587,172",228,87,42,"3,273","15,143,744",23,"37,729","2,943",60,"2,011","1,007","2,285",0,"1,595","1,566",0,994,169,457,727,561,443,272,218,116,62,0
LA,22,East Baton Rouge,"=""033""","50,508",891,"50,508","147,993,019","10,104","6,739,172","32,152","40,857,985","3,584","3,385","1,933","49,480","225,535,044",944,"931,331","45,901",509,"28,214","23,556","25,368","1,347","30,881","17,358",0,"14,599","2,847","8,059","12,956","8,812","5,871","4,620","3,392","2,132","1,120",0
LA,22,East Carroll,"=""035""","1,237",27,"1,237","4,033,667",202,"125,031",839,"1,041,700",26,47,0,"1,217","5,795,756",0,"8,996","1,062",0,682,460,558,200,798,380,0,225,80,196,338,293,116,69,57,30,0,0
LA,22,East Feliciana,"=""037""","2,188",0,"2,188","6,168,682",574,"403,825","1,332","1,644,770",133,104,0,"2,135","9,954,138",0,"37,645","1,949",0,"1,092","1,197",972,0,"1,338",757,0,557,90,249,462,358,291,217,192,112,22,0
LA,22,Evangeline,"=""039""","3,830",37,"3,830","10,773,760",938,"677,044","2,459","3,032,307",51,68,48,"3,742","17,199,684",46,"65,197","3,393",0,"2,446","1,278","2,461",47,"2,004","1,562",0,615,258,585,832,632,409,275,182,179,94,0
LA,22,Franklin,"=""041""","2,695",42,"2,695","8,035,791",523,"359,144","1,768","2,196,570",40,46,32,"2,627","11,585,591",46,"66,895","2,364",0,"1,678",790,"1,794",51,"1,536",966,0,670,161,448,781,394,251,177,108,62,59,0
LA,22,Grant,"=""043""","1,873",0,"1,873","4,893,178",486,"378,149","1,208","1,521,426",26,2,1,"1,828","8,102,569",1,"46,815","1,694",0,"1,029",935,928,1,977,795,0,370,151,272,370,249,184,134,133,91,54,0
LA,22,Iberia,"=""045""","9,259",199,"9,259","27,920,749","1,918","1,310,327","5,889","7,454,960",428,298,193,"9,039","41,571,415",181,"200,003","8,265",29,"5,539","3,960","5,219",53,"5,634","3,127",0,"2,590",625,"1,393","2,452","1,693","1,033",721,591,371,234,0
LA,22,Iberville,"=""047""","4,197",34,"4,197","12,649,354",872,"579,241","2,746","3,434,463",238,207,64,"4,140","19,381,947",29,"39,255","3,832",0,"2,284","2,058","2,062",26,"2,808","1,234",0,"1,294",193,524,999,750,516,347,234,147,48,0
LA,22,Jackson,"=""049""","1,742",0,"1,742","4,699,249",421,"294,401","1,089","1,339,021",34,48,0,"1,718","7,584,005",0,"22,640","1,566",0,"1,063",643,"1,088",0,744,875,0,348,77,281,421,306,132,99,80,67,39,0
LA,22,Jefferson,"=""051""","46,912",951,"46,912","125,811,617","10,144","7,145,874","28,679","36,151,775","3,395","2,786","1,726","44,808","197,764,117","2,042","1,930,506","40,910","1,250","22,572","18,567","27,507",716,"27,166","16,862",0,"14,907","3,295","7,500","11,302","7,579","5,150","4,249","3,433","2,217","1,393",0
LA,22,Jefferson Davis,"=""053""","3,194",26,"3,194","8,366,193",813,"594,397","1,916","2,340,932",35,42,57,"3,105","13,552,022",45,"71,609","2,854",0,"1,641","1,350","1,792",22,"1,819","1,171",0,577,272,483,672,486,346,229,203,174,84,0
LA,22,Lafayette,"=""055""","21,869",396,"21,869","58,682,475","4,919","3,512,719","13,119","16,350,422","1,377",982,856,"21,180","91,552,384",673,"676,015","19,337",0,"11,749","10,628","10,841",238,"12,880","7,671",0,"5,872","1,582","3,652","5,386","3,491","2,287","1,939","1,521","1,027",722,0
LA,22,Lafourche,"=""057""","8,382",104,"8,382","22,011,178","2,013","1,487,951","5,099","6,119,769",341,238,194,"8,051","35,762,056",296,"314,672","7,294",0,"3,953","4,000","4,086",251,"4,611","3,264",0,"1,853",677,"1,421","1,851","1,371",875,663,579,388,326,0
LA,22,La Salle,"=""059""","1,118",0,"1,118","2,915,581",248,"203,272",688,"857,411",0,24,0,"1,086","4,872,238",0,"40,691",981,0,710,341,761,0,522,469,0,230,77,147,220,149,86,48,77,32,22,0
LA,22,Lincoln,"=""061""","4,802",94,"4,802","12,843,509",914,"628,198","2,921","3,590,199",244,276,135,"4,723","20,961,217",45,"81,810","4,422",0,"2,685","2,484","2,256",40,"2,145","2,332",0,850,380,827,"1,162",846,505,396,250,150,141,0
LA,22,Livingston,"=""063""","10,614",82,"10,614","26,959,826","2,879","2,271,591","6,663","8,386,930",745,369,514,"10,294","43,988,352",264,"314,871","9,483",0,"5,094","5,461","5,017",58,"6,614","3,421",0,"2,852",749,"1,677","2,320","1,435","1,027",946,882,717,618,0
LA,22,Madison,"=""065""","1,915",57,"1,915","6,441,739",345,"214,425","1,333","1,704,992",94,60,24,"1,884","8,951,720",27,"29,673","1,751",0,"1,345",478,"1,356",33,"1,350",475,0,495,84,263,570,371,198,122,83,45,25,0
LA,22,Morehouse,"=""067""","4,349",88,"4,349","12,928,683",907,"592,201","2,779","3,325,334",119,138,76,"4,282","18,773,391",50,"61,675","3,887",0,"2,444","1,538","2,794",0,"2,214","1,901",0,947,235,729,"1,149",731,462,335,216,134,76,0
LA,22,Natchitoches,"=""069""","4,443",74,"4,443","12,387,405","1,029","681,675","2,918","3,590,623",246,114,130,"4,355","19,550,708",45,"66,611","4,036",67,"2,560","1,822","2,487",63,"2,095","2,044",0,651,312,697,884,666,527,347,238,182,84,0
LA,22,Orleans,"=""071""","47,353","1,096","47,353","135,369,323","8,083","5,216,094","28,909","36,526,585","2,660","3,109","1,816","45,990","207,135,284","1,310","1,113,202","43,001","1,687","26,153","20,693","24,467","2,022","26,903","17,451",0,"14,298","3,336","8,446","13,145","8,402","5,029","3,669","2,633","1,553",636,0
LA,22,Ouachita,"=""073""","20,553",393,"20,553","61,766,905","4,387","3,021,356","13,527","16,947,069","1,091",825,671,"20,209","91,249,493",290,"271,365","19,046",28,"12,996","8,009","12,100",348,"11,310","8,167",0,"5,392","1,107","3,363","5,559","3,556","2,172","1,888","1,263",819,503,0
LA,22,Plaquemines,"=""075""","2,268",0,"2,268","5,929,919",695,"515,128","1,459","1,899,582",152,121,95,"2,118","9,882,507",121,"173,806","1,948",0,995,953,"1,245",0,"1,275",841,0,694,112,279,395,303,229,214,214,127,98,0
LA,22,Pointe Coupee,"=""077""","2,385",23,"2,385","6,877,680",554,"412,396","1,525","1,898,789",49,51,24,"2,337","10,659,677",0,"36,486","2,110",0,"1,377","1,006","1,315",0,"1,385",872,0,433,57,280,466,352,239,165,62,43,0,0
LA,22,Rapides,"=""079""","15,413",206,"15,413","41,449,069","3,944","2,856,301","9,904","12,044,997",755,477,431,"15,129","67,008,490",196,"231,117","13,978",111,"8,545","7,653","7,306",300,"7,838","6,541",0,"2,402","1,193","2,329","3,193","2,340","1,762","1,317","1,061",702,528,0
LA,22,Red River,"=""081""","1,154",21,"1,154","3,394,226",258,"167,256",775,"938,643",84,29,24,"1,140","5,301,079",0,"12,077","1,042",62,737,377,755,0,494,564,0,246,67,208,228,191,171,98,71,47,29,0
LA,22,Richland,"=""083""","2,925",27,"2,925","8,699,335",697,"482,241","1,920","2,357,760",93,84,31,"2,881","12,942,978",21,"32,180","2,637",33,"1,866",956,"1,948",0,"1,381","1,373",0,670,147,411,772,507,338,244,166,120,70,0
LA,22,Sabine,"=""085""","2,225",0,"2,225","5,705,773",543,"418,390","1,409","1,737,759",42,26,30,"2,169","9,444,199",24,"45,667","1,946",0,"1,142",872,"1,338",0,"1,087",943,0,399,161,336,485,306,167,118,107,98,63,0
LA,22,St. Bernard,"=""087""","5,533",80,"5,533","16,062,043","1,252","921,857","3,714","4,843,147",376,252,152,"5,380","24,986,210",102,"126,760","4,948",55,"2,933","2,520","2,936",33,"3,154","2,043",0,"1,839",367,863,"1,332",936,587,474,402,291,148,0
LA,22,St. Charles,"=""089""","4,812",25,"4,812","13,108,279","1,202","834,902","3,017","3,786,741",391,290,206,"4,673","21,289,123",73,"133,090","4,359",2,"2,620","2,192","2,561",3,"2,750","1,847",0,"1,336",271,706,"1,081",735,519,452,318,235,118,0
LA,22,St. Helena,"=""091""","1,254",29,"1,254","4,016,486",216,"148,403",838,"1,075,733",72,51,36,"1,238","6,017,510",4,"10,985","1,151",0,780,607,639,0,768,444,0,360,41,187,330,257,139,101,75,48,7,0
LA,22,St. James,"=""093""","2,601",0,"2,601","7,855,741",491,"314,164","1,625","1,990,151",127,243,24,"2,577","12,701,921",0,"19,710","2,402",0,"1,476","1,340","1,186",45,"1,537",970,0,757,65,357,584,548,389,239,140,57,0,0
LA,22,St. John the Baptist,"=""095""","5,857",71,"5,857","17,687,074","1,272","890,772","3,758","4,751,123",373,383,189,"5,754","27,690,989",84,"82,100","5,412",36,"3,645","2,662","3,078",87,"3,328","2,259",0,"1,763",252,822,"1,403","1,112",699,549,401,270,144,0
LA,22,St. Landry,"=""097""","11,300",170,"11,300","32,919,248","2,750","2,022,855","7,321","9,319,798",351,305,209,"11,084","51,631,522",166,"170,316","10,029",67,"6,623","4,914","6,081",178,"5,987","4,718",0,"2,337",642,"1,637","2,664","2,018","1,269",886,684,537,360,0
LA,22,St. Martin,"=""099""","6,411",110,"6,411","18,272,114","1,444","1,029,987","3,964","4,980,474",304,203,156,"6,248","27,661,022",159,"170,482","5,589",32,"3,595","2,656","3,662",71,"3,790","2,309",0,"1,741",422,"1,012","1,544","1,053",745,550,471,283,195,0
LA,22,St. Mary,"=""101""","6,673",118,"6,673","19,675,233","1,449","1,019,777","4,025","5,073,557",243,201,153,"6,561","30,855,278",90,"114,558","6,020",0,"3,705","3,437","3,101",77,"3,770","2,608",0,"1,463",350,"1,006","1,654","1,189",713,537,428,263,195,0
LA,22,St. Tammany,"=""103""","18,091",109,"18,091","45,093,529","4,547","3,419,184","10,735","13,609,054","1,140",813,"1,041","17,332","72,000,715",742,"754,772","15,853",90,"8,096","9,334","8,422",154,"10,339","6,427",0,"5,331","1,480","2,921","3,988","2,519","1,866","1,665","1,381","1,051",863,0
LA,22,Tangipahoa,"=""105""","16,242",298,"16,242","49,900,337","3,105","2,167,895","10,570","13,876,018",803,608,545,"15,925","75,072,681",269,"229,509","14,747",0,"9,372","6,435","9,577",130,"10,455","5,114",0,"4,554",869,"2,460","4,242","3,374","1,665","1,262",944,619,492,0
LA,22,Tensas,"=""107""",737,0,737,"2,094,703",148,"97,400",446,"532,208",0,0,0,722,"3,083,226",0,"16,536",625,0,443,306,418,0,451,238,0,141,21,145,183,125,70,25,25,0,0,0
LA,22,Terrebonne,"=""109""","11,004",174,"11,004","29,204,629","2,624","1,936,524","6,680","8,191,930",489,327,299,"10,654","46,978,714",271,"345,170","9,888",0,"5,590","5,503","5,353",112,"6,083","4,198",0,"2,460",838,"1,892","2,558","1,796","1,173",912,649,536,331,0
LA,22,Union,"=""111""","2,420",0,"2,420","6,798,408",602,"433,538","1,558","1,902,994",35,26,0,"2,372","10,379,044",0,"39,236","2,161",0,"1,468",980,"1,411",0,"1,256","1,027",0,531,151,370,583,425,244,201,88,51,55,0
LA,22,Vermilion,"=""113""","5,549",69,"5,549","14,985,403","1,339","1,011,241","3,456","4,374,834",144,45,132,"5,329","23,665,947",189,"181,149","4,749",0,"2,801","2,457","2,846",147,"3,332","1,858",0,"1,400",420,960,"1,226",899,575,393,338,260,223,0
LA,22,Vernon,"=""115""","5,251",28,"5,251","13,879,116","1,702","1,298,537","3,687","5,148,025",215,194,250,"5,172","26,113,652",45,"90,860","4,864",0,"2,672","2,386","2,600",175,"2,114","2,751",0,801,314,584,755,705,576,573,420,385,440,0
LA,22,Washington,"=""117""","5,542",106,"5,542","16,199,776","1,251","859,945","3,661","4,624,089",215,177,102,"5,424","24,541,378",106,"88,876","5,056",0,"3,437","2,195","3,297",0,"3,254","1,976",0,"1,644",317,900,"1,416",910,613,477,349,252,200,0
LA,22,Webster,"=""119""","4,921",35,"4,921","13,041,124","1,042","727,403","2,975","3,549,191",140,143,80,"4,849","21,430,849",28,"65,497","4,463",87,"3,038","1,775","3,080",25,"2,426","2,156",0,"1,058",355,804,"1,142",764,454,317,250,137,104,0
LA,22,West Baton Rouge,"=""121""","2,781",23,"2,781","7,750,559",716,"524,443","1,755","2,162,659",212,175,116,"2,732","12,503,146",28,"33,524","2,551",0,"1,640","1,373","1,365",26,"1,653","1,020",0,646,131,359,633,452,328,303,204,150,95,0
LA,22,West Carroll,"=""123""","1,230",0,"1,230","3,308,683",301,"231,733",737,"946,967",0,0,0,"1,192","5,033,270",28,"28,719",987,0,537,468,727,0,684,455,0,301,107,176,283,173,117,64,74,49,32,0
LA,22,West Feliciana,"=""125""",962,0,962,"2,687,203",240,"185,833",587,"758,965",43,44,27,949,"4,487,854",0,"16,063",845,0,496,421,444,32,487,370,0,201,42,129,187,142,94,79,68,46,25,0
LA,22,Winn,"=""127""","1,351",1,"1,351","3,559,594",353,"269,742",842,"1,054,591",50,31,29,"1,322","5,891,035",1,"26,564","1,208",1,780,577,751,1,658,585,0,194,82,200,264,183,129,92,75,64,56,0
