"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
MD,24,Allegany,"=""001""","5,623",32,"5,623","12,406,677","1,304","960,487","3,049","3,753,773",131,127,188,"5,477","22,194,880",102,"98,907","4,742",0,"2,045","2,419","2,702",389,"3,298","1,812",0,848,595,924,"1,162",627,516,377,304,214,201,0
MD,24,Anne Arundel,"=""003""","29,822",419,"29,822","66,151,366","8,647","6,509,491","17,489","22,079,191","2,519","1,557","1,423","28,685","116,808,506","1,021","996,683","25,022",18,"11,313","15,869","13,216",492,"16,314","10,953",0,"7,328","2,750","4,788","5,770","3,408","2,819","2,978","2,849","2,106","1,572",0
MD,24,Baltimore County,"=""005""","60,464","1,396","60,464","141,687,239","15,324","11,165,958","35,937","45,225,503","6,298","3,837","2,604","58,094","235,151,296","2,216","2,052,215","50,513",63,"25,071","28,664","30,494","1,106","35,644","20,525",0,"17,129","4,987","9,928","12,541","7,359","6,238","6,124","5,801","4,071","2,529",0
MD,24,Calvert,"=""009""","4,421",0,"4,421","9,531,693","1,224","938,240","2,471","3,044,210",301,147,146,"4,222","16,511,010",137,"158,929","3,761",0,"1,548","2,611","1,688",48,"2,388","1,571",0,"1,086",410,702,859,479,424,409,353,269,141,0
MD,24,Caroline,"=""011""","3,078",0,"3,078","7,376,890",847,"615,043","1,892","2,352,889",174,65,47,"2,967","12,691,578",45,"94,579","2,531",0,"1,183","1,627","1,324",75,"1,417","1,401",0,684,268,464,542,412,383,262,203,142,136,0
MD,24,Carroll,"=""013""","7,291",0,"7,291","14,258,079","1,892","1,495,825","3,671","4,528,899",415,295,326,"6,877","25,739,129",353,"397,263","5,785",0,"2,182","3,721","3,184",316,"4,086","2,456",0,"1,755",843,"1,291","1,470",734,562,624,567,394,365,0
MD,24,Cecil,"=""015""","6,733",52,"6,733","15,554,204","1,887","1,491,875","3,976","4,923,900",379,204,177,"6,530","26,975,498",141,"166,588","5,826",0,"2,808","3,754","2,694",170,"3,190","2,856",0,"1,163",589,"1,056","1,265",796,637,586,552,402,298,0
MD,24,Charles,"=""017""","9,659",98,"9,659","21,771,321","2,638","1,989,434","5,909","7,370,646","1,070",563,495,"9,367","39,137,649",221,"245,893","8,402",0,"4,018","5,208","4,202",109,"5,216","3,560",0,"2,220",779,"1,451","1,845","1,095",893,923,861,663,465,0
MD,24,Dorchester,"=""019""","3,682",45,"3,682","8,830,347",899,"649,109","2,232","2,676,610",193,89,43,"3,542","14,645,319",60,"108,619","2,996",0,"1,584","2,054","1,331",217,"1,704","1,596",0,629,325,633,694,435,386,340,204,135,94,0
MD,24,Frederick,"=""021""","11,392",112,"11,392","23,934,250","3,139","2,395,446","6,179","7,963,579",672,560,524,"10,854","42,951,503",359,"504,509","9,352",0,"3,719","6,258","4,697",314,"6,190","4,081",0,"2,669","1,130","1,856","2,128","1,143","1,010","1,015",984,707,572,0
MD,24,Garrett,"=""023""","2,212",0,"2,212","4,727,582",589,"441,856","1,186","1,437,487",28,37,54,"2,082","8,260,961",93,"123,014","1,770",0,670,961,"1,165",58,"1,000",950,0,534,177,368,408,216,136,145,113,101,73,0
