"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
ME,23,Androscoggin,"=""001""","9,706",146,"9,706","22,486,615","2,642","1,926,152","5,654","7,052,143",639,227,523,"9,382","37,826,612",167,"281,242","8,341",0,"3,960","5,082","3,912",498,"4,644","4,160",0,"1,685","1,043","1,546","1,751","1,172","1,057",919,727,459,362,0
ME,23,Aroostook,"=""003""","5,829",0,"5,829","12,350,789","1,373","1,069,074","2,955","3,663,982",107,83,226,"5,567","21,678,472",60,"193,184","4,651",0,"1,764","2,659","2,674",92,"2,327","2,549",0,900,513,797,870,557,344,318,256,194,130,0
ME,23,Cumberland,"=""005""","17,409",396,"17,409","34,149,417","4,207","3,170,600","8,287","10,131,542",934,716,"1,367","16,397","58,658,011",852,"954,761","13,678",0,"5,451","9,902","6,409",828,"8,829","6,567",0,"4,290","2,058","3,219","3,679","1,653","1,448","1,354","1,258",822,707,0
ME,23,Franklin,"=""007""","2,291",0,"2,291","4,959,317",560,"442,749","1,190","1,511,602",58,30,86,"2,137","8,415,454",41,"115,344","1,841",0,790,"1,025","1,110",0,974,951,0,562,176,290,393,190,126,142,113,38,64,0
ME,23,Hancock,"=""009""","4,178",0,"4,178","8,297,640","1,065","840,702","2,001","2,423,567",117,84,164,"3,778","13,482,777",182,"425,452","3,215",0,"1,171","2,218","1,618",31,"2,049","1,455",0,"1,289",290,556,769,289,182,213,179,118,57,0
ME,23,Kennebec,"=""011""","9,550",24,"9,550","20,187,704","2,555","1,969,059","5,090","6,210,367",533,287,488,"9,112","35,225,094",225,"400,059","8,038",0,"3,368","5,800","3,470",137,"4,447","4,086",0,"1,839",878,"1,432","1,752","1,014",862,835,666,444,359,0
ME,23,Knox,"=""013""","3,090",0,"3,090","6,399,062",762,"579,958","1,582","1,986,742",110,27,65,"2,761","10,238,404",210,"405,060","2,318",0,951,"1,737","1,246",0,"1,809",997,0,"1,070",227,421,658,273,183,155,116,60,87,0
ME,23,Lincoln,"=""015""","2,636",0,"2,636","5,353,276",639,"498,268","1,271","1,588,839",29,0,63,"2,348","8,584,470",151,"287,343","1,911",0,798,"1,337","1,081",21,"1,492",820,0,"1,006",170,373,520,201,122,123,52,45,29,0
ME,23,Oxford,"=""017""","5,244",0,"5,244","11,299,033","1,259","963,833","2,749","3,353,245",112,69,119,"4,939","19,079,800",113,"276,354","4,238",0,"1,817","2,575","2,406",73,"2,481","2,129",0,"1,171",495,713,935,544,377,300,262,117,97,0
ME,23,Penobscot,"=""019""","11,737",39,"11,737","23,982,604","2,919","2,231,334","5,995","7,166,727",378,315,578,"11,270","42,127,515",148,"402,490","9,848",0,"3,926","6,541","4,274",550,"5,335","5,096",0,"2,032","1,077","1,721","2,233","1,085",871,780,698,374,313,0
ME,23,Piscataquis,"=""021""","1,595",0,"1,595","3,402,219",327,"264,086",815,"1,036,262",27,24,39,"1,489","5,838,621",22,"77,020","1,276",0,519,704,756,0,675,683,0,325,109,183,263,119,101,59,57,27,24,0
ME,23,Sagadahoc,"=""023""","2,328",0,"2,328","4,704,786",617,"480,610","1,177","1,386,757",96,88,108,"2,156","7,851,663",91,"164,921","1,886",0,744,"1,411",741,131,"1,172",927,0,601,255,425,441,232,195,165,142,98,89,0
ME,23,Somerset,"=""025""","4,478",0,"4,478","9,730,637","1,239","960,931","2,394","3,017,483",116,64,133,"4,274","16,694,052",81,"173,099","3,755",0,"1,654","2,541","1,838",0,"2,065","1,971",0,907,414,666,737,450,317,331,329,202,100,0
ME,23,Waldo,"=""027""","3,473",0,"3,473","7,371,401",844,"650,623","1,831","2,225,891",34,29,76,"3,216","12,164,317",74,"240,521","2,758",0,"1,101","1,981","1,370",27,"1,725","1,362",0,"1,041",179,546,646,257,204,118,84,62,35,0
ME,23,Washington,"=""029""","3,042",0,"3,042","6,723,717",687,"530,896","1,590","1,940,695",0,0,0,"2,741","10,280,440",74,"319,553","2,263",0,851,"1,702","1,121",0,"1,462","1,181",0,938,142,423,468,197,82,50,0,0,0,0
ME,23,York,"=""031""","13,285",34,"13,285","26,441,661","3,678","2,804,663","6,613","7,981,768",830,372,966,"12,477","46,736,909",680,"788,344","10,699",0,"4,497","7,751","4,847",416,"6,276","5,454",0,"3,097","1,352","2,148","2,662","1,366","1,190","1,158",925,734,614,0
