"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
MI,26,Alcona,"=""001""",856,0,856,"1,770,616",157,"129,409",412,"520,849",0,0,0,793,"2,916,733",0,"49,665",680,0,247,412,376,0,422,304,0,255,61,78,93,26,0,0,0,0,0,0
MI,26,Alger,"=""003""",592,0,592,"1,082,459",125,"101,392",254,"339,676",0,0,26,567,"1,959,869",0,"16,660",465,0,121,301,147,0,220,156,0,57,37,67,81,32,32,0,0,0,0,0
MI,26,Allegan,"=""005""","8,146",16,"8,146","18,157,302","2,428","2,001,413","4,746","6,379,678",226,285,496,"7,807","33,346,914",235,"292,518","6,960",0,"3,024","3,720","4,327",66,"4,202","3,307",0,"1,777",784,"1,268","1,490",941,713,714,687,563,624,0
MI,26,Alpena,"=""007""","2,364",0,"2,364","4,909,801",466,"370,827","1,200","1,462,058",67,79,130,"2,256","8,460,057",95,"65,422","1,969",0,772,"1,154","1,082",113,"1,213",887,0,568,261,452,538,279,164,149,111,89,89,0
MI,26,Antrim,"=""009""","1,902",0,"1,902","4,295,156",455,"350,166","1,029","1,384,912",0,25,45,"1,803","7,296,360",48,"82,861","1,597",0,743,927,895,0,968,700,0,556,124,231,427,156,115,79,46,33,44,0
MI,26,Arenac,"=""011""","1,258",0,"1,258","2,698,109",276,"220,487",636,"803,933",0,0,22,"1,197","4,630,237",0,"35,311","1,060",0,470,540,712,0,618,497,0,257,94,194,260,130,83,55,54,26,24,0
MI,26,Baraga,"=""013""",671,0,671,"1,432,643",186,"145,135",373,"460,792",0,0,0,651,"2,714,799",0,"8,019",577,0,284,359,306,0,339,263,0,99,54,103,116,74,59,66,46,0,0,0
MI,26,Barry,"=""015""","3,240",0,"3,240","7,219,427",994,"809,529","1,862","2,537,395",84,91,170,"3,107","13,182,920",101,"119,707","2,743",0,"1,115","1,579","1,597",28,"1,683","1,289",0,759,277,440,558,349,268,310,234,230,233,0
MI,26,Bay,"=""017""","8,854",65,"8,854","19,036,496","2,039","1,509,769","4,577","5,473,758",219,311,393,"8,548","32,561,842",270,"224,785","7,493",0,"3,043","4,217","4,276",302,"4,611","3,352",0,"1,490","1,061","1,580","2,064","1,088",764,664,586,418,353,0
MI,26,Benzie,"=""019""","1,468",0,"1,468","3,155,220",356,"265,183",756,"966,092",10,7,11,"1,366","5,271,068",34,"60,198","1,213",0,502,701,715,7,819,506,0,452,97,262,302,120,141,106,36,32,15,0
MI,26,Berrien,"=""021""","15,397",259,"15,397","39,639,031","3,408","2,479,005","9,051","11,923,452",341,593,568,"14,935","64,986,414",348,"377,301","13,478",0,"7,268","9,294","5,679",283,"6,619","7,445",0,"2,705","1,433","2,603","3,478","2,490","1,427","1,132",907,684,590,0
MI,26,Branch,"=""023""","3,717",34,"3,717","8,582,145","1,107","867,711","2,221","3,009,544",147,137,164,"3,582","15,634,460",95,"111,861","3,206",0,"1,409","1,761","1,888",38,"1,749","1,664",0,732,378,603,684,381,336,362,339,259,254,0
MI,26,Calhoun,"=""025""","12,826",244,"12,826","32,169,783","3,284","2,455,033","7,881","10,302,245",451,494,507,"12,522","53,743,789",262,"235,827","11,319",0,"5,702","6,698","5,881",218,"6,088","5,641",0,"2,272","1,218","2,117","2,704","1,817","1,205","1,077",904,674,604,0
MI,26,Cass,"=""027""","3,616",0,"3,616","8,485,114","1,030","813,993","2,063","2,667,758",43,110,115,"3,488","15,231,853",98,"113,298","3,163",0,"1,585","1,771","1,779",30,"1,593","1,702",0,630,329,530,738,424,311,296,268,172,246,0
MI,26,Charlevoix,"=""029""","2,215",0,"2,215","4,818,238",641,"475,845","1,213","1,569,652",106,56,124,"2,096","8,478,550",102,"89,560","1,899",0,835,918,"1,199",0,"1,087",895,0,568,199,335,387,275,218,189,146,135,144,0
MI,26,Cheboygan,"=""031""","2,277",0,"2,277","5,032,288",479,"367,916","1,183","1,462,355",45,53,72,"2,207","8,491,303",43,"37,304","1,975",0,627,820,"1,142",250,"1,184",835,0,542,258,404,500,259,184,169,106,115,85,0
MI,26,Chippewa,"=""033""","3,028",0,"3,028","6,652,602",725,"513,815","1,670","2,084,993",82,76,103,"2,925","11,815,114",53,"65,828","2,723",0,"1,174",895,"1,987",34,"1,325","1,278",0,490,308,487,567,316,261,226,142,81,78,0
MI,26,Clare,"=""035""","2,995",0,"2,995","6,772,053",565,"437,464","1,660","2,014,270",0,55,110,"2,886","11,048,239",85,"85,962","2,558",0,"1,157","1,267","1,598",62,"1,337","1,347",0,712,392,611,656,391,224,202,174,141,152,0
MI,26,Clinton,"=""037""","3,344",2,"3,344","7,277,324",902,"729,682","1,843","2,495,533",97,143,212,"3,204","13,237,507",91,"130,998","2,772",0,974,"1,554","1,690",69,"1,892","1,181",0,846,320,464,646,329,296,305,194,155,247,0
MI,26,Crawford,"=""039""","1,033",0,"1,033","2,314,449",220,"164,777",565,"667,803",21,29,47,996,"3,828,050",31,"33,118",890,0,406,578,422,31,459,467,0,237,113,183,258,117,80,69,53,37,36,0
MI,26,Delta,"=""041""","3,052",0,"3,052","6,129,425",629,"499,537","1,521","1,858,390",79,79,142,"2,948","10,684,147",70,"77,644","2,616",0,764,"1,380","1,626",21,"1,585","1,120",0,540,379,539,667,327,188,180,145,105,136,0
MI,26,Dickinson,"=""043""","2,154",0,"2,154","4,325,011",501,"405,588","1,052","1,271,008",71,42,106,"2,087","7,733,641",28,"47,255","1,823",0,515,"1,012","1,028",0,"1,105",762,0,351,227,358,391,207,140,132,140,111,78,0
MI,26,Eaton,"=""045""","8,114",56,"8,114","18,161,168","2,211","1,721,359","4,554","5,896,821",372,361,537,"7,797","31,794,209",253,"222,503","6,874",48,"2,876","3,794","4,049",213,"4,602","2,875",0,"1,831",774,"1,296","1,643",961,706,675,704,489,446,0
MI,26,Emmet,"=""047""","2,871",0,"2,871","5,948,310",740,"563,413","1,434","1,815,296",91,59,121,"2,700","10,249,776",109,"143,628","2,372",0,906,"1,346","1,328",72,"1,570",993,0,728,242,433,597,327,250,220,194,153,102,0
MI,26,Genesee,"=""049""","42,061",696,"42,061","109,786,373","8,133","5,894,453","25,344","32,137,207","1,261","2,070","2,306","40,759","166,943,579","1,225","1,056,752","36,888",22,"19,318","18,682","22,735",443,"24,224","14,741",0,"12,205","4,075","8,138","10,828","5,893","3,787","3,075","2,389","1,835","1,642",0
MI,26,Gladwin,"=""051""","2,073",0,"2,073","4,500,907",488,"381,865","1,105","1,395,229",37,63,91,"1,959","7,667,558",108,"77,841","1,709",0,653,907,"1,124",28,978,897,0,537,248,382,398,300,162,148,115,116,132,0
MI,26,Gogebic,"=""053""","1,226",0,"1,226","2,567,671",220,"154,455",586,"746,178",0,30,37,"1,175","4,399,358",25,"41,849",949,0,455,552,611,0,477,538,0,202,127,225,237,118,95,57,53,29,24,0
MI,26,Grand Traverse,"=""055""","6,877",0,"6,877","13,866,161","1,848","1,406,377","3,491","4,483,999",380,257,515,"6,474","24,281,288",383,"349,977","5,731",0,"2,284","3,496","3,037",317,"3,830","2,331",0,"1,905",787,"1,148","1,488",767,645,581,556,406,418,0
