"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
MN,27,Aitkin,"=""001""","1,069",0,"1,069","2,339,487",238,"193,073",525,"747,155",37,29,36,998,"3,862,375",58,"54,750",868,0,298,452,520,31,635,309,0,274,119,137,179,135,57,46,47,36,24,0
MN,27,Anoka,"=""003""","19,610",298,"19,610","42,270,732","6,223","4,845,708","10,976","14,421,623","1,748","1,235","1,833","18,691","73,683,149",906,"905,172","16,347",0,"5,532","9,440","9,363",765,"10,357","7,702",0,"4,150","1,999","2,961","3,469","2,178","2,051","2,017","2,072","1,489","1,263",0
MN,27,Becker,"=""005""","2,338",0,"2,338","5,196,367",610,"490,444","1,311","1,805,262",115,47,176,"2,201","8,837,552",96,"135,648","1,888",0,704,786,"1,218",220,"1,463",718,0,523,173,310,344,181,157,127,144,95,108,0
MN,27,Beltrami,"=""007""","4,436",67,"4,436","10,415,871","1,231","914,067","2,684","3,522,876",222,96,249,"4,299","17,578,915",92,"118,305","3,837",0,"2,066","1,623","2,458",273,"2,446","1,613",0,674,579,675,682,510,448,363,270,231,157,0
MN,27,Benton,"=""009""","3,028",20,"3,028","6,310,422",841,"677,400","1,653","2,168,222",293,176,327,"2,885","11,237,322",116,"129,845","2,492",0,745,"1,337","1,444",189,"1,690","1,120",0,696,380,474,545,300,283,309,273,189,207,0
MN,27,Big Stone,"=""011""",264,0,264,"561,721",60,"49,305",117,"179,934",0,0,0,243,"962,045",0,"14,317",180,0,29,44,156,0,142,56,0,73,22,22,29,0,0,0,0,0,0,0
MN,27,Blue Earth,"=""013""","4,285",69,"4,285","8,254,084",969,"734,478","2,024","2,713,299",281,181,360,"4,108","14,393,787",105,"169,054","3,450",0,"1,067","1,688","1,945",468,"2,533","1,307",0,760,548,792,802,381,271,308,222,157,136,0
MN,27,Brown,"=""015""","1,655",0,"1,655","3,327,834",466,"362,768",857,"1,149,484",204,43,130,"1,562","6,083,724",73,"89,181","1,272",0,440,518,"1,041",52,946,547,0,381,181,228,286,139,159,131,121,88,59,0
MN,27,Carlton,"=""017""","2,416",0,"2,416","4,957,375",667,"524,449","1,284","1,636,722",105,48,119,"2,316","8,718,521",43,"77,970","1,887",0,761,"1,122","1,121",79,"1,256",882,0,357,246,351,365,182,153,149,161,76,84,0
MN,27,Carver,"=""019""","3,193",0,"3,193","6,182,674",966,"805,927","1,563","2,101,627",158,138,265,"3,008","10,937,233",113,"166,998","2,527",0,781,"1,488","1,537",110,"1,888","1,011",0,779,305,424,472,238,226,253,235,159,144,0
MN,27,Cass,"=""021""","2,584",23,"2,584","6,024,926",708,"537,975","1,523","2,060,644",96,7,113,"2,450","9,991,137",55,"123,003","2,128",0,"1,106",867,"1,507",124,"1,530",854,0,520,259,414,443,244,215,226,134,52,61,0
MN,27,Chippewa,"=""023""",928,0,928,"2,052,912",251,"188,153",514,"661,779",51,0,44,886,"3,586,709",22,"37,413",728,0,282,225,615,22,511,330,0,155,89,108,129,82,63,59,43,32,30,0
MN,27,Chisago,"=""025""","2,902",0,"2,902","5,808,802",876,"687,952","1,529","1,950,937",205,86,227,"2,740","10,232,618",75,"158,977","2,403",0,714,"1,278","1,523",33,"1,620","1,057",0,684,276,423,520,265,219,208,212,179,147,0
MN,27,Clay,"=""027""","3,762",61,"3,762","7,916,345","1,058","814,722","2,034","2,751,604",325,140,401,"3,621","14,325,546",80,"144,830","3,202",0,"1,053","1,593","1,720",311,"2,173","1,220",0,613,500,532,608,331,339,363,297,168,154,0
MN,27,Clearwater,"=""029""",678,0,678,"1,562,010",186,"154,617",379,"575,638",21,0,28,641,"2,677,798",21,"33,252",570,0,240,201,424,0,393,213,0,178,44,64,63,55,37,40,29,27,28,0
MN,27,Cook,"=""031""",322,0,322,"576,930",98,"71,063",143,"186,348",0,0,0,292,"978,107",28,"20,401",234,0,54,125,85,70,208,69,0,97,23,42,45,24,0,0,0,0,0,0
MN,27,Cottonwood,"=""033""",828,0,828,"1,834,067",225,"197,545",473,"682,007",45,0,32,782,"3,435,243",0,"43,051",638,0,212,273,432,44,444,276,0,126,68,88,118,56,73,62,61,27,33,0
MN,27,Crow Wing,"=""035""","4,866",0,"4,866","10,174,282","1,278","981,098","2,585","3,362,626",289,161,358,"4,593","17,287,603",194,"243,297","4,024",0,"1,422","2,337","2,067",378,"2,911","1,563",0,"1,175",500,697,893,446,440,394,292,215,220,0
MN,27,Dakota,"=""037""","20,804",261,"20,804","44,079,150","6,538","5,162,854","11,421","14,810,037","1,750","1,330","2,038","19,773","76,822,884","1,013","976,287","17,242",0,"5,784","9,794","9,976",996,"10,870","8,336",0,"4,356","2,242","3,078","3,743","2,287","2,099","2,152","2,050","1,647","1,231",0
MN,27,Dodge,"=""039""","1,112",0,"1,112","2,432,611",348,"294,562",666,"866,938",98,51,78,"1,036","4,372,973",27,"77,606",915,0,281,462,587,23,653,398,0,261,53,106,195,73,67,70,77,59,54,0
MN,27,Douglas,"=""041""","2,267",0,"2,267","4,445,192",558,"435,082","1,145","1,491,680",162,69,155,"2,121","7,725,258",99,"153,744","1,809",0,528,680,"1,309",191,"1,413",637,0,544,253,322,359,187,146,124,134,98,107,0
MN,27,Faribault,"=""043""","1,095",0,"1,095","2,389,280",284,"214,420",573,"795,565",23,24,43,"1,010","4,159,139",0,"58,346",859,0,251,360,662,23,635,299,0,255,66,111,127,104,66,54,25,0,0,0
MN,27,Fillmore,"=""045""","1,285",0,"1,285","2,727,371",330,"256,407",682,"964,186",79,0,41,"1,164","4,660,128",42,"98,235","1,003",0,185,449,739,0,803,316,0,429,76,102,143,68,38,0,39,16,0,0
MN,27,Freeborn,"=""047""","2,404",0,"2,404","5,176,123",676,"537,901","1,302","1,736,094",112,56,110,"2,305","9,266,887",53,"87,036","1,913",0,491,603,"1,487",150,"1,661",516,0,371,217,365,350,209,179,151,176,128,92,0
MN,27,Goodhue,"=""049""","2,628",0,"2,628","5,284,453",845,"656,952","1,404","1,731,990",202,59,201,"2,491","9,390,918",41,"109,431","2,131",0,805,"1,158","1,317",87,"1,397",983,0,482,293,335,392,280,234,220,194,94,95,0
MN,27,Grant,"=""051""",383,0,383,"802,478",94,"80,255",183,"278,722",0,0,0,344,"1,388,103",0,"35,799",294,0,23,124,165,0,221,70,0,68,0,0,23,0,0,0,0,0,0,0
MN,27,Hennepin,"=""053""","73,634","2,167","73,634","163,411,960","19,179","14,531,435","40,360","53,741,118","3,959","4,267","5,548","69,738","268,658,084","3,786","3,286,385","60,435",0,"21,400","31,116","37,252","5,062","40,730","26,853",0,"16,889","8,419","12,756","15,387","8,464","7,139","6,787","5,990","4,262","3,070",0
MN,27,Houston,"=""055""","1,106",0,"1,106","2,159,382",277,"223,035",538,"693,961",63,0,61,"1,008","3,808,435",47,"86,413",851,0,224,371,649,59,701,320,0,336,151,142,165,86,61,80,34,0,49,0
MN,27,Hubbard,"=""057""","1,396",0,"1,396","2,972,461",322,"242,353",733,"1,001,244",83,0,92,"1,319","4,810,395",49,"70,913","1,147",0,379,603,592,137,782,462,0,391,166,257,260,125,79,86,89,67,64,0
MN,27,Isanti,"=""059""","2,251",0,"2,251","4,792,370",722,"580,495","1,261","1,615,939",152,105,209,"2,125","8,279,358",107,"110,991","1,888",0,633,"1,033","1,080",80,"1,261",823,0,515,256,298,371,229,211,228,187,160,147,0
MN,27,Itasca,"=""061""","3,133",0,"3,133","6,702,176",771,"610,218","1,633","2,202,682",119,53,201,"3,012","11,464,908",55,"115,315","2,550",0,951,"1,294","1,502",174,"1,417","1,275",0,491,297,473,545,268,213,205,173,136,131,0
MN,27,Jackson,"=""063""",627,0,627,"1,334,079",219,"173,596",361,"463,181",66,0,62,567,"2,538,153",23,"59,625",473,0,170,184,351,29,359,210,0,138,63,71,84,61,48,48,28,23,1,0
MN,27,Kanabec,"=""065""","1,216",0,"1,216","2,583,858",327,"250,225",665,"874,280",51,31,89,"1,141","4,292,829",40,"107,301",981,0,335,484,585,118,698,424,0,302,155,192,221,125,76,72,80,38,81,0
MN,27,Kandiyohi,"=""067""","3,566",138,"3,566","8,146,119","1,049","831,596","2,081","2,837,078",196,61,178,"3,435","14,374,875",68,"139,398","2,901",0,"1,075","1,223","2,154",109,"1,790","1,503",0,553,409,476,532,327,303,345,306,146,134,0
MN,27,Kittson,"=""069""",195,0,195,"470,642",50,"49,644",97,"166,523",0,0,0,184,"805,869",0,"7,864",155,0,0,23,99,0,109,22,0,44,0,0,0,0,0,0,0,0,0,0
MN,27,Koochiching,"=""071""",987,0,987,"2,107,782",174,"134,066",500,"648,317",39,0,54,953,"3,504,299",22,"11,322",808,0,247,306,398,200,527,303,0,187,132,135,163,117,84,52,43,29,24,0
MN,27,Lac qui Parle,"=""073""",393,0,393,"806,100",100,"73,232",179,"286,014",0,0,49,354,"1,421,896",0,"39,171",282,0,64,88,257,0,273,79,0,95,25,45,53,23,0,0,0,0,0,0
MN,27,Lake,"=""075""",607,0,607,"1,269,621",159,"121,134",313,"420,970",34,24,44,571,"2,199,008",25,"29,607",485,0,178,264,269,33,302,242,0,136,49,96,124,50,41,31,39,29,35,0
MN,27,Lake of the Woods,"=""077""",309,0,309,"595,591",66,"58,966",154,"187,573",0,0,0,283,"1,025,245",0,"18,842",231,0,50,93,195,0,153,132,0,93,32,43,47,30,0,0,0,0,0,0
