"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
MT,30,Beaverhead,"=""001""",563,0,563,"1,127,749",117,"96,176",277,"400,611",31,0,52,525,"1,860,952",36,"38,752",446,0,134,209,307,0,286,187,0,149,69,100,112,55,39,48,36,27,45,0
MT,30,Big Horn,"=""003""","1,662",0,"1,662","4,730,381",512,"397,392","1,185","1,556,729",0,0,23,"1,627","8,163,716",0,"26,698","1,477",0,"1,065",384,"1,150",26,645,850,0,78,123,228,242,197,159,124,103,64,21,0
MT,30,Blaine,"=""005""",713,0,713,"1,824,817",228,"178,750",475,"612,551",0,0,0,700,"3,218,448",0,"13,737",608,0,374,359,327,0,224,439,0,81,80,88,98,77,59,51,57,32,0,0
MT,30,Broadwater,"=""007""",367,0,367,"799,041",95,"78,213",190,"258,435",2,1,30,342,"1,359,173",1,"23,044",283,0,118,187,138,2,162,146,0,77,39,53,56,44,3,31,31,3,7,0
MT,30,Carbon,"=""009""",561,0,561,"1,163,429",149,"112,519",254,"343,431",0,0,22,512,"1,877,134",0,"46,669",408,0,96,269,236,0,318,113,0,174,23,41,55,31,30,29,0,0,0,0
MT,30,Carter,"=""011""",47,0,47,"108,155",9,"6,752",25,"44,256",0,0,0,40,"147,828",0,"13,929",24,0,0,0,29,0,39,0,0,31,0,0,0,0,0,0,0,0,0,0
MT,30,Cascade,"=""013""","6,977",31,"6,977","15,366,514","2,003","1,517,535","4,002","5,224,493",424,254,472,"6,783","27,921,976",156,"180,593","5,843",0,"2,581","3,319","2,690",757,"3,153","3,061",0,886,698,"1,099","1,258",737,616,600,499,431,439,0
MT,30,Chouteau,"=""015""",281,0,281,"627,230",86,"64,825",138,"211,253",0,0,0,259,"1,019,086",0,"24,341",174,0,25,104,135,0,105,92,0,70,0,28,27,0,0,0,0,0,0,0
MT,30,Custer,"=""017""",834,0,834,"1,857,496",243,"191,720",483,"604,240",56,28,70,802,"3,253,013",32,"24,823",687,0,330,437,376,21,347,390,0,176,93,135,160,107,101,67,60,50,54,0
MT,30,Daniels,"=""019""",68,0,68,"125,554",26,"21,461",34,"45,566",0,0,0,62,"225,387",0,"4,321",58,0,0,24,44,0,32,30,0,0,0,0,0,0,0,0,0,0,0,0
MT,30,Dawson,"=""021""",520,0,520,"1,103,001",153,"116,111",276,"355,022",26,0,40,504,"1,963,591",0,"10,296",408,0,208,225,240,33,215,228,0,89,55,76,90,68,60,44,45,26,31,0
MT,30,Deer Lodge,"=""023""",732,0,732,"1,476,402",168,"115,650",352,"457,258",22,0,34,702,"2,465,096",28,"17,671",561,0,241,299,346,82,390,266,0,104,137,114,136,97,71,66,48,35,25,0
MT,30,Fallon,"=""025""",135,0,135,"290,769",38,"36,003",76,"99,598",0,0,0,129,"535,759",0,"6,388",100,0,36,59,75,0,79,52,0,36,0,23,27,0,0,0,0,0,0,0
MT,30,Fergus,"=""027""",763,0,763,"1,637,021",208,"171,140",395,"530,533",38,24,53,704,"2,679,720",30,"55,963",559,0,222,335,344,29,336,280,0,141,65,122,150,77,67,71,50,38,39,0
MT,30,Flathead,"=""029""","7,671",0,"7,671","16,876,972","1,952","1,487,041","4,186","5,788,654",370,171,421,"7,217","27,380,184",387,"407,010","6,336",0,"2,392","3,985","3,273",288,"4,311","2,569",0,"2,095",683,"1,264","1,566",840,662,629,555,410,416,21
MT,30,Gallatin,"=""031""","5,810",0,"5,810","10,187,689","1,409","1,144,964","2,644","3,525,479",283,293,607,"5,425","17,529,518",296,"371,731","4,580",0,"1,665","3,301","2,116",319,"3,133","1,955",0,"1,725",674,"1,078","1,300",411,418,371,395,289,384,0
MT,30,Garfield,"=""033""",44,0,44,"86,363",9,"16,027",22,"31,201",0,0,0,37,"141,580",0,"7,998",30,0,0,22,22,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,30,Glacier,"=""035""","1,801",30,"1,801","4,775,394",517,"409,960","1,242","1,548,608",32,0,33,"1,772","7,872,887",0,"28,064","1,607",0,"1,172",613,"1,085",97,633,"1,014",0,275,198,297,280,218,200,167,160,106,68,0
MT,30,Golden Valley,"=""037""",57,0,57,"105,567",12,"8,079",18,"33,228",0,0,0,52,"161,978",0,"3,834",23,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,30,Granite,"=""039""",151,0,151,"293,891",30,"22,781",69,"99,104",0,0,0,140,"486,651",0,"6,554",113,0,32,88,61,0,83,34,0,28,0,0,0,0,0,0,0,0,0,0
MT,30,Hill,"=""041""","1,507",25,"1,507","3,621,408",404,"324,176",916,"1,182,440",80,33,59,"1,467","6,261,380",36,"33,622","1,221",0,747,648,763,59,597,752,0,206,186,282,281,181,154,121,106,78,91,0
MT,30,Jefferson,"=""043""",530,0,530,"1,161,219",124,"100,896",271,"431,070",1,1,1,497,"2,006,260",1,"30,048",400,0,152,273,215,1,252,182,0,142,33,76,46,24,1,23,1,1,1,0
MT,30,Judith Basin,"=""045""",77,0,77,"119,961",18,"16,333",18,"41,115",0,0,0,67,"199,186",0,"10,622",48,0,0,0,27,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
