"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
NC,37,Alamance,"=""001""","16,113",294,"16,113","39,899,205","4,384","3,215,485","9,708","12,104,699","1,068",645,473,"15,702","65,471,563",370,"408,877","14,130",0,"7,615","8,030","7,609",403,"8,022","6,917",0,"3,142","1,229","2,613","3,495","2,249","1,717","1,657","1,288",986,717,0
NC,37,Alexander,"=""003""","3,356",25,"3,356","7,789,789",980,"731,390","1,914","2,468,258",137,64,48,"3,211","13,662,767",129,"134,209","2,842",4,"1,205","1,303","1,889",163,"1,742","1,345",0,737,327,489,637,441,366,344,300,235,209,0
NC,37,Alleghany,"=""005""","1,006",0,"1,006","2,358,491",216,"156,981",567,"716,858",29,0,0,942,"3,865,672",36,"46,258",833,0,488,184,736,32,558,354,0,344,71,104,196,83,51,43,34,33,38,0
NC,37,Anson,"=""007""","3,256",33,"3,256","8,666,213",745,"497,198","1,992","2,369,202",220,101,26,"3,185","13,827,561",35,"58,597","2,827",0,"2,116",988,"2,193",43,"1,412","1,645",0,586,212,543,705,476,412,330,207,93,41,0
NC,37,Ashe,"=""009""","2,191",0,"2,191","4,891,432",482,"362,734","1,166","1,440,934",41,0,0,"2,034","7,954,121",85,"143,608","1,770",0,735,777,"1,135",171,"1,474",588,0,757,181,406,455,266,165,124,92,57,63,0
NC,37,Avery,"=""011""","1,317",0,"1,317","2,829,641",308,"245,508",676,"910,567",11,0,37,"1,197","4,514,111",98,"102,411","1,008",0,489,428,774,50,732,415,0,439,104,196,286,167,104,82,64,63,63,0
NC,37,Beaufort,"=""013""","5,302",79,"5,302","14,128,077","1,245","851,715","3,323","4,033,140",163,150,63,"5,170","21,929,239",65,"90,814","4,564",0,"2,719","2,429","2,690",142,"3,236","1,773",0,"1,112",388,938,"1,192",784,528,476,265,190,113,0
NC,37,Bertie,"=""015""","2,882",22,"2,882","7,366,872",699,"467,076","1,713","1,947,353",82,76,38,"2,830","12,066,816",25,"49,633","2,598",0,"1,306","1,889",778,149,"1,321","1,402",0,337,182,434,503,464,369,292,176,100,28,0
NC,37,Bladen,"=""017""","3,716",26,"3,716","9,943,402","1,002","669,203","2,295","2,761,214",143,102,65,"3,642","15,945,176",22,"51,170","3,281",0,"2,121","1,739","1,884",66,"2,010","1,537",0,701,262,578,755,481,440,398,259,128,91,0
NC,37,Brunswick,"=""019""","9,188",33,"9,188","21,693,822","2,093","1,542,482","5,213","6,442,623",372,270,268,"8,748","33,748,267",392,"351,244","7,666",0,"4,145","4,210","4,575",338,"5,457","3,127",0,"2,685",938,"1,624","2,087","1,273",868,763,582,427,331,0
NC,37,Buncombe,"=""021""","21,168",137,"21,168","44,001,797","4,882","3,619,718","10,693","13,469,001","1,016",672,"1,140","19,847","71,505,967","1,237","1,134,016","17,255",0,"7,508","10,772","9,030","1,215","11,173","7,665",0,"5,992","2,465","3,946","4,768","2,447","1,851","1,726","1,392","1,092",872,0
NC,37,Burke,"=""023""","7,915",67,"7,915","18,288,965","2,190","1,664,238","4,463","5,480,074",283,208,239,"7,650","31,174,286",230,"231,451","6,847",3,"3,277","2,985","4,369",494,"4,261","3,085",0,"1,591",672,"1,260","1,498","1,027",814,723,629,457,397,0
NC,37,Cabarrus,"=""025""","15,876",272,"15,876","39,573,736","4,163","3,168,983","9,785","12,647,926","1,028",871,735,"15,364","64,833,364",508,"461,438","13,987",85,"7,733","6,237","9,128",398,"9,292","5,639",0,"3,903","1,277","2,453","3,328","2,164","1,663","1,519","1,360","1,065",906,1
NC,37,Caldwell,"=""027""","8,453",71,"8,453","20,168,006","2,305","1,674,566","4,932","5,908,302",398,234,208,"8,127","33,565,708",312,"255,905","7,284",2,"3,644","3,791","4,304",350,"4,399","3,412",0,"1,699",752,"1,353","1,605","1,136",957,847,691,471,424,0
NC,37,Camden,"=""029""",645,0,645,"1,371,032",203,"182,575",379,"468,294",26,0,24,606,"2,523,996",0,"49,248",552,0,283,373,251,0,355,247,0,157,30,103,121,40,37,32,58,29,61,0
NC,37,Carteret,"=""031""","5,654",0,"5,654","12,558,868","1,286","930,690","3,036","3,688,380",227,146,153,"5,324","20,238,617",253,"263,665","4,686",0,"2,203","2,836","2,465",216,"3,191","1,904",0,"1,528",503,"1,021","1,184",657,506,438,311,263,207,0
NC,37,Caswell,"=""033""","1,725",0,"1,725","4,263,532",443,"308,209","1,005","1,244,367",48,22,0,"1,686","7,074,059",0,"23,555","1,509",0,794,743,860,76,"1,002",620,0,301,97,233,389,208,149,87,94,35,43,0
NC,37,Catawba,"=""035""","15,104",188,"15,104","35,611,106","4,168","3,123,481","8,860","11,137,738",814,480,501,"14,622","61,155,104",447,"454,553","13,082",88,"6,317","6,593","7,901",571,"8,155","5,773",0,"2,924","1,333","2,454","2,974","1,939","1,673","1,513","1,305",945,762,0
NC,37,Chatham,"=""037""","3,832",51,"3,832","9,025,128","1,032","730,123","2,204","2,777,347",163,115,97,"3,655","14,915,807",148,"163,189","3,217",0,"1,434","1,510","2,075",198,"2,219","1,406",0,938,311,604,750,474,381,377,239,162,124,0
