"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
ND,38,Adams,"=""001""",100,0,100,"204,162",24,"20,673",45,"65,502",0,0,0,89,"389,601",0,"14,320",75,0,24,39,60,0,65,25,0,37,0,0,0,0,0,0,0,0,0,0
ND,38,Barnes,"=""003""",557,0,557,"1,110,931",143,"131,084",261,"344,934",32,0,48,527,"2,030,598",0,"22,762",420,0,111,219,293,0,237,173,0,103,91,101,102,45,39,36,37,24,33,0
ND,38,Benson,"=""005""",806,0,806,"2,002,040",201,"184,517",523,"743,407",0,0,0,766,"3,652,367",0,"17,569",653,0,459,151,420,42,206,419,0,0,100,105,69,35,66,28,37,26,0,0
ND,38,Bottineau,"=""009""",303,0,303,"660,980",77,"54,883",145,"216,400",21,0,30,267,"1,133,764",0,"20,223",231,0,67,56,163,0,126,78,0,75,29,33,32,0,25,0,0,0,0,0
ND,38,Bowman,"=""011""",113,0,113,"232,941",35,"33,233",47,"79,183",0,0,0,104,"426,778",0,"8,091",59,0,30,46,42,0,53,22,0,0,0,21,0,0,0,0,0,0,0,0
ND,38,Burke,"=""013""",46,0,46,"144,472",13,"12,715",18,"72,926",0,0,0,45,"277,495",0,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ND,38,Burleigh,"=""015""","4,283",53,"4,283","8,262,506","1,356","1,085,519","2,231","2,633,731",414,163,539,"4,110","15,894,916",150,"189,014","3,518",0,"1,566","2,109","1,870",217,"2,075","1,755",0,666,551,681,787,412,384,414,401,299,213,0
ND,38,Cass,"=""017""","9,884",312,"9,884","20,677,779","2,815","2,162,226","5,300","6,787,807","1,034",595,"1,201","9,570","38,456,703",281,"350,740","8,273",0,"2,912","4,512","4,666",617,"5,691","3,290",0,"1,402",953,"1,574","1,793","1,019","1,023","1,004",899,637,450,0
ND,38,Cavalier,"=""019""",129,0,129,"309,376",38,"35,278",63,"95,291",0,0,0,120,"537,456",0,"38,092",94,0,29,46,83,0,65,54,0,47,0,23,0,0,21,0,0,0,0,0
ND,38,Dickey,"=""021""",242,0,242,"581,182",62,"44,404",143,"223,235",0,0,0,222,"1,033,139",0,"14,063",195,0,66,105,137,0,135,96,0,93,0,0,46,0,0,0,0,0,0,0
ND,38,Divide,"=""023""",70,0,70,"147,032",9,"16,137",39,"45,411",0,0,0,64,"258,990",0,"7,274",49,0,0,33,37,0,33,29,0,0,0,0,0,0,0,0,0,0,0,0
ND,38,Dunn,"=""025""",130,0,130,"266,733",44,"38,230",75,"91,236",0,0,0,122,"527,666",0,"9,808",115,0,64,63,62,0,67,56,0,0,0,0,0,0,0,0,0,0,0,0
ND,38,Eddy,"=""027""",137,0,137,"288,226",38,"36,298",76,"113,672",0,0,0,130,"560,743",0,"8,499",117,0,34,60,50,0,57,50,0,31,0,0,0,0,0,0,0,0,0,0
ND,38,Emmons,"=""029""",153,0,153,"310,813",38,"27,024",62,"111,471",0,0,0,132,"511,096",0,"15,828",56,0,0,26,93,0,93,0,0,42,0,0,22,0,0,0,0,0,0,0
