"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
NE,31,Adams,"=""001""","2,340",46,"2,340","5,386,971",677,"545,749","1,399","1,863,717",215,120,99,"2,273","9,824,477",60,"59,857","2,062",0,887,"1,160","1,001",92,"1,031","1,049",0,405,216,332,419,214,223,197,190,130,164,0
NE,31,Antelope,"=""003""",413,0,413,"1,040,607",114,"98,329",248,"407,293",0,0,0,380,"1,725,287",0,"35,951",315,0,82,123,257,0,266,99,0,162,0,0,0,0,0,0,0,0,0,0
NE,31,Arthur,"=""005""",25,0,25,"39,950",7,"5,107",9,"14,108",0,0,0,9,"61,788",0,"12,899",0,0,0,0,0,0,22,0,0,21,0,0,0,0,0,0,0,0,0,0
NE,31,Banner,"=""007""",36,0,36,"95,122",9,"8,781",9,"38,290",0,0,0,33,"140,339",0,"3,657",29,0,0,0,26,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,31,Blaine,"=""009""",23,0,23,"58,549",5,"3,533",9,"27,442",0,0,0,9,"83,711",0,"4,870",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,31,Boone,"=""011""",310,0,310,"627,207",89,"90,051",154,"235,784",0,0,0,276,"1,186,483",0,"44,639",247,0,36,72,209,0,192,90,0,100,0,0,29,0,0,0,0,0,0,0
NE,31,Box Butte,"=""013""",798,0,798,"1,893,913",224,"167,443",474,"669,181",53,0,44,758,"3,263,508",31,"40,631",696,0,357,253,528,0,366,368,0,174,80,125,113,82,84,74,66,39,46,0
NE,31,Boyd,"=""015""",105,0,105,"205,833",26,"27,248",41,"81,411",0,0,0,94,"361,730",0,"12,951",58,0,0,0,74,0,56,0,0,46,0,0,0,0,0,0,0,0,0,0
NE,31,Brown,"=""017""",200,0,200,"473,577",57,"47,120",115,"169,252",0,0,0,189,"813,202",0,"11,540",167,0,47,65,120,0,127,46,0,63,0,22,29,22,0,0,0,0,0,0
NE,31,Buffalo,"=""019""","3,102",0,"3,102","6,730,604",955,"777,475","1,754","2,410,552",288,109,219,"2,976","12,504,812",83,"114,950","2,708",0,"1,137","1,294","1,599",96,"1,567","1,221",0,651,231,395,570,268,250,192,257,236,199,0
NE,31,Burt,"=""021""",468,0,468,"1,000,875",117,"104,467",236,"346,454",0,0,0,428,"1,745,868",0,"53,412",393,0,137,141,262,0,210,185,0,116,0,26,38,0,0,0,0,0,0,0
NE,31,Butler,"=""023""",421,0,421,"904,498",127,"121,091",217,"332,349",0,0,0,357,"1,690,398",0,"46,530",297,0,78,94,200,0,170,120,0,68,21,31,26,27,28,21,27,24,29,0
NE,31,Cass,"=""025""","1,358",0,"1,358","3,002,127",402,"356,000",760,"1,118,128",49,30,52,"1,297","5,546,093",23,"58,344","1,201",0,377,724,537,0,618,515,0,236,74,107,143,83,79,79,87,52,69,0
NE,31,Cedar,"=""027""",413,0,413,"870,906",109,"92,374",224,"377,102",0,0,0,367,"1,573,460",0,"71,713",318,0,25,94,249,0,271,81,0,166,21,0,0,0,0,0,22,0,0,0
NE,31,Chase,"=""029""",182,0,182,"455,716",46,"55,600",107,"171,844",0,0,0,164,"789,223",0,"23,622",144,0,33,39,121,0,116,42,0,73,0,0,23,0,0,0,0,0,0,0
NE,31,Cherry,"=""031""",337,0,337,"817,297",94,"75,479",202,"306,652",0,0,24,305,"1,398,943",0,"21,972",255,0,111,66,235,0,160,133,0,92,32,57,56,39,28,26,24,22,29,0
NE,31,Cheyenne,"=""033""",648,0,648,"1,352,987",202,"178,993",332,"470,573",46,0,38,614,"2,593,129",21,"28,877",555,0,222,238,283,38,312,206,0,91,55,81,88,43,58,53,49,45,38,0
NE,31,Clay,"=""035""",420,0,420,"944,366",114,"105,178",248,"337,364",0,0,0,395,"1,728,080",0,"25,049",332,0,78,146,169,0,205,100,0,40,0,0,23,0,0,0,0,0,0,0
NE,31,Colfax,"=""037""",955,60,955,"2,330,968",400,"314,716",672,"958,249",97,51,21,928,"4,652,765",0,"33,478",819,0,230,271,650,0,528,335,0,158,34,68,101,76,87,139,147,76,57,0
NE,31,Cuming,"=""039""",489,0,489,"1,121,134",140,"116,661",288,"399,271",28,0,21,459,"2,058,712",0,"22,928",397,0,111,126,338,0,256,187,0,113,0,39,63,25,32,32,21,24,25,0
NE,31,Custer,"=""041""",732,0,732,"1,685,750",183,"168,733",431,"613,900",29,0,0,663,"2,970,205",0,"66,726",589,0,167,128,542,0,402,182,0,276,30,74,59,40,23,31,35,28,31,0
NE,31,Dakota,"=""043""","2,291",78,"2,291","6,042,941",864,"661,038","1,543","2,177,825",129,67,50,"2,256","11,253,971",27,"33,511","2,058",0,685,485,"1,725",36,"1,039","1,080",0,258,108,217,332,278,256,346,212,158,128,0
NE,31,Dawes,"=""045""",535,0,535,"1,158,029",102,"79,353",287,"379,490",28,0,48,502,"1,839,275",26,"19,856",449,0,232,195,336,0,296,195,0,164,54,95,88,44,33,42,24,0,35,0
NE,31,Dawson,"=""047""","2,669",122,"2,669","6,768,172","1,054","809,202","1,804","2,443,844",173,75,77,"2,623","12,601,032",0,"59,142","2,290",0,828,915,"1,618",96,"1,334","1,229",0,382,143,269,380,317,329,434,269,195,193,0
NE,31,Deuel,"=""049""",149,0,149,"328,193",34,"27,115",80,"113,774",0,0,0,138,"552,475",0,"5,984",127,0,53,68,80,0,75,63,0,27,0,0,0,0,0,0,0,0,0,0
NE,31,Dixon,"=""051""",342,0,342,"773,510",102,"87,378",196,"285,240",0,0,0,322,"1,476,199",0,"15,580",249,0,33,71,231,0,167,138,0,96,0,0,20,0,18,0,0,0,0,0
NE,31,Dodge,"=""053""","2,875",40,"2,875","6,465,287",908,"705,211","1,639","2,178,008",214,91,144,"2,788","12,051,837",63,"100,937","2,508",0,984,"1,328","1,452",22,"1,242","1,317",0,486,208,384,416,302,245,270,245,185,136,0
NE,31,Douglas,"=""055""","41,152",868,"41,152","100,831,965","11,400","8,435,937","25,240","34,037,724","3,416","1,763","2,460","40,011","172,032,254","1,019","1,046,481","36,548",0,"16,781","20,918","17,945","2,201","20,119","17,773",0,"7,163","3,609","6,616","8,348","5,222","4,387","4,255","3,645","2,499","2,038",0
NE,31,Dundy,"=""057""",78,0,78,"185,688",22,"16,214",39,"62,226",0,0,0,73,"307,450",0,"1,910",65,0,30,28,49,0,44,32,0,24,0,0,0,0,0,0,0,0,0,0
NE,31,Fillmore,"=""059""",233,0,233,"575,496",54,"58,379",111,"182,393",0,0,0,217,"986,518",0,"23,781",189,0,43,40,160,0,125,72,0,41,22,0,25,0,0,0,0,0,0,0
NE,31,Franklin,"=""061""",147,0,147,"338,106",40,"30,558",77,"125,331",0,0,0,113,"590,529",0,"13,863",89,0,22,36,40,0,49,23,0,32,0,0,0,0,0,0,0,0,0,0
NE,31,Frontier,"=""063""",137,0,137,"338,618",27,"28,393",69,"136,322",0,0,0,128,"585,071",0,"8,596",117,0,24,23,83,0,89,0,0,29,0,0,0,0,0,0,0,0,0,0
NE,31,Furnas,"=""065""",344,0,344,"750,579",97,"85,508",191,"264,475",0,0,0,319,"1,309,465",0,"31,156",293,0,97,120,192,0,166,136,0,83,0,0,0,0,0,0,0,0,0,0
NE,31,Gage,"=""067""","1,573",0,"1,573","3,455,164",482,"380,041",870,"1,160,024",90,35,81,"1,515","6,427,282",35,"73,661","1,301",0,488,710,774,0,685,633,0,321,144,180,200,141,117,142,117,70,61,0
NE,31,Garden,"=""069""",125,0,125,"298,160",28,"20,794",69,"95,596",0,0,0,117,"461,774",0,"6,734",105,0,39,67,47,0,73,39,0,32,0,0,0,0,0,0,0,0,0,0
NE,31,Garfield,"=""071""",136,0,136,"251,582",41,"33,317",67,"103,399",0,0,0,121,"433,624",0,"22,419",98,0,0,29,107,0,104,26,0,77,26,0,24,0,0,0,0,0,0,0
NE,31,Gosper,"=""073""",94,0,94,"257,111",32,"18,909",63,"89,184",0,0,0,90,"428,310",0,937,85,0,36,33,60,0,47,43,0,25,0,0,0,0,0,0,0,0,0,0
NE,31,Grant,"=""075""",47,0,47,"90,351",15,"10,653",18,"34,789",0,0,0,30,"137,688",0,"8,171",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,31,Greeley,"=""077""",170,0,170,"345,775",35,"35,874",73,"139,472",0,0,0,149,"602,561",0,"22,944",119,0,0,0,139,0,101,0,0,57,0,0,0,0,0,0,0,0,0,0
NE,31,Hall,"=""079""","6,299",266,"6,299","15,353,094","2,106","1,539,394","4,107","5,506,895",632,374,199,"6,182","28,917,086",99,"98,657","5,515",0,"2,622","3,188","3,031",71,"2,875","2,990",0,949,394,839,"1,014",677,696,890,549,402,322,0
NE,31,Hamilton,"=""081""",477,0,477,"999,801",142,"125,788",254,"363,723",28,0,29,455,"1,891,588",0,"24,733",394,0,120,174,243,0,211,174,0,75,32,45,56,29,32,28,36,21,38,0
NE,31,Harlan,"=""083""",190,0,190,"458,034",45,"43,932",86,"150,761",0,0,0,178,"772,864",0,"13,957",134,0,41,43,102,0,91,39,0,40,0,26,0,0,0,0,0,0,0,0
NE,31,Hayes,"=""085""",34,0,34,"87,528",6,"3,583",11,"35,506",0,0,0,29,"138,229",0,"13,530",5,0,0,0,25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,31,Hitchcock,"=""087""",210,0,210,"479,174",50,"55,061",113,"187,004",0,0,0,194,"817,027",0,"21,082",169,0,21,52,122,0,115,54,0,24,0,0,0,0,0,0,0,0,0,0
NE,31,Holt,"=""089""",723,0,723,"1,613,660",193,"145,217",385,"598,537",33,0,29,644,"2,754,483",29,"73,233",523,0,122,189,443,0,476,155,0,311,54,59,90,36,35,28,25,28,23,0
NE,31,Hooker,"=""091""",42,0,42,"106,879",6,"4,099",25,"43,576",0,0,0,36,"176,582",0,"6,401",34,0,0,0,30,0,31,0,0,26,0,0,0,0,0,0,0,0,0,0
NE,31,Howard,"=""093""",342,0,342,"811,973",109,"109,005",204,"295,042",22,0,0,319,"1,544,347",0,"23,125",263,0,68,61,217,0,167,83,0,80,21,29,36,23,0,0,0,0,31,0
NE,31,Jefferson,"=""095""",521,0,521,"1,083,306",136,"108,907",262,"392,464",31,0,27,481,"2,071,424",22,"28,246",428,0,213,145,306,0,192,191,0,91,56,64,87,38,38,45,43,26,35,0
NE,31,Johnson,"=""097""",311,0,311,"654,062",87,"89,634",167,"225,395",0,0,0,297,"1,223,333",0,"10,575",261,0,77,108,182,0,109,137,0,47,23,35,32,0,0,30,24,23,0,0
NE,31,Kearney,"=""099""",375,0,375,"853,505",134,"98,846",218,"313,895",0,0,21,354,"1,548,707",0,"20,226",322,0,113,163,194,0,179,131,0,94,23,43,40,27,30,26,27,23,23,0
NE,31,Keith,"=""101""",621,0,621,"1,393,936",139,"118,721",343,"456,505",42,21,25,581,"2,413,156",30,"50,666",530,0,159,221,377,0,296,242,0,153,55,78,113,61,47,33,37,25,39,0
NE,31,Keya Paha,"=""103""",36,0,36,"80,298",9,"7,085",21,"29,415",0,0,0,31,"113,490",0,"5,082",28,0,0,0,28,0,28,0,0,25,0,0,0,0,0,0,0,0,0,0
NE,31,Kimball,"=""105""",257,0,257,"525,584",71,"64,211",121,"172,991",0,0,0,224,"967,134",0,"16,722",199,0,108,88,116,0,88,100,0,51,0,33,54,27,0,0,21,0,0,0
NE,31,Knox,"=""107""",640,0,640,"1,478,154",175,"134,941",371,"550,128",0,0,0,590,"2,538,906",0,"58,256",515,0,169,205,424,0,361,209,0,225,56,26,35,24,24,25,0,0,0,0
NE,31,Lancaster,"=""109""","19,588",266,"19,588","42,933,169","5,342","4,162,723","10,967","14,896,881","1,762",969,"1,565","18,926","76,300,889",527,"639,293","17,036",0,"6,223","10,168","7,868","1,246","9,592","8,060",0,"3,409","1,908","3,223","3,688","2,058","1,908","1,796","1,606","1,357","1,143",0
NE,31,Lincoln,"=""111""","2,689",26,"2,689","6,039,997",718,"567,229","1,514","1,945,304",137,53,118,"2,606","10,659,818",54,"77,635","2,357",0,"1,093","1,234","1,271",100,"1,318","1,023",0,381,247,399,504,272,241,188,162,163,138,0
NE,31,Logan,"=""113""",52,0,52,"125,662",9,"8,015",31,"60,671",0,0,0,47,"207,768",0,"5,126",41,0,0,0,34,0,37,0,0,28,0,0,0,0,0,0,0,0,0,0
NE,31,Loup,"=""115""",25,0,25,"58,767",7,"5,041",9,"21,953",0,0,0,23,"88,931",0,"1,378",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,31,McPherson,"=""117""",24,0,24,"61,834",8,"5,220",9,"25,557",0,0,0,23,"91,787",0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,31,Madison,"=""119""","2,752",31,"2,752","6,409,404",817,"615,276","1,644","2,235,473",231,99,158,"2,653","11,681,326",56,"104,171","2,340",0,974,"1,211","1,457",46,"1,209","1,245",0,481,225,367,430,305,287,280,234,150,146,0
