"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
NJ,34,Atlantic,"=""001""","27,478",473,"27,478","67,241,867","6,960","4,738,026","16,359","19,878,911","1,905","1,502","1,106","26,760","116,874,762",639,"614,861","22,948",0,"11,217","10,965","16,007",259,"14,424","10,582",0,"4,887","2,116","4,041","5,738","3,929","3,206","2,851","2,210","1,422",959,0
NJ,34,Bergen,"=""003""","43,505",935,"43,505","88,236,160","8,742","6,439,726","19,754","24,717,939","2,315","2,832","2,418","39,081","143,727,355","4,111","4,344,679","29,830",0,"8,796","11,400","31,610",86,"29,374","10,493",0,"15,439","4,622","7,884","9,193","4,849","3,749","3,651","3,237","2,436","1,828",0
NJ,34,Burlington,"=""005""","23,918",225,"23,918","49,550,989","6,677","5,217,848","12,828","15,848,460","1,894","1,770","1,718","22,992","94,451,174",818,"1,055,062","19,801",0,"8,451","11,888","11,525",270,"12,046","9,530",0,"4,209","2,260","3,820","4,493","2,574","2,276","2,452","2,250","1,736","1,414",0
NJ,34,Camden,"=""007""","42,295",896,"42,295","101,144,084","11,254","8,075,500","25,047","30,423,948","2,681","2,239","2,173","41,120","175,131,960","1,032","1,039,956","35,905",0,"17,877","19,316","22,250",502,"21,477","17,169",0,"6,642","3,904","7,185","8,779","5,591","4,756","4,240","3,435","2,373","1,564",0
NJ,34,Cape May,"=""009""","6,827",69,"6,827","14,392,304","1,608","1,140,841","3,539","4,086,665",239,230,332,"6,599","25,154,398",175,"246,237","5,643",0,"2,671","3,245","3,294",70,"2,956","2,847",0,"1,080",675,"1,297","1,544",792,590,535,438,296,200,0
NJ,34,Cumberland,"=""011""","15,180",373,"15,180","37,843,804","4,262","3,145,314","9,648","11,870,035","1,313",754,478,"14,955","68,277,205",200,"208,902","13,163",0,"7,188","6,741","8,099",143,"7,704","6,193",0,"1,817","1,147","2,313","3,035","2,003","1,667","1,473","1,344",866,647,0
NJ,34,Essex,"=""013""","79,494","2,571","79,494","206,050,921","17,190","11,717,447","49,214","59,734,648","6,847","5,388","2,616","76,847","340,068,355","2,558","2,300,893","68,111",0,"42,167","21,596","55,155","2,655","48,761","25,824",0,"22,620","5,911","14,173","19,177","11,632","8,217","7,334","6,088","3,934","2,185",0
NJ,34,Gloucester,"=""015""","15,529",100,"15,529","33,300,294","3,977","2,962,591","8,338","9,936,403",939,846,969,"15,022","60,207,496",401,"501,889","13,038",0,"5,794","7,734","7,415",219,"7,797","6,150",0,"2,561","1,586","2,741","3,156","1,775","1,427","1,405","1,203",952,628,0
NJ,34,Hudson,"=""017""","65,860","2,501","65,860","160,406,881","13,680","9,547,609","36,318","44,788,059","4,290","3,856","2,417","61,387","257,101,859","4,460","3,693,667","51,407",0,"20,980","14,869","50,235",707,"42,113","18,872",0,"20,145","5,549","12,208","15,812","9,606","6,650","5,695","4,687","3,422","2,069",0
NJ,34,Hunterdon,"=""019""","3,093",33,"3,093","5,090,993",627,"493,491","1,177","1,393,596",40,46,74,"2,807","8,934,063",120,"281,278","2,041",0,493,"1,326","1,525",81,"1,872",816,0,918,302,625,589,121,99,91,70,49,47,0
NJ,34,Mercer,"=""021""","23,464",722,"23,464","54,002,262","6,006","4,298,900","13,574","16,325,123","1,928","1,401",898,"22,584","95,634,885",831,"879,011","19,113",0,"9,525","9,594","13,034",668,"13,002","8,426",0,"4,447","2,235","4,071","4,828","2,835","2,433","2,283","1,924","1,381",887,0
NJ,34,Middlesex,"=""023""","49,199","1,709","49,199","109,157,474","11,942","8,585,191","26,012","32,067,304","3,322","3,145","2,300","46,426","187,826,247","2,669","2,777,342","38,121",0,"13,102","14,690","33,709",507,"28,836","16,226",0,"12,073","4,268","8,334","10,168","6,358","5,269","4,687","4,217","2,994","2,192",0
NJ,34,Monmouth,"=""025""","27,412",370,"27,412","55,027,167","5,796","4,214,450","12,801","15,616,380","1,222","1,332","1,436","25,794","94,170,964","1,372","1,523,882","20,240",0,"8,614","11,256","15,001",821,"14,906","9,322",0,"6,272","3,171","5,132","5,945","2,892","2,371","2,165","1,883","1,263",881,0
NJ,34,Morris,"=""027""","15,518",204,"15,518","28,954,667","3,238","2,416,798","6,772","8,295,176",721,821,806,"14,358","51,204,217",879,"1,098,434","10,974",0,"2,592","5,715","9,147",290,"9,523","4,180",0,"4,128","1,680","2,786","3,200","1,350","1,149","1,189","1,052",749,505,0
NJ,34,Ocean,"=""029""","31,936",375,"31,936","74,956,728","6,970","5,117,960","17,583","27,282,968","1,940","1,455","1,664","30,486","125,162,723","1,316","1,501,218","23,849",0,"8,316","12,489","18,692",620,"18,583","10,267",0,"7,871","2,998","5,152","6,283","3,878","3,430","3,041","2,551","2,035","1,742",70
NJ,34,Passaic,"=""031""","52,859","1,954","52,859","133,438,625","12,341","8,335,001","31,636","38,993,750","3,799","2,948","1,866","50,584","222,776,823","2,211","1,977,810","43,258",0,"19,431","11,209","40,885",548,"32,428","16,845",0,"13,698","3,957","8,983","12,074","7,897","5,989","4,992","3,968","2,649","1,680",0
NJ,34,Salem,"=""033""","4,732",37,"4,732","11,130,732","1,275","960,074","2,770","3,321,238",243,174,188,"4,647","19,797,918",23,"79,924","4,117",0,"2,146","2,648","1,888",99,"1,920","2,260",0,483,462,817,920,637,454,395,354,266,196,0
NJ,34,Somerset,"=""035""","13,019",304,"13,019","26,925,431","3,209","2,323,521","6,572","8,091,501",912,818,583,"12,255","48,174,920",671,"724,238","9,839",0,"3,729","4,457","8,086",270,"7,675","4,135",0,"3,037","1,359","2,128","2,516","1,379","1,184","1,241","1,039",779,523,0
NJ,34,Sussex,"=""037""","6,113",0,"6,113","11,289,764","1,388","1,093,972","2,650","3,133,886",267,217,385,"5,718","20,203,360",215,"399,173","4,668",0,"1,718","2,824","3,139",43,"3,387","1,966",0,"1,462",729,"1,111","1,277",535,442,484,398,246,203,0
NJ,34,Union,"=""039""","41,764","1,224","41,764","98,164,511","10,275","7,264,727","23,806","28,895,067","3,080","2,973","1,624","39,410","167,510,619","2,281","2,347,402","33,171",0,"15,019","12,203","28,980",447,"25,398","13,256",0,"11,615","3,264","6,974","9,021","5,719","4,376","4,143","3,442","2,607","1,558",0
NJ,34,Warren,"=""041""","5,528",29,"5,528","11,410,077","1,353","1,017,870","2,731","3,373,342",232,221,263,"5,255","20,246,884",203,"269,891","4,357",0,"1,713","2,458","2,879",117,"2,661","2,146",0,"1,130",597,949,"1,124",527,464,406,402,273,201,0
