"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
NM,35,Bernalillo,"=""001""","60,398","1,222","60,398","140,912,288","17,348","12,783,607","35,336","44,234,830","3,052","2,976","3,453","58,329","234,612,873","1,921","1,616,274","52,714",22,"23,203","31,339","25,328","3,351","28,403","26,974",0,"10,690","5,973","9,700","11,993","7,591","6,498","6,217","4,944","3,556","2,642",38
NM,35,Catron,"=""003""",163,0,163,"345,828",28,"17,693",71,"96,741",0,0,0,144,"491,801",0,"18,095",101,0,0,56,51,0,95,0,0,51,0,0,0,0,0,0,0,0,0,0
NM,35,Chaves,"=""005""","7,000",114,"7,000","17,886,959","2,018","1,580,999","4,433","5,731,558",225,190,146,"6,857","30,281,461",109,"130,413","6,123",0,"3,172","3,366","3,580",29,"2,483","3,890",0,"1,030",640,"1,088","1,319",998,750,637,537,428,373,0
NM,35,Cibola,"=""006""","2,774",0,"2,774","6,851,414",777,"579,576","1,698","2,132,725",29,35,38,"2,712","11,423,035",29,"50,923","2,357",0,"1,552",990,"1,604",121,"1,103","1,428",0,357,204,382,466,303,272,202,157,67,51,0
NM,35,Colfax,"=""007""","1,230",0,"1,230","2,879,755",309,"245,013",678,"818,710",0,23,24,"1,193","4,831,188",0,"17,168","1,086",0,536,848,313,0,374,701,0,135,87,190,217,143,108,80,61,29,32,0
NM,35,Curry,"=""009""","5,318",90,"5,318","13,648,395","1,634","1,267,910","3,533","4,743,257",227,171,195,"5,232","24,132,089",75,"98,501","4,764",0,"2,615","2,610","2,344",338,"2,457","2,536",0,660,430,732,"1,025",690,551,512,453,341,343,29
NM,35,De Baca,"=""011""",194,0,194,"521,699",37,"23,527",104,"150,607",0,0,0,188,"804,113",0,"3,214",163,0,89,55,136,0,94,81,0,62,26,28,50,22,27,0,0,0,0,0
NM,35,Doña Ana,"=""013""","26,919",522,"26,919","72,688,474","6,551","4,610,756","17,172","22,149,121",808,944,"1,155","26,232","114,054,131",575,"552,721","23,964",0,"10,107","9,968","15,581","1,156","12,892","12,185",0,"5,278","2,204","4,359","5,820","4,194","3,048","2,299","1,723","1,267","1,038",0
NM,35,Eddy,"=""015""","4,451",108,"4,451","10,830,953","1,434","1,132,974","2,771","3,382,963",98,89,147,"4,350","19,090,917",92,"116,183","3,927",0,"2,404","2,158","2,209",74,"1,590","2,485",0,527,371,697,857,548,511,396,338,254,227,0
NM,35,Grant,"=""017""","2,620",0,"2,620","5,961,314",561,"438,118","1,426","1,804,499",31,55,95,"2,507","9,999,407",58,"66,574","2,154",0,934,"1,160","1,205",171,"1,487",903,0,367,328,418,490,283,186,165,124,63,56,0
NM,35,Guadalupe,"=""019""",538,0,538,"1,289,918",118,"85,931",311,"364,926",0,0,0,526,"2,205,944",0,"3,477",463,0,263,319,196,0,188,273,0,61,34,68,87,56,51,35,21,21,0,0
NM,35,Harding,"=""021""",30,0,30,"63,508",7,"4,889",9,"18,001",0,0,0,29,"108,668",0,"2,689",23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM,35,Hidalgo,"=""023""",514,0,514,"1,214,721",113,"88,888",303,"362,439",0,0,0,485,"1,980,171",0,"14,547",406,0,156,284,204,0,194,242,0,72,42,88,92,58,38,42,29,25,0,0
NM,35,Lea,"=""025""","5,662",142,"5,662","14,541,152","1,825","1,464,398","3,742","4,705,015",143,88,105,"5,553","25,662,281",80,"129,006","4,962",0,"3,148","1,991","3,594",47,"2,419","2,786",0,789,440,896,"1,082",730,599,546,431,339,282,0
NM,35,Lincoln,"=""027""","1,903",0,"1,903","4,506,332",460,"319,375","1,071","1,356,012",23,0,24,"1,774","7,179,962",51,"90,347","1,526",0,787,867,785,99,899,757,0,452,156,275,386,217,135,116,86,52,23,0
NM,35,Los Alamos,"=""028""",464,0,464,"832,947",111,"86,396",226,"251,816",30,30,37,433,"1,391,688",30,"31,551",369,0,133,319,121,24,217,186,0,102,73,102,90,38,43,35,31,27,23,0
NM,35,Luna,"=""029""","4,033",90,"4,033","10,878,438",995,"666,940","2,689","3,246,225",33,75,81,"3,955","16,893,606",66,"50,457","3,275",0,"1,388","1,987","2,032",0,"1,732","1,937",0,599,355,744,897,648,467,336,262,145,129,0
