"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
NV,32,Churchill,"=""001""","1,872",42,"1,872","4,273,236",562,"411,787","1,121","1,431,415",89,71,64,"1,837","7,944,824",32,"18,660","1,657",0,826,989,862,0,722,954,0,254,172,273,350,221,162,175,207,110,111,0
NV,32,Clark,"=""003""","189,806","5,350","189,806","476,727,487","56,279","40,733,203","120,096","160,991,010","14,590","9,598","6,924","183,293","812,146,726","6,296","5,469,775","161,412",0,"79,513","77,537","109,171","2,622","110,414","65,545",0,"47,343","13,141","27,130","39,239","25,211","20,844","20,102","19,879","13,052","8,736",103
NV,32,Douglas,"=""005""","2,887",0,"2,887","5,948,319",825,"642,079","1,512","1,952,141",150,79,91,"2,740","10,457,302",92,"150,311","2,339",0,926,"1,560","1,253",22,"1,472","1,093",0,656,303,488,566,278,234,280,266,151,160,0
NV,32,Elko,"=""007""","2,793",24,"2,793","6,716,840",995,"764,805","1,778","2,287,914",61,43,78,"2,753","12,637,288",22,"35,859","2,398",0,"1,174","1,408","1,363",0,970,"1,541",0,249,194,333,473,334,303,206,223,148,152,0
NV,32,Esmeralda,"=""009""",49,0,49,"93,418",19,"12,495",19,"23,992",0,0,0,46,"154,606",0,687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,32,Eureka,"=""011""",42,0,42,"100,901",6,"4,352",28,"34,887",0,0,0,40,"175,814",0,"3,432",31,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,32,Humboldt,"=""013""","1,021",0,"1,021","2,465,230",297,"235,853",628,"809,684",23,0,28,997,"4,410,312",0,"23,876",783,0,311,426,571,0,546,381,0,144,81,140,168,118,94,73,50,41,51,0
NV,32,Lander,"=""015""",334,0,334,"707,867",95,"76,509",189,"245,945",0,0,0,324,"1,312,649",0,"7,862",280,0,135,122,179,0,110,172,0,40,30,60,53,39,0,34,25,24,0,0
NV,32,Lincoln,"=""017""",236,0,236,"514,987",57,"62,329",143,"207,188",0,0,0,231,"953,302",0,"1,671",208,0,46,174,27,0,89,61,0,0,0,0,0,0,0,0,0,0,0,0
NV,32,Lyon,"=""019""","4,008",0,"4,008","9,020,042","1,333","1,052,707","2,339","3,185,149",160,107,169,"3,915","16,685,418",38,"81,867","3,452",0,"1,600","2,104","1,823",0,"1,661","1,906",0,592,369,617,658,461,424,412,371,307,303,0
NV,32,Mineral,"=""021""",355,0,355,"779,283",106,"85,691",209,"257,211",0,0,0,349,"1,436,946",0,"3,980",308,0,177,171,146,38,129,186,0,40,28,52,40,29,22,0,25,0,0,0
NV,32,Nye,"=""023""","2,900",26,"2,900","6,822,399",602,"446,563","1,629","2,094,578",30,35,41,"2,798","11,058,351",48,"68,760","2,372",0,"1,013","1,570","1,214",74,"1,493","1,103",0,607,265,480,686,375,223,187,153,91,85,0
NV,32,Pershing,"=""027""",380,0,380,"903,185",116,"91,418",230,"302,018",3,0,4,374,"1,710,346",0,"4,816",322,0,122,145,210,0,119,200,0,47,37,56,65,41,43,36,33,5,7,0
NV,32,Storey,"=""029""",68,0,68,"132,616",9,"8,228",28,"40,414",0,0,0,65,"217,223",0,578,49,0,22,40,27,0,28,26,0,0,0,0,0,0,0,0,0,0,0,0
NV,32,Washoe,"=""031""","32,982",620,"32,982","72,550,942","10,233","7,733,836","18,644","23,963,709","1,639","1,391","1,307","31,946","131,962,827",892,"901,936","27,592",0,"11,518","17,074","14,972",632,"14,201","15,119",0,"4,828","3,117","5,054","6,055","3,778","3,621","3,472","2,861","2,109","1,758",0
NV,32,White Pine,"=""033""",612,0,612,"1,376,763",169,"133,967",339,"465,552",0,0,0,590,"2,491,936",0,"11,686",505,0,203,243,290,0,228,233,0,55,42,88,70,44,40,38,30,0,27,0
NV,32,Carson City,"=""510""","4,538",64,"4,538","9,888,099","1,487","1,128,584","2,567","3,159,988",234,175,164,"4,394","17,701,317",114,"102,154","3,755",0,"1,640","2,388","2,043",89,"1,922","2,127",0,626,419,725,800,543,489,472,423,288,250,0
