"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
OH,39,Adams,"=""001""","3,171",0,"3,171","8,096,139",724,"552,226","1,936","2,507,171",21,50,63,"2,998","13,330,449",122,"123,787","2,633",0,"1,416","1,272","1,851",0,"1,702","1,212",0,959,304,548,663,385,292,242,228,167,147,0
OH,39,Allen,"=""003""","9,483",103,"9,483","23,079,258","2,411","1,860,353","5,647","7,165,457",336,325,482,"9,258","40,542,124",177,"195,322","8,434",0,"3,826","5,377","3,621",364,"4,573","4,063",0,"1,368","1,032","1,689","2,001","1,173",884,774,665,501,469,0
OH,39,Ashland,"=""005""","4,031",0,"4,031","8,772,747","1,131","920,545","2,176","2,865,223",58,114,177,"3,863","15,962,021",82,"128,567","3,365",0,"1,175","2,218","1,661",109,"2,014","1,653",0,884,410,632,732,459,333,319,297,230,244,0
OH,39,Ashtabula,"=""007""","9,157",62,"9,157","21,721,854","2,167","1,627,641","5,210","6,841,588",222,264,380,"8,863","37,852,294",219,"210,913","7,948",21,"3,517","5,132","3,807",117,"4,394","3,934",0,"1,777",976,"1,444","1,831","1,106",896,652,583,425,416,0
OH,39,Athens,"=""009""","4,472",55,"4,472","9,433,670",911,"716,097","2,217","2,734,930",41,161,220,"4,295","16,222,959",95,"127,917","3,805",0,"1,394","2,408","1,962",0,"1,944","1,996",0,942,512,841,937,479,314,242,225,151,150,0
OH,39,Auglaize,"=""011""","3,080",0,"3,080","6,694,121","1,017","864,274","1,691","2,185,758",99,105,177,"2,975","12,936,870",75,"102,729","2,651",0,963,"1,481","1,548",7,"1,496","1,337",0,528,269,440,536,280,247,246,227,180,232,0
OH,39,Belmont,"=""013""","5,045",0,"5,045","11,085,355","1,178","866,380","2,602","3,097,147",31,103,239,"4,926","19,397,872",49,"85,259","4,360",0,"2,083","2,523","2,180",184,"2,232","2,134",0,758,537,892,"1,113",548,422,324,262,151,166,0
OH,39,Brown,"=""015""","3,438",0,"3,438","8,455,619",945,"758,260","2,075","2,721,078",22,57,96,"3,318","14,728,596",54,"114,692","2,966",0,"1,564","1,575","1,847",0,"1,727","1,439",0,849,341,508,676,430,327,307,253,170,194,0
OH,39,Butler,"=""017""","27,032",404,"27,032","65,684,225","7,378","5,689,421","16,340","20,880,261","1,259","1,368","1,502","26,282","112,796,553",735,"770,795","23,493",70,"11,297","14,742","11,571",647,"14,978","10,009",0,"5,363","2,569","4,427","5,555","3,501","2,836","2,498","2,179","1,726","1,406",0
OH,39,Carroll,"=""019""","1,819",0,"1,819","3,943,723",470,"391,379",949,"1,208,096",11,13,72,"1,738","7,028,383",52,"76,297","1,563",0,645,943,844,0,831,800,0,378,185,281,325,186,149,116,118,79,86,0
OH,39,Champaign,"=""021""","2,924",0,"2,924","6,742,716",884,"720,060","1,688","2,198,703",79,92,117,"2,830","12,348,045",60,"81,299","2,544",0,"1,124","1,481","1,318",62,"1,445","1,243",0,535,253,384,467,326,290,266,245,157,187,0
OH,39,Clark,"=""023""","13,146",145,"13,146","32,393,289","3,379","2,521,788","7,940","10,293,680",406,416,526,"12,885","56,706,221",209,"230,327","11,643",186,"6,007","7,721","5,065",237,"5,970","5,871",0,"1,904","1,428","2,140","2,677","1,821","1,444","1,175",925,699,615,0
OH,39,Clermont,"=""025""","12,174",32,"12,174","27,867,559","3,432","2,653,456","7,007","8,867,200",476,559,718,"11,753","49,116,839",404,"386,561","10,598",0,"5,071","6,805","5,189",83,"6,033","4,948",0,"2,448","1,197","1,912","2,489","1,515","1,199","1,064",992,824,720,0
OH,39,Clinton,"=""027""","4,070",21,"4,070","9,611,080","1,147","926,200","2,350","3,101,934",82,86,167,"3,899","16,827,011",106,"172,863","3,463",0,"1,737","1,891","2,067",45,"2,180","1,529",0,863,417,667,714,475,383,342,310,241,217,0
