"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
OK,40,Adair,"=""001""","3,090",39,"3,090","8,737,931",808,"600,591","2,105","2,839,627",28,24,38,"3,019","13,621,453",59,"56,317","2,773",0,"1,863",530,"2,435",55,"2,288",659,0,841,231,445,599,455,377,294,209,139,178,0
OK,40,Alfalfa,"=""003""",287,0,287,"651,192",80,"67,905",131,"181,062",0,0,0,268,"1,118,161",0,"7,251",232,0,81,118,63,0,56,66,0,32,0,24,29,0,0,0,0,0,0,0
OK,40,Atoka,"=""005""","1,135",0,"1,135","2,900,878",260,"207,118",699,"912,972",0,21,31,"1,092","4,783,652",33,"36,425",971,0,524,252,741,105,648,424,0,320,100,155,204,118,82,88,73,53,48,0
OK,40,Beaver,"=""007""",278,0,278,"703,500",100,"76,428",176,"252,415",0,0,0,258,"1,259,858",0,"10,955",222,0,71,78,158,0,158,67,0,63,0,0,23,0,0,0,0,0,0,0
OK,40,Beckham,"=""009""","1,656",0,"1,656","3,976,328",477,"384,567","1,007","1,311,110",36,0,44,"1,601","7,168,551",31,"40,706","1,402",0,785,543,"1,055",0,877,612,0,374,136,281,282,183,148,112,99,93,97,0
OK,40,Blaine,"=""011""",796,0,796,"2,050,804",230,"185,396",503,"721,596",0,0,0,772,"3,655,073",0,"16,612",709,0,428,200,561,0,417,313,0,157,38,100,90,72,62,38,22,26,27,0
OK,40,Bryan,"=""013""","4,299",34,"4,299","11,132,530","1,165","873,894","2,730","3,517,594",118,78,85,"4,191","18,843,423",34,"73,848","3,872",0,"2,314","1,862","2,301",79,"2,037","1,923",0,952,287,645,806,588,425,375,244,203,129,0
OK,40,Caddo,"=""015""","2,860",29,"2,860","7,386,794",873,"672,122","1,884","2,478,417",43,0,22,"2,793","12,746,696",0,"59,569","2,531",0,"1,548","1,097","1,663",34,"1,382","1,257",0,500,178,385,443,344,204,188,189,103,84,0
OK,40,Canadian,"=""017""","7,724",95,"7,724","17,553,408","2,723","2,244,539","4,701","6,067,382",634,331,524,"7,432","31,230,015",262,"293,828","6,901",0,"3,288","4,085","3,458",162,"4,136","3,071",0,"1,696",592,"1,047","1,279",807,772,794,833,702,612,23
OK,40,Carter,"=""019""","4,620",48,"4,620","11,179,741","1,446","1,153,168","2,881","3,614,824",150,97,103,"4,503","19,503,311",69,"129,798","4,131",0,"2,305","1,995","2,572",47,"2,599","1,734",0,806,374,712,819,535,456,437,360,298,302,0
OK,40,Cherokee,"=""021""","4,481",58,"4,481","11,730,198","1,184","849,658","2,887","3,836,864",94,104,177,"4,332","18,793,051",82,"116,091","3,984",0,"2,107","1,605","2,611",178,"2,912","1,280",0,"1,059",382,652,820,646,505,399,295,191,211,0
OK,40,Choctaw,"=""023""","1,769",0,"1,769","4,671,584",394,"305,649","1,131","1,441,254",36,27,34,"1,713","7,630,726",26,"34,355","1,584",0,899,691,"1,062",0,846,734,0,424,137,277,340,240,157,81,72,52,55,0
OK,40,Cimarron,"=""025""",188,0,188,"470,609",50,"42,655",115,"158,975",0,0,0,172,"751,449",0,"17,173",159,0,38,54,97,0,108,64,0,55,0,0,25,29,23,0,0,0,0,0
OK,40,Cleveland,"=""027""","18,321",220,"18,321","42,057,920","5,605","4,400,925","10,934","14,273,496","1,291",927,"1,240","17,661","72,461,356",615,"651,770","16,390",0,"7,488","10,101","7,794",375,"9,472","7,485",0,"4,157","1,610","2,757","3,412","2,071","1,918","1,801","1,684","1,385","1,293",0
OK,40,Coal,"=""029""",503,0,503,"1,266,200",107,"94,480",303,"409,873",0,0,0,484,"2,215,462",0,"21,625",437,0,235,155,292,0,277,152,0,92,33,48,72,44,33,37,23,30,23,0
OK,40,Comanche,"=""031""","12,130",171,"12,130","30,439,127","3,668","2,790,993","7,920","10,630,647",732,527,595,"11,920","55,582,282",164,"174,530","11,219",0,"5,626","6,003","4,538","1,429","6,229","5,108",0,"1,463",969,"1,713","2,115","1,422","1,345","1,198","1,037",819,826,0
OK,40,Cotton,"=""033""",478,0,478,"1,160,049",146,"127,253",282,"398,709",0,0,0,449,"2,120,772",0,"18,154",405,0,182,178,216,21,236,175,0,61,31,42,63,31,32,30,41,31,24,0
OK,40,Craig,"=""035""","1,574",22,"1,574","3,953,282",419,"306,853",961,"1,231,832",38,27,47,"1,516","6,482,048",35,"43,038","1,334",0,644,547,994,23,805,617,0,394,130,240,252,175,165,103,75,58,53,0
