"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
OR,41,Baker,"=""001""","1,112",0,"1,112","2,573,948",272,"214,455",651,"885,013",49,29,46,"1,067","4,154,115",29,"37,768",939,0,373,540,504,0,522,460,0,258,119,152,165,98,97,88,77,58,60,0
OR,41,Benton,"=""003""","4,381",51,"4,381","7,309,863",847,"673,739","1,798","2,319,782",201,288,473,"4,194","12,578,400",141,"139,287","3,503",0,"1,057","2,992","1,017",317,"2,138","1,643",0,867,691,913,906,335,339,274,248,210,209,0
OR,41,Clackamas,"=""005""","19,947",218,"19,947","41,086,236","5,731","4,483,144","10,573","13,819,106","1,123",989,"1,571","18,927","68,991,491",946,"1,018,069","16,182",0,"6,104","12,209","7,087",465,"9,379","8,356",0,"4,492","2,027","3,185","3,797","2,046","1,879","1,875","1,708","1,439","1,256",0
OR,41,Clatsop,"=""007""","2,831",0,"2,831","5,929,896",728,"539,551","1,481","1,965,442",130,60,154,"2,699","10,163,599",96,"115,420","2,298",0,"1,093","1,792",988,21,"1,106","1,328",0,495,280,467,599,302,267,243,185,170,147,0
OR,41,Columbia,"=""009""","2,954",0,"2,954","6,324,922",794,"650,305","1,639","2,132,064",101,76,177,"2,818","10,949,244",70,"123,337","2,493",0,"1,091","1,845","1,013",42,"1,306","1,365",0,518,320,428,516,331,257,252,222,175,173,0
OR,41,Coos,"=""011""","5,184",42,"5,184","10,865,535","1,198","884,543","2,692","3,448,189",159,118,186,"4,932","17,797,704",228,"218,908","4,156",0,"2,065","2,885","1,840",400,"2,757","1,934",0,976,599,"1,016","1,068",634,448,407,336,215,222,0
OR,41,Crook,"=""013""","1,619",0,"1,619","3,578,537",421,"339,411",901,"1,187,285",71,53,78,"1,544","5,974,550",72,"50,543","1,348",0,538,935,638,43,758,684,0,353,165,251,306,196,127,169,121,85,113,0
OR,41,Curry,"=""015""","1,677",0,"1,677","3,330,701",315,"246,927",805,"1,051,601",39,25,42,"1,540","5,324,307",105,"107,278","1,283",0,488,882,676,106,935,566,0,432,225,314,361,196,133,109,106,48,54,0
OR,41,Deschutes,"=""017""","12,292",122,"12,292","24,567,013","3,082","2,350,888","6,239","7,889,680",723,509,913,"11,573","40,051,033",696,"686,614","9,957",0,"3,752","7,443","4,134",663,"6,271","4,638",0,"3,114","1,485","2,130","2,512","1,340","1,135","1,175",930,723,709,0
OR,41,Douglas,"=""019""","8,672",83,"8,672","19,206,724","2,116","1,628,822","4,849","6,382,481",322,188,371,"8,330","31,732,230",242,"323,964","7,059",0,"3,092","5,195","2,910",405,"4,171","3,580",0,"1,434",856,"1,434","1,580","1,014",774,622,466,389,429,0
OR,41,Gilliam,"=""021""",100,0,100,"235,338",19,"19,658",58,"82,157",0,0,0,94,"413,503",0,"11,619",83,0,0,71,0,0,54,21,0,21,0,0,0,0,0,0,0,0,0,0
OR,41,Grant,"=""023""",419,0,419,"932,874",76,"84,682",233,"328,153",0,0,0,368,"1,549,816",0,"21,811",317,0,147,171,200,0,179,165,0,86,0,34,26,28,0,22,0,0,0,0
OR,41,Harney,"=""025""",552,0,552,"1,207,173",119,"91,225",300,"385,777",0,0,0,510,"1,901,138",31,"39,189",433,0,191,257,231,48,344,168,0,184,67,83,105,51,41,37,26,21,0,0
OR,41,Hood River,"=""027""","1,744",28,"1,744","3,918,029",563,"431,479","1,036","1,374,405",90,58,66,"1,674","6,660,426",57,"60,865","1,338",0,346,901,750,75,770,842,0,315,105,231,272,231,163,194,134,113,117,0
OR,41,Jackson,"=""029""","17,630",200,"17,630","37,867,718","4,487","3,324,463","9,646","12,357,190","1,012",585,995,"16,745","60,702,571",847,"796,026","14,449",61,"5,718","9,503","7,274",776,"9,775","6,274",0,"3,874","2,114","3,106","3,402","2,028","1,801","1,522","1,360","1,000",959,0
OR,41,Jefferson,"=""031""","1,970",27,"1,970","4,908,024",635,"459,861","1,280","1,787,226",116,32,54,"1,935","8,570,377",26,"37,091","1,734",0,838,999,864,98,752,"1,061",0,219,173,314,329,226,230,252,191,116,72,0
OR,41,Josephine,"=""033""","7,463",61,"7,463","16,436,639","1,666","1,228,410","4,048","5,275,763",308,167,297,"7,003","25,568,106",410,"358,758","6,015",0,"2,615","3,663","3,162",566,"4,390","2,429",0,"1,831",894,"1,352","1,470",810,635,586,480,352,329,0
OR,41,Klamath,"=""035""","5,548",89,"5,548","12,786,373","1,375","1,024,387","3,258","4,232,966",256,159,313,"5,355","21,009,879",132,"159,203","4,623",0,"1,864","2,577","2,542",232,"2,624","2,325",0,913,587,883,969,696,471,451,338,259,266,0
OR,41,Lake,"=""037""",489,0,489,"1,112,310",115,"87,152",259,"371,340",0,0,0,468,"1,832,191",0,"15,240",406,0,114,233,210,0,199,192,0,105,43,56,63,39,45,29,26,0,0,0
OR,41,Lane,"=""039""","26,368",307,"26,368","51,796,625","6,215","4,724,653","13,115","16,696,380","1,396","1,127","1,998","25,080","86,027,131","1,128","1,053,463","21,405",0,"8,629","16,571","7,895","1,573","12,649","10,522",0,"4,971","3,090","4,999","5,225","2,642","2,243","2,121","1,855","1,436","1,277",0
OR,41,Lincoln,"=""041""","3,544",0,"3,544","7,202,931",780,"586,353","1,775","2,199,804",79,28,95,"3,333","11,628,518",112,"172,400","2,727",0,"1,284","2,045","1,183",135,"1,546","1,422",0,647,332,637,738,355,280,227,136,77,67,0
OR,41,Linn,"=""043""","8,706",85,"8,706","19,471,088","2,406","1,865,633","5,049","6,818,722",399,326,458,"8,429","33,292,653",218,"230,654","7,297",0,"3,200","5,110","3,193",311,"4,076","3,805",0,"1,357",849,"1,345","1,583",993,815,747,655,500,604,0
OR,41,Malheur,"=""045""","2,619",54,"2,619","6,698,837",689,"490,254","1,672","2,330,258",99,44,108,"2,506","10,699,231",71,"82,044","2,061",0,984,996,"1,560",0,"1,321","1,046",0,468,265,389,457,341,287,245,202,153,146,0
OR,41,Marion,"=""047""","25,916",623,"25,916","62,524,827","7,832","5,894,925","16,303","22,231,677","1,390","1,019","1,459","25,190","104,713,635",597,"621,493","21,207",0,"9,251","16,178","9,007",579,"11,187","12,603",0,"3,884","2,229","3,646","4,474","3,197","3,019","2,688","2,380","1,727","1,721",0
OR,41,Morrow,"=""049""",834,0,834,"2,044,536",303,"244,995",544,"814,416",54,0,0,813,"3,690,019",0,"22,435",655,0,285,399,350,21,345,410,0,93,50,84,88,93,86,84,78,58,49,0
OR,41,Multnomah,"=""051""","56,732","1,471","56,732","111,134,382","12,185","8,976,422","26,935","35,594,533","2,456","2,840","4,577","53,052","177,729,713","3,546","3,341,460","44,103",0,"15,993","33,655","20,168","2,696","27,797","21,303",0,"13,693","7,188","11,413","12,767","5,775","5,003","4,389","3,744","2,916","2,417",0
OR,41,Polk,"=""053""","5,065",79,"5,065","11,380,108","1,517","1,172,877","2,925","4,028,755",271,232,374,"4,917","19,475,841",106,"112,929","4,200",0,"1,924","3,261","1,648",134,"2,159","2,418",0,805,552,755,826,559,507,499,431,367,350,0
OR,41,Sherman,"=""055""",70,0,70,"140,140",17,"10,560",20,"44,584",0,0,0,64,"233,057",0,"4,260",52,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
OR,41,Tillamook,"=""057""","1,841",25,"1,841","3,895,540",432,"357,313",962,"1,325,729",45,31,47,"1,751","6,517,828",35,"64,853","1,423",0,629,"1,097",637,0,743,757,0,321,117,253,309,101,81,96,67,59,77,0
OR,41,Umatilla,"=""059""","6,472",123,"6,472","15,900,069","2,178","1,649,633","4,218","5,674,424",423,229,225,"6,318","27,728,912",115,"142,339","5,519",0,"2,433","3,478","2,725",228,"2,785","3,179",0,863,436,795,"1,004",795,819,680,590,422,380,0
OR,41,Union,"=""061""","1,892",0,"1,892","4,118,805",486,"390,555","1,045","1,517,967",94,71,113,"1,804","7,258,582",57,"67,804","1,528",0,660,913,867,55,"1,089",660,0,374,161,284,294,184,129,148,126,81,91,0
OR,41,Wallowa,"=""063""",478,0,478,"895,255",91,"77,671",214,"305,681",0,0,0,434,"1,420,415",0,"29,109",341,0,87,229,187,0,316,107,0,152,53,65,88,26,22,0,0,0,0,0
OR,41,Wasco,"=""065""","2,102",33,"2,102","4,777,036",578,"440,254","1,204","1,633,688",131,44,103,"2,045","8,028,446",44,"45,952","1,730",0,560,"1,177",778,113,969,888,0,226,157,331,365,229,189,163,136,125,107,0
OR,41,Washington,"=""067""","29,568",799,"29,568","62,443,110","8,582","6,535,264","16,103","21,261,277","1,834","1,625","2,525","28,281","106,219,801","1,236","1,238,652","24,342",0,"9,021","18,084","10,338","1,068","14,210","12,299",0,"5,882","2,893","4,770","5,454","3,222","3,108","2,924","2,599","2,100","1,990",0
