"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
SC,45,Abbeville,"=""001""","2,903",28,"2,903","7,777,448",719,"490,506","1,741","2,216,223",112,115,53,"2,827","11,741,782",50,"60,647","2,564",0,"1,613","1,051","1,745",48,"1,556","1,178",0,659,151,428,621,405,353,313,211,147,77,0
SC,45,Aiken,"=""003""","15,828",167,"15,828","40,620,953","3,571","2,575,854","9,728","12,170,650",821,636,518,"15,317","63,199,028",395,"447,399","14,085",0,"7,865","6,643","8,672",311,"8,592","6,102",0,"3,586","1,186","2,843","3,789","2,176","1,503","1,281","1,056",730,557,0
SC,45,Allendale,"=""005""","1,374",22,"1,374","3,802,842",286,"198,051",862,"999,749",28,72,0,"1,353","5,672,959",0,"20,680","1,233",0,840,461,878,0,812,471,0,320,100,240,318,206,154,104,95,47,0,0
SC,45,Anderson,"=""007""","19,680",149,"19,680","50,301,197","5,076","3,808,962","12,037","15,391,316",995,745,643,"19,135","79,105,252",502,"492,472","17,338",2,"9,975","7,621","11,565",391,"11,385","6,870",0,"4,177","1,530","3,160","4,327","2,765","2,093","1,798","1,601","1,180","1,012",0
SC,45,Bamberg,"=""009""","1,902",0,"1,902","5,357,223",400,"259,873","1,244","1,505,626",80,106,32,"1,867","8,060,864",23,"29,128","1,733",0,"1,091",804,"1,087",0,947,840,0,406,130,294,450,271,251,157,92,68,21,0
SC,45,Barnwell,"=""011""","3,163",68,"3,163","8,856,655",737,"527,340","2,035","2,546,930",154,135,69,"3,104","13,120,034",47,"51,780","2,869",0,"1,807","1,198","1,931",0,"1,937","1,014",0,826,189,550,821,448,316,306,239,161,103,0
SC,45,Beaufort,"=""013""","12,897",154,"12,897","32,478,540","3,596","2,609,838","8,153","10,701,677",941,536,616,"12,427","54,056,342",422,"470,703","11,235",0,"5,546","6,848","5,375",589,"6,999","5,049",0,"2,996",892,"1,875","2,660","1,666","1,504","1,303","1,045",787,602,0
SC,45,Berkeley,"=""015""","18,741",165,"18,741","47,052,740","5,245","3,885,073","11,834","15,041,705","1,477","1,178","1,012","18,202","76,873,629",477,"508,206","16,767",32,"8,817","9,101","9,353",211,"10,199","7,327",0,"4,072","1,324","2,820","3,938","2,459","2,023","1,952","1,649","1,242","1,049",13
SC,45,Calhoun,"=""017""","1,284",0,"1,284","3,295,887",314,"225,292",765,"940,282",48,83,34,"1,253","5,245,366",25,"13,410","1,115",21,718,538,730,0,632,565,0,198,86,210,278,180,138,106,84,52,48,0
SC,45,Charleston,"=""019""","32,647",380,"32,647","77,970,281","7,401","5,100,337","18,545","22,353,160","1,832","1,592","1,642","31,404","121,314,376","1,107","1,076,578","28,105",7,"15,972","15,607","16,248",635,"17,579","12,305",0,"6,917","3,020","5,925","7,830","4,520","3,326","2,773","2,119","1,351",826,0
