"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
SD,46,Aurora,"=""003""",166,0,166,"360,086",46,"52,614",94,"145,082",0,0,0,148,"727,958",0,"8,593",134,0,0,30,105,0,123,0,0,56,0,0,0,0,0,0,0,0,0,0
SD,46,Beadle,"=""005""","1,552",50,"1,552","4,059,718",514,"389,846","1,018","1,568,382",132,40,80,"1,505","7,733,827",39,"52,133","1,321",0,398,707,796,0,789,596,0,161,142,180,191,164,203,220,188,93,81,0
SD,46,Bennett,"=""007""",382,0,382,"1,008,779",107,"76,614",258,"351,548",0,0,0,379,"1,776,426",0,"1,433",323,0,239,86,246,0,154,204,0,46,63,33,69,35,23,32,0,0,0,0
SD,46,Bon Homme,"=""009""",326,0,326,"644,534",84,"102,656",172,"244,467",0,0,0,297,"1,261,977",0,"26,241",267,0,46,102,191,0,177,101,0,103,0,0,0,0,0,0,0,0,0,0
SD,46,Brookings,"=""011""","1,518",3,"1,518","2,946,264",415,"341,788",802,"1,121,822",152,88,145,"1,461","5,851,123",30,"74,239","1,324",0,356,646,742,54,638,667,0,234,169,224,247,104,104,100,94,80,73,0
SD,46,Brown,"=""013""","2,420",28,"2,420","5,386,514",744,"588,469","1,410","1,890,617",263,92,233,"2,290","10,465,560",61,"80,010","2,005",0,707,"1,206",985,51,948,"1,127",0,388,207,318,386,205,247,236,221,169,122,0
SD,46,Brule,"=""015""",468,0,468,"995,544",119,"97,491",259,"324,359",31,0,26,445,"1,741,627",0,"16,942",394,0,100,240,214,0,250,174,0,101,44,52,67,32,30,29,27,0,0,0
SD,46,Buffalo,"=""017""",341,0,341,"963,221",101,"69,303",244,"330,432",0,0,0,340,"1,636,402",0,243,289,0,116,147,87,107,181,137,0,0,52,49,69,40,44,34,21,23,0,0
SD,46,Butte,"=""019""",873,0,873,"1,927,616",222,"175,956",472,"677,820",41,39,48,811,"3,351,407",44,"69,468",732,0,313,336,483,0,488,286,0,262,84,111,145,79,71,57,63,34,48,0
SD,46,Campbell,"=""021""",36,0,36,"93,627",8,"9,159",10,"43,437",0,0,0,27,"168,877",0,"6,969",1,0,0,0,29,0,30,0,0,22,0,0,0,0,0,0,0,0,0,0
SD,46,Charles Mix,"=""023""",850,0,850,"2,308,735",219,"148,527",572,"831,717",21,0,22,818,"4,007,812",0,"21,964",702,0,363,230,516,92,567,242,0,166,99,112,139,93,66,36,35,0,0,0
SD,46,Clark,"=""025""",138,0,138,"273,324",43,"30,148",66,"113,995",0,0,0,124,"523,820",0,"10,378",113,0,24,46,82,0,83,42,0,41,0,0,21,0,0,0,0,0,0,0
SD,46,Clay,"=""027""",689,0,689,"1,266,446",148,"119,731",343,"433,388",50,53,92,661,"2,379,490",24,"32,787",598,0,186,415,263,0,297,322,0,124,105,141,117,43,52,39,38,40,38,0
SD,46,Codington,"=""029""","1,925",0,"1,925","4,112,039",542,"443,930","1,079","1,455,278",210,94,179,"1,881","8,052,049",37,"32,403","1,702",0,542,776,"1,061",56,873,827,0,297,251,286,312,206,186,167,148,139,116,0
SD,46,Corson,"=""031""",442,0,442,"1,169,371",104,"86,467",306,"390,508",0,0,0,428,"1,989,666",0,"7,964",395,0,335,57,330,0,73,284,0,26,50,46,34,35,0,0,0,0,0,0
SD,46,Custer,"=""033""",457,0,457,"886,090",105,"73,757",228,"305,760",23,0,27,421,"1,567,617",24,"33,989",373,0,108,259,179,0,213,190,0,124,41,71,100,52,23,29,24,0,0,0
SD,46,Davison,"=""035""","1,521",0,"1,521","3,201,803",408,"319,093",851,"1,131,543",129,61,154,"1,463","6,146,075",42,"63,656","1,261",24,458,630,842,32,926,484,0,312,192,245,265,137,131,117,117,86,90,0
SD,46,Day,"=""037""",379,0,379,"844,849",94,"76,299",192,"297,935",22,0,22,322,"1,589,331",0,"37,137",279,0,104,98,233,0,160,148,0,101,45,29,54,21,26,23,0,0,0,0
SD,46,Deuel,"=""039""",203,0,203,"422,040",67,"52,661",100,"158,369",0,0,0,186,"846,694",0,"20,024",142,0,21,41,105,0,100,39,0,37,0,0,0,0,0,0,0,0,0,0
SD,46,Dewey,"=""041""",749,0,749,"1,824,428",250,"195,129",498,"685,249",40,0,20,734,"3,504,542",0,"9,449",626,0,284,192,339,176,334,328,0,76,94,101,72,61,54,90,58,44,33,0
SD,46,Douglas,"=""043""",136,0,136,"262,720",27,"36,302",67,"114,421",0,0,0,118,"506,516",0,"13,790",105,0,0,21,92,0,95,0,0,31,0,0,0,0,0,0,0,0,0,0
SD,46,Edmunds,"=""045""",149,0,149,"341,626",39,"30,702",65,"120,561",0,0,0,137,"623,651",0,"19,459",107,0,0,33,97,0,95,29,0,30,0,0,0,0,0,0,0,0,0,0
SD,46,Fall River,"=""047""",530,0,530,"1,125,952",108,"79,211",265,"354,588",0,0,27,488,"1,894,637",0,"26,676",422,0,188,256,242,0,190,249,0,110,67,73,91,56,40,28,28,0,24,0
SD,46,Faulk,"=""049""",55,0,55,"98,664",9,"10,821",25,"35,208",0,0,0,46,"172,896",0,"6,743",33,0,0,25,29,0,36,0,0,24,0,0,0,0,0,0,0,0,0,0
SD,46,Grant,"=""051""",406,0,406,"849,827",100,"82,861",203,"319,622",34,0,21,345,"1,590,304",0,"29,539",265,0,47,147,179,0,172,116,0,77,27,45,48,39,32,0,28,0,0,0
SD,46,Gregory,"=""053""",353,0,353,"807,682",73,"48,790",189,"279,747",0,0,21,298,"1,301,824",24,"37,018",248,0,27,35,265,0,248,36,0,145,0,26,34,22,26,0,0,0,0,0
SD,46,Haakon,"=""055""",122,0,122,"244,277",30,"21,414",63,"94,995",0,0,0,109,"417,307",0,"11,551",89,0,0,34,69,0,74,29,0,52,0,0,0,0,0,0,0,0,0,0
SD,46,Hamlin,"=""057""",288,2,288,"662,054",96,"96,751",166,"326,650",0,0,0,264,"1,322,934",0,"30,590",232,0,3,31,188,0,175,34,0,82,0,2,2,0,0,0,0,0,0,0
SD,46,Hand,"=""059""",132,0,132,"288,217",43,"35,025",69,"106,906",0,0,0,107,"481,966",0,"25,649",84,0,0,26,80,0,64,32,0,48,0,0,21,0,0,0,0,0,0,0
SD,46,Hanson,"=""061""",106,0,106,"233,437",19,"18,561",49,"90,208",0,0,0,92,"426,857",0,"11,305",81,0,0,45,59,0,71,0,0,48,0,0,0,0,0,0,0,0,0,0
SD,46,Harding,"=""063""",29,0,29,"57,150",9,"6,027",9,"14,611",0,0,0,27,"105,728",0,"3,011",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,46,Hughes,"=""065""","1,191",0,"1,191","2,627,786",333,"274,641",692,"866,763",131,38,87,"1,156","4,920,420",30,"33,911","1,026",0,450,568,524,82,460,617,0,157,140,192,189,115,130,106,101,66,53,0
SD,46,Hutchinson,"=""067""",329,0,329,"688,756",77,"72,283",170,"261,237",0,0,0,299,"1,295,678",0,"34,384",253,0,52,120,189,0,201,75,0,128,0,0,46,0,0,0,0,0,0,0
SD,46,Hyde,"=""069""",56,0,56,"116,621",23,"18,428",30,"31,942",0,0,0,52,"208,000",0,"3,320",45,0,0,0,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,46,Jackson,"=""071""",268,0,268,"724,253",63,"41,046",165,"238,839",0,0,0,255,"1,219,076",0,"10,101",214,0,118,55,169,25,158,83,0,26,31,25,27,0,0,0,0,0,0,0
SD,46,Jerauld,"=""073""",115,0,115,"238,621",20,"23,083",57,"103,369",0,0,0,105,"444,259",0,"7,813",73,0,0,23,66,0,56,28,0,37,0,0,0,0,0,0,0,0,0,0
SD,46,Jones,"=""075""",53,0,53,"136,812",9,"11,322",35,"44,509",0,0,0,52,"223,441",0,808,45,0,0,29,24,0,27,21,0,0,0,0,0,0,0,0,0,0,0,0
SD,46,Kingsbury,"=""077""",260,20,260,"480,067",49,"59,106",127,"186,022",0,0,0,232,"933,468",0,"37,089",205,0,32,46,180,0,168,50,0,88,0,17,19,0,0,0,0,0,0,0
SD,46,Lake,"=""079""",645,0,645,"1,227,785",160,"133,180",302,"427,081",68,27,66,605,"2,385,005",33,"37,654",513,0,129,257,285,41,297,227,0,110,83,95,94,57,44,56,36,30,36,0
SD,46,Lawrence,"=""081""","1,681",0,"1,681","3,180,231",383,"293,192",795,"988,949",98,51,133,"1,587","5,783,796",45,"85,852","1,354",0,521,961,672,21,778,680,0,334,237,351,319,163,114,101,85,63,65,0
SD,46,Lincoln,"=""083""","2,219",4,"2,219","4,833,442",750,"616,634","1,346","1,833,645",362,105,310,"2,138","9,699,143",31,"84,549","1,952",3,550,"1,220",968,9,"1,012","1,053",0,453,128,276,336,195,213,270,216,150,156,0
SD,46,Lyman,"=""085""",460,0,460,"1,107,491",109,"84,973",262,"362,666",0,0,0,450,"1,885,968",0,"4,758",361,0,126,222,138,31,167,180,0,0,88,52,48,30,28,24,0,0,0,0
SD,46,McCook,"=""087""",303,0,303,"699,814",63,"66,912",178,"267,366",0,0,0,278,"1,324,494",0,"17,884",236,0,0,134,144,0,147,119,0,55,0,0,0,0,0,0,0,0,0,0
SD,46,McPherson,"=""089""",116,0,116,"247,607",19,"21,080",56,"93,834",0,0,0,98,"431,046",0,"13,362",75,0,0,22,75,0,92,0,0,62,0,0,0,0,0,0,0,0,0,0
SD,46,Marshall,"=""091""",162,0,162,"368,789",44,"37,215",87,"137,292",0,0,0,151,"676,348",0,"7,269",103,0,0,32,85,0,77,50,0,31,0,0,0,0,0,0,0,0,0,0
SD,46,Meade,"=""093""","1,883",0,"1,883","4,127,376",588,"469,090","1,126","1,576,262",174,51,162,"1,811","7,912,218",25,"96,425","1,594",0,562,"1,064",717,40,969,758,0,447,159,274,291,169,141,169,111,128,148,0
SD,46,Mellette,"=""095""",192,0,192,"446,165",44,"35,239",119,"167,185",0,0,0,185,"828,618",0,"8,027",162,0,115,54,133,0,37,119,0,21,24,37,0,0,0,0,0,0,0,0
SD,46,Miner,"=""097""",82,0,82,"183,645",11,"15,198",36,"75,697",0,0,0,74,"359,141",0,"6,471",64,0,21,22,52,0,50,26,0,33,0,0,0,0,0,0,0,0,0,0
SD,46,Minnehaha,"=""099""","13,931",240,"13,931","30,076,096","4,505","3,599,470","8,255","10,845,627","1,616",733,"1,324","13,590","59,713,094",278,"372,887","12,139",116,"4,001","7,598","5,910",379,"5,495","7,023",0,"1,839","1,297","1,961","2,301","1,356","1,466","1,459","1,427","1,064",831,0
SD,46,Moody,"=""101""",378,0,378,"804,244",133,"117,960",209,"319,559",27,0,27,360,"1,685,992",0,"20,898",300,0,99,134,184,0,152,144,0,64,0,27,51,23,21,37,31,22,23,0
SD,46,Pennington,"=""103""","9,192",96,"9,192","19,638,144","2,413","1,812,580","5,234","6,577,852",712,385,695,"8,957","36,219,897",187,"223,844","7,971",0,"3,333","5,262","3,378",496,"4,375","3,912",0,"1,256","1,304","1,615","1,633","1,002",819,803,650,529,490,0
