"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
TN,47,Anderson,"=""001""","6,879",47,"6,879","16,132,397","1,584","1,207,465","3,911","4,871,295",221,180,217,"6,663","26,772,235",160,"174,271","6,059",0,"2,752","3,495","3,053",264,"3,288","2,914",0,"1,558",709,"1,207","1,544",889,652,487,438,331,362,0
TN,47,Bedford,"=""003""","4,717",87,"4,717","11,655,647","1,418","1,094,318","2,950","3,855,423",183,89,92,"4,575","20,549,838",111,"165,193","4,202",0,"1,898","2,001","2,631",59,"2,037","2,226",0,970,405,736,907,611,519,446,363,326,265,0
TN,47,Benton,"=""005""","1,757",0,"1,757","4,327,372",383,"278,420","1,025","1,253,893",37,41,38,"1,708","7,227,967",0,"42,240","1,541",0,662,759,949,0,734,819,0,435,121,300,416,276,171,121,92,65,58,0
TN,47,Bledsoe,"=""007""",967,0,967,"2,441,756",207,"145,966",572,"751,910",0,0,22,902,"3,970,694",65,"55,041",814,0,388,380,580,0,479,405,0,344,92,172,214,145,95,88,59,48,48,0
TN,47,Blount,"=""009""","10,237",21,"10,237","23,611,943","2,630","2,002,951","5,806","7,260,469",402,324,384,"9,864","40,068,291",280,"338,323","9,026",21,"3,812","5,009","4,913",238,"5,226","4,015",0,"2,409",931,"1,749","2,169","1,267",997,875,854,602,552,0
TN,47,Bradley,"=""011""","9,655",110,"9,655","22,995,903","2,435","1,794,630","5,608","7,324,419",279,343,384,"9,324","39,056,461",305,"299,867","8,429",0,"3,987","4,388","5,005",230,"4,715","4,007",0,"2,145",983,"1,599","2,022","1,200","1,027",878,713,563,545,0
TN,47,Campbell,"=""013""","3,948",21,"3,948","10,021,736",878,"657,940","2,438","2,954,433",0,40,68,"3,836","16,097,262",87,"97,588","3,551",0,"1,998","1,298","2,606",0,"1,765","1,841",0,"1,028",348,746,912,575,371,269,235,182,164,0
TN,47,Cannon,"=""015""","1,136",0,"1,136","2,565,438",303,"245,910",647,"803,948",26,33,21,"1,082","4,472,103",36,"39,669",983,0,426,477,634,0,549,473,0,319,110,212,190,156,70,97,60,88,46,0
TN,47,Carroll,"=""017""","3,137",0,"3,137","7,787,762",712,"520,613","1,825","2,306,296",56,92,69,"3,045","13,506,796",29,"71,659","2,804",0,"1,394","1,444","1,647",0,"1,236","1,528",0,636,237,496,617,440,266,193,130,98,91,0
TN,47,Carter,"=""019""","5,956",45,"5,956","13,890,655","1,397","1,056,598","3,373","4,111,372",140,150,185,"5,764","23,422,873",145,"138,062","5,286",9,"2,555","2,964","2,863",76,"2,728","2,568",0,"1,319",610,"1,071","1,340",734,564,444,390,330,290,0
TN,47,Cheatham,"=""021""","2,635",0,"2,635","6,072,811",764,"612,419","1,531","1,983,183",138,57,116,"2,506","10,515,163",86,"137,412","2,254",0,"1,078","1,347","1,266",0,"1,304","1,108",0,786,249,416,539,317,215,249,245,202,159,0
TN,47,Chester,"=""023""","1,335",0,"1,335","3,507,347",361,"263,729",863,"1,089,892",51,54,50,"1,289","5,857,982",40,"37,558","1,184",0,576,665,629,0,605,605,0,307,101,172,268,152,139,136,97,74,58,0
TN,47,Claiborne,"=""025""","3,354",0,"3,354","8,285,745",750,"587,384","1,966","2,505,713",0,51,86,"3,224","13,901,406",112,"117,512","2,904",0,"1,345","1,040","2,299",0,"1,613","1,486",0,981,304,575,731,477,297,243,183,177,170,0
TN,47,Clay,"=""027""",624,0,624,"1,519,129",136,"106,031",355,"489,154",0,0,0,602,"2,549,264",0,"14,035",545,0,260,235,389,0,347,219,0,254,48,96,149,71,32,47,27,22,27,0
TN,47,Cocke,"=""029""","4,622",30,"4,622","11,850,554",926,"648,941","2,744","3,363,248",39,67,53,"4,474","19,044,669",114,"120,811","4,156",67,"2,052","1,543","3,050",0,"2,193","1,999",0,"1,221",418,865,"1,135",690,458,262,212,139,167,0
TN,47,Coffee,"=""031""","5,342",49,"5,342","12,961,321","1,436","1,089,631","3,228","4,059,582",188,138,180,"5,192","22,246,232",117,"135,961","4,784",0,"2,429","2,320","2,941",76,"2,668","2,196",0,"1,134",508,918,"1,092",696,493,464,378,313,310,0
TN,47,Crockett,"=""033""","1,584",0,"1,584","4,143,517",474,"357,032","1,013","1,291,261",57,21,23,"1,529","7,152,128",0,"59,406","1,379",0,674,767,814,0,659,811,0,334,110,187,299,227,166,145,126,68,81,0
TN,47,Cumberland,"=""035""","5,227",22,"5,227","13,034,000","1,156","875,930","3,056","3,977,069",148,121,137,"5,003","21,505,667",195,"193,755","4,617",0,"1,952","2,104","2,954",131,"2,815","1,955",0,"1,576",473,905,"1,105",686,499,429,351,260,237,0
TN,47,Davidson,"=""037""","66,275","1,744","66,275","160,536,653","16,270","11,910,026","38,685","50,191,946","4,005","3,208","3,652","63,411","265,031,307","2,760","2,638,568","57,048",66,"24,398","35,558","27,901","2,560","34,489","25,747",0,"16,674","6,196","11,953","14,763","8,549","6,747","6,406","4,963","3,452","2,422",22
TN,47,Decatur,"=""039""","1,064",0,"1,064","2,546,368",242,"185,898",631,"793,065",0,0,0,"1,015","4,503,330",23,"28,419",939,0,373,368,655,0,511,434,0,254,89,172,204,134,88,76,79,32,37,0
TN,47,DeKalb,"=""041""","2,057",23,"2,057","4,911,670",522,"392,161","1,200","1,572,532",45,40,46,"1,963","8,524,724",50,"69,670","1,791",0,804,742,"1,308",0,919,930,0,570,216,342,417,284,161,149,106,105,83,0
TN,47,Dickson,"=""043""","4,848",34,"4,848","11,898,786","1,272","991,928","2,878","3,735,856",201,117,161,"4,656","19,964,791",155,"183,607","4,208",0,"1,949","2,313","2,491",29,"2,608","1,845",0,"1,296",422,801,"1,010",626,449,433,351,321,235,0
TN,47,Dyer,"=""045""","4,289",54,"4,289","11,213,895","1,079","806,073","2,616","3,310,751",144,115,128,"4,184","18,839,249",91,"81,705","3,895",0,"2,169","1,893","2,368",0,"1,969","1,950",0,931,339,722,930,579,373,375,319,222,176,0
TN,47,Fayette,"=""047""","3,386",24,"3,386","8,891,089",799,"588,014","1,990","2,486,093",249,187,89,"3,300","14,810,782",60,"87,265","3,039",0,"1,666","1,508","1,829",0,"1,876","1,303",0,"1,014",209,474,758,492,361,330,311,165,96,0
TN,47,Fentress,"=""049""","1,871",0,"1,871","4,745,580",402,"302,153","1,111","1,477,927",36,23,29,"1,784","7,597,097",50,"61,264","1,655",0,699,707,"1,127",34,"1,003",723,0,663,169,296,399,246,162,128,81,70,77,0
