"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
TX,48,Anderson,"=""001""","4,443",42,"4,443","11,705,549","1,309","988,071","2,851","3,726,672",120,123,83,"4,372","20,819,497",27,"72,291","3,982",0,"2,389","1,850","2,585",0,"2,080","2,010",0,"1,083",315,566,882,634,455,348,444,297,199,0
TX,48,Andrews,"=""003""","1,171",23,"1,171","2,981,606",418,"331,210",774,"1,029,827",42,0,24,"1,129","5,761,237",42,"58,910","1,047",0,556,468,702,0,584,492,0,297,83,176,188,171,139,124,103,94,89,0
TX,48,Angelina,"=""005""","9,929",135,"9,929","26,972,896","2,793","2,029,162","6,511","8,532,780",383,284,182,"9,745","46,194,304",148,"184,560","8,884",60,"4,820","4,563","5,084",223,"3,833","5,400",0,"1,737",793,"1,397","1,950","1,510","1,292",987,733,534,444,0
TX,48,Aransas,"=""007""","2,119",0,"2,119","5,340,033",437,"328,723","1,220","1,596,209",56,48,51,"1,992","8,256,280",110,"113,201","1,697",0,841,"1,110",946,41,"1,203",716,0,684,227,345,538,318,206,124,81,73,82,0
TX,48,Archer,"=""009""",440,1,440,"1,021,904",141,"124,755",261,"369,150",5,4,4,411,"1,941,253",2,"23,563",359,0,127,240,155,3,188,203,0,59,7,56,52,28,7,26,5,4,4,0
TX,48,Armstrong,"=""011""",102,0,102,"227,923",35,"28,705",65,"79,163",0,0,0,97,"420,077",0,"8,569",82,0,37,56,44,0,58,41,0,33,0,0,21,0,0,0,0,0,0,0
TX,48,Atascosa,"=""013""","4,116",23,"4,116","11,108,485","1,280","1,025,923","2,705","3,587,543",124,86,171,"3,996","18,976,837",95,"131,773","3,629",0,"1,947","1,920","2,114",44,"1,758","2,042",0,938,290,596,779,573,499,379,315,252,232,0
TX,48,Austin,"=""015""","2,160",43,"2,160","5,564,409",600,"458,731","1,364","1,779,748",115,82,70,"2,087","9,856,150",37,"54,730","1,854",0,"1,018",928,"1,187",0,"1,207",748,0,558,150,270,407,317,219,205,152,137,119,0
TX,48,Bailey,"=""017""",769,21,769,"2,220,970",262,"211,607",545,"749,998",0,0,0,746,"3,661,510",23,"31,967",657,0,330,332,434,0,329,397,0,163,50,93,148,108,89,92,76,59,52,0
TX,48,Bandera,"=""019""","1,395",0,"1,395","3,327,214",321,"241,540",778,"1,024,665",0,26,61,"1,310","5,261,018",78,"62,590","1,147",0,489,734,640,0,753,515,0,503,122,229,330,179,109,101,103,73,65,0
TX,48,Bastrop,"=""021""","6,396",111,"6,396","16,146,639","1,953","1,526,488","4,026","5,506,166",327,194,284,"6,133","27,652,018",219,"280,197","5,428",0,"2,305","3,659","2,528",195,"2,989","2,916",0,"1,528",535,878,"1,191",833,655,584,569,425,355,0
TX,48,Baylor,"=""023""",281,0,281,"724,812",75,"54,493",185,"248,357",0,0,0,273,"1,282,625",0,"4,500",252,0,93,155,125,0,118,136,0,60,24,43,64,37,35,27,0,20,0,0
