"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
UT,49,Beaver,"=""001""",492,0,492,"1,208,661",175,"143,354",319,"494,777",0,0,0,473,"2,082,023",0,"35,020",422,0,100,150,312,0,271,170,0,120,21,35,65,31,29,30,23,30,31,0
UT,49,Box Elder,"=""003""","3,606",0,"3,606","8,360,900","1,376","1,134,225","2,349","3,760,793",72,147,194,"3,507","15,456,651",40,"74,259","3,130",0,"1,076","1,740","1,585",82,"1,758","1,445",0,659,232,399,438,294,283,301,356,293,427,23
UT,49,Cache,"=""005""","8,228",99,"8,228","19,104,091","2,597","2,097,522","5,348","8,631,931",238,655,790,"7,998","34,362,083",159,"207,135","7,339",0,"1,991","3,810","4,065",233,"4,753","2,944",0,"1,950",491,"1,009","1,177",827,772,763,722,671,"1,021",26
UT,49,Carbon,"=""007""","1,414",0,"1,414","3,389,960",355,"287,904",837,"1,108,654",21,31,43,"1,375","5,619,021",25,"28,029","1,199",0,601,442,864,58,909,394,0,244,126,224,273,188,112,61,86,61,92,0
UT,49,Daggett,"=""009""",31,0,31,"82,029",9,"7,342",22,"41,461",0,0,0,30,"143,062",0,"1,228",23,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,49,Davis,"=""011""","18,301",165,"18,301","42,134,507","6,335","5,116,386","11,831","17,978,326",913,"1,381","1,536","17,829","76,392,377",467,"451,074","16,232",0,"5,249","10,553","7,048",636,"10,080","6,952",0,"3,852","1,402","2,415","2,782","1,886","1,823","1,878","1,847","1,673","2,245",172
UT,49,Duchesne,"=""013""","1,066",0,"1,066","2,406,161",366,"320,846",651,"1,002,238",22,23,28,"1,024","4,533,693",0,"40,032",889,0,356,331,590,0,458,394,0,191,47,113,152,71,85,43,55,55,91,0
UT,49,Emery,"=""015""",632,0,632,"1,420,475",191,"168,787",378,"594,082",0,0,0,612,"2,567,107",0,"15,933",530,0,154,151,426,0,404,132,0,123,0,23,57,0,0,0,0,0,28,0
UT,49,Garfield,"=""017""",297,0,297,"689,861",60,"60,040",158,"268,035",0,0,0,285,"1,181,637",0,"9,540",250,0,57,101,156,0,154,50,0,79,0,27,34,0,0,0,0,0,0,0
UT,49,Grand,"=""019""",793,0,793,"1,725,674",215,"164,440",435,"580,413",32,27,46,735,"2,800,651",58,"50,651",650,0,296,446,310,37,511,220,0,202,68,145,184,105,81,61,56,45,45,0
UT,49,Iron,"=""021""","3,832",27,"3,832","9,360,554",987,"766,539","2,402","3,921,382",95,216,307,"3,718","15,766,162",85,"104,422","3,377",0,"1,125","1,915","1,621",214,"2,249","1,234",0,974,384,546,642,444,344,332,297,270,349,28
UT,49,Juab,"=""023""",671,0,671,"1,673,215",219,"191,385",464,"777,992",0,0,23,653,"2,866,864",0,"11,180",578,0,164,264,381,0,429,190,0,197,34,46,92,66,24,31,31,64,82,0
UT,49,Kane,"=""025""",464,0,464,"947,927",121,"96,762",240,"412,107",0,0,22,439,"1,645,479",21,"20,938",384,0,132,207,198,28,292,108,0,108,45,57,85,32,37,33,31,28,29,0
UT,49,Millard,"=""027""",748,0,748,"1,834,103",219,"202,443",466,"762,795",0,0,0,724,"3,052,519",0,"21,555",600,0,203,304,393,0,378,255,0,158,38,88,105,60,40,25,22,58,80,0
UT,49,Morgan,"=""029""",349,0,349,"703,857",108,"92,435",220,"353,398",0,39,45,337,"1,398,729",0,"14,268",296,0,53,160,178,0,235,94,0,129,25,54,53,32,27,27,36,34,53,0
UT,49,Piute,"=""031""",97,0,97,"237,851",20,"14,252",27,"93,160",0,0,0,91,"344,954",0,"11,258",78,0,0,0,48,0,53,0,0,21,0,0,0,0,0,0,0,0,0,0
UT,49,Rich,"=""033""",95,0,95,"249,946",18,"23,163",63,"102,632",0,0,0,91,"404,960",0,"11,041",86,0,21,48,47,0,63,0,0,47,0,0,0,0,0,0,0,0,0,0
UT,49,Salt Lake,"=""035""","74,210","1,833","74,210","172,494,413","23,214","17,470,998","45,657","64,938,174","3,439","4,112","4,417","71,755","293,142,932","2,407","2,268,611","63,036",28,"23,109","35,072","36,687","2,279","39,622","28,720",0,"15,477","5,938","10,947","13,568","8,597","8,267","7,728","6,868","5,472","5,665",311
UT,49,San Juan,"=""037""","1,156",0,"1,156","2,791,850",353,"274,229",732,"1,031,687",3,2,4,"1,120","4,743,203",5,"39,729",986,0,507,473,549,55,602,416,0,178,55,97,140,70,43,61,38,37,45,0
UT,49,Sanpete,"=""039""","1,804",0,"1,804","4,676,251",568,"437,410","1,220","2,115,007",0,21,57,"1,743","7,757,439",0,"55,181","1,482",0,398,650,"1,010",0,"1,085",501,0,530,73,172,194,139,122,100,96,67,147,0
UT,49,Sevier,"=""041""","1,621",0,"1,621","3,861,276",479,"404,476","1,033","1,622,631",22,23,41,"1,562","6,689,122",0,"25,692","1,417",0,389,676,760,33,827,545,0,381,90,212,250,127,53,52,55,99,160,0
UT,49,Summit,"=""043""","1,548",27,"1,548","2,713,030",407,"330,963",731,"1,030,023",27,26,85,"1,427","4,860,112",91,"136,389","1,172",0,268,616,876,0,"1,022",349,0,525,136,287,307,81,80,110,98,57,75,0
UT,49,Tooele,"=""045""","3,992",26,"3,992","9,781,896","1,502","1,236,163","2,724","4,276,411",124,206,267,"3,925","17,857,924",55,"50,000","3,622",0,"1,477","1,938","1,942",38,"1,999","1,656",0,642,227,505,557,440,394,438,356,359,502,56
UT,49,Uintah,"=""047""","1,866",0,"1,866","4,330,093",642,"551,268","1,193","1,712,729",34,52,81,"1,832","8,135,528",24,"25,887","1,603",0,765,669,"1,120",29,866,812,0,236,167,271,270,193,170,159,151,152,161,21
UT,49,Utah,"=""049""","33,093",398,"33,093","77,133,159","10,518","8,412,686","21,591","35,244,964",952,"2,855","3,469","32,096","134,964,632",934,"1,012,517","29,279",0,"8,529","17,836","14,203",932,"19,706","11,170",0,"9,026","2,506","4,358","5,470","3,489","3,173","3,107","3,063","2,897","4,257",436
UT,49,Wasatch,"=""051""","1,363",0,"1,363","3,087,218",482,"381,014",875,"1,369,876",57,58,92,"1,306","5,447,598",44,"76,583","1,151",0,384,568,755,0,835,430,0,405,118,140,231,125,142,117,100,113,136,25
UT,49,Washington,"=""053""","10,566",51,"10,566","26,483,931","3,120","2,476,885","6,919","11,209,586",245,612,713,"10,185","43,676,958",291,"315,122","9,128",0,"3,000","5,209","4,714",518,"6,595","3,181",0,"2,960",744,"1,289","1,764","1,213","1,052",981,889,705,"1,090",55
UT,49,Wayne,"=""055""",254,0,254,"601,016",56,"43,890",118,"231,247",0,0,0,233,"1,014,236",0,"4,830",189,0,0,26,118,0,135,23,0,55,0,0,0,0,0,0,0,0,0,0
UT,49,Weber,"=""057""","17,904",279,"17,904","41,954,242","6,070","4,790,806","11,369","16,258,874",799,966,998,"17,506","73,846,168",359,"312,556","15,836",0,"5,764","9,358","7,523",917,"8,979","7,608",0,"2,849","1,384","2,467","3,039","2,062","1,887","1,782","1,679","1,427","1,741",147
