"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
VA,51,Accomack,"=""001""","3,943",0,"3,943","9,667,227","1,003","687,418","2,313","2,788,629",23,75,0,"3,771","16,378,473",0,"108,049","3,258",0,"1,897","1,694","1,987",44,"1,818","1,626",0,521,89,433,671,412,393,294,94,0,0,0
VA,51,Albemarle,"=""003""","3,312",23,"3,312","7,163,079",892,"679,315","1,730","2,224,835",121,80,108,"3,129","12,210,286",105,"146,437","2,782",0,966,"2,052",972,154,"1,661","1,236",0,773,273,479,600,333,265,243,202,166,104,0
VA,51,Alleghany,"=""005""",885,0,885,"1,940,191",212,"168,857",472,"559,334",5,6,27,857,"3,467,563",4,"18,555",772,0,281,256,407,117,409,315,0,100,111,130,162,89,75,66,48,38,33,0
VA,51,Amelia,"=""007""","1,061",0,"1,061","2,465,462",288,"216,654",613,"750,483",37,35,34,"1,021","4,235,568",35,"25,770",920,0,405,661,387,0,498,480,0,237,103,185,207,140,125,93,71,57,43,0
VA,51,Amherst,"=""009""","2,635",0,"2,635","6,119,504",722,"520,145","1,519","1,889,235",156,117,122,"2,562","10,951,771",66,"57,724","2,311",0,"1,023","1,530","1,036",48,"1,200","1,200",0,447,228,407,520,359,295,294,212,139,119,0
VA,51,Appomattox,"=""011""","1,757",0,"1,757","4,181,053",438,"324,628","1,037","1,322,392",68,48,34,"1,715","7,335,590",24,"28,639","1,557",0,621,"1,004",737,0,785,829,0,317,108,291,364,233,137,149,108,78,54,0
VA,51,Arlington,"=""013""","7,754",298,"7,754","15,075,438","1,787","1,279,330","3,571","4,582,963",360,509,441,"6,968","24,544,312",779,"735,225","5,613",0,"1,294","2,967","4,292",435,"4,994","2,046",0,"2,650",906,"1,514","1,712",855,711,668,557,330,320,0
VA,51,Augusta,"=""015""","4,471",9,"4,471","9,418,545","1,405","1,104,248","2,433","3,060,801",126,54,87,"4,281","17,574,674",63,"154,800","3,878",2,"1,435","2,393","1,864",54,"2,270","1,737",0,827,332,655,784,433,383,324,325,263,212,0
VA,51,Bath,"=""017""",437,0,437,"937,665",138,"101,139",224,"277,165",0,0,0,418,"1,760,055",0,"16,693",364,0,87,136,107,144,298,97,0,91,0,47,30,36,24,30,0,0,0,0
VA,51,Bedford County,"=""019""","1,881",0,"1,881","3,887,635",542,"433,036","1,020","1,280,191",55,56,64,"1,796","7,182,040",35,"76,743","1,604",0,624,"1,073",744,18,958,739,0,405,153,292,327,184,121,120,96,75,93,0
VA,51,Bland,"=""021""",439,0,439,"884,018",114,"101,455",213,"270,996",0,0,0,424,"1,663,403",0,"10,000",371,0,141,249,168,0,180,196,0,54,23,35,66,27,0,26,0,22,0,0
VA,51,Botetourt,"=""023""","1,864",0,"1,864","3,728,947",541,"423,731",943,"1,198,708",56,38,52,"1,786","7,048,241",29,"49,280","1,597",0,624,"1,039",789,6,954,738,0,387,135,250,296,167,162,137,150,78,100,0
VA,51,Brunswick,"=""025""","1,794",21,"1,794","4,589,769",473,"346,059","1,045","1,272,299",33,48,24,"1,764","7,820,092",0,"25,439","1,596",0,719,"1,145",576,0,846,733,0,166,70,187,273,210,162,151,119,56,18,0
VA,51,Buchanan,"=""027""","1,711",0,"1,711","3,763,867",355,"296,502",873,"1,005,005",0,0,0,"1,644","6,443,740",21,"31,473","1,465",0,838,511,"1,055",0,550,831,0,190,129,254,322,144,81,73,45,28,24,0
VA,51,Buckingham,"=""029""","1,343",0,"1,343","3,054,104",389,"310,547",752,"893,966",24,32,26,"1,304","5,391,006",0,"29,598","1,189",0,490,852,446,0,542,667,0,145,85,213,231,112,86,134,93,46,31,0
VA,51,Campbell,"=""031""","4,394",8,"4,394","9,679,802","1,218","903,740","2,441","3,022,429",198,184,180,"4,269","17,527,554",60,"112,677","3,866",0,"1,522","2,580","1,688",60,"1,983","1,986",0,728,418,712,872,509,429,424,372,267,267,0
VA,51,Caroline,"=""033""","2,611",0,"2,611","6,052,349",768,"602,468","1,520","1,940,153",103,78,76,"2,541","10,750,302",22,"53,937","2,339",0,"1,081","1,615",777,142,"1,242","1,094",0,392,187,413,493,307,219,266,208,163,99,0
VA,51,Carroll,"=""035""","1,973",0,"1,973","4,267,715",474,"386,402","1,058","1,328,752",33,27,26,"1,887","7,614,379",34,"68,912","1,663",0,675,549,"1,355",0,935,797,0,444,176,237,409,225,160,136,126,77,115,0
VA,51,Charles City,"=""036""",488,0,488,"1,053,430",155,"109,830",270,"292,848",46,0,0,471,"1,877,090",0,"13,450",435,0,217,292,163,33,212,237,0,64,37,70,96,72,64,62,29,39,0,0
