"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
WA,53,Adams,"=""001""","1,624",43,"1,624","4,202,496",618,"482,678","1,111","1,638,293",77,69,41,"1,584","7,627,776",31,"42,755","1,374",0,358,802,793,0,646,843,0,251,56,146,252,196,182,185,189,123,116,0
WA,53,Asotin,"=""003""","1,682",0,"1,682","3,628,222",469,"349,395",907,"1,127,687",84,58,90,"1,629","6,233,788",47,"36,743","1,458",0,567,"1,000",607,68,666,835,0,254,187,291,335,170,146,152,129,117,68,0
WA,53,Benton,"=""005""","13,167",341,"13,167","31,861,004","4,155","3,134,874","8,149","10,844,837",704,640,684,"12,914","56,294,275",184,"226,636","11,597",40,"4,100","7,559","5,271",244,"5,291","6,652",0,"1,901","1,190","1,905","2,271","1,731","1,574","1,396","1,228",913,840,0
WA,53,Chelan,"=""007""","6,183",77,"6,183","14,424,214","2,050","1,491,241","3,702","4,817,832",207,136,223,"6,003","25,243,981",131,"173,064","5,137",0,"1,192","3,609","2,457",46,"2,099","3,389",0,882,519,799,986,743,814,652,497,331,311,0
WA,53,Clallam,"=""009""","4,964",22,"4,964","10,168,593","1,311","1,004,347","2,508","3,213,107",165,149,242,"4,715","17,952,667",220,"214,266","4,029",0,"1,385","3,092","1,592",223,"2,068","2,265",0,939,657,818,906,502,461,415,416,276,237,0
WA,53,Clark,"=""011""","29,217",440,"29,217","65,577,902","8,956","6,988,829","16,759","22,768,647","1,509","1,450","2,047","27,794","111,043,992","1,363","1,628,627","24,469",0,"8,695","17,941","10,600",565,"13,576","12,940",0,"6,369","2,723","4,331","5,269","3,379","3,006","2,869","2,723","2,285","2,159",78
WA,53,Columbia,"=""013""",245,0,245,"573,306",65,"41,615",140,"183,867",0,0,0,238,"970,852",0,"4,814",204,0,79,151,88,0,100,120,0,40,28,39,54,30,33,0,0,0,0,0
WA,53,Cowlitz,"=""015""","7,862",140,"7,862","17,908,754","2,175","1,679,830","4,496","5,708,042",309,220,426,"7,679","30,879,927",148,"157,987","6,791",30,"2,673","5,102","2,484",218,"3,000","3,981",0,"1,042",936,"1,260","1,481",989,808,652,563,505,475,0
WA,53,Douglas,"=""017""","2,937",50,"2,937","7,031,555",992,"751,192","1,849","2,360,131",152,80,108,"2,859","12,382,169",58,"69,587","2,453",0,658,"1,678","1,215",28,"1,019","1,642",0,323,186,360,505,351,338,301,216,160,158,0
WA,53,Ferry,"=""019""",475,0,475,"987,903",121,"104,585",223,"302,115",0,0,0,456,"1,753,883",0,"11,812",357,0,112,279,136,0,131,210,0,57,31,64,44,31,4,3,4,3,4,0
WA,53,Franklin,"=""021""","7,290",218,"7,290","19,605,244","2,671","1,991,919","5,240","7,363,716",412,280,226,"7,133","34,666,455",125,"188,384","6,443",27,"1,952","3,403","3,787",91,"3,032","3,852",0,"1,029",355,833,"1,136","1,063",927,914,715,494,575,53
WA,53,Garfield,"=""023""",134,0,134,"358,260",39,"28,416",84,"117,433",0,0,0,130,"576,770",0,"3,985",111,0,46,80,52,0,56,65,0,28,0,0,30,0,0,0,0,0,0,0
WA,53,Grant,"=""025""","7,156",223,"7,156","18,047,144","2,426","1,877,627","4,733","6,642,501",247,234,223,"6,991","32,525,970",94,"199,570","6,053",0,"2,156","3,741","3,249",66,"2,685","3,885",0,884,462,902,"1,193",919,813,681,622,498,547,0
WA,53,Grays Harbor,"=""027""","5,408",38,"5,408","11,797,268","1,470","1,137,326","2,939","3,752,102",147,82,126,"5,249","21,347,497",71,"122,489","4,539",56,"1,771","3,301","1,775",199,"2,041","2,622",0,632,571,822,928,629,514,428,373,277,198,0
WA,53,Island,"=""029""","4,696",31,"4,696","9,578,174","1,647","1,293,638","2,699","3,766,700",314,257,319,"4,452","19,430,375",238,"198,906","4,054",0,"1,235","3,273","1,266",94,"1,926","2,311",0,933,444,610,720,369,409,450,500,388,506,27
WA,53,Jefferson,"=""031""","1,889",0,"1,889","3,459,671",417,"334,494",816,"1,013,583",29,22,93,"1,691","5,405,584",148,"163,712","1,387",0,466,"1,203",547,95,974,656,0,633,236,326,411,158,128,97,96,54,44,0
WA,53,King,"=""033""","99,503","3,159","99,503","197,769,728","25,742","20,126,838","47,650","62,018,540","4,046","4,741","5,699","93,202","341,415,594","6,075","6,236,157","78,422",130,"22,976","52,260","40,498","6,230","48,596","38,718",0,"23,449","12,394","18,013","20,227","10,106","8,935","8,357","8,185","6,371","4,761",0
WA,53,Kitsap,"=""035""","14,591",120,"14,591","29,896,190","4,562","3,652,759","7,948","10,108,418",864,604,"1,050","14,082","56,970,568",418,"522,961","12,632",0,"4,389","10,213","3,702",520,"5,750","7,056",0,"2,240","1,569","2,245","2,509","1,387","1,373","1,355","1,285","1,074","1,122",0
WA,53,Kittitas,"=""037""","2,229",23,"2,229","4,279,703",496,"406,881","1,030","1,406,624",60,76,175,"2,137","7,621,129",67,"93,174","1,847",0,496,"1,407",678,54,838,"1,012",0,364,277,392,408,189,148,139,102,89,100,0
WA,53,Klickitat,"=""039""","1,440",0,"1,440","3,107,872",409,"333,114",748,"1,026,292",0,0,58,"1,351","5,331,035",37,"64,029","1,150",0,323,767,505,0,555,626,0,256,109,163,201,95,93,86,81,63,68,0
WA,53,Lewis,"=""041""","5,888",95,"5,888","13,577,856","1,687","1,335,354","3,429","4,423,122",157,99,122,"5,734","24,014,285",95,"122,765","4,986",0,"1,895","3,454","2,224",89,"2,348","2,846",0,718,528,899,944,686,542,385,361,329,325,0
WA,53,Lincoln,"=""043""",618,0,618,"1,434,234",174,"150,481",352,"529,112",0,0,0,595,"2,556,786",0,"33,509",486,0,102,366,164,0,258,221,0,82,0,23,42,33,24,0,24,0,23,0
WA,53,Mason,"=""045""","3,810",54,"3,810","8,372,838","1,121","880,961","2,132","2,775,251",132,74,130,"3,672","15,009,556",107,"108,212","3,203",0,"1,089","2,251","1,434",88,"1,448","1,909",0,624,391,616,634,379,301,289,291,235,210,0
WA,53,Okanogan,"=""047""","3,775",57,"3,775","8,531,860","1,154","923,633","2,153","2,855,098",89,26,93,"3,628","15,115,986",55,"126,742","3,035",0,992,"2,398","1,202",57,"1,280","1,994",0,531,309,520,652,400,339,335,234,167,185,0
WA,53,Pacific,"=""049""","1,353",0,"1,353","2,799,948",343,"278,404",676,"853,576",0,0,0,"1,294","4,968,137",0,"41,625","1,088",0,363,844,443,0,445,652,0,190,137,190,215,114,70,60,37,28,23,0
WA,53,Pend Oreille,"=""051""",847,0,847,"1,988,879",201,"178,783",465,"647,651",0,0,35,812,"3,291,777",28,"25,450",698,0,170,515,278,0,328,403,0,129,69,101,112,85,55,62,50,37,44,0
WA,53,Pierce,"=""053""","59,236",928,"59,236","133,427,604","19,051","14,829,149","35,050","46,367,268","3,388","2,716","3,625","57,611","250,163,335","1,410","1,655,841","52,243",54,"20,341","36,240","20,797","1,709","23,933","29,122",0,"8,678","5,686","8,740","10,002","6,317","6,082","6,383","5,834","4,767","4,047",56
WA,53,San Juan,"=""055""",834,0,834,"1,508,298",197,"159,735",338,"437,824",27,0,64,742,"2,325,689",92,"63,972",594,0,147,599,234,0,468,243,0,355,118,151,195,74,61,38,59,32,0,0
WA,53,Skagit,"=""057""","8,012",159,"8,012","17,738,548","2,565","2,015,280","4,549","5,838,242",394,252,323,"7,706","31,796,532",263,"266,066","6,629",0,"2,519","4,613","3,029",238,"3,684","3,414",0,"1,306",793,"1,242","1,394",874,802,778,701,529,492,0
WA,53,Skamania,"=""059""",545,0,545,"1,119,280",138,"106,801",279,"376,241",0,0,0,515,"1,956,176",0,"19,363",437,0,158,309,200,0,211,235,0,88,52,70,100,66,0,22,0,0,0,0
WA,53,Snohomish,"=""061""","38,090",741,"38,090","76,350,832","11,765","9,560,180","19,825","25,107,651","2,112","1,898","2,210","36,281","139,982,130","1,710","1,949,075","31,654",0,"10,695","22,211","14,180","1,535","17,314","16,372",0,"7,543","4,113","6,123","6,880","3,829","3,617","3,596","3,624","2,991","2,706",22
WA,53,Spokane,"=""063""","37,678",400,"37,678","83,312,850","10,871","8,357,410","21,192","27,890,207","1,989","1,544","2,822","36,413","146,717,483","1,083","1,145,326","32,382",32,"12,044","23,225","13,239","1,002","15,771","17,914",0,"6,512","4,216","5,829","6,625","4,156","3,978","3,722","3,217","2,563","2,429",0
WA,53,Stevens,"=""065""","2,801",0,"2,801","6,503,432",732,"587,970","1,601","2,211,272",30,0,93,"2,681","11,037,846",31,"92,413","2,322",0,772,"1,727",958,0,"1,183","1,260",0,593,216,330,464,255,160,173,108,121,119,0
WA,53,Thurston,"=""067""","17,945",156,"17,945","36,863,638","5,540","4,376,947","9,756","12,651,915","1,038",871,"1,250","17,321","70,492,033",570,"511,284","15,506",0,"4,972","12,356","4,944",556,"7,064","8,643",0,"2,895","2,013","2,764","3,124","1,828","1,694","1,704","1,696","1,468","1,274",0
WA,53,Wahkiakum,"=""069""",255,0,255,"528,473",71,"47,559",126,"182,817",0,0,0,240,"904,827",0,"10,333",206,0,50,140,71,0,98,96,0,37,22,26,32,0,0,0,0,0,0,0
WA,53,Walla Walla,"=""071""","4,173",48,"4,173","9,539,577","1,229","928,506","2,435","3,270,292",185,185,218,"4,056","16,906,130",96,"108,244","3,540",0,"1,231","2,141","1,798",176,"1,904","1,864",0,689,370,598,735,462,400,365,321,237,267,0
WA,53,Whatcom,"=""073""","12,357",137,"12,357","23,589,483","3,515","2,798,222","6,017","7,699,373",493,531,737,"11,715","41,836,706",519,"624,694","10,005",0,"3,032","8,204","3,574",458,"5,588","5,199",0,"2,475","1,491","2,129","2,327","1,143","1,075","1,068",975,823,727,0
WA,53,Whitman,"=""075""","2,041",28,"2,041","3,765,054",474,"405,268",938,"1,268,993",77,107,192,"1,979","6,780,728",32,"58,511","1,719",0,401,"1,341",527,0,697,963,0,211,235,302,304,129,127,69,113,69,71,0
