"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
WV,54,Barbour,"=""001""","1,393",0,"1,393","3,121,044",302,"238,664",746,"932,127",0,0,56,"1,349","5,632,569",0,"20,732","1,184",0,372,594,704,64,640,607,0,224,144,190,263,152,132,85,76,39,71,0
WV,54,Berkeley,"=""003""","10,086",62,"10,086","21,763,395","2,766","2,188,463","5,623","6,978,326",361,375,437,"9,829","40,094,504",221,"213,904","8,862",0,"4,258","5,849","3,726",481,"4,926","3,982",0,"1,579","1,206","1,877","1,879","1,104",944,888,787,706,578,0
WV,54,Boone,"=""005""","1,795",0,"1,795","4,410,678",349,"305,841","1,029","1,281,667",0,0,0,"1,762","7,567,732",0,"41,670","1,498",0,760,791,787,0,613,797,0,110,78,136,160,107,73,29,49,24,22,0
WV,54,Braxton,"=""007""","1,259",0,"1,259","2,781,227",271,"240,622",665,"802,576",0,0,0,"1,216","5,031,126",0,"34,361",984,0,360,624,528,0,392,584,0,122,76,132,234,94,53,47,24,23,0,0
WV,54,Brooke,"=""009""","1,860",0,"1,860","3,883,863",461,"365,929",928,"1,098,432",10,14,90,"1,802","7,143,215",8,"37,422","1,572",0,741,841,826,118,842,747,0,270,207,321,376,218,129,124,113,105,77,0
WV,54,Cabell,"=""011""","8,842",70,"8,842","19,337,526","1,966","1,472,407","4,803","5,680,473",220,266,407,"8,649","33,635,796",133,"142,255","7,691",0,"3,766","4,581","3,849",376,"3,450","4,275",0,"1,243","1,109","1,800","1,966","1,128",743,647,518,354,355,0
WV,54,Calhoun,"=""013""",607,0,607,"1,336,162",124,"121,070",306,"390,784",0,0,0,591,"2,437,323",0,"8,389",494,0,168,287,207,23,349,132,0,36,0,35,37,24,0,0,0,0,0,0
WV,54,Clay,"=""015""",958,0,958,"2,327,916",215,"186,737",544,"729,967",0,0,0,945,"4,203,698",0,"9,141",809,0,393,499,345,0,390,409,0,80,0,82,93,30,0,0,0,0,0,0
WV,54,Doddridge,"=""017""",370,0,370,"807,106",87,"65,937",200,"269,769",0,0,0,356,"1,486,946",0,"11,231",281,0,118,157,133,0,152,128,0,65,39,62,42,42,26,33,25,22,0,0
WV,54,Fayette,"=""019""","4,167",0,"4,167","9,578,548",968,"725,522","2,295","2,835,569",21,23,93,"4,103","16,995,084",0,"37,577","3,626",0,"1,756","2,488","1,353",27,"1,297","2,041",0,366,327,530,655,344,270,175,185,109,84,0
