"STATE","STFIPS","county","county_fips","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
WY,56,Albany,"=""001""","2,036",0,"2,036","3,457,466",388,"317,294",869,"1,128,222",119,152,205,"1,952","6,403,112",67,"48,777","1,682",0,436,"1,255",555,166,"1,058",741,0,361,298,421,425,185,137,120,113,91,107,0
WY,56,Big Horn,"=""003""",666,0,666,"1,534,649",206,"173,641",377,"572,532",0,0,0,630,"2,762,621",0,"23,965",558,0,193,261,291,0,247,240,0,126,45,26,72,0,24,27,23,0,24,0
WY,56,Campbell,"=""005""","2,487",0,"2,487","5,595,596",812,"650,832","1,487","1,802,156",175,57,113,"2,433","10,578,515",27,"52,408","2,187",0,"1,228","1,116","1,321",27,"1,150","1,086",0,363,233,391,456,282,227,223,201,139,115,0
WY,56,Carbon,"=""007""",844,0,844,"1,762,820",266,"210,870",428,"560,856",0,0,24,821,"3,252,961",0,"11,215",639,0,287,399,298,0,275,371,0,86,66,124,121,56,48,53,48,40,32,0
WY,56,Converse,"=""009""",649,0,649,"1,442,083",202,"174,038",388,"459,811",0,0,24,622,"2,696,448",21,"18,992",556,0,230,411,228,0,253,337,0,121,75,124,118,45,57,44,37,31,30,0
WY,56,Crook,"=""011""",286,0,286,"621,295",66,"64,090",150,"222,447",0,0,0,263,"1,141,260",0,"22,350",232,0,73,139,143,0,163,97,0,95,0,0,21,0,0,0,0,0,0,0
WY,56,Fremont,"=""013""","3,366",21,"3,366","7,388,322",990,"830,476","1,944","2,455,790",105,53,104,"3,281","13,790,170",59,"89,893","2,860",69,"1,698","1,281","2,007",0,"1,510","1,453",0,403,433,554,459,286,299,261,229,186,175,0
WY,56,Goshen,"=""015""",926,0,926,"2,045,311",271,"203,349",523,"674,327",33,22,49,884,"3,598,793",24,"48,333",750,0,304,471,360,24,354,409,0,193,93,141,129,86,80,76,60,43,54,0
WY,56,Hot Springs,"=""017""",313,0,313,"644,242",87,"69,382",152,"189,990",0,0,0,302,"1,184,643",0,"11,155",264,0,91,170,141,0,158,125,0,75,44,50,63,37,34,22,24,0,27,0
WY,56,Johnson,"=""019""",461,0,461,"890,974",124,"111,554",230,"308,690",0,0,21,428,"1,591,704",25,"39,465",379,0,111,189,250,0,230,157,0,139,44,83,95,35,38,28,32,0,34,0
WY,56,Laramie,"=""021""","6,763",29,"6,763","14,252,213","2,210","1,730,231","3,825","4,931,519",498,270,449,"6,597","27,554,834",140,"178,646","5,882",0,"2,416","4,217","2,166",300,"2,790","3,159",0,861,726,"1,013","1,116",684,600,692,629,476,441,0
WY,56,Lincoln,"=""023""",921,0,921,"2,007,415",280,"251,922",500,"795,980",0,0,23,871,"3,567,764",0,"50,143",713,0,133,407,335,0,449,226,0,270,57,69,88,28,33,0,0,0,35,0
WY,56,Natrona,"=""025""","5,293",21,"5,293","11,267,043","1,620","1,266,084","2,895","3,591,040",337,131,199,"5,169","20,870,909",102,"123,150","4,515",0,"2,106","2,867","2,125",235,"2,422","2,283",0,695,555,951,988,578,520,480,402,285,299,0
WY,56,Niobrara,"=""027""",142,0,142,"342,800",37,"25,754",81,"105,613",0,0,0,136,"548,229",0,"7,367",107,0,41,82,59,0,68,58,0,36,21,0,29,25,0,0,0,0,0,0
WY,56,Park,"=""029""","1,752",0,"1,752","3,575,320",494,"397,411",927,"1,158,080",69,71,110,"1,641","6,213,310",105,"114,106","1,405",0,597,702,"1,018",0,853,719,0,485,171,312,359,172,169,147,143,109,121,0
WY,56,Platte,"=""031""",537,0,537,"1,199,653",137,"108,497",290,"380,024",0,0,25,500,"2,030,118",21,"24,358",429,0,132,267,199,0,232,209,0,106,51,62,81,54,36,31,27,23,30,0
WY,56,Sheridan,"=""033""","1,694",0,"1,694","3,419,156",483,"386,701",868,"1,135,180",115,39,83,"1,636","6,244,638",50,"61,924","1,416",0,576,883,651,68,788,674,0,302,172,269,300,168,138,118,116,101,101,0
WY,56,Sublette,"=""035""",309,0,309,"599,801",95,"80,559",149,"188,898",0,0,0,280,"1,119,064",0,"16,292",226,0,77,174,112,0,145,108,0,77,0,66,34,0,0,0,0,0,0,0
WY,56,Sweetwater,"=""037""","2,250",32,"2,250","4,898,169",680,"516,758","1,293","1,586,003",50,70,100,"2,209","9,217,644",24,"26,474","1,888",0,907,"1,184",985,45,761,"1,163",0,234,248,383,448,242,215,180,177,131,98,0
WY,56,Teton,"=""039""",941,0,941,"1,500,454",229,"179,420",372,"551,528",28,0,58,851,"2,768,662",66,"74,536",693,0,100,419,456,29,519,261,0,324,118,181,211,43,83,84,46,30,27,0
WY,56,Uinta,"=""041""","1,310",0,"1,310","2,983,510",378,"302,592",755,"1,026,600",42,39,53,"1,275","5,425,339",0,"36,888","1,117",0,505,695,610,0,500,643,0,152,102,168,177,126,106,78,74,73,65,0
WY,56,Washakie,"=""043""",505,0,505,"1,104,284",135,"102,055",273,"374,208",0,21,22,492,"2,006,768",0,"7,906",417,0,141,301,169,0,202,218,0,84,55,86,90,64,41,39,41,31,25,0
WY,56,Weston,"=""045""",377,0,377,"795,929",94,"83,621",219,"286,244",22,0,21,360,"1,489,239",0,"16,001",315,0,120,186,183,0,155,180,0,71,43,51,71,38,21,24,0,23,26,0
