"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
AK,02,State House District 1,"=""02001""",999,0,999,"2,212,806",499,"397,247",694,"1,024,343",110,71,99,982,"5,126,059",16,"17,670",948,0,357,699,260,16,570,374,0,181,48,85,106,68,94,118,138,118,156,0
AK,02,State House District 2,"=""02002""",599,0,599,"1,160,552",262,"194,718",339,"424,336",19,11,47,580,"2,360,735",5,"18,210",524,0,213,373,193,5,395,151,0,115,52,83,93,63,51,67,58,47,41,0
AK,02,State House District 3,"=""02003""","1,600",0,"1,600","3,972,372",767,"532,000","1,184","1,856,065",146,113,158,"1,582","8,971,046",14,"18,125","1,521",0,593,"1,010",485,75,831,655,0,189,60,139,182,104,173,234,266,221,175,0
AK,02,State House District 4,"=""02004""","1,258",0,"1,258","2,391,370",560,"380,513",662,"793,463",85,49,71,"1,225","4,692,345",25,"36,351","1,106",0,484,728,460,56,773,369,0,168,102,207,249,100,99,125,120,86,70,0
AK,02,State House District 5,"=""02005""",753,0,753,"1,340,809",311,"245,704",365,"435,472",46,32,76,723,"2,727,711",17,"29,309",652,0,254,431,246,21,491,204,0,128,41,131,133,51,48,58,78,46,34,0
AK,02,State House District 6,"=""02006""",868,0,868,"1,836,887",383,"278,566",490,"698,543",19,15,24,835,"3,390,295",11,"33,817",738,0,262,547,283,9,527,261,0,223,23,119,120,56,61,45,24,25,28,0
AK,02,State House District 7,"=""02007""",828,0,828,"1,683,249",332,"219,129",439,"587,122",33,23,37,770,"2,950,799",36,"58,290",689,0,268,500,287,9,525,191,0,203,43,136,143,75,46,52,43,43,53,0
AK,02,State House District 8,"=""02008""",808,0,808,"1,628,503",359,"252,576",447,"591,499",52,46,73,775,"3,091,948",33,"34,089",705,0,297,479,301,28,525,211,0,175,66,137,145,85,84,63,73,72,76,0
AK,02,State House District 9,"=""02009""","1,632",0,"1,632","3,417,778",766,"525,402",937,"1,271,652",101,81,113,"1,556","6,302,916",70,"96,299","1,425",0,651,864,727,20,"1,085",409,0,396,130,229,258,167,156,156,156,128,147,0
AK,02,State House District 10,"=""02010""",677,0,677,"1,498,817",313,"204,081",419,"532,067",21,18,34,656,"2,687,242",0,"13,238",598,0,303,363,302,0,467,164,0,158,46,109,120,75,65,65,68,43,43,0
AK,02,State House District 11,"=""02011""",721,0,721,"1,474,400",331,"234,278",411,"549,104",52,26,66,697,"2,839,608",18,"22,221",636,0,260,418,274,14,470,190,0,150,41,114,132,74,69,62,73,63,72,0
AK,02,State House District 12,"=""02012""","1,106",0,"1,106","2,657,693",580,"458,226",861,"1,448,075",105,101,149,"1,094","6,681,981",11,"14,813","1,061",0,360,682,357,62,486,573,0,173,17,52,64,65,115,168,185,172,206,0
AK,02,State House District 13,"=""02013""","1,454",18,"1,454","3,424,283",781,"576,256","1,055","1,468,385",136,106,163,"1,436","7,582,890",17,"25,005","1,361",0,530,876,490,88,694,692,0,178,57,121,150,128,163,220,235,178,186,0
AK,02,State House District 14,"=""02014""","1,540",43,"1,540","3,562,777",749,"529,883",981,"1,294,510",116,79,98,"1,512","6,761,060",28,"36,715","1,383",8,636,856,599,85,856,569,0,183,106,216,257,175,174,181,176,143,107,0
AK,02,State House District 15,"=""02015""","1,503",46,"1,503","3,423,154",701,"488,773",919,"1,185,105",97,73,92,"1,465","6,316,889",35,"41,186","1,337",11,594,805,618,77,877,489,0,191,110,211,262,168,163,158,155,127,91,0
AK,02,State House District 16,"=""02016""","1,789",50,"1,789","3,711,700",803,"546,506",973,"1,232,727",91,61,97,"1,731","6,883,078",48,"60,067","1,518",4,704,890,802,93,"1,026",547,0,251,152,300,318,179,187,180,186,130,83,0
AK,02,State House District 17,"=""02017""","1,683",58,"1,683","4,065,373",785,"535,722","1,082","1,410,594",89,71,83,"1,656","7,412,022",25,"29,883","1,504",18,723,890,687,93,956,600,0,197,116,222,322,184,188,177,158,130,91,0
AK,02,State House District 18,"=""02018""","1,405",31,"1,405","2,806,557",554,"346,048",718,"873,581",71,50,76,"1,361","5,024,424",38,"36,107","1,109",0,601,730,556,91,775,425,0,179,166,258,271,153,117,114,117,78,44,0
AK,02,State House District 19,"=""02019""","1,025",23,"1,025","1,988,757",452,"339,469",529,"669,474",83,44,66,989,"3,800,847",33,"42,177",858,0,378,575,364,43,583,304,0,142,80,157,166,91,98,91,115,99,50,0
AK,02,State House District 20,"=""02020""",929,18,929,"1,848,511",431,"318,792",507,"627,564",99,50,69,902,"3,548,273",26,"26,936",817,0,369,539,326,32,536,313,0,137,69,151,142,83,97,80,114,96,63,0
AK,02,State House District 21,"=""02021""",825,0,825,"1,599,671",377,"288,727",437,"566,989",72,47,57,792,"3,129,926",29,"35,479",702,0,246,494,303,27,520,224,0,157,54,122,133,72,76,90,89,71,62,0
AK,02,State House District 22,"=""02022""","1,032",9,"1,032","2,107,576",468,"334,501",575,"706,683",101,54,74,999,"4,045,978",15,"37,694",898,0,397,568,425,22,603,328,0,165,76,147,211,107,113,116,116,76,70,0
AK,02,State House District 23,"=""02023""",664,9,664,"1,288,265",286,"213,330",347,"432,465",59,35,60,635,"2,455,778",23,"33,942",577,0,225,380,259,22,408,192,0,124,61,107,112,70,63,60,77,55,43,0
AK,02,State House District 24,"=""02024""",812,16,812,"1,633,647",368,"273,817",445,"550,848",73,50,69,778,"3,111,762",34,"40,389",721,0,299,448,331,32,502,237,0,143,65,125,132,91,79,82,98,79,60,0
AK,02,State House District 25,"=""02025""","1,331",26,"1,331","2,969,918",661,"487,164",832,"1,105,488",115,72,93,"1,303","5,811,123",26,"38,672","1,197",0,515,758,483,67,734,484,0,160,83,179,194,142,138,155,160,129,100,0
AK,02,State House District 26,"=""02026""",577,0,577,"1,047,243",269,"206,442",326,"440,265",52,48,75,556,"2,416,161",21,"28,348",512,0,176,358,192,27,349,175,0,118,34,81,83,42,54,71,64,71,75,0
AK,02,State House District 27,"=""02027""",389,2,389,"613,751",127,"99,130",150,"182,872",22,5,34,369,"1,169,501",4,"21,899",324,0,72,263,99,3,219,118,0,83,41,79,79,25,23,9,29,8,6,0
AK,02,State House District 28,"=""02028""",937,0,937,"1,839,362",386,"265,328",491,"607,840",27,20,31,888,"3,309,557",16,"55,932",768,0,274,568,314,37,610,230,0,203,54,147,182,70,43,41,42,38,28,0
AK,02,State House District 29,"=""02029""",873,0,873,"1,822,809",374,"265,802",483,"623,727",57,39,64,838,"3,313,158",35,"39,083",751,0,292,529,332,0,571,228,0,171,59,150,165,99,86,83,86,80,60,0
AK,02,State House District 30,"=""02030""","1,046",0,"1,046","1,940,662",408,"295,781",523,"728,021",35,30,51,932,"3,161,710",78,"133,349",757,0,214,703,295,0,679,253,0,390,67,159,195,67,53,74,59,59,56,0
AK,02,State House District 31,"=""02031""",791,16,791,"1,376,211",336,"259,059",385,"448,567",44,23,48,762,"2,788,033",16,"33,534",663,0,291,472,255,30,423,247,0,108,72,139,141,58,46,55,68,61,37,0
AK,02,State House District 32,"=""02032""",812,11,812,"1,423,198",328,"258,025",377,"449,720",31,17,34,781,"2,797,617",12,"39,566",678,0,271,527,226,22,411,220,0,80,51,97,125,42,33,40,49,43,26,0
AK,02,State House District 33,"=""02033""","1,234",0,"1,234","2,357,455",527,"375,053",626,"738,995",44,25,44,"1,168","4,538,234",31,"64,283","1,008",0,439,702,432,54,789,314,0,210,84,199,207,113,59,92,77,70,53,0
AK,02,State House District 34,"=""02034""","1,079",0,"1,079","1,895,957",442,"308,558",517,"586,667",55,0,38,992,"3,569,575",57,"84,208",820,0,295,576,389,50,749,238,0,214,46,114,163,41,31,36,46,41,36,0
AK,02,State House District 35,"=""02035""","1,102",0,"1,102","2,189,508",552,"433,931",636,"824,924",65,50,77,"1,048","4,576,334",37,"71,177",900,0,161,520,518,0,727,270,0,221,49,116,155,87,100,116,90,98,120,0
AK,02,State House District 36,"=""02036""","1,999",0,"1,999","4,387,378",880,"451,624","1,138","1,516,415",1,1,1,"1,934","7,829,449",13,"29,629","1,544",0,584,"1,103",357,279,"1,313",350,0,283,61,322,71,26,26,19,23,19,22,0
AK,02,State House District 37,"=""02037""","1,305",0,"1,305","2,665,861",565,"355,875",696,"871,375",0,0,0,"1,234","4,712,721",15,"61,844",894,0,230,452,333,321,989,140,0,221,46,151,126,59,57,23,30,24,28,0
AK,02,State House District 38,"=""02038""","1,804",0,"1,804","3,722,331",862,"457,084",980,"1,261,990",17,12,20,"1,765","6,515,074",6,"26,681","1,374",0,572,675,358,515,"1,290",253,0,226,105,298,192,19,18,22,21,17,13,0
AK,02,State House District 39,"=""02039""","1,751",0,"1,751","3,587,702",759,"483,793",885,"1,194,089",0,0,0,"1,724","6,815,760",0,"29,204","1,466",0,665,911,362,121,981,395,0,62,21,143,113,1,22,26,0,24,0,0
AK,02,State House District 40,"=""02040""","1,089",0,"1,089","2,304,082",448,"339,942",616,"813,774",0,0,0,"1,067","4,515,692",0,"23,914",912,0,432,598,310,0,658,182,0,52,31,139,62,0,0,21,0,0,0,0
