"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
AR,05,State House District 1,"=""05001""","3,720",52,"3,720","9,988,774",933,"662,487","2,412","2,895,162",129,106,67,"3,634","15,986,146",86,"78,018","3,360",20,"1,973","1,864","1,823",33,"1,761","1,662",0,682,312,691,837,604,441,286,236,169,139,0
AR,05,State House District 2,"=""05002""","2,972",37,"2,972","7,927,621",802,"604,903","1,896","2,274,691",55,51,46,"2,903","12,827,131",32,"55,459","2,644",42,"1,461","1,362","1,550",7,"1,319","1,421",0,556,181,439,589,469,285,209,144,121,101,0
AR,05,State House District 3,"=""05003""","3,638",34,"3,638","10,287,663","1,000","672,285","2,453","3,045,187",102,59,40,"3,564","16,635,320",39,"57,174","3,286",0,"2,152","1,192","2,398",0,"1,834","1,601",0,572,190,469,682,553,521,310,190,158,109,0
AR,05,State House District 4,"=""05004""","2,973",35,"2,973","8,039,852",929,"683,487","1,969","2,517,089",32,53,0,"2,892","13,260,149",46,"73,923","2,496",0,"1,471","1,058","1,908",0,"1,547","1,189",0,523,175,377,505,383,490,287,159,123,105,0
AR,05,State House District 5,"=""05005""","3,245",34,"3,245","8,524,529",855,"623,450","2,023","2,387,385",48,46,47,"3,189","13,889,299",21,"37,682","2,871",23,"1,754","1,273","1,938",14,"1,410","1,585",0,457,193,522,691,463,358,250,164,78,51,0
AR,05,State House District 6,"=""05006""","3,214",57,"3,214","8,577,370",812,"604,458","2,033","2,439,610",115,92,71,"3,166","13,847,460",44,"43,166","2,832",1,"1,777","1,127","1,985",60,"1,738","1,246",0,554,199,559,698,484,341,267,203,160,95,0
AR,05,State House District 7,"=""05007""","3,228",49,"3,228","8,526,899",823,"618,934","2,025","2,414,375",103,79,57,"3,173","13,672,255",38,"46,771","2,786",0,"1,763","1,154","1,978",56,"1,807","1,163",0,559,191,525,682,451,330,271,245,117,87,0
AR,05,State House District 8,"=""05008""","3,159",0,"3,159","8,510,597",818,"576,525","2,012","2,437,845",63,41,39,"3,101","13,731,902",5,"37,181","2,728",0,"1,667","1,248","1,877",0,"1,105","1,782",0,394,163,457,577,479,370,222,180,120,59,0
AR,05,State House District 9,"=""05009""","3,203",23,"3,203","8,697,622",755,"545,815","2,067","2,491,519",107,100,97,"3,135","13,598,004",49,"46,206","2,850",0,"1,911","1,059","2,107",0,"1,252","1,697",0,569,227,543,694,459,298,239,197,162,118,0
AR,05,State House District 10,"=""05010""","2,927",24,"2,927","7,755,624",791,"585,216","1,844","2,292,679",121,126,66,"2,856","12,677,370",28,"67,484","2,613",0,"1,586","1,244","1,643",34,"1,428","1,325",0,586,197,424,616,412,321,285,254,178,120,0
AR,05,State House District 11,"=""05011""","3,743",0,"3,743","10,799,457",885,"619,900","2,474","3,048,922",50,92,6,"3,682","16,538,452",2,"49,731","3,320",0,"2,134","1,716","1,989",0,"1,574","1,924",0,618,229,576,776,590,373,262,216,155,83,0
AR,05,State House District 12,"=""05012""","3,587",40,"3,587","11,279,763",710,"457,442","2,398","3,104,709",43,45,23,"3,531","16,001,465",0,"30,108","3,137",0,"1,870","1,302","1,688",446,"2,001","1,356",0,822,201,500,921,601,338,256,104,81,29,0
AR,05,State House District 13,"=""05013""","3,008",20,"3,008","7,627,036",895,"704,734","1,904","2,356,357",104,46,60,"2,928","12,947,106",29,"71,618","2,589",0,"1,587","1,201","1,746",0,"1,472","1,324",0,556,216,385,558,394,284,257,203,202,105,0
AR,05,State House District 14,"=""05014""","2,834",10,"2,834","7,331,133",783,"579,811","1,798","2,323,726",106,64,86,"2,782","12,134,471",9,"60,700","2,525",0,"1,437","1,200","1,585",17,"1,374","1,241",0,470,177,438,556,362,286,236,202,159,113,0
AR,05,State House District 15,"=""05015""","2,696",16,"2,696","6,901,275",775,"586,887","1,688","2,147,851",109,83,68,"2,626","11,493,325",53,"60,453","2,401",0,"1,328","1,123","1,531",29,"1,492","1,034",0,577,169,350,515,315,255,261,202,138,120,0
AR,05,State House District 16,"=""05016""","4,071",71,"4,071","11,452,487","1,004","727,241","2,642","3,282,614",223,184,89,"4,016","18,092,691",29,"48,413","3,734",0,"2,384","2,006","1,944",97,"2,148","1,676",0,749,245,610,956,595,460,422,289,175,83,0
AR,05,State House District 17,"=""05017""","3,720",65,"3,720","10,431,966",887,"633,159","2,390","2,968,769",207,175,88,"3,665","16,270,552",38,"54,389","3,375",0,"2,154","1,854","1,749",88,"1,991","1,498",0,708,217,580,899,560,394,355,264,176,85,0
AR,05,State House District 18,"=""05018""","2,861",1,"2,861","7,285,367",737,"540,566","1,793","2,168,403",102,53,48,"2,767","11,650,885",52,"82,937","2,465",0,"1,419","1,079","1,671",79,"1,367","1,292",0,598,198,477,569,415,301,234,179,127,87,0
AR,05,State House District 19,"=""05019""","3,027",0,"3,027","8,169,063",817,"590,103","1,940","2,490,563",48,44,26,"2,919","13,119,805",48,"92,026","2,527",0,"1,589",963,"2,000",5,"1,449","1,304",0,732,212,424,513,396,390,248,131,86,84,0
AR,05,State House District 20,"=""05020""","2,759",6,"2,759","7,146,541",653,"488,882","1,690","2,258,861",40,38,34,"2,643","11,083,021",68,"102,082","2,295",0,"1,224",657,"1,995",25,"1,580",953,0,892,166,390,534,341,228,147,131,94,98,0
