"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
AZ,04,State House District 1,"=""04001""","13,642",73,"13,642","29,230,717","3,446","2,612,069","7,107","9,674,794",520,436,677,"12,759","46,704,865",726,"733,373","10,762",0,"3,870","6,888","5,498","1,060","7,803","4,601",0,"3,739","1,427","2,232","2,635","1,606","1,191","1,142","1,069",694,699,0
AZ,04,State House District 2,"=""04002""","25,373",753,"25,373","76,185,834","6,561","4,603,194","17,881","24,780,252","1,005",925,904,"24,685","114,667,278",605,"588,458","22,422",32,"8,803","12,468","11,563","1,260","14,718","9,489",0,"6,012","1,251","3,364","5,456","4,286","3,192","2,663","2,000","1,379","1,164",16
AZ,04,State House District 3,"=""04003""","24,966",751,"24,966","69,235,193","6,458","4,538,844","16,430","22,244,745","1,209",901,966,"24,286","105,992,269",654,"520,695","22,088",19,"9,992","12,646","10,942","1,329","13,007","10,360",0,"5,127","1,743","3,752","5,333","3,978","3,071","2,492","2,003","1,361",935,7
AZ,04,State House District 4,"=""04004""","32,055",861,"32,055","90,606,768","8,701","6,098,097","22,643","29,867,626","1,180","1,081",736,"31,455","138,860,827",558,"516,720","25,283",0,"10,265","13,876","17,107","1,011","17,987","12,600",0,"4,955","1,611","4,516","6,646","5,324","3,933","3,203","2,772","2,000","1,686",66
AZ,04,State House District 5,"=""04005""","19,171",213,"19,171","46,570,233","4,449","3,173,226","11,129","14,906,700",800,433,611,"18,466","74,432,207",546,"577,497","16,309",0,"7,520","9,103","9,549",280,"9,616","7,558",0,"3,610","1,694","3,095","4,146","2,694","1,950","1,619","1,218",863,757,0
AZ,04,State House District 6,"=""04006""","16,056",158,"16,056","35,471,219","4,129","3,148,934","8,695","11,802,133",499,491,697,"15,270","57,499,785",565,"563,948","13,240",0,"5,779","7,495","7,363",798,"8,703","5,631",0,"3,679","1,558","2,674","3,205","1,775","1,513","1,287","1,144",837,677,0
AZ,04,State House District 7,"=""04007""","26,607",394,"26,607","71,232,993","7,020","5,186,389","17,753","23,749,111",380,380,456,"26,284","117,856,882",142,"209,529","23,930",0,"14,059","7,682","17,681",818,"15,872","9,095",0,"4,455","2,425","4,539","4,891","3,397","2,912","2,458","1,788","1,164",919,0
AZ,04,State House District 8,"=""04008""","15,528",290,"15,528","40,719,905","4,949","3,892,577","10,472","14,863,203",620,605,638,"15,149","67,331,160",282,"324,575","13,614",112,"6,535","8,156","6,959",273,"7,583","6,971",0,"2,804","1,029","2,120","2,769","2,007","1,701","1,519","1,373","1,143","1,067",60
AZ,04,State House District 9,"=""04009""","16,054",411,"16,054","35,639,736","3,640","2,591,019","8,531","10,835,373",847,791,"1,004","15,340","56,306,821",666,"565,046","13,599",0,"5,866","9,050","6,292",633,"8,004","6,379",0,"3,347","1,651","2,920","3,568","2,029","1,676","1,366","1,111",796,591,0
AZ,04,State House District 10,"=""04010""","18,656",399,"18,656","43,577,409","4,743","3,452,085","10,596","13,605,943","1,124",865,"1,035","17,922","69,617,403",700,"574,588","16,081",0,"7,170","10,615","7,224",740,"9,174","7,718",0,"3,568","1,719","3,061","3,938","2,449","2,026","1,815","1,478","1,039",778,0
AZ,04,State House District 11,"=""04011""","13,389",143,"13,389","32,583,508","4,176","3,249,143","8,381","11,735,717",748,638,851,"12,934","54,500,399",406,"399,675","11,647",32,"5,204","7,429","5,625",249,"6,787","5,652",0,"2,871","1,043","1,866","2,481","1,607","1,465","1,417","1,241",999,957,27
