"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
CA,06,Assembly District 1,"=""06001""","31,977",216,"31,977","67,002,134","7,788","6,004,070","16,465","20,818,804",947,622,"1,153","29,685","106,140,837","1,744","2,186,468","24,533",0,"9,908","16,106","14,096",713,"16,410","11,505",0,"7,755","3,520","5,472","6,108","3,300","2,559","2,269","1,960","1,448","1,289",0
CA,06,Assembly District 2,"=""06002""","31,005",508,"31,005","63,540,755","8,254","6,342,589","15,871","19,746,724","1,083",737,"1,053","28,401","100,892,596","2,138","2,603,454","21,848",0,"7,668","14,247","14,858","1,083","15,460","11,466",0,"7,745","3,265","5,372","5,921","2,981","2,465","2,323","2,018","1,558","1,349",0
CA,06,Assembly District 3,"=""06003""","40,695",950,"40,695","96,158,675","11,335","8,628,158","23,926","31,198,255","1,325","1,042","1,470","38,812","153,956,540","1,661","1,980,707","31,011",53,"12,320","16,978","22,508",796,"19,025","17,629",0,"7,913","3,789","6,385","7,664","4,968","4,175","3,747","3,290","2,547","2,487",0
CA,06,Assembly District 4,"=""06004""","27,799",537,"27,799","59,000,524","8,391","6,557,766","14,992","18,900,701",979,843,985,"26,331","98,723,861","1,278","1,373,868","20,031",0,"6,782","12,501","13,968","1,046","13,522","11,470",0,"5,580","2,608","4,463","5,135","3,160","2,536","2,477","2,229","1,771","1,696",0
CA,06,Assembly District 5,"=""06005""","32,900",544,"32,900","75,492,472","8,585","6,467,832","18,625","24,547,081",897,863,819,"30,935","120,037,065","1,433","1,777,113","24,907",0,"9,488","13,273","18,268",568,"17,580","11,787",0,"7,771","2,941","5,203","6,367","3,862","2,821","2,618","2,200","1,700","1,557",44
CA,06,Assembly District 6,"=""06006""","19,057",206,"19,057","37,128,044","4,971","3,967,381","9,241","11,700,823",964,975,"1,224","17,641","60,040,409","1,385","1,614,043","14,416",0,"4,777","10,043","8,606",348,"10,344","6,696",0,"5,615","2,183","3,244","3,798","1,903","1,669","1,625","1,617","1,356","1,274",0
CA,06,Assembly District 7,"=""06007""","45,345","1,451","45,345","113,452,088","11,876","8,828,046","27,356","36,307,346","1,870","1,969","1,871","43,058","174,330,120","2,246","2,278,043","35,497",0,"13,788","20,532","23,615","1,068","23,428","18,154",0,"11,705","3,993","7,669","9,836","5,949","4,532","4,043","3,950","2,740","2,251",49
CA,06,Assembly District 8,"=""06008""","41,688","1,541","41,688","98,335,191","10,451","7,777,660","23,808","30,691,423","1,851","1,807","1,726","39,317","149,487,204","2,280","2,425,799","32,634",0,"13,074","20,105","20,608",844,"21,256","16,467",0,"10,971","4,013","7,315","9,041","5,041","4,081","3,596","3,285","2,509","2,042",4
CA,06,Assembly District 9,"=""06009""","43,176","1,403","43,176","109,602,526","11,615","8,795,573","26,296","34,658,641","1,868","2,120","1,710","41,277","169,887,851","1,849","1,831,568","33,002",0,"11,891","18,674","23,555",902,"23,092","17,023",0,"10,775","3,452","6,949","8,987","5,836","4,384","4,033","3,796","3,049","2,351",41
CA,06,Assembly District 10,"=""06010""","19,401",430,"19,401","36,131,073","4,897","3,780,372","8,724","10,852,941",730,691,735,"17,245","58,104,410","1,917","2,024,757","12,387",0,"3,342","8,018","9,827","1,086","11,385","5,755",0,"6,297","2,317","3,516","3,843","1,716","1,604","1,520","1,396","1,093",828,0
