"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
CO,08,State House District 1,"=""08001""","7,393",242,"7,393","18,503,758","2,302","1,745,481","4,684","6,282,202",313,271,361,"7,059","29,501,476",334,"342,325","5,997",0,"2,615","3,017","4,111",264,"4,057","2,846",0,"1,833",576,"1,129","1,518","1,008",785,731,699,516,408,14
CO,08,State House District 2,"=""08002""","3,856",54,"3,856","4,845,798",522,"391,090","1,091","1,326,174",69,189,406,"3,493","8,388,400",353,"268,236","2,913",0,"1,075","2,260","1,363",209,"2,062","1,161",0,"1,041",754,"1,040","1,069",225,167,168,140,107,41,0
CO,08,State House District 3,"=""08003""","4,556",55,"4,556","9,134,616","1,175","904,951","2,216","2,789,218",221,206,336,"4,281","15,144,878",254,"226,142","3,629",0,"1,597","2,343","1,985",129,"2,412","1,596",0,"1,078",540,819,969,473,418,394,378,266,204,0
CO,08,State House District 4,"=""08004""","6,778",185,"6,778","16,418,750","1,818","1,338,860","4,057","5,304,855",215,230,340,"6,447","25,908,163",330,"289,747","5,461",0,"2,577","2,732","3,696",350,"3,777","2,499",0,"1,627",707,"1,218","1,490",896,675,609,520,373,275,6
CO,08,State House District 5,"=""08005""","7,749",246,"7,749","18,510,869","2,029","1,482,004","4,576","6,027,121",245,226,357,"7,391","29,329,436",350,"302,000","6,237",0,"2,902","3,123","4,184",421,"4,210","2,881",0,"1,783",837,"1,412","1,702",955,760,679,569,394,302,4
CO,08,State House District 6,"=""08006""","4,841",164,"4,841","9,553,430","1,071","773,745","2,283","2,948,354",164,270,307,"4,485","15,504,645",354,"277,197","3,819",0,"1,504","2,193","2,451",185,"2,553","1,744",0,"1,337",651,989,"1,114",502,436,358,328,213,149,0
CO,08,State House District 7,"=""08007""","8,659",273,"8,659","23,066,287","3,054","2,386,617","6,023","8,416,396",538,373,410,"8,391","38,138,229",250,"322,512","7,433",0,"3,346","3,416","4,966",264,"4,698","3,521",0,"2,005",532,"1,119","1,488","1,215",976,"1,039",946,700,581,0
CO,08,State House District 8,"=""08008""","5,897",161,"5,897","11,623,991","1,146","823,289","2,797","3,535,890",186,259,394,"5,581","18,632,173",311,"221,826","4,717",0,"2,266","2,842","2,639",414,"3,098","2,067",0,"1,376",841,"1,369","1,489",593,442,402,345,198,157,0
CO,08,State House District 9,"=""08009""","5,732",162,"5,732","11,297,958","1,348","1,023,224","2,699","3,458,340",290,330,396,"5,339","18,382,990",393,"330,269","4,556",0,"1,697","2,870","2,665",198,"3,033","2,034",0,"1,623",729,"1,081","1,275",665,514,487,453,306,198,0
CO,08,State House District 10,"=""08010""","3,105",43,"3,105","3,985,987",449,"335,716",875,"1,079,358",90,139,354,"2,699","6,381,958",390,"335,704","2,193",0,590,"1,904","1,081",109,"1,837",798,0,"1,139",632,813,732,212,158,145,118,97,68,0
CO,08,State House District 11,"=""08011""","4,848",70,"4,848","10,279,741","1,410","1,093,468","2,619","3,403,788",278,191,358,"4,564","17,215,718",278,"251,643","3,894",0,"1,536","2,378","2,244",219,"2,589","1,782",0,"1,187",540,784,927,535,482,453,383,298,282,0
CO,08,State House District 12,"=""08012""","3,916",69,"3,916","7,708,890","1,108","847,356","1,947","2,485,265",213,187,352,"3,647","12,852,662",268,"264,208","3,085",0,"1,090","2,110","1,653",154,"2,168","1,360",0,"1,093",466,667,786,398,365,367,365,265,223,0
CO,08,State House District 13,"=""08013""","3,355",10,"3,355","4,788,332",556,"454,308","1,112","1,366,196",16,86,219,"2,974","7,991,080",248,"322,814","2,355",0,736,"2,010","1,164",61,"1,822",828,0,"1,071",465,643,734,162,83,50,70,20,14,0
CO,08,State House District 14,"=""08014""","3,777",9,"3,777","7,684,360","1,184","947,537","2,074","2,832,148",261,302,444,"3,586","14,132,056",181,"195,413","3,255",0,"1,147","2,413","1,206",108,"2,098","1,390",0,959,343,560,604,355,333,371,412,333,328,0
CO,08,State House District 15,"=""08015""","6,672",57,"6,672","15,469,732","2,281","1,853,497","4,259","5,862,939",502,434,647,"6,446","28,640,287",201,"213,409","5,985",0,"2,485","4,011","2,414",215,"3,501","2,729",0,"1,383",477,838,"1,107",716,645,746,707,624,626,0
CO,08,State House District 16,"=""08016""","6,669",80,"6,669","14,369,493","1,882","1,448,563","3,700","4,817,335",413,377,546,"6,378","24,613,348",278,"253,822","5,783",0,"2,471","3,987","2,374",270,"3,346","2,670",0,"1,392",692,"1,079","1,250",759,649,643,608,466,406,0
CO,08,State House District 17,"=""08017""","10,116",207,"10,116","26,851,551","2,930","2,116,994","6,975","9,518,789",555,495,615,"9,887","45,581,593",226,"229,951","9,154",0,"4,563","5,338","4,354",418,"5,147","4,284",0,"1,879",732,"1,437","2,029","1,384","1,078","1,180",915,703,565,0
CO,08,State House District 18,"=""08018""","7,772",87,"7,772","15,835,180","1,773","1,288,978","3,903","4,806,008",314,312,529,"7,368","26,036,759",364,"296,649","6,451",0,"2,962","4,328","2,895",432,"4,056","2,772",0,"1,635",965,"1,465","1,686",877,696,594,541,386,290,0
CO,08,State House District 19,"=""08019""","3,523",0,"3,523","7,708,983","1,002","831,724","2,036","3,003,908",129,195,368,"3,347","13,937,381",135,"170,679","2,969",0,"1,051","2,197","1,207",57,"2,117","1,142",0,"1,095",300,485,542,286,281,312,317,257,352,0
CO,08,State House District 20,"=""08020""","4,742",46,"4,742","10,243,706","1,265","946,459","2,666","3,553,886",276,281,422,"4,536","18,388,171",178,"183,530","4,104",0,"1,664","2,778","1,740",179,"2,402","1,853",0,"1,002",445,755,931,443,429,467,394,328,267,0
CO,08,State House District 21,"=""08021""","8,696",46,"8,696","23,176,295","3,109","2,380,088","6,379","9,885,717",614,608,858,"8,549","45,519,456",127,"131,137","8,162",0,"3,539","5,003","3,260",388,"3,816","4,376",0,"1,285",387,873,"1,250",919,919,"1,216","1,054",940,916,21
CO,08,State House District 22,"=""08022""","2,868",0,"2,868","5,124,662",856,"722,169","1,325","1,600,584",214,181,313,"2,665","9,022,168",196,"195,622","2,215",0,722,"1,737","1,034",64,"1,655",916,0,826,335,458,560,255,247,269,268,242,182,0
CO,08,State House District 23,"=""08023""","5,649",109,"5,649","11,488,977","1,523","1,199,436","2,864","3,601,213",277,250,390,"5,341","19,193,238",307,"265,884","4,606",0,"2,101","2,827","2,546",275,"2,944","2,095",0,"1,290",636,"1,038","1,220",625,542,492,452,363,264,0
CO,08,State House District 24,"=""08024""","4,683",56,"4,683","9,044,302","1,213","933,363","2,228","2,746,890",233,198,312,"4,390","15,162,576",282,"272,565","3,762",0,"1,624","2,406","2,051",198,"2,519","1,646",0,"1,095",579,858,994,480,405,405,370,288,200,0
CO,08,State House District 25,"=""08025""","2,438",0,"2,438","4,088,457",553,"450,683",991,"1,239,950",82,109,220,"2,187","6,890,226",209,"253,727","1,780",0,562,"1,490",887,21,"1,473",644,0,894,337,412,490,191,158,163,174,129,109,0
CO,08,State House District 26,"=""08026""","3,506",36,"3,506","6,604,436","1,040","839,464","1,681","2,231,826",38,0,62,"3,274","11,662,903",90,"227,420","2,694",0,834,"1,653","1,775",0,"1,857","1,186",0,"1,003",313,562,772,222,248,271,211,194,140,0
CO,08,State House District 27,"=""08027""","3,955",24,"3,955","8,109,195","1,130","918,581","1,984","2,559,940",209,174,285,"3,716","13,642,244",215,"234,088","3,193",0,"1,247","2,198","1,658",92,"2,120","1,433",0,987,430,653,721,408,370,374,330,277,236,0
CO,08,State House District 28,"=""08028""","5,207",103,"5,207","10,973,286","1,596","1,273,622","2,787","3,455,771",297,255,377,"4,916","18,380,740",291,"278,460","4,202",0,"1,724","2,598","2,415",193,"2,787","1,939",0,"1,276",506,889,"1,037",596,493,488,533,362,285,0
CO,08,State House District 29,"=""08029""","4,808",47,"4,808","9,637,100","1,525","1,231,210","2,478","3,103,268",287,249,420,"4,538","16,757,527",270,"249,070","3,971",0,"1,592","2,662","1,993",154,"2,618","1,753",0,"1,141",472,777,929,502,462,489,469,381,306,0
CO,08,State House District 30,"=""08030""","7,932",317,"7,932","20,501,997","2,558","1,949,102","5,241","7,183,190",331,298,332,"7,656","33,509,298",252,"307,309","6,700",0,"3,064","3,117","4,489",265,"4,007","3,356",0,"1,729",557,"1,143","1,441","1,016",902,847,720,560,465,6
CO,08,State House District 31,"=""08031""","6,396",135,"6,396","14,841,379","2,420","1,940,145","3,924","5,133,214",406,291,426,"6,141","25,748,308",255,"286,971","5,396",0,"2,286","3,059","3,074",263,"3,409","2,583",0,"1,361",444,875,"1,119",719,706,735,725,563,479,21
CO,08,State House District 32,"=""08032""","7,737",209,"7,737","19,400,024","2,763","2,142,808","5,045","6,800,120",332,280,368,"7,467","32,439,214",265,"309,690","6,507",0,"2,958","3,160","4,194",329,"4,015","3,181",0,"1,584",515,"1,118","1,376",966,900,891,788,583,488,23
CO,08,State House District 33,"=""08033""","2,945",32,"2,945","5,266,433",815,"668,909","1,339","1,682,544",156,167,299,"2,726","9,286,152",217,"195,534","2,336",0,795,"1,753","1,098",87,"1,630","1,011",0,809,371,543,557,262,240,245,252,192,196,0
CO,08,State House District 34,"=""08034""","7,004",166,"7,004","17,004,552","2,416","1,886,998","4,382","5,811,102",411,279,421,"6,742","28,610,619",256,"286,366","5,933",0,"2,570","3,342","3,355",276,"3,686","2,829",0,"1,473",520,988,"1,274",871,791,792,735,538,438,0
CO,08,State House District 35,"=""08035""","6,052",142,"6,052","13,244,937","2,027","1,642,159","3,394","4,399,234",298,257,414,"5,786","22,778,422",261,"294,292","4,998",0,"2,114","2,930","2,883",196,"3,168","2,334",0,"1,270",554,885,"1,151",675,614,618,631,455,368,0
CO,08,State House District 36,"=""08036""","7,136",162,"7,136","16,757,144","2,507","1,957,822","4,483","6,006,997",570,422,458,"6,839","29,173,947",295,"306,131","6,085",0,"2,638","3,511","3,434",181,"3,717","2,919",0,"1,654",518,931,"1,282",836,764,794,812,647,517,4
CO,08,State House District 37,"=""08037""","3,208",21,"3,208","6,501,426",975,"777,947","1,688","2,184,743",270,229,313,"3,011","11,221,366",189,"224,551","2,599",0,890,"1,857","1,274",60,"1,836","1,081",0,954,328,477,567,320,296,313,339,262,243,0
CO,08,State House District 38,"=""08038""","3,401",17,"3,401","6,242,609",917,"765,894","1,558","1,947,247",201,190,302,"3,179","10,658,549",216,"227,795","2,676",0,997,"1,964","1,294",109,"1,917","1,123",0,917,394,593,716,336,256,303,310,245,198,0
CO,08,State House District 39,"=""08039""","2,666",0,"2,666","5,164,627",698,"530,171","1,306","1,727,649",78,69,156,"2,456","8,539,520",98,"202,756","2,074",0,697,"1,567",962,56,"1,609",778,0,909,271,435,512,199,204,138,110,119,115,0
CO,08,State House District 40,"=""08040""","5,795",101,"5,795","12,742,839","1,902","1,537,329","3,335","4,384,396",464,408,449,"5,501","21,975,630",294,"317,784","4,798",0,"1,869","3,092","2,599",103,"3,228","2,133",0,"1,595",461,818,"1,018",686,567,599,656,514,450,21
