"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
CT,09,State House District 1,"=""09001""","3,407",138,"3,407","8,184,521",833,"586,689","2,027","2,378,289",205,193,113,"3,348","14,068,817",58,"43,522","3,003",0,"1,705","1,340","1,740",326,"1,812","1,339",0,624,356,660,771,418,376,329,256,169,72,0
CT,09,State House District 2,"=""09002""","1,273",20,"1,273","2,593,720",327,"254,552",619,"770,846",85,71,58,"1,166","4,426,594",93,"120,517","1,000",0,259,446,743,60,758,391,0,395,123,204,241,134,120,124,95,83,60,0
CT,09,State House District 3,"=""09003""","3,456",133,"3,456","9,020,349",922,"659,719","2,220","2,641,904",176,150,103,"3,405","15,063,432",51,"48,345","3,097",0,"1,832","1,401","1,814",241,"1,986","1,234",0,630,318,628,819,437,370,333,284,173,92,0
CT,09,State House District 4,"=""09004""","3,349",118,"3,349","8,819,935",901,"638,006","2,166","2,600,611",173,158,101,"3,301","14,834,934",46,"45,125","2,983",0,"1,697","1,320","1,806",220,"1,915","1,208",0,604,282,572,764,436,363,334,285,173,89,0
CT,09,State House District 5,"=""09005""","2,370",58,"2,370","6,222,991",555,"384,200","1,535","1,873,115",131,146,106,"2,331","10,320,465",26,"37,530","2,130",0,"1,212",991,"1,201",178,"1,348",870,0,508,227,423,582,325,233,199,175,135,69,0
CT,09,State House District 6,"=""09006""","3,525",123,"3,525","9,372,316",959,"675,768","2,304","2,774,996",187,174,108,"3,477","15,809,443",49,"44,216","3,139",0,"1,765","1,370","1,923",233,"2,021","1,302",0,646,295,602,809,472,392,362,308,188,96,0
CT,09,State House District 7,"=""09007""","3,496",117,"3,496","9,006,732",857,"603,754","2,216","2,645,606",196,184,103,"3,447","15,240,661",38,"32,126","3,140",0,"1,840","1,358","1,798",323,"1,925","1,338",0,705,333,615,818,466,353,324,282,180,73,0
CT,09,State House District 8,"=""09008""",958,5,958,"1,718,403",246,"191,763",432,"498,520",52,51,71,886,"3,166,193",56,"66,310",784,0,292,548,382,13,505,349,0,225,126,178,200,70,67,66,65,53,40,0
CT,09,State House District 9,"=""09009""","2,306",48,"2,306","5,102,838",668,"485,668","1,316","1,565,956",176,159,119,"2,234","9,303,501",72,"59,139","2,034",0,930,"1,152","1,028",126,"1,183",917,0,402,242,387,455,279,235,235,218,155,96,0
CT,09,State House District 10,"=""09010""","2,548",50,"2,548","5,664,191",770,"563,910","1,486","1,761,141",207,196,136,"2,458","10,572,986",90,"73,852","2,241",0,"1,006","1,229","1,193",126,"1,345",990,0,462,237,407,491,324,256,283,254,179,112,0
CT,09,State House District 11,"=""09011""","2,434",64,"2,434","5,641,548",748,"550,794","1,437","1,753,712",178,162,114,"2,362","10,390,637",61,"45,766","2,161",0,"1,019","1,121","1,181",112,"1,267",950,0,439,220,358,466,317,264,268,243,171,100,0
CT,09,State House District 12,"=""09012""","1,710",35,"1,710","3,423,396",479,"367,897",865,"1,030,513",120,110,101,"1,655","6,413,954",54,"43,949","1,497",0,591,904,695,93,865,654,0,291,193,269,344,178,162,150,174,122,71,0
CT,09,State House District 13,"=""09013""","1,449",24,"1,449","3,007,463",389,"285,539",761,"897,117",103,100,84,"1,394","5,382,422",54,"44,568","1,250",0,535,762,599,88,742,564,0,263,183,264,292,151,141,131,133,95,59,0
CT,09,State House District 14,"=""09014""",661,0,661,"1,140,314",143,"111,483",269,"339,004",48,53,63,613,"2,109,641",48,"40,562",528,0,160,365,264,32,384,198,0,171,80,133,132,64,62,49,59,46,33,0
CT,09,State House District 15,"=""09015""","1,547",30,"1,547","2,891,975",433,"338,571",755,"854,722",154,144,130,"1,494","5,727,398",52,"52,957","1,311",0,574,726,691,130,887,514,0,283,173,266,291,153,136,154,180,121,71,0
CT,09,State House District 16,"=""09016""",504,0,504,"818,153",105,"86,474",182,"241,117",0,22,22,470,"1,453,070",0,"41,236",393,0,75,300,184,0,286,146,0,85,45,53,95,24,0,22,25,0,0,0
CT,09,State House District 17,"=""09017""",446,0,446,"683,394",80,"61,609",165,"189,563",14,0,23,410,"1,164,523",24,"33,230",316,0,89,239,191,0,267,119,0,138,84,97,89,14,14,20,0,14,0,0
CT,09,State House District 18,"=""09018""",709,0,709,"1,297,052",171,"127,539",307,"373,738",29,63,44,658,"2,325,969",50,"48,154",541,0,155,327,345,31,440,205,0,202,91,126,153,57,62,43,56,41,24,0
CT,09,State House District 19,"=""09019""",399,0,399,"570,811",70,"51,102",130,"157,882",9,14,30,360,"989,015",33,"35,757",279,0,66,198,188,0,249,98,0,124,70,88,85,22,20,13,3,9,2,0
CT,09,State House District 20,"=""09020""","1,367",0,"1,367","2,953,585",355,"273,021",717,"877,800",75,97,86,"1,294","5,115,014",70,"72,011","1,095",0,372,572,679,83,840,390,0,355,141,210,274,158,129,122,124,96,56,0
