"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
FL,12,State House District 1,"=""12001""","16,627",220,"16,627","43,302,305","3,967","2,854,368","10,306","13,281,341","1,019",650,557,"16,191","70,652,381",405,"373,330","14,960",0,"7,214","9,822","6,386",401,"8,131","7,111",0,"3,769","1,344","2,843","3,899","2,464","1,778","1,485","1,179",898,625,0
FL,12,State House District 2,"=""12002""","16,687",259,"16,687","42,900,780","3,663","2,565,031","10,026","12,969,603",937,607,618,"16,203","68,781,266",464,"431,497","14,919",0,"7,060","9,780","6,243",534,"8,175","6,884",0,"3,727","1,421","3,033","4,030","2,427","1,676","1,296","1,088",759,575,0
FL,12,State House District 3,"=""12003""","13,824",90,"13,824","32,929,949","4,056","3,141,616","8,476","11,071,186",959,532,651,"13,440","58,654,517",335,"344,004","12,376",0,"5,346","8,263","5,135",379,"6,791","5,861",0,"3,127","1,143","2,122","2,704","1,681","1,396","1,310","1,196","1,043","1,029",0
FL,12,State House District 4,"=""12004""","15,253",113,"15,253","35,882,359","4,082","3,000,246","9,198","11,955,555","1,262",580,753,"14,729","63,693,292",495,"476,752","13,610",0,"5,715","8,722","5,798",681,"7,782","6,078",0,"3,410","1,384","2,354","3,168","1,863","1,619","1,487","1,267",985,859,0
FL,12,State House District 5,"=""12005""","15,801",25,"15,801","40,261,146","3,970","2,943,427","9,570","12,213,466",563,276,257,"15,269","66,325,728",414,"475,136","13,956",0,"6,781","8,233","7,311",97,"8,445","6,053",0,"4,387","1,421","2,541","3,392","2,269","1,650","1,336","1,165",751,623,0
FL,12,State House District 6,"=""12006""","18,028",231,"18,028","43,307,641","4,649","3,332,440","10,621","13,358,401","1,203",536,530,"17,542","73,351,242",458,"375,342","16,050",52,"7,562","9,904","7,048",959,"8,961","7,373",0,"3,564","1,669","3,080","4,013","2,440","1,819","1,612","1,260","1,012",794,0
FL,12,State House District 7,"=""12007""","15,059",39,"15,059","39,039,662","3,964","2,929,822","9,227","11,688,166",729,354,209,"14,669","65,494,053",168,"324,759","13,315",36,"7,063","7,823","6,945",128,"6,569","7,147",0,"3,589","1,071","2,428","3,196","2,133","1,550","1,300","1,214",736,500,0
FL,12,State House District 8,"=""12008""","18,568",237,"18,568","49,526,100","3,860","2,559,069","11,336","14,448,581","1,331","1,129",715,"18,227","81,770,954",297,"305,914","16,826",0,"9,549","8,757","9,449",256,"9,014","8,040",0,"4,299","1,349","3,256","4,465","2,926","2,039","1,701","1,338",732,337,0
FL,12,State House District 9,"=""12009""","10,802",69,"10,802","24,660,011","2,562","1,901,116","5,916","7,465,909","1,154",812,730,"10,434","42,894,719",363,"345,030","9,513",0,"4,169","6,093","4,438",222,"5,263","4,557",0,"2,572",964,"1,826","2,369","1,384","1,085","1,001",945,676,429,0
FL,12,State House District 10,"=""12010""","16,385",108,"16,385","42,685,228","4,295","3,143,379","10,366","13,318,504",805,413,269,"16,002","72,596,524",281,"315,945","14,527",29,"6,876","9,420","6,833",31,"7,210","7,685",0,"3,536","1,430","2,541","3,487","2,436","1,801","1,419","1,341",880,613,0
FL,12,State House District 11,"=""12011""","12,107",76,"12,107","27,410,117","3,230","2,488,775","6,885","8,790,237",738,494,612,"11,655","48,888,171",434,"369,409","10,550",0,"4,195","6,869","4,878",281,"5,951","4,950",0,"2,836","1,112","2,053","2,431","1,408","1,165","1,090","1,020",773,663,0
FL,12,State House District 12,"=""12012""","14,677",278,"14,677","34,793,089","3,654","2,670,517","8,522","10,874,271","1,283",903,759,"14,060","59,019,991",604,"569,244","12,770",40,"5,053","7,922","6,404",334,"7,692","5,677",0,"4,024","1,244","2,389","3,149","1,857","1,523","1,465","1,266",953,676,0
FL,12,State House District 13,"=""12013""","25,098",523,"25,098","70,052,752","4,845","3,188,767","16,027","20,615,556","1,580","1,219",779,"24,609","109,644,121",464,"392,821","22,889",71,"11,969","12,308","11,735","1,004","13,816","9,361",0,"6,922","1,966","4,561","6,570","3,814","2,727","2,150","1,511",961,576,0
FL,12,State House District 14,"=""12014""","23,266",350,"23,266","64,398,642","5,227","3,622,884","15,211","19,716,057","1,769","1,296",837,"22,899","105,168,881",336,"291,608","21,492",20,"11,220","12,204","10,163",863,"12,362","9,243",0,"6,095","1,709","3,887","5,529","3,475","2,617","2,256","1,779","1,142",752,0
FL,12,State House District 15,"=""12015""","20,808",234,"20,808","55,281,737","5,364","3,798,487","13,625","17,937,924","1,830","1,224",990,"20,345","94,034,593",439,"447,550","19,057",14,"9,235","11,616","8,675",471,"10,447","8,834",0,"5,116","1,478","3,124","4,580","2,878","2,346","2,155","1,932","1,300",885,0
FL,12,State House District 16,"=""12016""","12,931",303,"12,931","28,362,391","3,293","2,488,864","7,006","8,835,459","1,262",894,820,"12,299","49,061,074",624,"647,506","11,055",7,"4,318","7,141","5,509",260,"6,788","4,964",0,"3,524","1,166","2,186","2,655","1,559","1,305","1,322","1,144",856,652,0
FL,12,State House District 17,"=""12017""","9,293",37,"9,293","19,810,033","2,261","1,674,980","4,852","6,076,789",583,382,479,"8,789","33,595,384",478,"452,352","7,757",0,"2,916","5,440","3,587",181,"4,954","3,370",0,"2,518","1,018","1,672","1,970","1,139",860,810,678,559,484,0
FL,12,State House District 18,"=""12018""","13,706",127,"13,706","32,715,835","4,002","3,110,650","8,349","10,920,163","1,118",798,812,"13,349","59,043,939",345,"289,249","12,417",0,"5,081","8,113","5,311",231,"6,562","5,962",0,"2,989","1,113","1,972","2,533","1,721","1,476","1,399","1,261","1,044",975,27
FL,12,State House District 19,"=""12019""","15,753",142,"15,753","41,364,383","3,897","2,823,687","9,851","12,826,495",605,348,345,"15,400","68,731,365",237,"284,908","14,009",44,"6,503","8,581","6,582",375,"6,986","7,284",0,"3,442","1,343","2,494","3,525","2,261","1,553","1,230","1,121",717,606,4
FL,12,State House District 20,"=""12020""","15,807",202,"15,807","40,183,567","3,166","2,148,912","9,322","12,167,194","1,037",790,612,"15,386","65,847,494",373,"311,447","14,116",55,"6,418","9,408","5,899",382,"7,447","6,825",0,"3,669","1,410","2,839","3,763","2,337","1,642","1,248",992,624,372,0
FL,12,State House District 21,"=""12021""","11,611",59,"11,611","26,792,475","2,648","1,965,185","6,400","8,325,202",786,577,556,"11,230","45,730,293",318,"313,297","10,151",20,"3,952","7,446","3,818",202,"5,221","5,144",0,"2,686","1,271","1,956","2,506","1,513","1,149",970,884,636,498,0
FL,12,State House District 22,"=""12022""","14,504",102,"14,504","36,559,073","3,343","2,350,933","8,603","11,300,047",813,527,463,"13,927","60,382,507",511,"483,223","12,546",0,"5,480","7,930","6,167",277,"7,464","5,807",0,"3,921","1,248","2,412","3,247","2,074","1,483","1,234","1,077",725,603,0
FL,12,State House District 23,"=""12023""","18,490",157,"18,490","48,147,545","4,154","2,937,478","11,363","14,850,984","1,183",613,534,"17,905","79,365,297",522,"507,212","16,318",56,"7,358","10,466","7,514",382,"8,614","8,197",0,"4,481","1,567","3,002","4,117","2,834","2,023","1,579","1,176",905,716,0
FL,12,State House District 24,"=""12024""","14,502",107,"14,502","34,379,473","3,298","2,390,086","8,060","10,426,780",739,634,639,"13,782","56,385,785",617,"610,509","12,161",6,"4,483","7,756","6,134",527,"7,791","5,451",0,"4,353","1,475","2,442","3,195","1,991","1,432","1,264",981,719,664,0
FL,12,State House District 25,"=""12025""","11,990",24,"11,990","24,254,041","2,411","1,747,405","5,686","6,891,612",771,509,630,"11,339","40,344,438",641,"539,732","9,844",0,"3,578","6,859","4,707",404,"5,956","4,541",0,"3,369","1,554","2,276","2,770","1,448","1,124",916,747,615,421,0
FL,12,State House District 26,"=""12026""","18,175",270,"18,175","44,987,382","3,487","2,384,157","10,347","13,048,078","1,048",748,685,"17,590","72,787,955",531,"465,185","15,840",85,"7,789","9,583","7,814",630,"8,697","7,555",0,"4,496","1,907","3,338","4,484","2,722","1,819","1,366","1,022",676,478,0
FL,12,State House District 27,"=""12027""","16,690",146,"16,690","40,810,900","4,139","3,041,273","9,669","12,452,974","1,228",751,808,"16,103","69,311,535",546,"419,766","14,693",0,"5,459","9,588","6,784",278,"8,475","6,866",0,"4,612","1,467","2,626","3,556","2,252","1,732","1,617","1,336","1,005",773,0
FL,12,State House District 28,"=""12028""","12,904",191,"12,904","30,497,828","3,030","2,208,071","7,172","9,131,936",947,790,777,"12,363","50,971,485",511,"459,050","11,218",20,"4,313","7,242","5,498",131,"6,675","5,112",0,"3,843","1,143","2,121","2,772","1,725","1,303","1,181","1,018",773,595,0
FL,12,State House District 29,"=""12029""","14,140",219,"14,140","34,230,296","3,256","2,311,115","7,986","10,179,592","1,058",828,807,"13,530","56,575,738",584,"528,615","12,320",34,"5,090","7,749","6,207",133,"7,385","5,529",0,"4,291","1,244","2,348","3,122","1,903","1,462","1,346","1,127",763,573,0
FL,12,State House District 30,"=""12030""","17,910",275,"17,910","42,988,521","3,859","2,683,846","10,035","12,706,673","1,273","1,162",964,"17,162","71,525,552",724,"629,635","15,626",59,"6,876","9,225","8,396",201,"9,397","6,898",0,"5,237","1,554","3,023","4,198","2,468","1,926","1,606","1,327",903,589,0
FL,12,State House District 31,"=""12031""","15,407",162,"15,407","39,010,022","3,667","2,654,316","9,331","12,188,370",991,675,548,"14,849","65,311,997",481,"434,634","13,254",69,"5,675","8,184","6,965",173,"8,011","6,157",0,"4,400","1,233","2,415","3,334","2,357","1,598","1,361","1,134",797,664,0
FL,12,State House District 32,"=""12032""","15,951",229,"15,951","41,607,541","4,029","2,868,287","10,043","13,184,804",986,659,617,"15,447","69,912,083",450,"459,446","14,042",39,"6,109","8,032","7,587",256,"8,456","6,334",0,"4,280","1,122","2,365","3,441","2,398","1,797","1,451","1,107",895,745,0
FL,12,State House District 33,"=""12033""","9,541",19,"9,541","22,881,474","2,018","1,438,614","5,329","7,076,888",498,217,188,"9,156","38,187,410",298,"320,322","8,113",1,"3,541","5,125","4,126",226,"4,652","3,948",0,"2,496",880,"1,597","2,297","1,392",925,736,539,405,278,0
FL,12,State House District 34,"=""12034""","13,078",0,"13,078","30,237,039","2,536","1,798,738","6,987","8,867,883",565,331,409,"12,467","49,307,067",563,"450,693","11,010",0,"4,376","7,646","4,898",370,"6,507","5,181",0,"3,358","1,506","2,358","3,052","1,854","1,219",956,760,600,464,0
FL,12,State House District 35,"=""12035""","14,721",79,"14,721","35,329,379","3,416","2,511,576","8,443","10,928,780",727,540,684,"14,175","59,188,658",532,"466,764","12,796",0,"4,954","8,701","5,693",231,"7,204","6,108",0,"3,687","1,462","2,597","3,138","1,979","1,498","1,266","1,006",813,732,0
FL,12,State House District 36,"=""12036""","17,084",251,"17,084","40,736,496","3,586","2,531,718","9,477","12,045,262",914,571,647,"16,468","65,912,743",596,"492,060","14,762",0,"6,038","9,820","6,502",652,"8,662","6,660",0,"4,239","1,745","3,227","3,915","2,304","1,623","1,479","1,100",804,643,0
