"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
GA,13,State House District 1,"=""13001""","5,023",29,"5,023","12,337,697","1,321","989,808","3,043","3,936,197",137,119,96,"4,837","20,295,421",129,"154,624","4,460",0,"2,453","2,426","2,556",14,"2,585","2,026",0,"1,260",428,873,"1,064",637,454,429,357,281,298,0
GA,13,State House District 2,"=""13002""","5,338",29,"5,338","13,345,357","1,508","1,157,646","3,287","4,254,586",237,167,151,"5,150","21,922,840",173,"158,759","4,751",0,"2,508","2,603","2,682",25,"2,944","2,049",0,"1,270",417,825,"1,042",669,585,577,501,377,323,0
GA,13,State House District 3,"=""13003""","4,993",43,"4,993","12,221,227","1,396","1,046,989","3,072","3,908,998",290,167,181,"4,828","20,278,359",165,"156,345","4,480",0,"2,344","2,679","2,274",31,"2,578","2,021",0,"1,153",435,840,"1,002",639,497,482,429,326,324,0
GA,13,State House District 4,"=""13004""","6,206",161,"6,206","16,695,977","2,045","1,463,079","4,250","5,953,149",310,167,119,"6,050","27,591,365",147,"147,068","5,453",0,"2,644","2,048","4,087",61,"3,250","2,639",0,"1,157",355,751,"1,060",818,771,829,664,450,336,13
GA,13,State House District 5,"=""13005""","6,073",89,"6,073","16,073,051","1,839","1,368,397","3,992","5,405,254",287,175,107,"5,915","25,890,625",146,"133,284","5,426",0,"2,826","2,450","3,600",2,"3,430","2,281",0,"1,352",391,824,"1,160",829,695,675,505,387,339,24
GA,13,State House District 6,"=""13006""","6,422",131,"6,422","17,326,817","2,108","1,551,321","4,411","6,166,816",281,134,97,"6,283","28,693,917",107,"127,455","5,700",0,"2,914","2,303","4,030",47,"3,335","2,725",0,"1,179",347,760,"1,125",834,778,832,660,502,393,15
GA,13,State House District 7,"=""13007""","5,540",29,"5,540","14,469,802","1,162","853,352","3,307","4,385,356",77,76,82,"5,215","20,983,219",273,"293,506","4,608",0,"2,873","1,730","3,767",0,"3,838","1,368",0,"2,136",464,900,"1,331",851,498,388,304,253,244,0
GA,13,State House District 8,"=""13008""","4,756",5,"4,756","11,389,478",977,"709,249","2,648","3,416,915",46,66,76,"4,410","17,141,863",280,"275,759","3,929",0,"1,906","1,860","2,810",32,"2,904","1,465",0,"1,751",443,748,"1,090",639,321,344,246,196,173,0
GA,13,State House District 9,"=""13009""","4,361",0,"4,361","10,129,327","1,126","879,412","2,528","3,269,871",204,157,141,"4,126","16,218,527",234,"222,368","3,723",0,"1,893","1,994","2,343",0,"2,546","1,486",0,"1,361",429,687,919,544,421,402,334,274,328,0
GA,13,State House District 10,"=""13010""","4,681",19,"4,681","11,788,259","1,190","868,909","2,914","3,893,571",140,90,113,"4,479","19,017,679",154,"161,718","4,107",0,"1,866","1,761","2,882",19,"2,389","1,898",0,"1,365",436,785,955,610,496,427,375,263,267,0
GA,13,State House District 11,"=""13011""","5,204",62,"5,204","13,191,716","1,467","1,130,873","3,261","4,276,613",164,120,105,"5,036","20,975,501",141,"160,245","4,599",0,"2,575","2,143","3,024",0,"2,968","1,875",0,"1,422",422,744,"1,056",692,522,528,438,351,325,2
GA,13,State House District 12,"=""13012""","5,933",84,"5,933","15,833,123","1,508","1,067,093","3,787","4,938,606",237,212,101,"5,808","25,266,185",89,"107,861","5,381",0,"2,996","2,433","3,426",32,"3,391","2,175",0,"1,444",360,946,"1,174",789,702,646,460,275,207,0
GA,13,State House District 13,"=""13013""","5,820",100,"5,820","16,343,534","1,296","889,139","3,788","4,940,332",310,250,164,"5,703","25,017,097",108,"96,800","5,281",0,"3,184","2,583","3,162",69,"3,404","2,074",0,"1,569",361,998,"1,384",878,673,527,401,282,232,0
GA,13,State House District 14,"=""13014""","5,429",58,"5,429","14,254,621","1,396","1,054,808","3,408","4,490,682",280,202,151,"5,267","22,293,994",134,"137,693","4,870",0,"2,766","2,245","3,155",10,"3,324","1,764",0,"1,584",384,916,"1,161",728,547,502,451,337,311,0
GA,13,State House District 15,"=""13015""","5,891",86,"5,891","15,648,903","1,506","1,113,575","3,791","5,029,334",369,267,180,"5,716","24,256,849",169,"146,347","5,301",0,"3,001","2,270","3,596",6,"3,725","1,802",0,"1,746",384,949,"1,380",779,629,543,467,366,302,0
GA,13,State House District 16,"=""13016""","6,039",70,"6,039","16,616,120","1,554","1,152,036","4,015","5,352,034",300,245,103,"5,899","26,115,791",107,"120,507","5,455",0,"3,430","2,317","3,684",27,"3,573","2,145",0,"1,792",397,936,"1,333",888,636,576,543,370,322,0
GA,13,State House District 17,"=""13017""","4,774",52,"4,774","12,195,852","1,317","1,034,946","3,071","4,007,918",356,302,220,"4,599","19,797,763",174,"179,285","4,281",0,"2,251","2,422","2,317",31,"2,859","1,639",0,"1,559",331,676,"1,004",614,482,465,472,353,356,7
GA,13,State House District 18,"=""13018""","5,727",54,"5,727","15,250,503","1,321","969,554","3,632","4,806,296",199,235,114,"5,576","23,757,149",133,"142,125","5,141",0,"2,899","2,611","3,067",24,"3,167","2,179",0,"1,706",421,"1,002","1,322",817,561,487,409,299,259,0
GA,13,State House District 19,"=""13019""","4,881",52,"4,881","12,368,074","1,357","1,047,260","3,095","4,072,845",374,345,247,"4,710","20,251,169",171,"173,982","4,406",0,"2,284","2,531","2,317",25,"2,958","1,641",0,"1,653",320,685,"1,029",620,490,497,490,374,356,13
GA,13,State House District 20,"=""13020""","3,293",54,"3,293","7,517,048",845,"651,295","1,852","2,393,086",255,209,187,"3,075","11,800,270",218,"240,432","2,769",0,"1,145","1,699","1,554",41,"2,087",961,0,"1,220",308,525,682,410,313,304,285,244,212,0
GA,13,State House District 21,"=""13021""","3,439",58,"3,439","8,138,130",923,"702,561","2,039","2,697,041",250,184,186,"3,241","12,979,763",198,"219,096","2,919",0,"1,266","1,663","1,706",42,"2,140","1,036",0,"1,201",276,541,694,422,360,322,300,250,231,0
GA,13,State House District 22,"=""13022""","2,871",35,"2,871","6,543,925",742,"590,018","1,621","2,115,144",187,150,153,"2,674","10,351,202",196,"214,914","2,397",0,978,"1,367","1,453",24,"1,799",840,0,"1,064",258,463,576,334,270,262,241,213,203,0
GA,13,State House District 23,"=""13023""","4,011",60,"4,011","9,829,994","1,005","762,603","2,405","3,184,256",253,182,188,"3,795","15,269,703",211,"197,784","3,444",0,"1,627","1,928","2,034",32,"2,489","1,232",0,"1,401",335,652,860,490,421,364,334,258,229,0
GA,13,State House District 24,"=""13024""","2,697",41,"2,697","6,315,736",700,"540,254","1,536","2,114,136",170,136,135,"2,526","9,927,429",171,"177,879","2,262",0,855,"1,227","1,450",0,"1,752",773,0,"1,039",226,437,529,336,282,250,221,203,200,0
GA,13,State House District 25,"=""13025""","2,118",48,"2,118","4,743,499",498,"373,073","1,114","1,468,153",121,141,128,"1,936","7,288,300",182,"204,235","1,701",0,550,911,"1,184",12,"1,457",521,0,896,203,342,413,257,202,211,179,158,145,0
GA,13,State House District 26,"=""13026""","2,748",39,"2,748","6,226,404",736,"569,891","1,546","2,043,674",158,123,128,"2,588","10,106,731",161,"157,908","2,294",0,949,"1,309","1,420",0,"1,673",874,0,941,249,458,527,322,278,255,236,205,203,5
GA,13,State House District 27,"=""13027""","4,761",67,"4,761","12,025,190","1,270","928,688","3,008","4,126,725",220,148,97,"4,574","19,754,107",156,"150,580","4,190",0,"1,902","2,028","2,709",2,"2,651","1,768",0,"1,331",351,724,956,636,551,457,428,323,311,12
