"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
HI,15,State House District 1,"=""15001""","2,532",25,"2,532","6,029,802",635,"509,166","1,463","1,971,285",70,48,59,"2,419","10,389,097",66,"93,571","2,023",0,873,"1,365","1,057",42,"1,147","1,093",0,494,253,396,434,260,199,188,149,101,55,0
HI,15,State House District 2,"=""15002""","3,010",49,"3,010","7,214,090",743,"552,411","1,802","2,364,025",138,94,116,"2,900","12,210,682",110,"79,795","2,477",0,"1,167","1,715","1,198",82,"1,368","1,348",0,574,392,544,581,377,288,292,233,169,108,0
HI,15,State House District 3,"=""15003""","1,873",15,"1,873","4,465,451",406,"288,284","1,076","1,444,084",37,28,34,"1,757","7,260,805",113,"75,775","1,423",0,605,"1,094",723,46,903,797,0,481,247,346,367,218,164,143,84,44,37,0
HI,15,State House District 4,"=""15004""","2,905",51,"2,905","6,962,857",582,"436,919","1,630","2,163,516",75,65,96,"2,678","10,767,205",227,"166,816","2,144",0,925,"1,691","1,142",68,"1,533","1,111",0,875,451,514,600,364,281,277,147,123,122,0
HI,15,State House District 5,"=""15005""","2,478",16,"2,478","5,906,904",631,"475,388","1,463","2,013,414",46,8,22,"2,265","9,424,560",183,"167,288","1,792",0,810,"1,291","1,113",15,"1,402",865,0,880,256,444,507,271,206,158,164,104,61,0
HI,15,State House District 6,"=""15006""","2,557",51,"2,557","5,677,931",784,"629,269","1,447","1,974,775",113,25,97,"2,357","9,794,807",199,"190,192","1,975",0,888,"1,318","1,174",46,"1,353",975,0,773,283,420,467,277,270,267,237,187,132,0
HI,15,State House District 7,"=""15007""","2,020",5,"2,020","4,517,514",697,"581,481","1,183","1,631,988",43,26,74,"1,891","8,160,389",122,"113,101","1,581",0,689,927,"1,048",27,"1,075",782,0,571,213,276,330,194,193,194,219,165,134,0
HI,15,State House District 8,"=""15008""","2,312",47,"2,312","5,130,658",770,"588,501","1,336","1,827,261",125,76,82,"2,225","9,503,228",87,"84,707","1,932",0,877,"1,164","1,105",43,"1,086","1,003",0,395,237,338,405,256,240,270,231,184,145,0
HI,15,State House District 9,"=""15009""","2,752",67,"2,752","6,270,638","1,041","817,235","1,650","2,216,585",94,58,53,"2,660","11,908,822",59,"77,040","2,261",0,926,"1,178","1,507",45,"1,298","1,229",0,416,200,343,411,288,343,331,287,252,159,0
HI,15,State House District 10,"=""15010""","1,908",54,"1,908","3,638,968",624,"532,834",956,"1,221,965",71,43,66,"1,769","6,827,280",127,"151,931","1,385",0,535,"1,028",848,29,841,814,0,442,189,279,382,173,193,158,191,138,118,0
