"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
IA,19,State House District 1,"=""19001""","1,626",0,"1,626","3,548,049",457,"379,785",875,"1,278,843",58,26,77,"1,520","6,498,366",27,"118,528","1,279",0,344,477,957,0,865,487,0,419,96,140,168,108,96,75,47,31,50,0
IA,19,State House District 2,"=""19002""","2,057",0,"2,057","4,326,298",618,"512,838","1,078","1,375,812",161,32,165,"1,934","8,143,191",31,"124,934","1,693",0,531,791,"1,083",0,933,778,0,415,146,247,274,158,156,146,124,109,101,0
IA,19,State House District 3,"=""19003""","1,869",0,"1,869","3,779,867",557,"483,887",972,"1,356,796",73,21,77,"1,776","7,379,466",0,"97,534","1,493",0,449,643,"1,009",30,944,566,0,371,184,142,187,121,81,75,83,57,92,0
IA,19,State House District 4,"=""19004""","1,306",0,"1,306","2,857,643",454,"386,416",787,"1,276,738",79,0,78,"1,224","5,486,491",0,"85,007","1,030",0,217,246,"1,001",0,777,415,0,385,112,131,131,82,61,106,106,74,130,0
IA,19,State House District 5,"=""19005""","1,708",0,"1,708","3,857,905",523,"451,658","1,018","1,398,055",117,33,92,"1,626","7,370,278",24,"85,076","1,456",0,474,567,"1,039",32,977,576,0,395,72,143,183,135,82,88,82,53,69,0
IA,19,State House District 6,"=""19006""","2,225",22,"2,225","5,201,124",687,"544,211","1,364","1,761,103",228,98,210,"2,165","9,651,233",50,"54,796","1,993",0,793,738,"1,372",79,"1,232",823,0,348,183,311,387,282,218,244,205,117,139,0
IA,19,State House District 7,"=""19007""","1,896",0,"1,896","4,197,730",560,"460,559","1,038","1,448,240",121,42,120,"1,780","7,912,708",27,"114,762","1,580",0,498,575,"1,191",0,"1,006",645,0,441,113,208,235,144,140,162,109,92,94,0
IA,19,State House District 8,"=""19008""","1,923",0,"1,923","4,340,671",531,"439,484","1,092","1,569,309",60,5,94,"1,785","8,131,099",0,"116,112","1,543",0,462,441,"1,229",0,"1,064",538,0,459,116,179,211,173,92,97,60,57,55,0
IA,19,State House District 9,"=""19009""","2,319",32,"2,319","5,392,824",599,"471,993","1,330","1,685,262",157,86,181,"2,243","9,695,777",64,"60,602","2,008",0,857,"1,069","1,094",114,"1,158",953,0,363,251,379,471,278,234,188,153,145,113,0
IA,19,State House District 10,"=""19010""","1,865",0,"1,865","4,128,110",487,"408,292",995,"1,377,892",0,0,67,"1,735","7,684,453",0,"105,347","1,515",0,356,503,"1,099",0,"1,042",463,0,420,64,148,169,47,29,25,23,22,26,0
