"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
ID,16,State House District 1,"=""16001""","3,931",0,"3,931","8,733,914",975,"774,338","2,133","3,006,466",78,108,155,"3,644","13,658,006",212,"259,707","3,119",0,"1,116","2,123","1,609",69,"2,265","1,318",0,"1,153",346,551,770,423,303,241,240,191,224,0
ID,16,State House District 2,"=""16002""","3,561",3,"3,561","7,659,058",984,"776,432","1,902","2,605,562",180,126,199,"3,345","12,303,208",177,"192,166","2,931",0,"1,070","2,014","1,241",287,"2,048","1,186",0,965,373,505,639,401,335,307,297,253,274,1
ID,16,State House District 3,"=""16003""","4,211",4,"4,211","9,672,513","1,254","988,458","2,478","3,433,784",272,188,304,"4,052","16,255,695",135,"144,973","3,634",0,"1,544","2,487","1,472",236,"2,243","1,660",0,909,387,571,746,495,409,419,336,302,325,23
ID,16,State House District 4,"=""16004""","4,161",21,"4,161","8,982,834","1,058","792,695","2,227","2,903,624",247,194,324,"3,972","14,708,258",176,"150,277","3,522",0,"1,379","2,512","1,276",357,"2,153","1,604",0,866,432,716,834,498,411,418,310,248,220,1
ID,16,State House District 5,"=""16005""","2,961",0,"2,961","5,947,819",714,"579,869","1,476","2,110,550",96,130,246,"2,822","10,215,084",72,"123,862","2,459",0,875,"1,874",913,46,"1,325","1,186",0,594,285,417,452,240,199,178,146,115,140,0
ID,16,State House District 6,"=""16006""","3,254",29,"3,254","6,998,496",903,"706,693","1,777","2,345,882",194,139,188,"3,138","12,082,454",91,"109,587","2,832",0,"1,071","1,783","1,252",142,"1,509","1,325",0,479,310,489,554,319,310,280,265,200,174,0
ID,16,State House District 7,"=""16007""","3,018",0,"3,018","6,299,413",611,"536,824","1,492","2,066,106",32,0,46,"2,843","10,307,774",56,"166,418","2,449",0,919,"1,357","1,519",4,"1,425","1,207",0,688,251,440,471,260,143,132,105,75,77,0
ID,16,State House District 8,"=""16008""","3,486",0,"3,486","7,737,658",863,"648,777","1,855","2,590,179",98,71,186,"3,293","12,281,033",134,"164,393","2,794",0,"1,085","1,715","1,604",0,"1,734","1,305",0,"1,014",285,553,691,345,251,239,191,157,187,0
ID,16,State House District 9,"=""16009""","4,039",5,"4,039","9,900,538","1,217","932,521","2,448","3,552,646",170,117,196,"3,863","16,212,021",114,"162,521","3,341",0,"1,422","1,628","2,347",5,"2,073","1,640",0,891,308,509,680,474,434,361,355,270,308,3
ID,16,State House District 10,"=""16010""","5,320",119,"5,320","14,127,784","1,716","1,280,986","3,605","5,245,104",297,223,364,"5,169","22,891,970",143,"125,524","4,671",2,"2,119","2,619","2,633",67,"2,587","2,440",0,916,350,670,907,702,645,588,518,412,418,9
ID,16,State House District 11,"=""16011""","4,132",31,"4,132","10,392,309","1,410","1,088,317","2,672","4,128,886",187,208,276,"3,980","17,217,208",114,"146,639","3,532",5,"1,361","2,119","1,956",33,"2,246","1,666",0,965,295,446,641,462,429,450,402,340,427,19
ID,16,State House District 12,"=""16012""","5,350",76,"5,350","13,875,722","1,750","1,321,179","3,538","5,170,662",298,260,393,"5,197","22,582,225",142,"154,363","4,701",35,"2,075","2,855","2,397",97,"2,713","2,307",0,"1,010",353,691,849,726,640,599,498,406,466,1
ID,16,State House District 13,"=""16013""","4,437",55,"4,437","11,318,027","1,488","1,148,154","2,898","4,308,754",278,253,346,"4,290","18,501,252",147,"152,752","3,873",26,"1,606","2,374","1,996",67,"2,387","1,787",0,989,321,519,690,554,549,524,448,359,439,28
ID,16,State House District 14,"=""16014""","2,335",0,"2,335","5,062,145",712,"575,353","1,304","1,882,782",173,168,248,"2,193","8,203,586",142,"205,059","1,918",0,643,"1,359",940,18,"1,407",765,0,760,222,313,396,244,202,245,254,202,238,11
ID,16,State House District 15,"=""16015""","3,478",61,"3,478","7,751,602",985,"747,530","1,934","2,598,362",232,238,325,"3,323","12,442,228",154,"164,766","2,922",0,"1,089","2,049","1,355",75,"1,820","1,367",0,824,335,543,635,395,367,379,311,252,246,2
