"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
IN,18,State House District 1,"=""18001""","7,562",128,"7,562","20,922,415","1,785","1,291,936","4,956","6,525,494",383,370,332,"7,427","34,198,815",132,"132,316","6,824",0,"3,510","3,631","3,804",64,"3,968","3,017",0,"1,696",579,"1,260","1,804","1,120",788,636,575,418,331,0
IN,18,State House District 2,"=""18002""","8,733",179,"8,733","27,001,103","1,613","1,088,589","5,940","7,788,686",369,389,268,"8,636","40,416,105",83,"71,052","8,045",0,"4,479","4,815","3,810",94,"4,915","3,320",0,"2,438",547,"1,631","2,620","1,374",835,678,517,326,189,0
IN,18,State House District 3,"=""18003""","8,023",132,"8,023","23,572,141","1,422","1,003,006","5,234","6,793,764",292,321,325,"7,908","35,420,920",72,"95,762","7,313",0,"4,067","4,415","3,485",84,"4,286","3,141",0,"2,178",636,"1,580","2,368","1,163",709,578,439,289,205,0
IN,18,State House District 4,"=""18004""","3,430",23,"3,430","7,173,102",795,"615,959","1,696","2,099,029",147,165,264,"3,311","12,494,009",114,"121,970","2,921",0,"1,082","2,025","1,251",111,"1,567","1,403",0,608,420,641,758,377,283,258,233,200,185,0
IN,18,State House District 5,"=""18005""","4,991",59,"4,991","11,426,161","1,384","1,077,904","2,761","3,500,193",284,242,340,"4,868","20,373,155",123,"102,737","4,440",0,"1,826","3,292","1,580",109,"2,238","2,261",0,836,466,833,"1,097",592,515,462,395,300,314,0
IN,18,State House District 6,"=""18006""","7,869",131,"7,869","21,251,849","1,744","1,236,666","4,888","6,482,574",313,291,363,"7,719","34,088,442",122,"96,942","7,098",0,"3,470","4,812","2,770",237,"3,664","3,476",0,"1,541",730,"1,472","1,924","1,103",796,619,523,327,274,0
IN,18,State House District 7,"=""18007""","6,685",142,"6,685","17,422,198","1,796","1,355,866","4,180","5,564,013",305,245,271,"6,540","29,475,313",115,"113,010","5,940",0,"2,613","3,977","2,529",167,"3,079","3,103",0,"1,278",558,"1,145","1,492",892,659,603,522,375,344,0
IN,18,State House District 8,"=""18008""","5,079",49,"5,079","12,562,437","1,199","913,653","2,977","3,857,554",232,220,301,"4,951","21,056,824",84,"100,451","4,530",0,"2,011","3,156","1,791",99,"2,428","2,211",0,"1,044",492,921,"1,152",655,457,418,380,276,234,0
IN,18,State House District 9,"=""18009""","6,113",85,"6,113","15,795,372","1,307","970,159","3,712","4,789,560",208,200,267,"5,972","26,152,222",108,"118,265","5,428",0,"2,750","3,797","2,235",47,"2,887","2,609",0,"1,198",557,"1,133","1,512",811,584,500,363,286,235,0
IN,18,State House District 10,"=""18010""","4,767",36,"4,767","10,897,688","1,143","871,102","2,587","3,191,724",184,245,323,"4,645","18,940,624",122,"100,429","4,202",0,"1,838","2,616","2,077",62,"2,189","2,077",0,774,515,873,"1,039",607,460,369,394,275,216,0
IN,18,State House District 11,"=""18011""","3,412",3,"3,412","7,102,125",902,"716,864","1,689","2,110,879",120,147,267,"3,274","12,761,789",104,"156,229","2,889",0,"1,059","1,745","1,563",13,"1,659","1,332",0,687,362,570,732,371,330,249,259,180,220,0
IN,18,State House District 12,"=""18012""","4,019",25,"4,019","9,122,214","1,023","790,584","2,164","2,731,707",238,290,286,"3,874","15,975,328",145,"141,829","3,411",0,"1,352","2,026","1,942",27,"2,187","1,480",0,875,382,644,918,472,394,358,336,270,233,0
IN,18,State House District 13,"=""18013""","5,038",23,"5,038","11,706,347","1,470","1,166,738","2,915","3,827,422",116,79,189,"4,870","21,361,139",37,"153,605","4,380",0,"1,865","2,382","2,448",97,"2,495","2,058",0,844,354,653,804,420,330,308,297,190,193,0
IN,18,State House District 14,"=""18014""","7,487",125,"7,487","21,337,625","1,540","1,093,110","4,807","6,199,862",383,430,363,"7,343","33,216,218",134,"121,805","6,800",0,"3,734","4,064","3,323",81,"4,131","2,847",0,"1,943",509,"1,370","2,002","1,076",767,607,533,307,249,0
IN,18,State House District 15,"=""18015""","2,781",5,"2,781","5,637,845",674,"532,961","1,336","1,634,039",150,187,220,"2,622","10,131,235",159,"158,215","2,240",0,740,"1,352","1,397",13,"1,551",944,0,695,312,502,587,295,247,232,238,189,156,0
IN,18,State House District 16,"=""18016""","4,812",0,"4,812","10,915,074","1,309","1,075,272","2,660","3,532,936",75,75,223,"4,635","19,704,962",121,"166,572","4,075",0,"1,700","2,323","2,369",0,"2,256","2,077",0,992,446,737,914,457,315,321,288,276,308,0
IN,18,State House District 17,"=""18017""","5,160",24,"5,160","12,061,796","1,579","1,280,236","2,980","4,151,737",147,157,259,"5,006","22,655,799",89,"131,473","4,479",0,"1,716","2,384","2,735",0,"2,362","2,375",0,993,494,710,932,584,476,499,490,346,356,0
IN,18,State House District 18,"=""18018""","4,981",9,"4,981","11,369,349","1,527","1,216,093","2,850","3,870,655",133,113,241,"4,842","21,241,671",47,"129,533","4,363",0,"1,694","2,330","2,516",12,"2,212","2,267",0,823,472,672,809,534,419,426,373,250,302,0
IN,18,State House District 19,"=""18019""","3,763",27,"3,763","8,107,642",941,"741,869","1,926","2,407,135",192,237,291,"3,570","14,209,694",177,"217,189","3,118",0,"1,184","1,938","1,761",40,"2,028","1,367",0,876,405,647,796,440,362,314,311,236,216,0
IN,18,State House District 20,"=""18020""","5,221",35,"5,221","12,205,203","1,399","1,113,247","3,013","3,919,022",135,136,244,"5,070","21,689,648",112,"142,731","4,558",0,"1,939","2,977","2,142",34,"2,433","2,244",0,923,403,812,"1,043",515,423,357,329,264,269,0
IN,18,State House District 21,"=""18021""","6,188",123,"6,188","15,814,814","1,966","1,525,722","3,968","5,299,069",291,204,285,"6,066","28,250,717",122,"106,239","5,619",0,"2,554","3,527","2,521",125,"2,675","3,065",0,987,493,930,"1,196",805,682,607,582,440,383,0
IN,18,State House District 22,"=""18022""","4,841",22,"4,841","10,945,919","1,718","1,399,533","2,877","4,064,982",175,131,205,"4,712","21,392,163",53,"116,438","4,287",0,"1,825","2,199","2,581",28,"2,399","2,050",0,898,346,635,792,481,456,461,485,358,437,0
IN,18,State House District 23,"=""18023""","5,924",50,"5,924","13,922,846","1,706","1,300,946","3,459","4,570,378",175,153,217,"5,779","25,502,317",105,"134,900","5,211",0,"2,081","2,628","3,096",127,"2,689","2,644",0,923,602,868,"1,044",642,533,519,506,340,284,0
IN,18,State House District 24,"=""18024""","1,957",10,"1,957","3,867,202",547,"430,411",961,"1,236,803",147,133,211,"1,828","6,891,074",127,"143,515","1,595",0,533,"1,190",727,23,"1,148",655,0,574,214,328,356,181,196,172,189,145,143,0
IN,18,State House District 25,"=""18025""","4,883",29,"4,883","11,132,432","1,449","1,129,825","2,777","3,697,132",154,132,207,"4,733","20,600,252",101,"108,914","4,202",0,"1,866","2,221","2,441",122,"2,553","1,887",0,835,394,757,778,432,446,411,341,226,241,0
IN,18,State House District 26,"=""18026""","3,165",65,"3,165","7,065,999",829,"626,486","1,779","2,335,714",208,193,244,"3,081","12,630,785",84,"85,176","2,785",0,"1,110","1,753","1,186",203,"1,633","1,235",0,515,338,531,669,348,311,280,258,207,188,0
IN,18,State House District 27,"=""18027""","5,910",98,"5,910","13,438,724","1,410","1,038,705","3,293","4,263,932",284,262,361,"5,754","23,090,014",142,"138,295","5,197",0,"2,371","3,059","2,408",435,"3,021","2,241",0,970,680,"1,091","1,352",686,562,478,389,287,262,0
IN,18,State House District 28,"=""18028""","3,629",1,"3,629","7,901,991","1,159","935,404","2,008","2,572,459",221,182,284,"3,463","14,554,748",119,"162,270","3,124",0,"1,278","2,206","1,371",1,"1,921","1,415",0,843,310,477,583,397,361,304,333,287,245,0
