"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
KY,21,State House District 1,"=""21001""","3,367",5,"3,367","8,221,652",824,"585,647","1,982","2,428,430",25,15,26,"3,275","13,892,172",13,"78,577","2,938",0,"1,407","1,351","1,931",26,"1,718","1,310",0,681,305,569,701,412,305,145,175,52,67,0
KY,21,State House District 2,"=""21002""","4,023",37,"4,023","10,061,548",922,"689,300","2,403","3,035,380",82,61,102,"3,883","16,639,596",85,"104,088","3,481",0,"1,702","1,479","2,488",42,"2,268","1,460",0,930,395,671,824,485,333,298,194,123,137,0
KY,21,State House District 3,"=""21003""","3,804",42,"3,804","9,032,093",803,"564,212","2,208","2,623,183",180,99,170,"3,702","14,931,261",90,"78,024","3,343",0,"1,799","1,861","1,732",198,"1,862","1,562",0,603,432,719,878,514,378,279,207,164,150,0
KY,21,State House District 4,"=""21004""","3,564",10,"3,564","8,574,213",816,"633,218","2,089","2,551,027",61,46,103,"3,427","14,750,392",79,"75,879","3,049",0,"1,702","1,305","2,130",43,"1,772","1,483",0,694,285,670,760,431,303,220,196,116,126,0
KY,21,State House District 5,"=""21005""","3,364",30,"3,364","7,390,181",713,"536,913","1,809","2,207,472",112,109,166,"3,216","12,560,841",112,"135,371","2,887",0,"1,454","1,472","1,827",58,"1,776","1,246",0,789,308,552,767,417,234,216,167,136,147,0
KY,21,State House District 6,"=""21006""","3,197",3,"3,197","7,303,211",761,"586,318","1,772","2,196,674",60,59,80,"3,086","12,612,523",58,"102,302","2,746",0,"1,436","1,295","1,841",12,"1,633","1,268",0,682,346,566,688,386,278,245,184,161,138,0
KY,21,State House District 7,"=""21007""","3,392",28,"3,392","7,878,244",910,"713,161","1,964","2,435,499",106,56,134,"3,295","14,277,853",47,"82,377","2,918",0,"1,413","1,296","1,824",228,"1,594","1,522",0,461,318,556,642,393,317,283,230,170,164,0
KY,21,State House District 8,"=""21008""","4,523",39,"4,523","11,340,036","1,089","833,601","2,799","3,525,243",233,138,180,"4,423","19,772,710",94,"78,607","4,080",0,"2,454","2,067","2,273",174,"2,429","1,736",0,651,406,779,902,657,464,369,304,256,211,0
KY,21,State House District 9,"=""21009""","4,509",10,"4,509","12,614,403","1,409","1,050,918","3,396","5,210,927",239,185,325,"4,459","24,588,069",16,"36,136","4,285",0,"2,009","2,335","1,786",342,"1,981","2,229",0,559,259,622,595,468,550,548,487,386,348,14
KY,21,State House District 10,"=""21010""","3,550",20,"3,550","8,410,533",810,"614,394","2,027","2,469,882",63,72,91,"3,451","14,465,709",62,"66,412","3,125",34,"1,770","1,274","2,240",28,"1,810","1,397",0,519,376,631,710,427,281,249,201,158,144,0
