"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
MA,25,1st Barnstable District,"=""25060""","2,328",0,"2,328","4,180,364",550,"432,360","1,004","1,177,062",149,54,78,"2,086","7,185,028",199,"240,425","1,695",0,734,"1,046","1,203",25,"1,197",797,0,703,246,425,490,193,164,163,132,138,40,0
MA,25,2nd Barnstable District,"=""25061""","2,963",40,"2,963","5,678,544",632,"468,416","1,364","1,652,756",190,108,105,"2,673","9,305,402",267,"313,586","2,147",0,947,"1,364","1,491",56,"1,550",987,0,837,360,577,635,297,281,214,182,152,94,0
MA,25,3rd Barnstable District,"=""25062""","2,397",0,"2,397","4,558,076",607,"474,597","1,115","1,314,620",169,101,137,"2,223","8,052,075",147,"167,450","1,902",0,752,"1,276","1,025",43,"1,137",953,0,583,278,437,460,240,202,185,149,144,133,0
MA,25,4th Barnstable District,"=""25063""","2,272",0,"2,272","3,567,384",434,"348,717",768,"963,836",40,29,37,"1,942","5,883,939",240,"310,694","1,399",0,503,938,"1,162",0,"1,227",597,0,736,259,410,446,89,83,46,74,40,27,0
MA,25,"Barnstable, Dukes & Nantucket District","=""25064""","2,385",32,"2,385","3,805,823",542,"422,118",910,"1,028,303",104,7,66,"1,932","6,013,788",415,"508,796","1,441",0,506,925,"1,364",2,"1,413",602,0,"1,068",270,477,556,164,103,121,115,69,28,0
MA,25,1st Berkshire District,"=""25065""","2,701",2,"2,701","5,274,941",646,"487,806","1,301","1,486,665",145,89,161,"2,598","9,674,363",49,"90,392","2,221",0,"1,103","1,457","1,119",96,"1,101","1,280",0,479,351,485,592,254,237,192,167,112,87,0
MA,25,2nd Berkshire District,"=""25066""","2,974",4,"2,974","5,547,758",734,"549,000","1,343","1,547,435",138,88,149,"2,788","9,976,943",90,"152,658","2,258",0,889,"1,482","1,198",129,"1,460","1,124",0,627,333,530,565,242,213,202,160,117,101,0
MA,25,3rd Berkshire District,"=""25067""","3,642",56,"3,642","7,716,961",893,"670,982","1,925","2,287,150",288,154,169,"3,540","14,052,588",96,"82,441","3,023",0,"1,536","1,824","1,596",217,"1,412","1,779",0,512,441,675,731,413,399,336,259,193,125,0
MA,25,4th Berkshire District,"=""25068""","2,211",1,"2,211","3,698,696",460,"358,400",825,"1,009,213",28,24,72,"1,947","6,286,063",121,"239,717","1,434",0,398,963,965,29,"1,139",590,0,610,233,303,321,86,73,81,68,48,2,0
MA,25,1st Bristol District,"=""25069""","1,379",0,"1,379","2,401,315",305,"243,445",563,"633,528",90,90,129,"1,278","4,403,938",100,"93,746","1,016",0,347,676,677,0,639,567,0,300,194,270,281,132,127,111,107,88,67,0
MA,25,2nd Bristol District,"=""25070""","2,503",23,"2,503","5,032,012",659,"510,949","1,249","1,463,393",173,144,170,"2,400","9,435,584",102,"118,008","2,021",0,770,"1,121","1,325",56,"1,175","1,066",0,471,300,404,487,265,275,262,210,161,135,0
MA,25,3rd Bristol District,"=""25071""","3,353",49,"3,353","6,989,793",971,"738,224","1,804","2,051,430",229,154,198,"3,241","13,118,661",112,"83,496","2,751",0,"1,327","1,442","1,855",55,"1,570","1,456",0,508,427,552,635,385,316,341,306,211,168,0
MA,25,4th Bristol District,"=""25072""","1,532",0,"1,532","2,772,178",384,"289,986",667,"760,456",69,90,129,"1,421","5,056,354",111,"116,350","1,111",0,362,648,848,9,860,517,0,410,192,286,315,157,137,142,117,68,96,0
MA,25,5th Bristol District,"=""25073""","2,228",9,"2,228","4,216,805",592,"460,122","1,027","1,156,286",109,108,122,"2,105","7,935,037",91,"122,424","1,712",0,621,986,"1,174",53,"1,145",866,0,468,240,352,463,199,149,173,165,123,79,0
MA,25,6th Bristol District,"=""25074""","3,844",62,"3,844","8,386,910",979,"723,252","2,067","2,283,266",206,164,137,"3,724","14,798,835",110,"95,224","3,083",0,"1,381","1,553","2,071",214,"1,798","1,684",0,626,468,702,825,459,410,328,290,192,115,0
MA,25,7th Bristol District,"=""25075""","4,598",83,"4,598","10,517,570","1,174","856,319","2,603","2,954,244",234,175,161,"4,478","18,391,698",116,"95,200","3,742",0,"1,757","1,785","2,508",291,"2,090","2,090",0,712,543,803,945,607,521,415,333,232,162,0
MA,25,8th Bristol District,"=""25076""","2,753",31,"2,753","5,859,932",715,"536,030","1,425","1,576,857",142,126,127,"2,627","10,443,101",112,"115,859","2,110",0,841,"1,102","1,531",112,"1,328","1,171",0,521,310,469,584,337,285,267,189,135,88,0
MA,25,9th Bristol District,"=""25077""","2,366",28,"2,366","4,907,642",599,"438,527","1,209","1,370,265",165,128,120,"2,250","8,826,131",116,"104,065","1,812",0,744,965,"1,311",76,"1,181",982,0,435,295,414,487,282,248,227,200,124,65,0
MA,25,10th Bristol District,"=""25078""","2,366",21,"2,366","4,688,722",580,"424,348","1,154","1,340,196",113,85,90,"2,238","8,478,837",119,"121,330","1,820",0,756,"1,042","1,238",81,"1,163",949,0,481,287,462,492,233,191,169,130,90,72,0
MA,25,11th Bristol District,"=""25079""","3,680",85,"3,680","8,575,253","1,045","773,499","2,161","2,485,299",260,159,135,"3,581","15,405,934",99,"96,545","3,033",0,"1,405","1,412","2,118",137,"1,641","1,719",0,486,381,604,733,494,470,361,294,202,134,0
MA,25,12th Bristol District,"=""25080""","1,983",5,"1,983","3,829,956",524,"416,606",972,"1,081,245",136,106,91,"1,887","7,229,150",83,"92,095","1,552",0,665,921,"1,027",22,985,807,0,380,249,361,380,221,182,174,154,149,51,0
MA,25,13th Bristol District,"=""25081""","4,999",127,"4,999","12,031,053","1,337","934,709","3,020","3,493,218",311,193,186,"4,905","21,190,536",75,"93,437","4,135",0,"1,998","1,902","2,863",234,"2,166","2,392",0,622,554,883,989,663,627,527,362,250,136,0
