"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
ME,23,State House District 1,"=""23001""",572,0,572,"1,109,138",152,"118,199",264,"319,325",0,0,30,537,"2,033,170",0,"34,358",452,0,94,235,315,0,305,187,0,140,32,52,72,57,20,25,26,0,0,0
ME,23,State House District 2,"=""23002""",548,0,548,"1,035,866",95,"74,268",220,"285,861",0,0,2,499,"1,784,284",0,"29,542",348,0,52,90,299,0,188,159,0,73,44,55,54,24,24,2,2,0,0,0
ME,23,State House District 3,"=""23003""",639,0,639,"1,376,061",147,"107,316",310,"353,776",9,4,9,609,"2,367,766",5,"14,944",502,0,201,319,281,6,240,284,0,78,76,122,112,74,14,13,10,7,7,0
ME,23,State House District 4,"=""23004""",721,0,721,"1,479,399",188,"135,632",363,"410,866",45,21,45,692,"2,653,823",29,"23,127",591,0,251,359,332,29,312,332,0,121,76,145,140,91,73,67,54,37,37,0
ME,23,State House District 5,"=""23005""",798,0,798,"1,655,661",196,"144,338",408,"485,690",47,22,61,780,"2,924,035",0,"15,370",700,0,300,446,301,51,287,418,0,107,116,130,152,95,78,83,57,42,36,0
ME,23,State House District 6,"=""23006""",678,0,678,"1,387,645",156,"137,862",338,"450,048",1,0,23,650,"2,454,259",0,"24,839",558,0,193,326,278,1,292,274,0,77,52,66,61,34,26,24,26,25,1,0
ME,23,State House District 7,"=""23007""",636,0,636,"1,363,770",153,"123,051",334,"417,839",5,6,12,615,"2,452,783",3,"18,421",530,0,211,337,274,6,260,304,0,102,25,86,102,57,20,20,15,32,9,0
ME,23,State House District 8,"=""23008""",748,0,748,"1,831,462",186,"135,642",453,"590,233",0,25,38,723,"3,132,798",20,"13,509",619,0,323,350,370,0,252,413,0,121,79,119,134,88,75,71,57,43,34,0
ME,23,State House District 9,"=""23009""",662,0,662,"1,495,813",121,"114,158",349,"447,735",0,4,7,618,"2,480,848",3,"26,320",477,0,177,276,290,0,255,253,0,114,14,22,68,36,13,12,10,8,6,0
ME,23,State House District 10,"=""23010""",620,0,620,"1,155,082",123,"100,868",274,"309,648",0,0,0,602,"2,014,302",0,"14,444",515,0,182,312,230,46,331,229,0,81,67,124,135,45,31,0,29,0,0,0
ME,23,State House District 11,"=""23011""",686,0,686,"1,513,220",148,"122,416",326,"431,444",0,3,5,636,"2,548,144",0,"26,897",548,0,187,269,257,3,271,226,0,127,8,44,77,29,22,7,7,4,5,0
ME,23,State House District 12,"=""23012""",720,0,720,"1,650,222",164,"133,086",379,"469,138",0,22,34,695,"2,752,985",0,"19,804",628,0,267,341,355,22,362,297,0,143,47,90,159,60,53,47,43,22,30,0
ME,23,State House District 13,"=""23013""",824,0,824,"1,731,329",226,"169,149",445,"528,679",8,5,9,801,"3,094,449",0,"22,449",706,0,275,451,311,33,368,383,0,98,47,85,151,64,38,41,38,6,3,0
ME,23,State House District 14,"=""23014""",672,0,672,"1,393,475",168,"114,376",372,"415,920",47,28,51,658,"2,453,505",0,"12,363",566,0,231,406,177,63,255,329,0,81,84,126,128,61,79,62,51,37,18,0
ME,23,State House District 15,"=""23015""",704,8,704,"1,361,202",160,"114,832",344,"395,047",44,38,58,678,"2,378,836",26,"22,088",587,0,245,410,232,62,306,316,0,108,100,135,150,79,63,59,52,33,31,0
ME,23,State House District 16,"=""23016""",806,8,806,"1,533,924",169,"124,950",385,"438,993",44,38,58,775,"2,674,904",26,"23,892",665,0,274,459,268,62,361,353,0,108,100,165,150,79,63,59,52,33,31,0
ME,23,State House District 17,"=""23017""",692,8,692,"1,338,871",157,"112,948",338,"388,566",43,38,57,667,"2,339,809",25,"21,725",577,0,240,403,228,61,301,311,0,106,99,133,148,78,62,58,51,32,31,0
ME,23,State House District 18,"=""23018""",647,7,647,"1,243,356",146,"105,076",314,"362,155",38,34,54,623,"2,175,898",23,"20,562",539,0,225,378,212,55,282,289,0,100,92,125,139,73,55,54,46,29,27,0
ME,23,State House District 19,"=""23019""",233,0,233,"384,806",42,"34,133",92,"123,415",0,0,23,223,"699,461",0,"9,705",191,0,82,147,68,0,107,88,0,42,35,47,57,27,0,19,0,0,0,0
ME,23,State House District 20,"=""23020""",653,0,653,"1,277,243",177,"133,712",317,"376,376",2,1,25,612,"2,306,276",1,"41,185",538,0,190,371,255,2,325,267,0,127,38,83,133,58,32,77,25,46,1,0
ME,23,State House District 21,"=""23021""",712,0,712,"1,357,295",216,"162,032",367,"428,960",54,37,82,690,"2,492,800",22,"25,575",594,0,233,404,251,57,330,310,0,119,83,108,135,70,79,63,74,51,50,0
ME,23,State House District 22,"=""23022""",797,4,797,"1,672,115",227,"169,558",434,"540,780",20,17,27,763,"3,002,289",12,"25,969",664,0,279,460,294,28,365,367,0,157,86,104,157,85,67,49,64,15,14,0
ME,23,State House District 23,"=""23023""",851,4,851,"1,749,874",243,"187,483",457,"548,401",44,20,53,813,"3,160,234",13,"44,943",724,0,281,497,306,33,398,375,0,182,55,106,127,72,57,52,55,18,17,0
ME,23,State House District 24,"=""23024""",838,0,838,"1,856,040",211,"165,066",457,"548,859",0,0,0,798,"3,180,223",0,"28,154",715,0,310,429,384,0,368,406,0,160,50,88,106,65,49,44,28,32,22,0
ME,23,State House District 25,"=""23025""",806,0,806,"1,769,086",203,"166,917",440,"534,481",0,0,0,769,"3,019,937",0,"32,617",689,0,287,489,298,0,368,362,0,184,45,90,174,89,69,22,38,0,0,0
ME,23,State House District 26,"=""23026""",793,0,793,"1,684,266",180,"137,927",404,"524,510",26,23,38,755,"2,964,468",21,"23,826",658,0,304,385,371,0,324,382,0,156,79,115,153,83,72,57,55,26,23,0
ME,23,State House District 27,"=""23027""",734,0,734,"1,589,252",146,"120,466",380,"487,670",1,1,1,683,"2,666,836",1,"44,426",575,0,187,300,359,0,307,282,0,141,30,68,88,36,29,2,2,1,1,0
ME,23,State House District 28,"=""23028""",897,0,897,"2,077,087",259,"192,823",510,"658,888",7,5,8,863,"3,564,758",4,"34,893",766,0,354,566,319,0,403,407,0,173,57,107,175,123,45,66,38,11,6,0
ME,23,State House District 29,"=""23029""",758,0,758,"1,687,792",215,"177,196",425,"530,868",0,0,47,736,"2,928,593",0,"19,429",657,0,289,467,283,0,375,315,0,121,77,118,106,75,74,59,74,52,24,0
ME,23,State House District 30,"=""23030""",747,0,747,"1,609,115",193,"158,639",386,"469,641",4,2,6,694,"2,533,637",4,"50,524",575,0,208,410,278,2,354,301,0,213,22,112,117,27,39,12,6,4,4,0
ME,23,State House District 31,"=""23031""",738,0,738,"1,660,898",170,"118,713",401,"479,617",0,0,0,710,"2,754,839",0,"17,710",613,0,237,383,316,0,244,372,0,128,56,138,147,96,37,29,0,0,0,0
ME,23,State House District 32,"=""23032""",689,0,689,"1,452,750",144,"111,748",345,"425,859",0,0,0,601,"2,177,394",27,"118,532",494,0,179,438,189,0,368,222,0,265,71,93,126,45,22,15,0,0,0,0
ME,23,State House District 33,"=""23033""",881,0,881,"1,997,103",212,"164,604",469,"578,599",0,0,0,756,"2,811,297",47,"145,438",606,0,247,487,372,0,534,282,0,388,0,95,98,19,0,0,0,0,0,0
ME,23,State House District 34,"=""23034""",684,0,684,"1,482,022",196,"148,475",364,"429,769",13,7,16,627,"2,403,546",12,"54,967",535,0,228,373,244,6,303,273,0,187,20,77,147,49,21,40,38,12,10,0
ME,23,State House District 35,"=""23035""",513,0,513,"799,302",114,"93,119",192,"222,372",22,22,22,470,"1,422,549",0,"41,813",377,0,144,268,173,0,211,139,0,116,30,97,113,24,0,0,0,0,0,0
ME,23,State House District 36,"=""23036""",581,0,581,"1,090,245",121,"104,309",225,"331,241",0,0,0,470,"1,489,079",84,"176,570",348,0,29,279,200,0,335,53,0,262,0,24,56,0,0,0,0,0,0,0
ME,23,State House District 37,"=""23037""",563,0,563,"1,175,560",123,"102,797",271,"334,894",0,0,0,470,"1,646,482",32,"87,950",381,0,117,279,242,0,340,153,0,263,31,31,67,21,0,24,0,0,0,0
ME,23,State House District 38,"=""23038""",807,0,807,"1,628,897",236,"173,760",429,"486,517",53,28,67,754,"2,764,378",52,"54,718",665,0,298,473,311,23,371,366,0,213,86,142,164,97,78,74,70,50,43,0
ME,23,State House District 39,"=""23039""",571,0,571,"1,103,207",172,"139,918",279,"339,747",35,34,64,546,"2,028,235",0,"18,249",472,0,165,356,186,24,285,231,0,135,50,79,102,45,45,50,48,40,33,0
ME,23,State House District 40,"=""23040""",677,0,677,"1,421,530",172,"125,629",352,"441,463",22,22,29,640,"2,497,603",24,"19,171",568,0,210,356,294,0,312,301,0,148,81,103,147,81,69,59,59,26,0,0
ME,23,State House District 41,"=""23041""",771,0,771,"1,681,666",181,"140,011",401,"496,856",3,3,3,727,"2,822,731",3,"31,862",632,0,257,395,349,0,347,340,0,210,55,145,150,47,34,4,4,3,0,0
ME,23,State House District 42,"=""23042""",714,0,714,"1,545,120",178,"136,447",387,"467,271",8,7,10,665,"2,586,595",10,"41,858",589,0,238,412,277,6,344,294,0,197,50,102,138,58,54,41,38,33,8,0
ME,23,State House District 43,"=""23043""",810,0,810,"1,700,469",185,"135,713",424,"497,923",26,22,47,756,"2,783,242",46,"49,280",662,0,296,460,323,21,374,338,0,242,84,157,167,87,77,60,46,29,27,0
ME,23,State House District 44,"=""23044""",750,0,750,"1,528,310",178,"137,569",380,"477,478",7,0,19,671,"2,445,332",26,"85,028",564,0,221,443,266,0,423,251,0,296,26,80,153,28,30,25,9,8,8,0
ME,23,State House District 45,"=""23045""",856,0,856,"1,838,426",239,"187,907",468,"566,774",0,0,0,795,"3,026,423",0,"59,979",677,0,230,491,352,0,497,299,0,270,0,106,149,54,23,0,0,0,0,0
ME,23,State House District 46,"=""23046""",456,0,456,"879,551",93,"73,582",209,"236,205",0,0,23,410,"1,410,704",46,"36,406",351,0,137,251,193,0,290,130,0,166,50,91,111,33,28,24,0,0,0,0
ME,23,State House District 47,"=""23047""",799,0,799,"1,596,036",159,"117,930",384,"453,775",32,27,42,742,"2,628,238",49,"69,652",641,0,298,503,274,0,418,298,0,192,92,158,184,79,64,69,47,38,29,0
ME,23,State House District 48,"=""23048""",552,0,552,"1,191,613",153,"129,482",299,"375,136",26,0,0,470,"1,861,739",24,"90,755",390,0,138,286,226,0,310,176,0,184,22,60,67,34,29,0,0,0,0,0
ME,23,State House District 49,"=""23049""",787,0,787,"1,676,891",219,"163,312",427,"570,805",44,0,0,706,"2,775,073",52,"127,393",583,0,249,431,337,0,470,245,0,302,54,77,180,95,52,53,59,14,49,0
ME,23,State House District 50,"=""23050""",713,0,713,"1,566,147",176,"138,872",378,"473,007",0,0,32,644,"2,420,605",48,"80,477",553,0,249,397,294,0,427,215,0,286,66,94,146,60,58,49,27,24,29,0
ME,23,State House District 51,"=""23051""",617,0,617,"1,186,766",150,"119,067",270,"342,234",0,0,0,543,"2,009,678",0,"78,612",415,0,157,284,234,0,358,174,0,226,27,62,102,24,0,0,0,0,0,0
ME,23,State House District 52,"=""23052""",718,0,718,"1,513,457",194,"144,638",372,"460,530",15,7,12,659,"2,514,766",48,"52,967",568,0,247,423,271,7,381,282,0,230,65,123,147,89,41,56,17,10,9,0
ME,23,State House District 53,"=""23053""",657,0,657,"1,392,838",180,"135,213",354,"454,962",44,9,40,605,"2,341,779",35,"44,054",526,0,206,388,241,23,324,267,0,194,51,72,120,63,59,48,38,37,15,0
ME,23,State House District 54,"=""23054""",689,8,689,"1,463,247",171,"127,154",369,"435,730",47,31,44,668,"2,546,779",20,"15,996",591,0,261,412,263,13,358,264,0,112,76,114,150,88,64,67,63,33,32,0
ME,23,State House District 55,"=""23055""",703,2,703,"1,553,072",170,"131,098",379,"501,973",41,33,12,666,"2,718,967",5,"34,729",573,0,233,389,280,3,358,258,0,147,53,110,120,74,59,67,49,30,9,0
ME,23,State House District 56,"=""23056""",693,0,693,"1,463,418",176,"126,444",365,"430,519",53,27,41,663,"2,485,805",30,"21,919",584,0,254,437,232,24,287,333,0,128,84,131,128,84,74,67,60,34,30,0
ME,23,State House District 57,"=""23057""",790,0,790,"1,653,203",199,"144,087",401,"486,589",57,29,45,755,"2,824,785",32,"27,801",665,0,274,499,250,26,309,380,0,138,91,141,138,90,79,72,65,36,32,0
ME,23,State House District 58,"=""23058""",723,0,723,"1,583,593",207,"159,935",400,"487,708",14,7,33,678,"2,716,620",8,"52,873",608,0,253,453,256,6,323,337,0,158,60,120,122,93,84,73,48,35,8,0
ME,23,State House District 59,"=""23059""",651,0,651,"1,383,121",194,"151,301",359,"449,931",45,21,34,623,"2,451,064",22,"28,198",557,0,207,412,207,12,256,299,0,123,51,81,119,52,51,41,40,44,34,0
ME,23,State House District 60,"=""23060""",501,0,501,"856,374",153,"123,520",221,"256,705",39,37,46,463,"1,565,007",38,"34,224",401,0,141,296,167,38,274,184,0,123,68,89,88,32,45,41,52,48,37,0
ME,23,State House District 61,"=""23061""",573,0,573,"1,052,386",110,"95,872",240,"281,814",8,3,8,493,"1,571,826",41,"83,807",369,0,139,229,273,8,315,142,0,241,12,115,120,37,13,10,8,6,3,0
ME,23,State House District 62,"=""23062""",638,0,638,"1,331,277",159,"123,913",333,"394,406",38,35,42,602,"2,231,465",36,"33,086",529,0,231,401,173,64,282,285,0,129,75,118,135,72,72,48,46,33,36,0
ME,23,State House District 63,"=""23063""",415,0,415,"772,963",112,"87,325",190,"225,112",24,25,34,389,"1,411,158",25,"27,716",341,0,126,248,128,39,203,170,0,92,42,81,82,43,38,36,37,29,25,0
ME,23,State House District 64,"=""23064""",434,0,434,"905,023",98,"77,153",204,"249,595",6,5,7,387,"1,354,967",31,"56,575",326,0,126,241,161,10,259,136,0,169,12,89,96,42,11,7,7,5,6,0
