"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
MN,27,State House District 1A,"=""2701A""","2,524",0,"2,524","5,375,919",877,"739,710","1,431","1,975,080",194,22,145,"2,385","9,928,908",29,"103,335","1,976",0,546,660,"1,560",21,"1,339",786,0,523,154,172,239,153,151,189,201,165,100,0
MN,27,State House District 1B,"=""2701B""","2,684",0,"2,684","5,765,615",787,"653,943","1,484","2,070,237",156,64,158,"2,556","10,443,880",6,"111,805","2,168",0,904,837,"1,534",45,"1,313",917,0,445,256,304,331,160,164,161,164,92,82,0
MN,27,State House District 2A,"=""2702A""","3,961",44,"3,961","9,452,111","1,111","863,585","2,430","3,291,802",140,24,119,"3,810","15,982,135",47,"134,806","3,402",0,"1,759","1,358","2,283",120,"2,157","1,414",0,706,416,535,551,399,304,275,203,168,119,0
MN,27,State House District 2B,"=""2702B""","3,169",0,"3,169","7,344,783",799,"629,070","1,862","2,620,459",122,10,156,"3,001","12,222,783",110,"170,710","2,617",0,"1,097","1,083","1,647",285,"1,941","1,022",0,757,262,471,488,304,213,188,171,106,126,0
MN,27,State House District 3A,"=""2703A""","2,583",0,"2,583","5,083,948",569,"412,786","1,210","1,553,517",55,11,116,"2,421","8,509,576",93,"112,358","2,002",0,613,957,"1,097",286,"1,403",812,0,627,269,429,463,220,126,88,86,64,39,0
MN,27,State House District 3B,"=""2703B""","1,735",0,"1,735","3,228,969",464,"365,489",823,"1,040,068",147,78,192,"1,656","5,813,044",79,"53,941","1,382",0,477,961,595,178,851,693,0,333,230,311,344,175,147,154,144,105,113,0
MN,27,State House District 4A,"=""2704A""","2,715",59,"2,715","5,719,424",730,"559,245","1,468","1,975,721",256,136,307,"2,636","10,312,709",78,"81,269","2,331",0,795,"1,190","1,199",302,"1,545",926,0,407,437,425,458,289,267,255,238,163,149,0
MN,27,State House District 4B,"=""2704B""","2,469",2,"2,469","5,299,375",680,"557,454","1,347","1,858,290",138,40,195,"2,319","9,405,098",56,"149,441","2,012",0,663,918,"1,234",124,"1,501",720,0,511,161,293,355,122,162,176,146,60,59,0
MN,27,State House District 5A,"=""2705A""","3,561",46,"3,561","8,164,888",962,"716,465","2,048","2,724,056",196,72,247,"3,430","13,767,767",69,"113,563","2,988",0,"1,532","1,185","2,073",205,"2,002","1,230",0,600,421,570,580,379,356,291,236,167,138,0
MN,27,State House District 5B,"=""2705B""","2,829",0,"2,829","5,950,613",682,"537,697","1,474","1,994,478",109,53,196,"2,693","10,071,403",96,"120,056","2,273",0,853,"1,151","1,376",216,"1,422","1,130",0,562,331,479,528,286,192,199,165,116,124,0
MN,27,State House District 6A,"=""2706A""","2,991",0,"2,991","6,119,060",709,"550,684","1,508","1,864,524",126,58,154,"2,879","10,434,457",34,"81,072","2,365",0,893,"1,525","1,127",160,"1,363","1,199",0,387,304,445,503,229,180,169,157,101,100,0
MN,27,State House District 6B,"=""2706B""","2,544",0,"2,544","5,065,357",593,"444,539","1,240","1,477,727",91,30,120,"2,432","8,538,097",31,"80,245","1,990",0,777,"1,299",907,160,"1,508",772,0,313,273,393,479,211,182,95,90,46,27,0
MN,27,State House District 7A,"=""2707A""","1,896",0,"1,896","3,319,901",395,"297,668",864,"1,047,295",111,83,233,"1,828","5,709,348",32,"57,503","1,525",0,558,"1,041",529,326,924,720,0,330,304,403,443,177,134,128,108,82,74,0
MN,27,State House District 7B,"=""2707B""","3,451",0,"3,451","6,951,074",817,"609,888","1,761","2,124,445",212,134,325,"3,348","11,852,956",81,"76,005","2,880",0,"1,187","1,910","1,012",504,"1,504","1,549",0,473,456,693,737,380,333,268,214,171,147,0
