"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
MO,29,State House District 1,"=""29001""","2,196",0,"2,196","4,551,557",565,"496,316","1,141","1,605,263",87,40,84,"2,070","8,666,973",30,"119,134","1,694",0,603,653,"1,262",27,"1,353",502,0,460,96,186,250,73,93,58,78,59,63,0
MO,29,State House District 2,"=""29002""","2,819",0,"2,819","6,632,038",703,"567,234","1,549","2,281,199",14,38,43,"2,653","11,544,857",12,"139,626","2,256",0,809,893,"1,635",26,"1,465",931,0,741,194,239,318,154,149,110,115,74,73,0
MO,29,State House District 3,"=""29003""","2,797",30,"2,797","6,233,370",743,"573,095","1,549","2,149,542",69,87,114,"2,650","11,488,752",51,"134,085","2,303",0,869,"1,059","1,571",37,"1,565",925,0,642,285,372,447,298,187,192,204,162,105,0
MO,29,State House District 4,"=""29004""","2,711",3,"2,711","6,361,162",646,"546,955","1,561","2,171,931",7,6,66,"2,536","11,557,035",5,"142,808","2,161",0,482,695,"1,780",3,"1,518",841,0,797,118,196,319,136,132,64,86,53,73,0
MO,29,State House District 5,"=""29005""","3,465",20,"3,465","8,241,907",883,"669,479","2,105","2,769,096",157,78,150,"3,352","14,860,041",51,"92,059","3,005",26,"1,426","1,188","2,067",61,"1,638","1,499",0,612,301,519,644,412,317,210,221,142,157,0
MO,29,State House District 6,"=""29006""","3,421",22,"3,421","8,306,340",911,"723,660","2,059","2,745,543",108,90,116,"3,315","14,828,937",61,"85,578","2,950",0,"1,191","1,377","1,899",35,"1,745","1,359",0,637,237,475,532,386,289,266,229,185,131,0
MO,29,State House District 7,"=""29007""","2,882",0,"2,882","6,836,486",753,"565,799","1,715","2,290,849",112,82,126,"2,745","12,084,611",71,"130,694","2,442",0,918,922,"1,712",74,"1,368","1,128",0,559,292,343,430,314,238,239,166,135,152,0
MO,29,State House District 8,"=""29008""","2,417",0,"2,417","5,493,022",690,"554,179","1,390","1,853,127",31,32,35,"2,299","9,866,343",26,"102,993","2,015",0,858,"1,050","1,283",0,"1,219",947,0,481,169,279,364,201,153,189,99,73,103,0
MO,29,State House District 9,"=""29009""","2,715",36,"2,715","6,088,949",807,"646,826","1,517","1,967,572",147,91,139,"2,596","11,156,118",82,"86,414","2,272",0,918,"1,344","1,122",105,"1,198","1,150",0,402,258,343,440,299,232,193,231,171,131,0
MO,29,State House District 10,"=""29010""","3,687",75,"3,687","8,616,481","1,021","782,800","2,202","2,731,721",144,107,155,"3,594","15,356,261",87,"63,417","3,213",0,"1,530","2,085","1,443",123,"1,431","1,861",0,419,437,641,711,479,362,307,311,232,162,0
MO,29,State House District 11,"=""29011""","3,600",35,"3,600","8,603,473","1,018","810,507","2,183","2,728,305",149,95,144,"3,514","15,443,680",42,"58,409","3,150",0,"1,474","1,987","1,537",74,"1,536","1,730",0,425,316,536,650,414,318,265,265,209,139,0
MO,29,State House District 12,"=""29012""","1,846",0,"1,846","3,928,709",617,"519,255","1,062","1,327,884",170,93,156,"1,774","7,357,775",54,"89,132","1,583",0,593,973,834,21,932,753,0,364,152,256,311,189,191,177,188,150,137,0
MO,29,State House District 13,"=""29013""","1,704",0,"1,704","3,662,110",553,"458,778",978,"1,257,752",135,98,116,"1,639","6,705,993",49,"58,269","1,439",0,604,963,693,39,847,717,0,305,122,233,287,172,199,145,163,119,106,0
MO,29,State House District 14,"=""29014""","2,546",33,"2,546","5,785,173",781,"606,990","1,470","1,861,427",189,119,181,"2,440","10,046,187",80,"112,805","2,146",1,972,"1,340","1,136",49,"1,293","1,069",0,544,225,383,494,338,256,281,239,191,116,0
MO,29,State House District 15,"=""29015""","3,311",41,"3,311","7,748,947","1,038","794,760","1,994","2,543,754",238,177,193,"3,201","13,531,630",108,"114,217","2,803",16,"1,281","1,683","1,512",93,"1,622","1,417",0,599,259,496,635,418,384,362,306,234,183,0
MO,29,State House District 16,"=""29016""","2,071",9,"2,071","4,630,921",716,"582,019","1,243","1,584,654",171,109,158,"2,000","8,422,806",54,"76,671","1,764",2,699,"1,113",914,34,"1,075",850,0,428,165,258,376,225,224,216,232,158,139,0
MO,29,State House District 17,"=""29017""","2,675",14,"2,675","5,900,633",876,"716,768","1,551","1,991,843",187,115,188,"2,598","10,699,880",71,"76,790","2,289",0,973,"1,398","1,150",69,"1,314","1,090",0,456,263,392,466,278,284,272,266,186,193,0
MO,29,State House District 18,"=""29018""","3,627",53,"3,627","8,342,732","1,117","875,771","2,126","2,734,348",207,175,183,"3,496","14,523,392",132,"119,555","3,043",3,"1,357","1,721","1,795",111,"1,780","1,544",0,670,332,575,692,424,401,403,319,252,221,0
MO,29,State House District 19,"=""29019""","4,831",192,"4,831","13,056,481","1,176","835,557","3,168","4,307,715",95,89,89,"4,691","20,842,194",119,"119,254","3,843",0,"1,965","1,906","2,734",162,"2,389","2,019",0,878,490,834,"1,074",730,500,411,308,207,175,0
MO,29,State House District 20,"=""29020""","3,496",48,"3,496","8,624,360","1,027","813,030","2,210","2,895,047",178,119,101,"3,422","15,029,141",38,"59,606","3,069",0,"1,438","1,881","1,526",67,"1,726","1,521",0,523,345,554,664,428,352,338,316,236,206,0
MO,29,State House District 21,"=""29021""","3,592",50,"3,592","8,638,833","1,092","825,884","2,222","2,864,515",198,155,164,"3,515","15,101,507",77,"67,870","3,110",0,"1,455","1,959","1,528",105,"1,757","1,561",0,526,361,567,680,453,384,384,324,230,195,0
MO,29,State House District 22,"=""29022""","5,349",156,"5,349","14,041,952","1,261","876,455","3,404","4,268,621",232,197,157,"5,262","22,125,480",70,"63,642","4,671",0,"2,796","2,714","2,401",235,"2,579","2,343",0,818,514,997,"1,254",778,596,495,357,224,116,0
MO,29,State House District 23,"=""29023""","5,003",188,"5,003","13,658,836","1,050","708,312","3,224","4,125,972",128,130,100,"4,934","20,921,474",48,"49,920","4,253",0,"2,514","2,300","2,416",287,"2,514","2,119",0,832,545,988,"1,217",777,499,404,303,172,74,0
MO,29,State House District 24,"=""29024""","3,616",94,"3,616","7,201,147",589,"413,660","1,679","2,028,353",99,136,204,"3,429","11,366,346",183,"135,884","2,888",0,"1,494","1,837","1,516",202,"1,759","1,340",0,702,522,906,937,353,274,208,153,110,12,0
MO,29,State House District 25,"=""29025""","1,511",8,"1,511","2,584,894",343,"280,241",645,"796,323",98,78,113,"1,414","4,625,032",82,"76,035","1,186",0,469,853,587,63,814,538,0,346,204,304,344,110,118,116,98,86,56,0
MO,29,State House District 26,"=""29026""","4,593",114,"4,593","11,615,086","1,056","734,334","2,804","3,482,137",234,196,180,"4,515","18,289,281",71,"55,448","4,037",0,"2,413","2,426","1,934",232,"2,220","1,972",0,728,440,916,"1,075",635,503,408,318,196,96,0
