"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
MS,28,State House District 1,"=""28001""","2,372",8,"2,372","6,273,890",561,"403,217","1,502","1,907,136",49,23,23,"2,304","10,172,225",51,"44,767","2,085",0,"1,283",705,"1,650",0,"1,484",755,0,600,168,377,562,360,247,205,152,105,96,0
MS,28,State House District 2,"=""28002""","2,617",22,"2,617","7,209,720",577,"404,400","1,652","2,133,926",76,69,64,"2,545","11,401,329",62,"54,073","2,314",0,"1,531",812,"1,793",0,"1,697",786,0,688,174,431,662,394,262,228,157,136,114,0
MS,28,State House District 3,"=""28003""","2,790",0,"2,790","7,400,234",710,"545,974","1,750","2,222,834",67,78,46,"2,705","12,356,991",57,"70,433","2,498",0,"1,419",723,"2,027",0,"1,848",794,0,754,163,425,560,393,288,284,228,151,141,0
MS,28,State House District 4,"=""28004""","2,790",0,"2,790","7,418,192",783,"583,575","1,760","2,240,758",71,58,39,"2,717","12,778,906",52,"67,439","2,459",0,"1,436",694,"2,075",0,"1,673",983,0,688,146,399,583,412,296,234,260,136,138,0
MS,28,State House District 5,"=""28005""","3,458",36,"3,458","9,853,284",670,"446,531","2,140","2,703,246",232,188,59,"3,375","15,410,065",63,"71,880","3,083",0,"2,067","1,067","2,348",0,"1,873","1,392",0,"1,058",199,520,859,576,431,278,217,137,63,0
MS,28,State House District 6,"=""28006""","2,081",17,"2,081","5,280,202",603,"445,532","1,304","1,688,616",199,148,117,"2,022","8,992,244",59,"66,846","1,869",0,965,967,"1,090",24,"1,218",758,0,630,122,280,416,263,240,241,229,167,119,0
MS,28,State House District 7,"=""28007""","2,688",25,"2,688","7,130,662",770,"562,206","1,758","2,275,848",238,194,128,"2,627","12,092,192",62,"53,704","2,456",0,"1,360","1,306","1,334",47,"1,498","1,059",0,700,146,364,551,377,330,294,271,209,142,0
MS,28,State House District 8,"=""28008""","2,920",20,"2,920","8,544,360",679,"451,240","1,877","2,407,940",185,149,61,"2,871","13,252,223",39,"57,733","2,666",0,"1,855","1,034","1,867",0,"1,700","1,076",0,850,146,422,737,490,338,278,213,168,88,0
MS,28,State House District 9,"=""28009""","4,787",27,"4,787","15,118,910",888,"565,213","3,233","4,051,790",252,291,28,"4,735","22,958,613",6,"32,123","4,423",0,"3,137","2,004","2,684",47,"2,674","1,937",0,958,148,640,"1,276",942,566,381,286,120,38,0
MS,28,State House District 10,"=""28010""","3,439",38,"3,439","9,853,677",744,"516,970","2,220","2,784,466",163,152,84,"3,383","15,648,622",38,"52,378","3,133",0,"1,940","1,466","1,932",13,"1,751","1,506",0,811,169,490,882,595,350,277,220,182,86,0
MS,28,State House District 11,"=""28011""","3,560",38,"3,560","10,972,413",727,"473,655","2,346","2,963,798",191,162,55,"3,514","16,825,385",18,"43,798","3,310",0,"2,315","1,342","2,197",0,"1,946","1,448",0,944,146,508,"1,013",670,368,305,258,168,66,0
MS,28,State House District 12,"=""28012""","1,868",27,"1,868","4,455,506",392,"284,336","1,048","1,302,237",115,107,105,"1,813","7,270,261",55,"51,442","1,630",0,854,866,964,39,903,797,0,417,197,348,417,272,200,160,111,93,66,0
MS,28,State House District 13,"=""28013""","2,585",11,"2,585","6,893,441",618,"440,023","1,586","2,029,761",83,53,42,"2,511","11,134,311",23,"60,529","2,289",0,"1,389",851,"1,700",15,"1,428",995,0,714,159,374,575,391,295,236,152,91,40,0
