"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
MT,30,State House District 1,"=""30001""",712,0,712,"1,531,999",154,"123,407",370,"464,962",0,0,27,673,"2,483,092",39,"25,689",582,0,272,356,345,0,270,349,0,152,87,148,158,88,56,50,38,27,34,0
MT,30,State House District 2,"=""30002""",806,0,806,"1,713,494",164,"130,101",380,"547,348",0,0,6,736,"2,602,018",49,"65,138",617,0,230,417,316,0,404,277,0,218,85,120,158,71,49,34,33,6,31,0
MT,30,State House District 3,"=""30003""","1,083",0,"1,083","2,522,589",257,"202,117",596,"831,960",50,25,52,"1,041","4,003,618",32,"36,613",921,0,360,559,468,34,534,392,0,253,71,183,204,100,87,90,68,55,61,1
MT,30,State House District 4,"=""30004""",685,0,685,"1,269,872",149,"112,917",310,"407,663",37,20,51,632,"2,053,827",53,"57,636",542,0,183,359,294,32,388,216,0,222,80,142,169,73,55,44,48,35,36,0
MT,30,State House District 5,"=""30005""",909,0,909,"2,084,091",249,"189,444",527,"713,526",55,26,57,869,"3,395,243",40,"37,371",775,0,305,469,399,41,494,331,0,226,79,157,176,109,92,94,76,60,62,3
MT,30,State House District 6,"=""30006""",986,0,986,"2,151,339",235,"181,333",534,"744,073",51,23,57,929,"3,493,228",49,"55,878",815,0,306,506,405,42,550,317,0,265,84,147,205,99,78,74,69,52,51,3
MT,30,State House District 7,"=""30007""",803,0,803,"1,825,715",222,"166,589",466,"636,910",52,22,53,762,"3,003,372",41,"38,736",679,0,269,429,334,41,453,281,0,195,74,132,153,100,81,81,71,54,53,4
MT,30,State House District 8,"=""30008""",868,0,868,"1,971,720",239,"179,911",503,"687,845",56,24,57,823,"3,243,556",44,"41,834",733,0,290,463,360,44,489,304,0,211,80,143,165,108,87,88,76,59,57,5
MT,30,State House District 9,"=""30009""",755,0,755,"1,556,414",187,"144,674",387,"509,969",16,7,46,689,"2,495,596",66,"54,899",592,0,231,401,323,14,460,226,0,267,91,134,167,92,59,54,59,46,49,1
MT,30,State House District 10,"=""30010""","1,519",0,"1,519","3,335,707",400,"299,407",825,"1,188,186",50,22,51,"1,415","5,420,814",65,"80,503","1,230",0,436,767,666,39,899,489,0,436,131,236,311,165,126,106,92,52,51,4
MT,30,State House District 11,"=""30011""",888,0,888,"2,045,373",211,"162,011",499,"640,566",32,17,35,839,"3,201,879",39,"40,691",718,0,334,398,417,34,448,316,0,201,96,113,166,93,67,65,49,37,31,0
MT,30,State House District 12,"=""30012""",995,0,995,"2,467,983",252,"188,959",610,"834,569",23,5,25,956,"3,974,433",23,"31,774",833,0,410,409,552,22,480,435,0,249,95,155,206,118,88,75,61,55,28,0
MT,30,State House District 13,"=""30013""",821,0,821,"1,694,776",145,"112,111",381,"570,416",0,0,0,762,"2,628,795",0,"46,703",655,0,269,475,313,0,424,238,0,274,62,137,147,57,28,21,18,0,0,0
MT,30,State House District 14,"=""30014""",784,0,784,"1,736,249",200,"157,709",412,"562,593",6,4,9,746,"2,845,672",3,"37,239",668,0,258,434,335,4,364,315,0,152,18,92,139,72,17,16,13,6,5,0
MT,30,State House District 15,"=""30015""","1,379",6,"1,379","3,505,880",355,"282,568",890,"1,180,703",24,2,27,"1,343","5,813,145",19,"31,370","1,201",0,750,513,802,36,586,666,0,219,164,226,229,150,123,120,60,44,33,0
MT,30,State House District 16,"=""30016""","1,216",24,"1,216","3,336,660",352,"278,236",872,"1,076,687",25,0,26,"1,199","5,451,341",0,"16,190","1,095",0,813,412,726,76,419,711,0,182,138,202,187,153,139,118,111,71,41,0
MT,30,State House District 17,"=""30017""",487,0,487,"961,806",95,"72,239",213,"318,602",0,0,0,443,"1,547,371",0,"48,376",363,0,38,171,282,0,298,114,0,157,28,54,42,0,0,0,0,0,0,0
MT,30,State House District 18,"=""30018""",654,0,654,"1,395,379",192,"150,540",359,"477,757",39,22,46,633,"2,507,755",17,"21,467",533,0,213,295,258,54,302,260,0,97,57,104,109,70,54,54,46,38,42,0
MT,30,State House District 19,"=""30019""",711,4,711,"1,620,356",196,"159,061",400,"569,955",31,21,35,682,"2,969,864",9,"35,526",576,0,226,297,243,48,322,248,0,111,40,86,98,48,43,45,37,34,34,0
MT,30,State House District 20,"=""30020""",925,10,925,"2,119,764",297,"221,504",581,"745,209",68,45,75,906,"4,011,129",19,"13,668",809,0,365,462,357,105,393,461,0,113,87,147,163,104,93,98,79,75,75,0
MT,30,State House District 21,"=""30021""",883,9,883,"2,021,523",279,"207,266",550,"708,218",62,41,68,863,"3,807,669",17,"13,081",768,0,333,446,325,96,358,420,0,103,80,134,149,95,84,90,72,68,68,0
MT,30,State House District 22,"=""30022""",993,4,993,"2,038,938",245,"180,557",519,"670,451",54,31,59,968,"3,634,603",22,"21,899",784,0,368,451,369,172,471,419,0,101,163,165,196,103,88,77,65,54,51,0
MT,30,State House District 23,"=""30023""",796,0,796,"1,750,569",198,"143,426",431,"559,170",46,22,49,773,"2,982,647",24,"20,743",658,0,335,375,320,101,364,342,0,94,94,135,184,103,85,63,55,41,36,0
MT,30,State House District 24,"=""30024""",609,4,609,"1,374,858",186,"133,407",366,"468,129",34,22,37,595,"2,531,193",11,"9,864",524,0,241,303,235,56,268,291,0,58,47,99,118,56,49,49,40,36,36,0
MT,30,State House District 25,"=""30025""",713,0,713,"1,545,759",206,"161,116",407,"517,500",49,28,57,692,"2,780,310",21,"22,917",606,0,258,354,291,68,341,315,0,114,71,126,132,87,67,68,58,47,53,0
MT,30,State House District 26,"=""30026""",688,0,688,"1,487,432",203,"159,443",389,"503,492",40,23,47,666,"2,672,249",17,"21,425",580,0,238,329,289,56,331,298,0,93,58,102,108,71,55,56,47,38,43,0
MT,30,State House District 27,"=""30027""",623,0,623,"1,452,131",181,"139,662",363,"493,968",0,0,0,601,"2,468,444",0,"19,799",489,0,289,175,414,1,285,260,0,168,52,87,102,62,28,44,51,18,18,0
MT,30,State House District 28,"=""30028""",457,0,457,"1,028,241",134,"103,935",247,"343,920",0,0,0,435,"1,740,409",0,"24,859",344,0,135,179,244,0,180,209,0,85,23,62,75,28,0,23,21,0,0,0
MT,30,State House District 29,"=""30029""",461,0,461,"972,502",126,"103,520",202,"325,615",15,10,21,416,"1,588,663",12,"44,181",302,0,91,144,190,12,192,121,0,63,26,51,62,31,27,29,20,15,16,0
MT,30,State House District 30,"=""30030""",591,0,591,"1,244,993",156,"134,153",306,"406,532",24,14,33,545,"2,035,532",18,"48,684",414,0,150,246,287,17,287,187,0,100,43,79,94,49,44,45,32,25,25,0
MT,30,State House District 31,"=""30031""","1,069",0,"1,069","2,762,968",314,"264,392",730,"925,801",18,0,19,"1,050","4,909,954",0,"20,233",946,0,613,526,517,0,234,718,0,91,122,178,141,103,115,99,76,59,52,0
MT,30,State House District 32,"=""30032""","1,053",25,"1,053","2,707,991",327,"267,345",718,"924,331",26,1,10,"1,036","4,769,671",1,"14,176",899,0,561,529,492,2,389,599,0,114,132,162,147,109,93,77,76,50,35,0
MT,30,State House District 33,"=""30033""",596,0,596,"1,399,486",152,"118,375",333,"443,324",32,18,33,575,"2,394,861",20,"19,607",463,0,261,240,302,33,227,283,0,92,69,109,116,74,63,42,42,26,32,0
MT,30,State House District 34,"=""30034""",707,0,707,"1,677,811",196,"151,718",422,"551,585",23,13,24,685,"2,902,752",15,"21,271",575,0,330,310,360,24,272,367,0,117,74,110,127,77,64,56,47,35,23,0
MT,30,State House District 35,"=""30035""",647,0,647,"1,466,424",185,"149,405",355,"502,127",24,0,52,593,"2,582,454",0,"32,569",503,0,205,253,333,0,262,276,0,158,65,84,81,34,53,38,26,21,0,0
MT,30,State House District 36,"=""30036""",427,0,427,"840,408",120,"96,983",212,"277,778",2,0,2,375,"1,486,151",0,"26,542",292,0,94,140,224,0,135,166,0,55,9,12,54,7,8,7,5,4,4,0
MT,30,State House District 37,"=""30037""",576,0,576,"1,215,455",162,"148,634",306,"391,192",24,0,34,553,"2,280,419",0,"40,151",455,0,205,230,301,0,232,235,0,86,46,91,90,59,56,33,33,30,22,0
MT,30,State House District 38,"=""30038""",528,0,528,"1,115,844",166,"126,862",289,"373,435",25,0,39,509,"2,020,945",0,"15,466",430,0,201,247,232,32,233,221,0,86,53,74,87,66,58,43,44,25,30,0
MT,30,State House District 39,"=""30039""",391,0,391,"823,924",96,"86,611",205,"286,540",4,2,5,360,"1,404,968",2,"44,586",281,0,61,136,206,2,238,81,0,121,7,33,39,8,7,5,5,4,4,0
MT,30,State House District 40,"=""30040""",744,0,744,"1,657,338",217,"171,061",431,"539,129",50,25,62,716,"2,902,479",29,"22,148",613,0,294,390,335,19,310,348,0,157,83,120,143,95,90,60,54,45,48,0
MT,30,State House District 41,"=""30041""","1,145",0,"1,145","3,054,965",345,"265,657",809,"1,093,972",0,0,9,"1,132","5,403,057",0,"8,634","1,019",0,598,252,575,279,658,423,0,84,116,187,148,86,73,80,64,62,31,0
MT,30,State House District 42,"=""30042""","1,220",0,"1,220","3,449,721",380,"293,850",863,"1,123,540",3,2,17,"1,191","5,951,390",1,"21,089","1,077",0,780,294,851,5,459,625,0,59,98,168,200,167,128,98,83,49,15,0
MT,30,State House District 43,"=""30043""",517,0,517,"1,138,709",145,"125,740",273,"410,984",0,0,0,482,"1,974,804",0,"31,829",358,0,134,196,284,0,294,151,0,84,0,24,29,0,0,0,0,0,0,0
MT,30,State House District 44,"=""30044""",855,8,855,"1,870,217",235,"178,383",482,"599,389",43,25,42,833,"3,217,024",21,"17,384",716,0,386,354,418,82,453,315,0,115,95,153,175,101,83,74,61,41,41,0
MT,30,State House District 45,"=""30045""",533,0,533,"1,169,720",125,"99,201",290,"410,347",3,1,4,499,"1,996,315",2,"27,499",414,0,159,254,241,1,292,191,0,134,64,81,116,47,5,42,3,3,3,0
MT,30,State House District 46,"=""30046""",724,7,724,"1,570,526",217,"176,640",404,"555,926",49,31,53,691,"2,784,824",28,"38,049",607,0,256,326,335,30,391,269,0,138,75,116,124,73,70,70,60,47,43,5
MT,30,State House District 47,"=""30047""",751,10,751,"1,653,877",235,"183,246",436,"569,101",56,32,57,723,"2,918,358",28,"32,751",639,0,292,350,357,44,393,296,0,133,72,132,131,84,80,78,70,51,46,8
MT,30,State House District 48,"=""30048""",827,11,827,"1,821,359",259,"201,803",480,"626,732",62,35,63,797,"3,213,888",31,"36,068",703,0,321,386,394,48,432,326,0,147,79,145,144,92,88,86,77,56,51,9
MT,30,State House District 49,"=""30049""",931,9,931,"1,997,570",256,"195,393",515,"636,999",55,31,56,906,"3,452,005",25,"22,338",783,0,408,403,442,86,490,343,0,126,106,170,194,111,94,86,70,48,47,0
MT,30,State House District 50,"=""30050""",545,5,545,"1,104,439",149,"115,998",284,"354,561",45,22,50,527,"1,937,455",18,"20,801",465,0,206,266,240,38,283,197,0,84,61,97,108,61,55,56,45,32,29,0
MT,30,State House District 51,"=""30051""",995,9,995,"2,098,372",262,"199,631",526,"658,964",51,29,52,962,"3,600,575",24,"27,816",822,0,395,405,471,84,542,329,0,120,102,164,186,107,90,82,67,46,45,0
MT,30,State House District 52,"=""30052""",690,7,690,"1,445,372",189,"145,844",373,"462,238",48,25,51,670,"2,513,928",20,"20,898",585,0,285,316,318,57,362,252,0,99,78,125,141,81,70,67,54,38,35,0
MT,30,State House District 53,"=""30053""",692,7,692,"1,457,396",190,"145,924",376,"465,746",46,25,49,672,"2,530,735",20,"19,870",585,0,290,312,321,59,363,254,0,98,78,125,142,81,70,66,54,38,35,0
MT,30,State House District 54,"=""30054""",862,8,862,"1,830,590",224,"176,139",463,"576,884",46,25,47,835,"3,151,058",21,"22,089",722,0,369,354,416,68,454,321,0,103,86,137,156,90,76,70,57,40,38,0
MT,30,State House District 55,"=""30055""",687,7,687,"1,381,616",187,"146,408",356,"443,930",58,29,65,664,"2,428,398",23,"27,399",588,0,255,340,300,46,356,248,0,108,77,121,135,77,69,71,57,41,36,0
MT,30,State House District 56,"=""30056""",642,6,642,"1,292,258",175,"137,095",333,"415,393",55,27,61,621,"2,271,471",22,"25,770",549,0,238,318,281,43,333,232,0,101,72,113,126,72,65,66,53,39,34,0
MT,30,State House District 57,"=""30057""",587,2,587,"1,220,734",169,"135,102",319,"405,428",36,25,43,561,"2,132,913",24,"28,057",485,0,206,266,284,24,325,207,0,119,70,88,112,62,57,51,44,38,37,0
MT,30,State House District 58,"=""30058""",716,0,716,"1,589,276",226,"183,480",418,"561,667",36,21,55,691,"2,788,692",25,"26,103",619,0,265,327,352,37,376,282,0,139,61,90,160,84,83,70,62,47,56,0
MT,30,State House District 59,"=""30059""",533,0,533,"1,108,095",140,"106,188",241,"325,045",0,0,22,487,"1,784,628",0,"44,126",388,0,94,257,222,0,299,111,0,164,23,41,54,31,30,29,0,0,0,0
MT,30,State House District 60,"=""30060""",450,0,450,"879,334",144,"112,460",216,"291,060",0,0,3,414,"1,533,427",0,"32,026",309,0,73,179,200,0,255,110,0,92,41,25,44,0,21,3,2,0,0,0
MT,30,State House District 61,"=""30061""",714,0,714,"1,343,072",169,"142,297",312,"436,101",11,7,45,647,"2,224,141",23,"76,100",529,0,140,352,320,20,427,179,0,253,60,84,129,31,26,46,40,18,18,0
MT,30,State House District 62,"=""30062""",688,0,688,"1,291,456",164,"131,635",316,"402,291",25,16,53,635,"2,116,358",53,"50,782",534,0,209,328,315,44,384,227,0,210,90,124,161,69,57,57,48,40,39,0
MT,30,State House District 63,"=""30063""",552,0,552,"802,055",85,"69,236",191,"235,900",23,37,64,516,"1,358,512",36,"34,073",426,0,150,345,163,45,294,176,0,162,103,136,138,37,33,30,29,23,22,0
MT,30,State House District 64,"=""30064""",835,0,835,"1,331,735",168,"130,265",338,"431,629",44,55,98,777,"2,240,439",56,"53,197",636,0,226,482,271,57,442,266,0,247,119,177,193,63,63,55,52,44,42,0
MT,30,State House District 65,"=""30065""",344,0,344,"492,785",51,"41,701",116,"142,518",14,23,40,322,"835,126",22,"21,129",265,0,93,216,99,28,183,109,0,100,66,86,86,23,19,18,17,14,13,0
MT,30,State House District 66,"=""30066""",762,0,762,"1,154,393",139,"112,325",288,"368,216",35,45,79,696,"1,951,943",45,"61,827",583,0,184,452,254,47,424,241,0,241,99,168,193,51,50,44,42,35,34,0
MT,30,State House District 67,"=""30067""","1,155",0,"1,155","2,330,365",353,"278,856",636,"865,868",77,59,125,"1,083","4,012,799",60,"74,257",952,0,368,646,443,63,624,417,0,336,113,167,225,100,107,105,96,80,102,0
MT,30,State House District 68,"=""30068""",698,0,698,"1,404,567",192,"155,012",357,"482,668",26,22,69,655,"2,417,079",22,"42,711",553,0,221,378,258,25,343,262,0,176,76,111,130,68,36,55,57,27,41,0
MT,30,State House District 69,"=""30069""",988,0,988,"2,093,211",329,"274,043",568,"803,126",41,28,106,935,"3,650,632",28,"55,267",799,0,312,509,417,32,524,359,0,290,81,141,183,69,77,57,96,43,111,0
